id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/9/value,qualifier/14/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId
2536649535,1,34,16,0,0,z9phg19papi9f5fd6qxzr836,1,0,0,2023-04-21T17:19:37.609Z,2023-04-21T18:23:15Z,4206476553,197,1696,4206319053,59,"1, 16, 14, 15, 24, 6, 17, 10, 9, 20, 22, 26, 4, 5, 7, 8, 13, 19, 21, 31",4206319057,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4206319055,130,8,4206319049,30,"7j7stqaomy8pnmzangrsyfahh, 7e78647fbcn7noga5qlz46xux, 31u2tk3aha04kwphoucf4ze5m, ab8p14hbfeph28j3ig36nzob9, 2ppvf1ywd1mxum1lgnn2pubdg, 4d9yng69t6qbzfukdhcp0j1ii, 6smqledi9xrrhifu9yi87kf6x, 6gzpefxqcz2v4z95bnecilfpx, 70qjuubp69zw3d3p0hvunmi8l, 1tmihr54maqj0h7785cg9ez56, pd5ksvrqxmxsuvfeenz0fqzu, 20ib1q65ul2h570xl6jpcx1jo, di46dv5smxql2bg7cw4a06wkq, 9pqchkq64o53knk75ruq5g3x1, 7kntrrc80dcadt8umvqf6qfe2, dsgea9ruo8blm2ppu19y1vod0, 37gw14qso08iq31lr2gerhb84, 7plnzzirl3q10vucy37p7b6ui, 8zsx2ykxkcusmsvbj8bsjk445, 1evsz02au0pu4a1tmzn5s27hm",4206319059,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4206476551,194,1tmihr54maqj0h7785cg9ez56,4206319051,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536655239,1,34,16,0,0,1wyg1tunyt7go9tnjea1hjqxb,1,0,0,2023-04-21T17:34:47.590Z,2023-04-21T18:16:15Z,4206351675,59,"1, 2, 5, 8, 3, 4, 7, 6, 9, 10, 11, 18, 16, 19, 17, 21, 15, 12, 20, 14",4206368233,194,19wuvqpmewphgvsfzi4yjl756,4206351671,30,"7ug3a0z74dj7qlq4jbtn1kutw, cuhp8zc6tvw9ymsq80zdzwnis, b4vrfh7z9qt9e5gdpkajrqolw, d29ahwtvs7ls75wdtkf7xr8tm, b1h2eiqxic31ioxbs1zjd709g, 6zzcoo9k4ebqtlux49rbb5fro, 19wuvqpmewphgvsfzi4yjl756, cwu5itv65s8p6zsalk3np4ic, 51f3vubki4or5vaft5tromn3e, 8o2iv0qhfft5pgzm75ckuo0es, 8i6cjao5lwxzaomilei61kbxm, a4oxzr5v7ddsaetubhea9c1zo, 6km9jg1di3kjwknzs1m43c7x0, 4oyjji4wqmuu3uia6htj0q1hw, d88acv182zde37ck1nxggrllg, 90zhj6yyva7sxwn4k6c8oa9ec, 5ylwgfqvaobru2lxqvlhpxul0, 51wk4k31q480j6wst4epgt8us, cuvt8j25577ruyenn33htf1g4, e8tm2vfvynb5pctdbdrp5c6qc",4206351681,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4206351679,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4206351677,130,8,4206351673,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4206480993,197,8656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536680783,2,32,1,0,0,z9phg19papi9f5fd6qxzr836,1,0,0,2023-04-21T18:17:54.167Z,2023-04-21T18:17:54Z,4206487839,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536680791,2,32,1,0,0,1wyg1tunyt7go9tnjea1hjqxb,1,0,0,2023-04-21T18:17:54.167Z,2023-04-21T18:17:55Z,4206487913,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536680821,3,1,1,0,0,z9phg19papi9f5fd6qxzr836,1,50,50,2023-04-21T18:17:54.267Z,2023-04-21T18:17:57Z,4206488047,56,Back,4206488057,279,S,4206488053,212,18.3,4206488051,141,48.7,4206488049,140,32.6,4206488055,213,3.2,,,,,,,7e78647fbcn7noga5qlz46xux,A. Aberkane,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536680863,4,1,1,0,3,z9phg19papi9f5fd6qxzr836,0,32.6,48.5,2023-04-21T18:17:57.492Z,2023-04-21T18:18:02Z,4206488289,141,82.3,4206488285,56,Left,4206488295,213,0.5,4206488287,140,70.3,4206488283,155,,4206488291,212,45.8,4206488299,1,,,,,4d9yng69t6qbzfukdhcp0j1ii,A. El Azzouzi,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536680869,3,44,1,0,6,1wyg1tunyt7go9tnjea1hjqxb,1,31.4,17.8,2023-04-21T18:18:00.368Z,2023-04-21T18:18:01Z,4206488325,56,Back,4206488327,285,,4206488377,233,5,,,,,,,,,,,,,,,,cwu5itv65s8p6zsalk3np4ic,N. Twisk,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536680873,5,44,1,0,6,z9phg19papi9f5fd6qxzr836,0,68.6,82.2,2023-04-21T18:18:00.369Z,2023-04-21T18:18:02Z,4206488349,286,,4206488347,56,Left,4206488441,233,3,,,,,,,,,,,,,,,,70qjuubp69zw3d3p0hvunmi8l,S. Longo,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536680885,4,1,1,0,6,1wyg1tunyt7go9tnjea1hjqxb,0,33.6,18.1,2023-04-21T18:18:00.644Z,2023-04-21T18:18:02Z,4206488415,212,13.7,4206488417,213,4.7,4206488405,56,Back,4206488407,140,33.6,4206488403,3,,4206488411,141,0.0,,,,,,,cwu5itv65s8p6zsalk3np4ic,N. Twisk,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536680901,5,5,1,0,7,1wyg1tunyt7go9tnjea1hjqxb,0,30.5,-1.6,2023-04-21T18:18:01.667Z,2023-04-21T18:29:29Z,4206488501,347,,4206488497,56,Back,4206489191,233,6,,,,,,,,,,,,,,,,cwu5itv65s8p6zsalk3np4ic,N. Twisk,,,,,,,,,,,,,,,,,,,,,,,,,,,
