id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,keyPass,qualifier/9/value,qualifier/13/value,qualifier/14/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/15/value
2513393443,1,34,16,0,0,1wyg1tunyt7go9tnjea1hjqxb,1,0,0,2023-02-27T18:47:24.818Z,2023-02-27T19:01:28Z,4062181303,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4062181307,59,"1, 2, 5, 8, 3, 4, 7, 6, 9, 10, 11, 19, 17, 18, 16, 12, 15, 14",4062181299,30,"2p6h6ivyzp1fzsayw7r2xn2dx, b8k8uynw043b6q9xm0lfzszmy, 2wgv0uye88734itwltg3oajo4, d29ahwtvs7ls75wdtkf7xr8tm, b1h2eiqxic31ioxbs1zjd709g, b4vrfh7z9qt9e5gdpkajrqolw, 4cegvsj3s6t0o1l5xap6jypuy, cwu5itv65s8p6zsalk3np4ic, 51f3vubki4or5vaft5tromn3e, 19wuvqpmewphgvsfzi4yjl756, 1hmy5uxiyr8g915tngl9l8twq, 4oyjji4wqmuu3uia6htj0q1hw, 8i6cjao5lwxzaomilei61kbxm, 8o2iv0qhfft5pgzm75ckuo0es, 7ug3a0z74dj7qlq4jbtn1kutw, 842wr3ptcycwsg44mgt0zp7o4, 35zljca9f38wwue7geei62xw4, odp8a70vcgs0bn2ue7jpme50",4062181311,130,8,4062195563,197,18074,4062181315,194,19wuvqpmewphgvsfzi4yjl756,4062181317,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4062181313,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513394445,1,34,16,0,0,2xlnfgrl6r18ftv38unwp7h4s,1,0,0,2023-02-27T18:50:28.932Z,2023-02-27T19:01:08Z,4062186179,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4062186175,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4062186173,130,8,4062186177,194,cla6c6izphee9prb80c15baei,4062186167,30,"4u12cln8rmtkwlu5q36ypjl2i, d9ewnngnsfc0s4hcs282hayhg, 9yvaqepplk8s4cjqjbtyb24gk, cla6c6izphee9prb80c15baei, e1islmeew98wa2ge0dicloay2, 7b0vbfxlv3uiozb19fcj2vsyy, 8tukt8jsmzkblxxs5w85x4dii, 9vf02r3geinhsy732oxyrcacq, 7uwe0kxpzg271d8ocms7l2kno, d785q9rpqlyuyswv8f9fx4cno, 1jr23fmrmezgiaq7k63pro07o, pxaq5i4ce7ccg0x04msi0b8, 549as6x09k4w89o2y8mj00bh0, wlltloe6hbe8hin3hix0366s, 47yvsnwrehtn4mwsjcqk4ewyy, vrkanoideipif70wo4adb5lg, 8mkrj5bnkyhx8kutc4656cy96, cbai2262b47qtezzmkt5ctslw, eola3wwbcxl6yeigrj16a3otm, 8npu0cbqjrhwv5km1w29kh016, 3bepi58wwope38a478y7jwlxw",4062186169,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4062186171,59,"1, 2, 5, 6, 3, 4, 7, 8, 9, 10, 11, 21, 17, 15, 22, 16, 18, 14, 23, 20, 19",4062195593,197,2830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513396431,2,32,1,0,0,2xlnfgrl6r18ftv38unwp7h4s,1,0,0,2023-02-27T19:01:07.473Z,2023-02-27T19:01:09Z,4062196019,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513396425,2,32,1,0,0,1wyg1tunyt7go9tnjea1hjqxb,1,0,0,2023-02-27T19:01:07.473Z,2023-02-27T19:01:07Z,4062196001,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513396443,3,1,1,0,0,1wyg1tunyt7go9tnjea1hjqxb,1,50.1,49.7,2023-02-27T19:01:07.573Z,2023-02-27T19:01:11Z,4062196069,279,S,4062196065,212,22.7,4062196059,56,Back,4062196061,140,29.5,4062196067,213,2.8,4062196063,141,59.7,,,,,,,51f3vubki4or5vaft5tromn3e,Y. Barası,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513396477,4,1,1,0,4,1wyg1tunyt7go9tnjea1hjqxb,1,31.6,60,2023-02-27T19:01:11.594Z,2023-02-27T19:01:19Z,4062196237,140,73.5,4062196233,155,,4062196235,56,Right,4062196241,212,55.1,4062196239,141,11.3,4062196245,1,,4062196243,213,5.6,,,,b4vrfh7z9qt9e5gdpkajrqolw,M. Engel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513396481,5,61,1,0,10,1wyg1tunyt7go9tnjea1hjqxb,0,72.1,2.7,2023-02-27T19:01:17.895Z,2023-02-27T19:54:24Z,4062196263,56,Right,,,,,,,,,,,,,,,,,,,,,,4cegvsj3s6t0o1l5xap6jypuy,M. Lahdo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513396475,3,43,1,0,10,2xlnfgrl6r18ftv38unwp7h4s,1,0,0,2023-02-27T19:01:17.896Z,2023-02-27T19:54:18Z,4062196221,285,0,4062196305,233,5,4062305027,144,7,4062196217,56,Back,,,,,,,,,,,,,9yvaqepplk8s4cjqjbtyb24gk,R. Tytens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513396501,6,43,1,0,12,1wyg1tunyt7go9tnjea1hjqxb,1,0,0,2023-02-27T19:01:19.632Z,2023-02-27T19:54:22Z,4062305137,144,61,4062196323,56,Right,,,,,,,,,,,,,,,,,,,4cegvsj3s6t0o1l5xap6jypuy,M. Lahdo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513396491,4,5,1,0,12,2xlnfgrl6r18ftv38unwp7h4s,1,29,101.6,2023-02-27T19:01:19.860Z,2023-02-27T19:27:48Z,4062196289,347,,4062245489,233,7,4062196287,56,Back,,,,,,,,,,,,,,,,9yvaqepplk8s4cjqjbtyb24gk,R. Tytens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
