id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value
2454474723,1,34,16,0,0,dvmw7d6jb38qvv7e6ziwu0vyr,1,0,0,2022-09-02T17:10:41.033Z,2022-09-02T18:13:19Z,3750853627,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3750853611,59,"1, 33, 7, 5, 4, 3, 23, 8, 10, 25, 20, 2, 12, 21, 19, 22, 27, 28, 31, 32, 45",3750853623,197,2671,3750853609,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3750853613,130,17,3750853621,194,eu901b75l2ly5p48jdw6kwmad,3750853607,30,"3oduk9niyqml47z7wramkxhw5, 7hsyytjjg6zw5knvav9xybbh1, bnkzwpd607re6s01oa77wcodm, ak5exy1iztbo0mqloqdwiag6i, 9e70uun80bdi4hedu45mo5vxl, eu901b75l2ly5p48jdw6kwmad, 8o2hk1hy097osczjijmq4bsh5, 3j368501ogr8mt2jdb7mby8h6, ar47jfq139xyic4pvdhefduga, c3j7ddqg0yzporam6gieibgiy, dej8tywq0npvbm25sfgtqur1m, d4z4gdds9hajylsy2hh5b78q, 2v12tmspdosmwic2h6itfz0x6, 47wgrchutkdy62665jc79dy0a, 6mn57wdtnexqlumwsg8qyil90, 5f8ajd8cgyvmmdzr0lzi1gtii, 1r67co8q0ktlqe5209xm6sxec, bitv8dp51g02iyf6o3elxnoix, byfk0abaxu0ha7w01vpmreb1m, coxuin3vr6nkynlvcsvzphjl6, 3v2grfhuisr456ibcvqjfx4yy",3750853617,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,
2454478015,1,34,16,0,0,59t7flioj4w4mpwnrwbm0m8ck,1,0,0,2022-09-02T17:15:42.121Z,2022-09-02T17:50:30Z,3750870651,130,8,3750870649,59,"1, 2, 5, 6, 3, 24, 11, 18, 9, 8, 10, 16, 4, 14, 19, 21, 23, 25, 27, 36",3750870655,194,89plvrt8pzppcclh4axvii0ru,3750870647,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3750870659,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3750870657,197,490,3750870645,30,"8jml2tgzk1am30cy4gkgx0wd1, bdb33nwcpd2jufn9ggtl7gvzd, 1falkoydwxoiazskcoalwll62, 89plvrt8pzppcclh4axvii0ru, d5g7rl9a83vu3cyyzvu5yveqy, 4mhahoh3a6rir882ug9hdb5nu, ekur9x1kzp8wq0lwfwev0b0bu, 3xza88l7s8dlki9kleqwz2puy, 2an4s7uuqa9a6sl7vutznc7o5, 4j9ug0ng9dhx6xwhdwx6fafx0, 6nd0ifv6ljza9nauxcpejqzft, 5gunbyh0bjzutryox97ihxot1, 4bkb8qjb5n33wxfopju8r1mtx, 41es2x265ddlzqjqa6wb9vey2, emaf4mjxn2255qlcn1pcxn36x, 4shkxwb3ujuajna3gdg34cxjp, 9urh0cy0a8ni61fuxmiqosnis, 7oo6h3pq8wv5rgp1dkaolrhg4, f48jetdaq8dttcdo11mugaxnt, 8gkh6rsfo2tsrsiirv05bm1yi",3750870653,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,
2454497843,2,32,1,0,0,dvmw7d6jb38qvv7e6ziwu0vyr,1,0,0,2022-09-02T18:02:13.052Z,2022-09-02T18:02:13Z,3750976171,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454497847,2,32,1,0,0,59t7flioj4w4mpwnrwbm0m8ck,1,0,0,2022-09-02T18:02:13.052Z,2022-09-02T18:02:15Z,3750976187,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454497867,3,1,1,0,0,59t7flioj4w4mpwnrwbm0m8ck,1,50.4,49.7,2022-09-02T18:02:13.152Z,2022-09-02T18:56:58Z,3750976253,212,7.8,3750976257,279,S,3751223101,278,,3750976255,213,3.2,3750976247,56,Back,3750976249,140,43.0,3750976251,141,49.5,,,,2an4s7uuqa9a6sl7vutznc7o5,J. van der Sande,,,,,,,,,,,,,,,,,,,,,,,,,
2454497911,4,1,1,0,3,59t7flioj4w4mpwnrwbm0m8ck,1,37.2,49,2022-09-02T18:02:16.327Z,2022-09-02T18:02:19Z,3750976515,212,14.9,3750976513,141,61.4,3750976509,56,Back,3750976511,140,25.5,3750976517,213,2.5,,,,,,,,,,89plvrt8pzppcclh4axvii0ru,A. Plat,,,,,,,,,,,,,,,,,,,,,,,,,
2454497945,5,1,1,0,5,59t7flioj4w4mpwnrwbm0m8ck,1,25.5,61.4,2022-09-02T18:02:18.992Z,2022-09-02T18:02:20Z,3750976681,56,Back,3750976693,213,4.4,3750976687,141,34.8,3750976691,212,19.3,3750976683,140,19.0,,,,,,,,,,4mhahoh3a6rir882ug9hdb5nu,T. Velthuis,,,,,,,,,,,,,,,,,,,,,,,,,
2454497993,6,1,1,0,7,59t7flioj4w4mpwnrwbm0m8ck,1,19,34.8,2022-09-02T18:02:20.831Z,2022-09-02T18:02:24Z,3750976935,213,5.2,3750976925,140,28.1,3750976931,212,18.7,3750976929,141,11.1,3750976923,56,Back,,,,,,,,,,d5g7rl9a83vu3cyyzvu5yveqy,A. MacNulty,,,,,,,,,,,,,,,,,,,,,,,,,
2454498027,7,1,1,0,11,59t7flioj4w4mpwnrwbm0m8ck,0,29.4,9.7,2022-09-02T18:02:24.160Z,2022-09-02T18:02:26Z,3750977063,157,,3750977073,213,6.1,3750977067,140,50.4,3750977069,141,4.7,3750977065,56,Right,3750977075,1,,3750977071,212,22.3,,,,bdb33nwcpd2jufn9ggtl7gvzd,B. Lucassen,,,,,,,,,,,,,,,,,,,,,,,,,
2454498065,3,1,1,0,12,dvmw7d6jb38qvv7e6ziwu0vyr,1,54.7,85,2022-09-02T18:02:25.955Z,2022-09-02T18:02:27Z,3750977283,141,84.2,3750977279,56,Left,3750977277,3,,3750977287,213,6.2,3750977285,212,10.0,3750977281,140,64.2,,,,,,,ak5exy1iztbo0mqloqdwiag6i,P. Bogaers,,,,,,,,,,,,,,,,,,,,,,,,,
