id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,assist,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,keyPass,qualifier/10/value,qualifier/12/value,qualifier/13/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2451059161,1,34,16,0,0,xcevba75jfkrg4s6tl89zl3y,1,0,0,2022-08-26T17:18:07.759Z,2022-08-26T17:59:14Z,3732618247,30,"cf70r39m2wgbijtw0co5t6yfp, 8eribncmewk65x40tn7pvqymt, 3yq9brnhlfinrzrfbzcv99nmd, 7b4jmfu1ejoeci2zmvwuejnys, abgzge9xy445z8rdwa2mcapqt, 969cpy2geokwer9gjapk7zj3e, 5curv1gquatwkxsin86fghvkk, 440ry78r7c0ntspgph192c0r9, 11sxalz1nikiipmp7bxvz33rp, cipmd3k2nfv0ddic0l8go14gl, ds0hd4ezvb5rw6l95rhbxtq1g, 92mkw4rtoho0gkf3wr19c9iad, 78t5clx87mnpzn7c5ynoa37x1, 7flz5rsy2e31gbd8udiqg14gl, 3y7w3ngh3kby9mehxe5q7glpl, 85rm5s7x9di62hw3l31y5w8o9, 1j33nixshgkkdwjjnuafknahh, 1chxk7d4i11x2f16igblexgyc, 96j7klvrblmkwsprx0wk81b10, 3h7rkufywz6c2aye1l5b0ihp0, cglskkkycbja9rjybhui9hdrd, g16sstb2lz1ru2hsba2ml6ju, 7dj1tr37jtrr32cyw6r1dukus",3732618255,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3732618257,194,440ry78r7c0ntspgph192c0r9,3732618251,59,"1, 27, 28, 23, 22, 20, 14, 10, 9, 35, 33, 3, 5, 6, 7, 8, 11, 16, 18, 17, 24, 32, 45",3732618249,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3732618259,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3732618253,130,2,3732707373,197,2124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451060407,1,34,16,0,0,z9phg19papi9f5fd6qxzr836,1,0,0,2022-08-26T17:21:36.167Z,2022-08-26T18:21:32Z,3732625003,30,"7j7stqaomy8pnmzangrsyfahh, c3dzl73x1uypbb71x5dwf98iy, cjuzhcgsj4mwwr4evn823hivp, 31u2tk3aha04kwphoucf4ze5m, 8zsx2ykxkcusmsvbj8bsjk445, 4d9yng69t6qbzfukdhcp0j1ii, 6gzpefxqcz2v4z95bnecilfpx, dsgea9ruo8blm2ppu19y1vod0, 70qjuubp69zw3d3p0hvunmi8l, cktdin60q1omaa4gmjp08o76y, 1tmihr54maqj0h7785cg9ez56, f5pgdha5h37xytbk1zq8q710, 9pqchkq64o53knk75ruq5g3x1, 37gw14qso08iq31lr2gerhb84, 1id5av4i7p6tmhf1vuigvlmvo, 7plnzzirl3q10vucy37p7b6ui, dgrs9km0fikc46xchm02hbdka, 2ppvf1ywd1mxum1lgnn2pubdg, 27lnkbiy8l5008e6792mp4qy2, 1evsz02au0pu4a1tmzn5s27hm",3732710611,197,1696,3732625013,194,8zsx2ykxkcusmsvbj8bsjk445,3732625009,130,17,3732625015,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3732625011,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3732625007,59,"1, 12, 28, 14, 21, 6, 10, 8, 15, 11, 20, 3, 5, 13, 18, 19, 23, 24, 25, 31",3732625005,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451077161,2,32,1,0,0,xcevba75jfkrg4s6tl89zl3y,1,0,0,2022-08-26T18:01:27.973Z,2022-08-26T18:01:31Z,3732713015,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451077145,2,32,1,0,0,z9phg19papi9f5fd6qxzr836,1,0,0,2022-08-26T18:01:27.973Z,2022-08-26T18:01:28Z,3732712965,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451077223,3,1,1,0,0,z9phg19papi9f5fd6qxzr836,1,50,50,2022-08-26T18:01:28.073Z,2022-08-26T18:01:33Z,3732713315,212,20.0,3732713301,140,31.0,3732713309,141,48.8,3732713299,56,Back,3732713319,213,3.2,3732713325,279,S,,,,,,,1tmihr54maqj0h7785cg9ez56,M. Suray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451077243,4,1,1,0,5,z9phg19papi9f5fd6qxzr836,0,32.2,50.1,2022-08-26T18:01:33.387Z,2022-08-26T18:01:35Z,3732713421,212,45.4,3732713423,213,6.1,3732713413,157,,3732713425,1,,3732713419,141,34.8,3732713415,56,Center,3732713417,140,74.3,,,,8zsx2ykxkcusmsvbj8bsjk445,T. van Huizen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451077277,3,1,1,0,6,xcevba75jfkrg4s6tl89zl3y,1,23.7,72.7,2022-08-26T18:01:34.934Z,2022-08-26T18:01:38Z,3732713591,141,65.3,3732713583,56,Back,3732713595,213,6.0,3732713593,212,18.2,3732713581,3,,3732713587,140,40.4,,,,,,,969cpy2geokwer9gjapk7zj3e,R. Hillen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451077287,4,1,1,0,10,xcevba75jfkrg4s6tl89zl3y,1,39.4,65.1,2022-08-26T18:01:38.310Z,2022-08-26T18:01:39Z,3732713647,141,57.8,3732713653,213,5.8,3732713651,212,11.0,3732713641,56,Back,3732713639,3,,3732713643,140,48.7,,,,,,,cipmd3k2nfv0ddic0l8go14gl,C. Benschop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451077295,5,49,1,0,11,xcevba75jfkrg4s6tl89zl3y,1,48.8,57.3,2022-08-26T18:01:39.414Z,2022-08-26T18:01:39Z,,,,,,,,,,,,,,,,,,,,,,,,,11sxalz1nikiipmp7bxvz33rp,D. Gravenberch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451077325,6,1,1,0,11,xcevba75jfkrg4s6tl89zl3y,1,48.8,57,2022-08-26T18:01:39.878Z,2022-08-26T18:01:42Z,3732713809,140,35.0,3732713813,212,14.8,3732713807,56,Back,3732713811,141,52.3,3732713815,213,3.4,,,,,,,,,,11sxalz1nikiipmp7bxvz33rp,D. Gravenberch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
