id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,assist,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/12/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,keyPass,qualifier/16/id,qualifier/16/qualifierId
2486542051,1,34,16,0,0,xcevba75jfkrg4s6tl89zl3y,1,0,0,2022-11-18T19:12:17.190Z,2022-11-18T19:59:18Z,3920653477,194,440ry78r7c0ntspgph192c0r9,3920624793,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3920624791,30,"cf70r39m2wgbijtw0co5t6yfp, 8eribncmewk65x40tn7pvqymt, 3yq9brnhlfinrzrfbzcv99nmd, 440ry78r7c0ntspgph192c0r9, abgzge9xy445z8rdwa2mcapqt, 969cpy2geokwer9gjapk7zj3e, 5curv1gquatwkxsin86fghvkk, 7b4jmfu1ejoeci2zmvwuejnys, 11sxalz1nikiipmp7bxvz33rp, cglskkkycbja9rjybhui9hdrd, ds0hd4ezvb5rw6l95rhbxtq1g, 92mkw4rtoho0gkf3wr19c9iad, 62ft9dfhds3wn0dv650d4gkph, 78t5clx87mnpzn7c5ynoa37x1, 7flz5rsy2e31gbd8udiqg14gl, 3y7w3ngh3kby9mehxe5q7glpl, 85rm5s7x9di62hw3l31y5w8o9, 1chxk7d4i11x2f16igblexgyc, 96j7klvrblmkwsprx0wk81b10, g16sstb2lz1ru2hsba2ml6ju, vp0ugvtvnm7d72lyd3gsixhw, cipmd3k2nfv0ddic0l8go14gl, 7dj1tr37jtrr32cyw6r1dukus",3920624795,59,"1, 27, 28, 10, 22, 20, 14, 23, 9, 24, 33, 3, 4, 5, 6, 7, 8, 16, 18, 32, 34, 35, 45",3920624801,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3920653479,197,2124,3920624799,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3920624797,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486542091,1,34,16,0,0,b94pf87be9ojdgnrs5mst80un,1,0,0,2022-11-18T19:12:32.855Z,2022-11-18T20:00:41Z,3920653815,197,2844,3920625035,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3920625033,30,"2psxvq4l1g9fzgt00cfks96fp, 98wf7lrkbzi5f1l26hyxbph7u, 5517jd2zp30rsts1hwz6p71uc, cyquj9h6hjwbyp0b68b149qfo, zihddqvp0sjni8stcio8bgmh, 2rlckdzkm4d6dsqwutkvhm95h, 42lgdybjew0zrd18mmwwcpbhm, egmubn4rsudpbk05qfv2qlvit, 8im7pgnph2au11blma5pewe09, 48wvdjjo0z1j2bac42n9t5jv9, 1xblfsj8ec5jp17vnhibrk2jt, 3hax3hy9n2wyp1ovvhd6zdk6i, 2gfp8pe55n7oa0mcu5ygi54a, ewcd2lz99d7klo9sh24zt8nl6, 3mcj3wypzq3lno1ehc0vif1sl, 4ks7mvr9terrodhjx8pg9qtt6, 9rzd3uofuq9ck2n5ihs576z56, 1icurh5jrnw1e6jdgqxjnhdnu",3920625041,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3920625043,194,2psxvq4l1g9fzgt00cfks96fp,3920625037,59,"1, 15, 17, 6, 3, 4, 10, 22, 9, 8, 33, 5, 7, 14, 18, 21, 23, 30",3920625045,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3920625039,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486547505,2,32,1,0,0,xcevba75jfkrg4s6tl89zl3y,1,0,0,2022-11-18T20:01:36.508Z,2022-11-18T20:01:36Z,3920654479,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486547507,2,32,1,0,0,b94pf87be9ojdgnrs5mst80un,1,0,0,2022-11-18T20:01:36.508Z,2022-11-18T20:01:39Z,3920654485,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486547515,3,1,1,0,1,xcevba75jfkrg4s6tl89zl3y,1,50,50,2022-11-18T20:01:37.608Z,2022-11-18T20:10:31Z,3920654509,141,37.4,3920654511,212,19.8,3920654513,213,3.6,3920654515,279,S,3920654505,56,Back,3920654507,140,33.0,,,,,,,440ry78r7c0ntspgph192c0r9,S. de Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486547531,4,1,1,0,4,xcevba75jfkrg4s6tl89zl3y,0,35.7,38.9,2022-11-18T20:01:40.545Z,2022-11-18T20:02:32Z,3920654569,1,,3920654567,213,0.6,3920654561,140,74.5,3920654559,56,Left,3920654563,141,82.3,3920654565,212,50.3,3920654557,155,,,,,abgzge9xy445z8rdwa2mcapqt,Jeffry Fortes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486547539,3,44,1,0,7,b94pf87be9ojdgnrs5mst80un,1,24.8,15,2022-11-18T20:01:44.366Z,2022-11-18T20:10:39Z,3920654593,56,Back,3920654595,285,,3920654629,233,5,,,,,,,,,,,,,,,,98wf7lrkbzi5f1l26hyxbph7u,E. Terzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486547533,5,44,1,0,7,xcevba75jfkrg4s6tl89zl3y,0,75.2,85,2022-11-18T20:01:44.367Z,2022-11-18T20:02:32Z,3920654625,233,3,3920654573,56,Left,3920654575,286,,,,,,,,,,,,,,,,,ds0hd4ezvb5rw6l95rhbxtq1g,B. Önal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486547549,6,43,1,0,8,xcevba75jfkrg4s6tl89zl3y,1,0,0,2022-11-18T20:01:45.001Z,2022-11-18T20:02:30Z,3920654677,212,1.5,3920654675,141,83.5,3920654681,213,0.6,3920654673,140,75.7,3920654667,3,0,3920654671,56,Left,3920655675,144,1,3920654669,168,0,ds0hd4ezvb5rw6l95rhbxtq1g,B. Önal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486547547,4,8,1,0,8,b94pf87be9ojdgnrs5mst80un,1,24.2,12.2,2022-11-18T20:01:45.315Z,2022-11-18T20:02:39Z,3920655813,15,,3920654665,56,Back,,,,,,,,,,,,,,,,,,,98wf7lrkbzi5f1l26hyxbph7u,E. Terzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
