id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/12/value,assist,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value,qualifier/17/value
2529856869,1,34,16,0,0,zjawy6qdzk3y69v5pa3zl2cb,1,0,0,2023-04-07T17:07:50.723Z,2023-04-07T18:12:05Z,4170241825,59,"1, 25, 24, 6, 3, 4, 50, 21, 19, 10, 12, 8, 28, 5, 7, 9, 11, 16, 17, 18, 20, 27, 29",4170241815,30,"8l31bne12p5cp51o46h92zjrp, ajt9gf8zqsc3m6z4kof5m99ii, 5wg2ysvwk3q67osv2nnbav4yx, 61wt62anweh75oguqg0vbozu2, 476jyuzjm08o0d5g3t4nh1cyd, 1qqqigufis9zdf4mdqt6mgfl5, 3h8gqv4l0lrls9day28t1sw0k, m10ml783dkbr4i0fpb06cm3t, 7o8auo4uu5mzh7f4a44ucdf8q, 2pva2d9if0phol0efqnur68a2, a49duk4f5m5zmyvwht0ikal05, dhit8k74wcmlin09vs2nk8m7e, f5am20z0q4vgcu9434o9wy904, 46oot98163lb6atyes4j0mup5, 4j7mtyvi7jg9e4ontiyt9vwbu, c78t1bgro2lh7gvw8rwi6p239, 5t2yht2zjn4g7otqpaer3ia22, 88vryegnhss2q5xz8aoj2phey, blu3rrhzier5ivp5p9u78448a, 9jx0oun9o3zqncgu9axt2qxka, 53c63f5ekinmj6bquc3rbsbxm, da3d2iu2j4yb7q1ag063mu44q, adp5a6klr2nygqjmdd1ekc8kq",4170241837,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4170346797,197,4034,4170241829,130,6,4170241835,194,61wt62anweh75oguqg0vbozu2,4170241819,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4170241833,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529857161,1,34,16,0,0,6lzy9iiqoysvtdsgx719fng9n,1,0,0,2023-04-07T17:08:39.919Z,2023-04-07T19:53:16Z,4170243497,59,"1, 2, 5, 6, 3, 4, 10, 8, 9, 7, 11, 19, 18, 16, 15, 17, 12",4170243501,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",4170243499,130,4,4170243503,194,3z9bdfblis9tl3e1uo7e72h62,4170243495,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5",4170346259,197,17085,4170243505,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4170243493,30,"68hoounwudpjrr2wmovkyvswk, 7d8a2cp7xza48arxctlpqrvh0, 1x6fhuy49w4rpnyavwotbf504, 9pox9siobczxr9fv3fvvx3h1w, a7vlgirln231n3dqjhb72o0es, 3z9bdfblis9tl3e1uo7e72h62, 9nix5y8xcj34ps62r34udtqwa, b8ixf31bdyfqqcwoy4ulai73e, 31v89l4k38v1wpisz7xhkq38, baghnvel8qsn5k9s79jiyldnu, cx6fxszjvjam6zb3c3p0dd1jo, 370bp4zp3mxe27rtx3gwhcems, alfx6xxo38q6hmydbcr0rw67e, dlgqk5qe96gaxeq8vu4dozyms, cxu054j55uj2s3p34rqfthch6, a9gc0gd5320jvh6x3ct7vuvis, ed0pwegj0n6iwb6oa52obcsgk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529876421,2,32,1,0,0,6lzy9iiqoysvtdsgx719fng9n,1,0,0,2023-04-07T18:01:23.963Z,2023-04-07T18:01:24Z,4170350751,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529876429,2,32,1,0,0,zjawy6qdzk3y69v5pa3zl2cb,1,0,0,2023-04-07T18:01:23.963Z,2023-04-07T18:01:27Z,4170350785,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529876435,3,1,1,0,0,zjawy6qdzk3y69v5pa3zl2cb,1,50.4,49.9,2023-04-07T18:01:24.221Z,2023-04-07T19:03:45Z,4170350817,213,2.6,4170350815,212,15.7,4170350809,56,Back,4170350811,140,37.7,4170350813,141,62.0,4170350819,279,S,,,,,,,a49duk4f5m5zmyvwht0ikal05,T. Overtoom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529876491,4,1,1,0,3,zjawy6qdzk3y69v5pa3zl2cb,1,29.8,58.5,2023-04-07T18:01:27.734Z,2023-04-07T19:03:43Z,4170351131,213,5.9,4170351123,56,Center,4170351125,140,83.7,4170351133,1,,4170351129,212,61.3,4170351127,141,23.7,4170351121,155,,,,,1qqqigufis9zdf4mdqt6mgfl5,Ö. Aktaş,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529876501,5,44,1,0,7,zjawy6qdzk3y69v5pa3zl2cb,1,82.2,27,2023-04-07T18:01:31.224Z,2023-04-07T18:01:34Z,4170351187,233,3,4170351171,56,Center,4170351173,286,,,,,,,,,,,,,,,,,7o8auo4uu5mzh7f4a44ucdf8q,D. Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529876471,3,44,1,0,7,6lzy9iiqoysvtdsgx719fng9n,0,17.8,73,2023-04-07T18:01:31.225Z,2023-04-07T18:01:34Z,4170351007,56,Back,4170351205,233,5,4170351009,285,,,,,,,,,,,,,,,,,9pox9siobczxr9fv3fvvx3h1w,S. Vos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529876551,6,1,1,0,7,zjawy6qdzk3y69v5pa3zl2cb,1,83.7,23.7,2023-04-07T18:01:31.845Z,2023-04-07T19:03:37Z,4170351395,168,,4170351393,3,,4170351401,141,19.5,4170351397,56,Right,4170351403,212,12.4,4170351405,213,6.1,4170351399,140,95.2,,,,7o8auo4uu5mzh7f4a44ucdf8q,D. Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529876575,7,1,1,0,8,zjawy6qdzk3y69v5pa3zl2cb,0,97.4,20,2023-04-07T18:01:32.157Z,2023-04-07T18:27:36Z,4170351521,212,1.9,4170469339,236,,4170351519,141,22.8,4170351517,140,97.0,4170469345,286,,4170351523,213,1.8,4170351515,56,Center,4170469341,233,4,2pva2d9if0phol0efqnur68a2,C. Giousis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
