id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,keyPass,qualifier/10/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/8/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2468415191,1,34,16,0,0,6lzy9iiqoysvtdsgx719fng9n,1,0,0,2022-10-07T17:19:51.010Z,2022-10-07T18:00:59Z,3824982197,59,"1, 2, 5, 10, 3, 4, 6, 8, 9, 7, 11, 17, 19, 16, 15, 20, 18, 12",3824985541,194,b8ixf31bdyfqqcwoy4ulai73e,3824982195,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3824982203,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3825089069,197,2828,3824982199,130,4,3824982201,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3824982193,30,"68hoounwudpjrr2wmovkyvswk, 9pox9siobczxr9fv3fvvx3h1w, 47l204bkq2qqjhtazusr0019m, 9nix5y8xcj34ps62r34udtqwa, a7vlgirln231n3dqjhb72o0es, 4gso82x236c4xe0eovfr50sfd, 2zkaf848fjcdhuii8783pkm7e, b8ixf31bdyfqqcwoy4ulai73e, 80i3boeh7f1ghu4ka7r66izje, 31v89l4k38v1wpisz7xhkq38, dlgqk5qe96gaxeq8vu4dozyms, cxu054j55uj2s3p34rqfthch6, 6m0pdqqontm1tfxayxku0kv3e, 5hkkwzs8wgjj94vfe922nvthw, 7d8a2cp7xza48arxctlpqrvh0, 13k94iyejsdn4e51jx32rb23u, baghnvel8qsn5k9s79jiyldnu, ed0pwegj0n6iwb6oa52obcsgk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468415687,1,34,16,0,0,b94pf87be9ojdgnrs5mst80un,1,0,0,2022-10-07T17:20:47.527Z,2022-10-07T18:18:18Z,3824984839,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3824984837,130,4,3825105359,197,17171,3824984831,30,"2psxvq4l1g9fzgt00cfks96fp, 2pzdedlktluxyj6sq2cd19e51, 5517jd2zp30rsts1hwz6p71uc, 11ngumxajbizagbzpm5kompxx, zihddqvp0sjni8stcio8bgmh, 8hjakiipmhtwr07v6h0d414gl, 42lgdybjew0zrd18mmwwcpbhm, egmubn4rsudpbk05qfv2qlvit, 8im7pgnph2au11blma5pewe09, 6qjbfua7nynaxrs5t8tygedp1, 63ox7kqo9rl36cvk4joqh9soa, 2rlckdzkm4d6dsqwutkvhm95h, 3hax3hy9n2wyp1ovvhd6zdk6i, 48wvdjjo0z1j2bac42n9t5jv9, ewcd2lz99d7klo9sh24zt8nl6, 98wf7lrkbzi5f1l26hyxbph7u, 4ks7mvr9terrodhjx8pg9qtt6, 9rzd3uofuq9ck2n5ihs576z56, eaaxvzqox27ea3u2j9d6gcd90, 1icurh5jrnw1e6jdgqxjnhdnu, 1xblfsj8ec5jp17vnhibrk2jt",3824984835,59,"1, 2, 17, 29, 3, 20, 10, 22, 9, 11, 25, 4, 5, 8, 14, 15, 21, 23, 27, 30, 33",3824984843,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3824985381,194,2psxvq4l1g9fzgt00cfks96fp,3824984833,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468436213,2,32,1,0,0,6lzy9iiqoysvtdsgx719fng9n,1,0,0,2022-10-07T18:02:48.537Z,2022-10-07T18:04:12Z,3825094453,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468436469,2,32,1,0,0,b94pf87be9ojdgnrs5mst80un,1,0,0,2022-10-07T18:02:48.537Z,2022-10-07T18:04:13Z,3825095871,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468436707,5,43,1,0,0,6lzy9iiqoysvtdsgx719fng9n,1,0,0,2022-10-07T18:02:48.537Z,2022-10-07T19:04:46Z,3825368211,144,61,3825097075,56,Back,,,,,,,,,,,,,,,,,,,31v89l4k38v1wpisz7xhkq38,J. Banel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468436505,3,1,1,0,0,b94pf87be9ojdgnrs5mst80un,1,50.1,49.9,2022-10-07T18:02:48.637Z,2022-10-07T19:04:56Z,3825096039,56,Back,3825096043,141,42.3,3825096049,279,S,3825096041,140,34.8,3825096045,212,16.9,3825096047,213,3.5,,,,,,,8im7pgnph2au11blma5pewe09,M. Kaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468436577,4,1,1,0,4,b94pf87be9ojdgnrs5mst80un,0,30.5,24.2,2022-10-07T18:02:53.232Z,2022-10-07T19:05:04Z,3825096401,141,87.6,3825096405,213,0.8,3825096407,1,,3825096399,140,73.6,3825096389,157,,3825096393,56,Left,3825096403,212,62.5,,,,zihddqvp0sjni8stcio8bgmh,F. Van Den Eynden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468436613,3,44,1,0,9,6lzy9iiqoysvtdsgx719fng9n,1,32.5,17.6,2022-10-07T18:02:58.123Z,2022-10-07T18:04:30Z,3825096557,285,,3825096555,56,Back,3825096759,233,5,,,,,,,,,,,,,,,,9pox9siobczxr9fv3fvvx3h1w,S. Vos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468436619,5,44,1,0,9,b94pf87be9ojdgnrs5mst80un,0,67.5,82.4,2022-10-07T18:02:58.124Z,2022-10-07T18:04:43Z,3825096587,56,Left,3825096589,286,,3825096795,233,3,,,,,,,,,,,,,,,,42lgdybjew0zrd18mmwwcpbhm,A. Van Keilegom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468436631,4,1,1,0,9,6lzy9iiqoysvtdsgx719fng9n,0,28.7,17.5,2022-10-07T18:02:58.248Z,2022-10-07T18:52:35Z,3825096653,140,25.7,3825096657,141,8.5,3825096651,56,Back,3825096661,212,6.9,3825096663,213,4.2,3825096649,3,,,,,,,,9pox9siobczxr9fv3fvvx3h1w,S. Vos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
