id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/9/value,qualifier/14/value,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,assist
2442191197,1,34,16,0,0,b94pf87be9ojdgnrs5mst80un,1,0,0,2022-08-05T17:25:29.636Z,2022-08-05T20:25:00Z,3685528815,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3685528803,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3685528809,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3685587361,197,11954,3685528807,130,4,3685528805,59,"1, 2, 17, 23, 3, 4, 7, 6, 19, 9, 11, 5, 10, 8, 16, 21, 22, 25, 33, 44",3685528801,30,"2psxvq4l1g9fzgt00cfks96fp, 2pzdedlktluxyj6sq2cd19e51, 5517jd2zp30rsts1hwz6p71uc, egmubn4rsudpbk05qfv2qlvit, zihddqvp0sjni8stcio8bgmh, 2rlckdzkm4d6dsqwutkvhm95h, 2gfp8pe55n7oa0mcu5ygi54a, cyquj9h6hjwbyp0b68b149qfo, 45rrtsz9hmxxqasj8jgi3g0oa, 8im7pgnph2au11blma5pewe09, 6qjbfua7nynaxrs5t8tygedp1, 3hax3hy9n2wyp1ovvhd6zdk6i, 42lgdybjew0zrd18mmwwcpbhm, ewcd2lz99d7klo9sh24zt8nl6, 98wf7lrkbzi5f1l26hyxbph7u, 4ks7mvr9terrodhjx8pg9qtt6, 9rzd3uofuq9ck2n5ihs576z56, 63ox7kqo9rl36cvk4joqh9soa, 1xblfsj8ec5jp17vnhibrk2jt, etpc8k38ycdxrq9pox7w6az2s",3685528811,194,2rlckdzkm4d6dsqwutkvhm95h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442192981,1,34,16,0,0,59t7flioj4w4mpwnrwbm0m8ck,1,0,0,2022-08-05T17:32:32.703Z,2022-08-05T18:16:10Z,3685586909,197,490,3685538639,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3685538641,59,"1, 2, 5, 6, 3, 24, 11, 18, 19, 10, 8, 14, 21, 29, 37, 17, 23, 25, 26, 30",3685538637,30,"8jml2tgzk1am30cy4gkgx0wd1, bdb33nwcpd2jufn9ggtl7gvzd, 1falkoydwxoiazskcoalwll62, 89plvrt8pzppcclh4axvii0ru, d5g7rl9a83vu3cyyzvu5yveqy, 4mhahoh3a6rir882ug9hdb5nu, ekur9x1kzp8wq0lwfwev0b0bu, 3xza88l7s8dlki9kleqwz2puy, emaf4mjxn2255qlcn1pcxn36x, 6nd0ifv6ljza9nauxcpejqzft, 4j9ug0ng9dhx6xwhdwx6fafx0, 41es2x265ddlzqjqa6wb9vey2, 4shkxwb3ujuajna3gdg34cxjp, f07j2ge60cbdp3bcys4cx18iy, 35aq5jmkry8lty15lgctgfpey, 5v3sd56kh9pmvzk6wczhs9o4q, 9urh0cy0a8ni61fuxmiqosnis, 7oo6h3pq8wv5rgp1dkaolrhg4, ea51n4frv2z8lr3snexhv2ay, cap6z5n4bgg1g81f4aoemnu38",3685538647,194,89plvrt8pzppcclh4axvii0ru,3685538645,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3685538649,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3685538643,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442202633,2,32,1,0,0,b94pf87be9ojdgnrs5mst80un,1,0,0,2022-08-05T18:00:41.405Z,2022-08-05T18:00:41Z,3685589629,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442202655,2,32,1,0,0,59t7flioj4w4mpwnrwbm0m8ck,1,0,0,2022-08-05T18:00:41.405Z,2022-08-05T18:00:45Z,3685589721,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442202657,3,1,1,0,0,b94pf87be9ojdgnrs5mst80un,1,50,50,2022-08-05T18:00:41.505Z,2022-08-05T18:01:27Z,3685589731,212,29.4,3685589735,279,S,3685589727,140,24.8,3685589725,56,Back,3685589729,141,68.7,3685589733,213,2.7,,,,,,,8im7pgnph2au11blma5pewe09,M. Kaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442202679,4,1,1,0,4,b94pf87be9ojdgnrs5mst80un,1,24.9,68,2022-08-05T18:00:45.850Z,2022-08-05T18:00:50Z,3685589823,140,37.7,3685589829,213,0.9,3685589825,141,95.4,3685589827,212,23.0,3685589821,56,Back,,,,,,,,,,2rlckdzkm4d6dsqwutkvhm95h,R. van der Meer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442202685,5,1,1,0,8,b94pf87be9ojdgnrs5mst80un,1,37.8,94.8,2022-08-05T18:00:49.898Z,2022-08-05T18:00:51Z,3685589855,141,77.7,3685589857,212,36.8,3685589851,56,Center,3685589861,1,,3685589859,213,6.0,3685589853,140,71.1,,,,,,,5517jd2zp30rsts1hwz6p71uc,B. Van Hove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442202689,6,61,1,0,10,b94pf87be9ojdgnrs5mst80un,1,71.2,78.3,2022-08-05T18:00:51.416Z,2022-08-05T18:00:51Z,3685589885,56,Center,,,,,,,,,,,,,,,,,,,,,,45rrtsz9hmxxqasj8jgi3g0oa,J. Goselink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442202703,7,1,1,0,11,b94pf87be9ojdgnrs5mst80un,0,67.2,81.5,2022-08-05T18:00:52.522Z,2022-08-05T18:00:53Z,3685589963,1,,3685589959,212,33.0,3685589953,56,Center,3685589961,213,5.1,3685589951,157,,3685589957,141,37.3,3685589955,140,80.2,,,,egmubn4rsudpbk05qfv2qlvit,E. Lieftink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442202711,3,1,1,0,13,59t7flioj4w4mpwnrwbm0m8ck,0,21,68.7,2022-08-05T18:00:54.509Z,2022-08-05T18:00:55Z,3685590007,140,32.9,3685590011,141,75.7,3685590005,56,Back,3685590019,213,0.4,3685590003,3,,3685590015,212,13.4,,,,,,,d5g7rl9a83vu3cyyzvu5yveqy,A. MacNulty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
