id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,keyPass,qualifier/8/value,qualifier/9/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2536646639,1,34,16,0,0,dvmw7d6jb38qvv7e6ziwu0vyr,1,0,0,2023-04-21T17:11:59.569Z,2023-04-21T18:25:28Z,4206303763,30,"3oduk9niyqml47z7wramkxhw5, 97p6b1r72br3soq4k7fpjnrl6, bnkzwpd607re6s01oa77wcodm, 7hsyytjjg6zw5knvav9xybbh1, eu901b75l2ly5p48jdw6kwmad, 1r67co8q0ktlqe5209xm6sxec, 3j368501ogr8mt2jdb7mby8h6, b0yxbu9af1b0jc1odpwzvd7je, c3j7ddqg0yzporam6gieibgiy, ar47jfq139xyic4pvdhefduga, e0mrzdikm67yw88563zgovb6y, d4z4gdds9hajylsy2hh5b78q, ak5exy1iztbo0mqloqdwiag6i, db32f79l8p19q2g45g885t7xm, csqt518tes7ct8ht2yryes9g5, 2v12tmspdosmwic2h6itfz0x6, dej8tywq0npvbm25sfgtqur1m, 8o2hk1hy097osczjijmq4bsh5, 5f8ajd8cgyvmmdzr0lzi1gtii, bitv8dp51g02iyf6o3elxnoix, coxuin3vr6nkynlvcsvzphjl6, 3v2grfhuisr456ibcvqjfx4yy, 6plxmzzrxmkhogrob8fdeunkl",4206303765,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4206303773,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4206306233,194,eu901b75l2ly5p48jdw6kwmad,4206303769,130,12,4206422133,197,2671,4206303771,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4206303767,59,"1, 99, 7, 33, 3, 27, 8, 14, 25, 10, 17, 2, 5, 9, 11, 12, 20, 23, 22, 28, 32, 45, 77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536648027,1,34,16,0,0,59t7flioj4w4mpwnrwbm0m8ck,1,0,0,2023-04-21T17:15:27.622Z,2023-04-21T18:07:30Z,4206310975,59,"1, 2, 31, 3, 16, 15, 26, 28, 20, 9, 32, 5, 8, 10, 18, 19, 23, 24, 36, 39",4206310983,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4206421373,197,490,4206310973,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4206310981,194,5fcaaack3wbn6nfdx1qoqoafp,4206310977,130,12,4206310971,30,"8jml2tgzk1am30cy4gkgx0wd1, bdb33nwcpd2jufn9ggtl7gvzd, 1olyaqfnnl0sb4vsfxyi7j2z9, d5g7rl9a83vu3cyyzvu5yveqy, 5gunbyh0bjzutryox97ihxot1, 5fcaaack3wbn6nfdx1qoqoafp, cjff8fu812lennnunqljgddnu, c066582sb3qfs7c0472rw371m, rxblyjf8pcsdgdvy24zgnefp, 2an4s7uuqa9a6sl7vutznc7o5, 4nkd85hpwiiqtieuslhcrc2ga, 1falkoydwxoiazskcoalwll62, 4j9ug0ng9dhx6xwhdwx6fafx0, 6nd0ifv6ljza9nauxcpejqzft, 3xza88l7s8dlki9kleqwz2puy, emaf4mjxn2255qlcn1pcxn36x, 9urh0cy0a8ni61fuxmiqosnis, 4mhahoh3a6rir882ug9hdb5nu, 8gkh6rsfo2tsrsiirv05bm1yi, cgsirikez39wlx8lhu1uo00yd",4206310979,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536669983,2,32,1,0,0,dvmw7d6jb38qvv7e6ziwu0vyr,1,0,0,2023-04-21T18:03:31.502Z,2023-04-21T18:03:33Z,4206430255,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536669975,2,32,1,0,0,59t7flioj4w4mpwnrwbm0m8ck,1,0,0,2023-04-21T18:03:31.502Z,2023-04-21T18:03:31Z,4206430229,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536670027,3,1,1,0,0,dvmw7d6jb38qvv7e6ziwu0vyr,1,49.4,50.9,2023-04-21T18:03:31.602Z,2023-04-21T18:03:35Z,4206430477,140,37.1,4206430481,212,12.9,4206430475,56,Back,4206430483,213,3.1,4206430485,279,S,4206430479,141,51.3,,,,,,,e0mrzdikm67yw88563zgovb6y,B. De Keersmaecker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536670067,4,1,1,0,3,dvmw7d6jb38qvv7e6ziwu0vyr,1,37.1,51.3,2023-04-21T18:03:34.994Z,2023-04-21T18:03:37Z,4206430673,213,4.1,4206430667,141,21.6,4206430665,140,24.6,4206430671,212,24.1,4206430663,56,Back,,,,,,,,,,ar47jfq139xyic4pvdhefduga,N. Bannis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536670105,5,1,1,0,6,dvmw7d6jb38qvv7e6ziwu0vyr,1,24.6,21.6,2023-04-21T18:03:37.602Z,2023-04-21T18:03:41Z,4206430883,140,22.1,4206430881,56,Back,4206430889,213,1.7,4206430887,212,20.1,4206430885,141,50.9,,,,,,,,,,1r67co8q0ktlqe5209xm6sxec,D. Dorenbosch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536670145,6,1,1,0,9,dvmw7d6jb38qvv7e6ziwu0vyr,1,29.6,58.2,2023-04-21T18:03:40.960Z,2023-04-21T18:03:44Z,4206431099,140,46.9,4206431097,56,Back,4206431103,141,95.6,4206431107,212,31.3,4206431111,213,1.0,,,,,,,,,,eu901b75l2ly5p48jdw6kwmad,M. Amevor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536670193,7,1,1,0,12,dvmw7d6jb38qvv7e6ziwu0vyr,1,45.1,94.8,2023-04-21T18:03:44.131Z,2023-04-21T18:03:47Z,4206431365,213,3.2,4206431353,56,Back,4206431355,140,27.1,4206431361,212,18.9,4206431357,141,93.5,,,,,,,,,,bnkzwpd607re6s01oa77wcodm,J. Dahlhaus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536670257,8,1,1,0,15,dvmw7d6jb38qvv7e6ziwu0vyr,1,24.8,89.4,2023-04-21T18:03:47.339Z,2023-04-21T18:03:52Z,4206431715,213,4.5,4206431707,140,18.1,4206431711,141,48.2,4206431703,56,Back,4206431713,212,28.9,,,,,,,,,,7hsyytjjg6zw5knvav9xybbh1,C. Seedorf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
