id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/11/value,qualifier/14/value,qualifier/15/value,assist
2538821173,1,34,16,0,0,2xlnfgrl6r18ftv38unwp7h4s,1,0,0,2023-04-24T17:00:11.589Z,2023-04-24T17:58:31Z,4218053387,197,2830,4217919203,194,cla6c6izphee9prb80c15baei,4217919205,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4217919201,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4217919199,130,7,4217919197,59,"1, 2, 5, 6, 3, 4, 7, 8, 9, 10, 11, 17, 21, 22, 14, 23, 18, 16, 15, 26, 20, 19",4217919193,30,"1otm71j1169bt3ivgo2vlj2tw, d9ewnngnsfc0s4hcs282hayhg, 9yvaqepplk8s4cjqjbtyb24gk, cla6c6izphee9prb80c15baei, e1islmeew98wa2ge0dicloay2, 7b0vbfxlv3uiozb19fcj2vsyy, 7uwe0kxpzg271d8ocms7l2kno, 8npu0cbqjrhwv5km1w29kh016, 2x8ywg6gxd17rqfo5a3iharfu, d785q9rpqlyuyswv8f9fx4cno, 1jr23fmrmezgiaq7k63pro07o, 5ayglez8yxtfprrfmvlgl7dp0, pxaq5i4ce7ccg0x04msi0b8, 2x0hbry9gpcq5cbujdee5u904, wlltloe6hbe8hin3hix0366s, vrkanoideipif70wo4adb5lg, ch4mwwdzqiksjm5kfda3f3klw, 4u12cln8rmtkwlu5q36ypjl2i, 8mkrj5bnkyhx8kutc4656cy96, cvbasfoccmz0tijnkxyf57n8q, eukc9fng5jfasmr9i814nq8t0, 3bepi58wwope38a478y7jwlxw",4217919195,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538821517,1,34,16,0,0,bqm1bnp1bh2apyudlz1o1whr3,1,0,0,2023-04-24T17:01:53.978Z,2023-04-24T18:12:39Z,4217921017,194,7d9x6ojih9obktxl3fnrjskk4,4217921015,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4217921013,130,8,4217921007,30,"rgspixypiwxuenf1yaukrrop, 3y42dpjrp17dr2gzktbrmudbd, eke044f5xni8gdztggk6x4a1h, 6clycir6laxvycsr4yjh9iwa1, axbyqn4r430cilb6lbnzpbuvo, 7d9x6ojih9obktxl3fnrjskk4, 2kdavfzjymb8uhgjj3c97e2uh, 88m6s6m8ep0p3fropim4ttcoa, 2072f0p9ful9u577gdvo89yw9, 2gwigr63tgo2jw460msz2qgwk, avv12sgcucblnbfb790xovf8, 2qauglcsvubya2tlxn44fx46i, eog43l8hrs7pbza9bmwu0p2sq, 90rgtmdx8g43vz2pvp0hxotwq, 3usiruyhxf6p9lkiz5qeytze2, er8v2eo4vlak5ftjetqhinfv8, e4k6t8tld877pq2s0e1vo5p4a, 1dljhkcvmodqq9u1w8iv145m2, 54bf7p613bf3n0gefid4tt0r8, 1b409f4dv852le376vbcjdmhg, 966zp0zv6513cnn3q2t6xvtyi, 50ecz4x9j0zfudh34l7f2ecr8, bk7742h8fac9g6e6wh7nnugkq",4217921019,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4217921009,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4217921011,59,"12, 6, 21, 11, 2, 4, 7, 31, 10, 16, 14, 27, 1, 3, 9, 15, 17, 22, 23, 24, 28, 30, 32",4218053411,197,8970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538845431,2,32,1,0,0,2xlnfgrl6r18ftv38unwp7h4s,1,0,0,2023-04-24T18:00:18.699Z,2023-04-24T18:00:21Z,4218055345,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538845427,2,32,1,0,0,bqm1bnp1bh2apyudlz1o1whr3,1,0,0,2023-04-24T18:00:18.699Z,2023-04-24T18:00:18Z,4218055331,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538845437,3,1,1,0,0,2xlnfgrl6r18ftv38unwp7h4s,1,50.1,50,2023-04-24T18:00:18.799Z,2023-04-24T18:02:14Z,4218055423,141,57.5,4218055425,212,22.2,4218055419,56,Back,4218055427,213,2.9,4218055429,279,S,4218055421,140,29.5,,,,,,,d785q9rpqlyuyswv8f9fx4cno,M. Nassoh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538845457,4,1,1,0,5,2xlnfgrl6r18ftv38unwp7h4s,1,28.8,58.4,2023-04-24T18:00:24.164Z,2023-04-24T18:00:26Z,4218055509,140,24.6,4218055513,212,18.7,4218055515,213,4.5,4218055507,56,Back,4218055511,141,31.6,,,,,,,,,,7b0vbfxlv3uiozb19fcj2vsyy,F. Leysen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538845469,5,1,1,0,8,2xlnfgrl6r18ftv38unwp7h4s,1,24.6,31,2023-04-24T18:00:26.709Z,2023-04-24T18:00:28Z,4218055577,212,21.3,4218055573,140,6.8,4218055575,141,46.1,4218055571,56,Back,4218055579,213,2.6,,,,,,,,,,e1islmeew98wa2ge0dicloay2,J. Seelt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538845493,6,1,1,0,9,2xlnfgrl6r18ftv38unwp7h4s,1,6.8,46.1,2023-04-24T18:00:27.972Z,2023-04-24T18:00:31Z,4218055691,141,10.0,4218055689,140,54.4,4218055695,213,5.8,4218055697,1,,4218055693,212,55.7,4218055685,157,,4218055687,56,Right,,,,1otm71j1169bt3ivgo2vlj2tw,K. Peersman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538845495,7,44,1,0,12,2xlnfgrl6r18ftv38unwp7h4s,1,58.8,11.6,2023-04-24T18:00:31.685Z,2023-04-24T18:00:32Z,4218055701,56,Right,4218055703,286,,4218055713,233,3,,,,,,,,,,,,,,,,7uwe0kxpzg271d8ocms7l2kno,J. van Duiven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538845497,3,44,1,0,12,bqm1bnp1bh2apyudlz1o1whr3,0,41.2,88.4,2023-04-24T18:00:31.686Z,2023-04-24T18:00:33Z,4218055753,233,7,4218055705,56,Back,4218055707,285,,,,,,,,,,,,,,,,,eke044f5xni8gdztggk6x4a1h,L. Labylle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
