id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,assist,qualifier/8/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/13/value,qualifier/16/value
2540192709,1,34,16,0,0,dac758ef858jbq7pcb3gfwite,1,0,0,2023-04-28T17:08:55.090Z,2023-04-28T17:57:36Z,4232320683,197,486,4232184693,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4232198931,194,ip62fljz9ng6sil4krcq8dm1,4232184685,130,4,4232184683,59,"1, 5, 12, 17, 4, 21, 15, 7, 33, 10, 29, 6, 8, 18, 19, 22, 23, 24, 26, 28, 30, 32, 39",4232184689,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4232184679,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4232184675,30,"dmsmbn9a1qucwf100o3v77nbp, 4dk7h575fifmw2lhslevhmhux, e8si4ph9te020gpicg3k2k3u2, f2snk84xy67ergwrwoblgt2ad, akfbttkeqfd8pzhe93ra674kp, ip62fljz9ng6sil4krcq8dm1, sbxnlkg50itbqkpuh8wnwk45, 8loz5cz4zynb8plfusi3ewd79, azt0ll196snbxy38eqw7mtln9, bzf3k4wvqvx1tl1mx960wjv85, 6p6sdikmka45csxfw0i0q0l3p, afdwdm1rkz1ir3c0tukfh3jhm, bmbzc4jvazdiuddsbnceyauei, arrbpgnwbguhyumc8c1u4jsut, armxucjqaulvwfxyufovg3je1, 5r73kuy4vdv1epvmzrhb6nskq, 1jeb7li66vn913oub7t7l7x79, 1rm3t48auz1wqya7tanmjyjje, we5jzu2ad4z3wxaerwe6sdex, awokzor2tv5ro47ea34at1gx5, g2e3oq7zuglwqsf7vqcs055g, 80dk8iv6p0202z10qcqy8bfca, 49zitlyt01houmqy6hk04x36y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540198359,1,34,16,0,0,2xlnfgrl6r18ftv38unwp7h4s,1,0,0,2023-04-28T17:17:54.963Z,2023-04-28T17:57:38Z,4232215969,30,"4u12cln8rmtkwlu5q36ypjl2i, d9ewnngnsfc0s4hcs282hayhg, 8mkrj5bnkyhx8kutc4656cy96, cla6c6izphee9prb80c15baei, e1islmeew98wa2ge0dicloay2, 7b0vbfxlv3uiozb19fcj2vsyy, 3bepi58wwope38a478y7jwlxw, 8npu0cbqjrhwv5km1w29kh016, 7uwe0kxpzg271d8ocms7l2kno, d785q9rpqlyuyswv8f9fx4cno, 1jr23fmrmezgiaq7k63pro07o, 5ayglez8yxtfprrfmvlgl7dp0, 9yvaqepplk8s4cjqjbtyb24gk, wlltloe6hbe8hin3hix0366s, 47yvsnwrehtn4mwsjcqk4ewyy, vrkanoideipif70wo4adb5lg, ch4mwwdzqiksjm5kfda3f3klw, eola3wwbcxl6yeigrj16a3otm, 8tukt8jsmzkblxxs5w85x4dii, eukc9fng5jfasmr9i814nq8t0",4232215981,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4232215971,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4232215977,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4232320721,197,2830,4232215975,130,7,4232215973,59,"1, 2, 5, 6, 3, 4, 7, 8, 9, 10, 11, 17, 15, 14, 22, 16, 18, 23, 21, 20",4232215979,194,cla6c6izphee9prb80c15baei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540220579,2,32,1,0,0,2xlnfgrl6r18ftv38unwp7h4s,1,0,0,2023-04-28T18:01:55.257Z,2023-04-28T18:01:57Z,4232330137,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540220575,2,32,1,0,0,dac758ef858jbq7pcb3gfwite,1,0,0,2023-04-28T18:01:55.257Z,2023-04-28T18:01:55Z,4232330111,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540220625,3,1,1,0,0,dac758ef858jbq7pcb3gfwite,1,49.9,49.9,2023-04-28T18:01:55.357Z,2023-04-28T18:01:59Z,4232330321,212,28.2,4232330323,213,3.0,4232330317,140,23.2,4232330327,279,S,4232330315,56,Back,4232330319,141,54.5,,,,,,,f2snk84xy67ergwrwoblgt2ad,T. Bruns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540220685,4,1,1,0,4,dac758ef858jbq7pcb3gfwite,1,25.1,52.8,2023-04-28T18:01:59.588Z,2023-04-28T18:02:05Z,4232330627,213,4.8,4232330619,56,Back,4232330625,212,19.4,4232330623,141,24.5,4232330621,140,27.2,,,,,,,,,,ip62fljz9ng6sil4krcq8dm1,J. Hoogma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540220769,5,1,1,0,10,dac758ef858jbq7pcb3gfwite,1,35.2,25.7,2023-04-28T18:02:05.452Z,2023-04-28T18:02:11Z,4232331067,212,54.7,4232331071,1,,4232331065,141,88.5,4232331063,140,67.7,4232331069,213,0.9,4232331059,196,,4232331057,155,,4232331061,56,Left,akfbttkeqfd8pzhe93ra674kp,S. Sonnenberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540220805,6,1,1,0,16,dac758ef858jbq7pcb3gfwite,0,76.9,82.1,2023-04-28T18:02:11.836Z,2023-04-28T18:02:14Z,4232331221,213,5.2,4232331211,155,,4232331217,141,44.6,4232331213,56,Center,4232331219,212,29.5,4232331209,2,,4232331215,140,91.0,,,,6p6sdikmka45csxfw0i0q0l3p,E. Hansson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540220837,3,12,1,0,19,2xlnfgrl6r18ftv38unwp7h4s,1,6.3,59.4,2023-04-28T18:02:14.884Z,2023-04-28T18:02:16Z,4232331365,56,Back,4232331369,141,71.5,4232331407,15,,4232331367,140,12.2,4232331373,213,0.9,4232331371,212,10.3,,,,,,,8mkrj5bnkyhx8kutc4656cy96,M. Jiménez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540220929,7,1,1,0,25,dac758ef858jbq7pcb3gfwite,1,83.7,8.5,2023-04-28T18:02:20.739Z,2023-04-28T18:04:37Z,4232331813,56,Right,4232331819,212,17.7,4232331815,140,67.8,4232331817,141,17.2,4232331821,213,2.8,,,,,,,,,,8loz5cz4zynb8plfusi3ewd79,I. Azzaoui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
