id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/15/value,qualifier/14/value
2468415235,1,34,16,0,0,1wyg1tunyt7go9tnjea1hjqxb,1,0,0,2022-10-07T17:19:56.633Z,2022-10-07T18:00:04Z,3824982459,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3824982461,194,b7owk879trwk2tu8ud574xq3u,3824982453,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3824982455,59,"1, 2, 5, 6, 3, 4, 7, 8, 9, 10, 11, 19, 16, 21, 17, 20, 18, 14, 15, 12",3824982457,130,8,3825087175,197,8653,3824982463,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3824982451,30,"b7owk879trwk2tu8ud574xq3u, 30uqa3kfm23ickjssfhmwgdm1, 4nchc9z4464uhu3vveo0p73f8, 3dx91sb6ktg8z1xmoti25kru, 9lixevzo8exxiia17altfw8ic, 7s2zxbtepa7dgr8yl0s48afpw, 19wuvqpmewphgvsfzi4yjl756, d29ahwtvs7ls75wdtkf7xr8tm, 51f3vubki4or5vaft5tromn3e, 9v7zwguzazofzafwg3qevdo4q, a3pwwwba6td400zwqjpbf6pnu, ab17bik4y8ilv3ahe50a81ixg, 7ug3a0z74dj7qlq4jbtn1kutw, cdlnfuy9piyga0wud4nrucvtg, 280wxf8wp6bjwgjwt9fy03nmy, cs49ec8y6cubrlo5nmu3j3jtg, cwu5itv65s8p6zsalk3np4ic, b1h2eiqxic31ioxbs1zjd709g, b4vrfh7z9qt9e5gdpkajrqolw, b8k8uynw043b6q9xm0lfzszmy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468416815,1,34,16,0,0,59t7flioj4w4mpwnrwbm0m8ck,1,0,0,2022-10-07T17:23:36.621Z,2022-10-07T18:02:17Z,3824991225,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",3824991223,30,"8jml2tgzk1am30cy4gkgx0wd1, bdb33nwcpd2jufn9ggtl7gvzd, 1falkoydwxoiazskcoalwll62, 89plvrt8pzppcclh4axvii0ru, 9urh0cy0a8ni61fuxmiqosnis, 4mhahoh3a6rir882ug9hdb5nu, ekur9x1kzp8wq0lwfwev0b0bu, 5gunbyh0bjzutryox97ihxot1, 2an4s7uuqa9a6sl7vutznc7o5, 4j9ug0ng9dhx6xwhdwx6fafx0, 6nd0ifv6ljza9nauxcpejqzft, 41es2x265ddlzqjqa6wb9vey2, 5v3sd56kh9pmvzk6wczhs9o4q, emaf4mjxn2255qlcn1pcxn36x, cg6es3riwivh8kbgtmi72q0ut, 7oo6h3pq8wv5rgp1dkaolrhg4, ea51n4frv2z8lr3snexhv2ay, f07j2ge60cbdp3bcys4cx18iy, 8gkh6rsfo2tsrsiirv05bm1yi",3824991235,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3824991233,194,89plvrt8pzppcclh4axvii0ru,3824991229,130,8,3825092741,197,17170,3824991231,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3824991227,59,"1, 2, 5, 6, 23, 24, 11, 16, 9, 8, 10, 14, 17, 19, 22, 25, 26, 29, 36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468436455,2,32,1,0,0,59t7flioj4w4mpwnrwbm0m8ck,1,0,0,2022-10-07T18:03:08.496Z,2022-10-07T18:03:14Z,3825095797,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468436445,2,32,1,0,0,1wyg1tunyt7go9tnjea1hjqxb,1,0,0,2022-10-07T18:03:08.496Z,2022-10-07T18:03:08Z,3825095779,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468436513,3,1,1,0,0,1wyg1tunyt7go9tnjea1hjqxb,1,50.1,50,2022-10-07T18:03:08.596Z,2022-10-07T18:03:15Z,3825096105,213,2.6,3825096103,212,22.2,3825096099,140,31.7,3825096097,56,Back,3825096107,279,S,3825096101,141,66.0,,,,,,,19wuvqpmewphgvsfzi4yjl756,I. Griffith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468436517,4,1,1,0,3,1wyg1tunyt7go9tnjea1hjqxb,0,31.7,66,2022-10-07T18:03:12.212Z,2022-10-07T18:03:17Z,3825096137,212,49.0,3825096139,213,5.8,3825096129,155,,3825096131,56,Center,3825096135,141,30.3,3825096133,140,72.2,3825096141,1,,,,,7s2zxbtepa7dgr8yl0s48afpw,F. Stam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468436521,3,44,1,0,7,59t7flioj4w4mpwnrwbm0m8ck,1,25.4,69.2,2022-10-07T18:03:15.535Z,2022-10-07T18:03:17Z,3825096245,233,5,3825096157,56,Back,3825096159,285,,,,,,,,,,,,,,,,,4mhahoh3a6rir882ug9hdb5nu,T. Velthuis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468436523,5,44,1,0,7,1wyg1tunyt7go9tnjea1hjqxb,0,74.6,30.8,2022-10-07T18:03:15.536Z,2022-10-07T18:03:17Z,3825096165,56,Center,3825096269,233,3,3825096167,286,,,,,,,,,,,,,,,,,30uqa3kfm23ickjssfhmwgdm1,R. Lathouwers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468436527,4,1,1,0,7,59t7flioj4w4mpwnrwbm0m8ck,0,23,68.6,2022-10-07T18:03:15.792Z,2022-10-07T18:03:17Z,3825096191,212,10.6,3825096183,3,,3825096185,56,Back,3825096189,141,71.5,3825096187,140,32.9,3825096193,213,0.2,,,,,,,4mhahoh3a6rir882ug9hdb5nu,T. Velthuis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468436547,6,1,1,0,9,1wyg1tunyt7go9tnjea1hjqxb,0,62.7,12.9,2022-10-07T18:03:17.572Z,2022-10-07T18:03:17Z,3825096291,141,24.3,3825096289,140,67.5,3825096287,56,Center,3825096295,213,1.0,3825096293,212,9.2,,,,,,,,,,19wuvqpmewphgvsfzi4yjl756,I. Griffith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
