id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,keyPass,qualifier/11/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,assist,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2444917095,1,34,16,0,0,1fttb31hnskynpku8qd09yhm8,1,0,0,2022-08-12T17:30:15.185Z,2022-08-12T18:06:19Z,3700037553,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3700037549,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3700037541,30,"6q72mpmc478hlf4f7ths9ez56, dolfy51fw3jycb0cfhoecbo16, c46xp363o8m76eswzfmlsel4a, d1dq7upxtawnps3wljz6wf9jo, 6ylzm57bvpufg3cenadtv7qhh, 9jofs3271wn4cwlkj9hfay7vu, 3hgvz4if17suodevp5jubb8fe, 5b7rnpnnllz8qdc6fx2c5mzje, bs14utcyx2am6s46cuv52nf56, ccmmsnrfn58gwi1petlp08f3e, f1as17wqpj44gihtvw936lofd, evz953s9rvki1w9c3hsljss7p, cx3fqj7odbuc6i0kppcie4jmy, ab8p14hbfeph28j3ig36nzob9, dmtsvsqvdoqqtmrset0uz0and, 124bbojic7k5medlvgvxmcm39, 9vu68zcajmrqmkkchmpdrebu2, bd4rr8l425ard803x39ju1ppm, 4qcx1ql4jxov8vncghnqud5d6, 63h1tm6at6eqbicao9ro3y8h6, 9o41me3111mj3zl4lxqqhvod0, 14csdlb8p0tnj6zqrs148ct1w, a59aos4xq3vklv2joqa09axre",3700037545,59,"1, 20, 5, 28, 4, 22, 24, 36, 9, 10, 21, 66, 3, 6, 14, 23, 26, 32, 34, 37, 38, 39, 46",3700037543,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3700037547,130,8,3700095481,197,16350,3700037551,194,6ylzm57bvpufg3cenadtv7qhh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444917231,1,34,16,0,0,dnzj0iv5qtaemm9kthh9pos8q,1,0,0,2022-08-12T17:30:43.870Z,2022-08-12T17:57:58Z,3700038225,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3700038223,194,dh3ksith5iat573zuhdhv91w5,3700038213,30,"89dofd1p8ftdgy1u8jlyi58lx, 5e9ek4qs1dnp69oojzpvrltrd, 4zow18ykkg1gvw40r7jsrzkl, 8uw9w30592omb8acpnssgdlh, 7cetznpb0tnu6kdz7bvm8gyxh, 1jn9jog8ou8uxnmypneksizxm, dhxpfe8e618lavr0915m9y2ju, dh3ksith5iat573zuhdhv91w5, 5c5quyl7qxptstbge87w2eqqx, a9233dwa5vm9qv2lncq3kawut, 6dpxvfpnaua6y4gevop02qc8a, bquqyyfz4lj0xrerbhbtj1jze, 50grkc6r635d7bjqgwrasi8rt, b61yiz3lait78xmlbyzr2vd62, cexuwvet4xiruf1jitkjjp7qi, 2mz4zjaxr4rz219q08h97yn6d, au91rqig6uyyi1zdmlxydk38q, 4z8o35izc3gx6i2bt4mcs1fjd, 49xt4lsf38z9yjlg32652zg4q, fjistzkvlbsa2v7xsnu0uy95, 5chl0qcvbbkd0yeogurw1fz6x, ebj7cl31vlr8nrltm42ydrdka, b950jt347chmq9whlkgl6fxpm",3700038217,59,"1, 13, 12, 19, 15, 4, 20, 8, 9, 10, 7, 18, 14, 11, 3, 5, 6, 16, 17, 22, 23, 31, 39",3700038215,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3700038219,130,8,3700038221,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3700095395,197,2848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444928993,2,32,1,0,0,dnzj0iv5qtaemm9kthh9pos8q,1,0,0,2022-08-12T18:00:48.314Z,2022-08-12T18:00:48Z,3700100453,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444929001,2,32,1,0,0,1fttb31hnskynpku8qd09yhm8,1,0,0,2022-08-12T18:00:48.314Z,2022-08-12T18:00:51Z,3700100491,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444929049,3,1,1,0,0,dnzj0iv5qtaemm9kthh9pos8q,1,50.1,50.1,2022-08-12T18:00:48.414Z,2022-08-12T18:00:53Z,3700100691,56,Back,3700100699,213,3.5,3700100701,279,S,3700100693,140,29.3,3700100697,212,23.3,3700100695,141,38.0,,,,,,,a9233dwa5vm9qv2lncq3kawut,J. Mathieu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444929063,4,1,1,0,5,dnzj0iv5qtaemm9kthh9pos8q,0,29.3,38,2022-08-12T18:00:53.423Z,2022-08-12T18:00:57Z,3700100779,213,0.4,3700100771,56,Center,3700100775,141,66.0,3700100777,212,48.1,3700100773,140,71.4,3700100781,1,,3700100769,157,,,,,7cetznpb0tnu6kdz7bvm8gyxh,L. Piqué,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444929067,3,44,1,0,7,1fttb31hnskynpku8qd09yhm8,1,31.6,39.4,2022-08-12T18:00:55.949Z,2022-08-12T18:00:57Z,3700100791,285,,3700100807,233,5,3700100789,56,Back,,,,,,,,,,,,,,,,5b7rnpnnllz8qdc6fx2c5mzje,M. Esajas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444929065,5,44,1,0,7,dnzj0iv5qtaemm9kthh9pos8q,0,68.4,60.6,2022-08-12T18:00:55.950Z,2022-08-12T18:00:58Z,3700100787,286,,3700100827,233,3,3700100785,56,Center,,,,,,,,,,,,,,,,6dpxvfpnaua6y4gevop02qc8a,J. Margaritha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444929071,4,8,1,0,8,1fttb31hnskynpku8qd09yhm8,1,34.5,44.9,2022-08-12T18:00:56.680Z,2022-08-12T18:00:58Z,3700100835,15,,3700100805,56,Back,,,,,,,,,,,,,,,,,,,5b7rnpnnllz8qdc6fx2c5mzje,M. Esajas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444929075,5,49,1,0,9,1fttb31hnskynpku8qd09yhm8,1,21.2,36.2,2022-08-12T18:00:57.943Z,2022-08-12T18:00:58Z,,,,,,,,,,,,,,,,,,,,,,,,,6ylzm57bvpufg3cenadtv7qhh,D. van Bruggen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
