id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/12/value,assist,qualifier/16/value,qualifier/17/value
2496919857,1,34,16,0,0,xcevba75jfkrg4s6tl89zl3y,1,0,0,2023-01-13T18:03:23.896Z,2023-01-14T12:44:30Z,3975498681,194,abgzge9xy445z8rdwa2mcapqt,3975498679,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3975498671,30,"cf70r39m2wgbijtw0co5t6yfp, 8eribncmewk65x40tn7pvqymt, 3yq9brnhlfinrzrfbzcv99nmd, 7flz5rsy2e31gbd8udiqg14gl, abgzge9xy445z8rdwa2mcapqt, 969cpy2geokwer9gjapk7zj3e, 5curv1gquatwkxsin86fghvkk, 7b4jmfu1ejoeci2zmvwuejnys, cipmd3k2nfv0ddic0l8go14gl, cglskkkycbja9rjybhui9hdrd, ds0hd4ezvb5rw6l95rhbxtq1g, 62ft9dfhds3wn0dv650d4gkph, 78t5clx87mnpzn7c5ynoa37x1, 3y7w3ngh3kby9mehxe5q7glpl, 85rm5s7x9di62hw3l31y5w8o9, 11sxalz1nikiipmp7bxvz33rp, 440ry78r7c0ntspgph192c0r9, 1j33nixshgkkdwjjnuafknahh, 1chxk7d4i11x2f16igblexgyc, 3h7rkufywz6c2aye1l5b0ihp0, 96j7klvrblmkwsprx0wk81b10, es1ohgwfiwq5f9mx2887zul90, deyery8n4pg5glgal4dsp9yzu",3975498683,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3975498673,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3975498677,130,8,3975585617,197,2124,3975498675,59,"1, 27, 28, 6, 22, 20, 14, 23, 35, 24, 33, 4, 5, 7, 8, 9, 10, 11, 16, 17, 18, 31, 48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496922337,1,34,16,0,0,6lzy9iiqoysvtdsgx719fng9n,1,0,0,2023-01-13T18:18:10.349Z,2023-01-13T20:48:13Z,3975514899,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3975514891,30,"68hoounwudpjrr2wmovkyvswk, 1x6fhuy49w4rpnyavwotbf504, 99u6g0ylhiyfknlf015xrz8r8, 9nix5y8xcj34ps62r34udtqwa, 3z9bdfblis9tl3e1uo7e72h62, bgydmtsi0ngn9k56apo29v0no, baghnvel8qsn5k9s79jiyldnu, 9pox9siobczxr9fv3fvvx3h1w, 31v89l4k38v1wpisz7xhkq38, dlgqk5qe96gaxeq8vu4dozyms, alfx6xxo38q6hmydbcr0rw67e, 370bp4zp3mxe27rtx3gwhcems, f593mnttzie8gicqlig2zvzvu, 9v212zfspaz9cmswudro21ous, c3wnyafe1scw1wdy7lw7rwe1g, 3e8tsv4mzm75peokuw38d8jmy, c907ct1hjmwughkdus73c5fkk, 5q4odxpe2taljf20w1jlspduy, 2hwq6s6ombcjea2pkjtimqgwk",3975514893,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",3975514903,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3975563829,197,2829,3975514897,130,8,3975514901,194,3z9bdfblis9tl3e1uo7e72h62,3975514895,59,"1, 2, 5, 8, 3, 4, 7, 6, 9, 10, 11, 18, 15, 17, 16, 12, 19, 20, 21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496932407,2,32,1,0,0,6lzy9iiqoysvtdsgx719fng9n,1,0,0,2023-01-13T19:04:53.677Z,2023-01-13T19:04:56Z,3975569537,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496932405,2,32,1,0,0,xcevba75jfkrg4s6tl89zl3y,1,0,0,2023-01-13T19:04:53.677Z,2023-01-13T19:04:53Z,3975569535,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496932413,3,1,1,0,0,6lzy9iiqoysvtdsgx719fng9n,1,50.3,49.9,2023-01-13T19:04:53.777Z,2023-01-13T19:18:30Z,3975569567,213,3.0,3975569565,212,13.8,3975569569,279,S,3975569561,140,37.3,3975569559,56,Back,3975569563,141,52.8,,,,,,,31v89l4k38v1wpisz7xhkq38,J. Banel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496932429,4,1,1,0,2,6lzy9iiqoysvtdsgx719fng9n,0,32.8,62.1,2023-01-13T19:04:56.542Z,2023-01-13T19:04:58Z,3975569633,140,73.4,3975569641,1,,3975569629,155,,3975569631,56,Right,3975569639,213,5.5,3975569635,141,5.5,3975569637,212,57.4,,,,bgydmtsi0ngn9k56apo29v0no,J. Hato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496932439,3,1,1,0,6,xcevba75jfkrg4s6tl89zl3y,0,24.3,95.9,2023-01-13T19:04:59.811Z,2023-01-13T19:05:01Z,3975569697,141,100.0,3975569695,140,34.9,3975569691,3,,3975569701,213,0.3,3975569699,212,11.7,3975569693,56,Back,,,,,,,3yq9brnhlfinrzrfbzcv99nmd,A. Büttner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496932443,4,5,1,0,7,xcevba75jfkrg4s6tl89zl3y,0,36,101.3,2023-01-13T19:05:01.141Z,2023-01-13T19:05:05Z,3975569709,347,,3975569863,233,5,3975569707,56,Back,,,,,,,,,,,,,,,,3yq9brnhlfinrzrfbzcv99nmd,A. Büttner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496932463,5,5,1,0,7,6lzy9iiqoysvtdsgx719fng9n,1,64,-1.3,2023-01-13T19:05:01.141Z,2023-01-13T20:04:44Z,3975569859,233,4,3975569857,347,,3975569855,56,Right,,,,,,,,,,,,,,,,bgydmtsi0ngn9k56apo29v0no,J. Hato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496932469,6,1,1,0,11,6lzy9iiqoysvtdsgx719fng9n,1,61.4,0,2023-01-13T19:05:04.991Z,2023-01-13T19:05:06Z,3975569895,213,2.2,3975569885,107,,3975569893,212,9.0,3975569889,140,56.1,3975569887,56,Right,3975569891,141,9.1,,,,,,,1x6fhuy49w4rpnyavwotbf504,T. Gooijer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
