id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/8/value,qualifier/9/value,qualifier/13/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value
2451055871,1,34,16,0,0,7rmv5ns2rj7bn4otpkur0mx0x,1,0,0,2022-08-26T17:12:02.354Z,2022-08-26T18:11:18Z,3732605547,194,8r6dkzf3yjnvlz4go6xct0kid,3732601321,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3732709621,197,536,3732601313,30,"cul6phe87idi5dn1hsfywxhwp, dsi2wezhn07auutl4wzckh6uh, ma3my4q4wln06xyl1z3v9fmy, 49xsd6e4oyjrhtwsdbdm4rj84, 8r6dkzf3yjnvlz4go6xct0kid, 8tepha2kd43sp9jtafxuf209h, 2wuprdfbbn9mo0paqr5tm7bop, btm3mtkmwofz1dgcdsew1kmp5, c9shc6t28oroqthopifjvg9ux, 281ieftii7id7an6dm505owrt, bzsoq42nf6sgdh9oe64n7rnfu, 7f7zwd6c14rr59u9al3naenkl, 4qj88r9cjfbu05ly92vfhpi39, 3apsq2r6q8lzdat7sy5h6tmqy, 49vbyk5qvhihphrqfnmmz8woa, c9pmoa9m23jh5emy6w4olm3xm, 1ljgis575ujto4361ed15w0r9, 1s50ua48peo4wd0o7unmps06h, 2yivr64anye4c0p62m16l78yc, 3epda2hg43s8uxvf9xno74d4a, 2ngb4008t58dvor5qnh1nj6ga, 42qmjog7864ektqoizjkbdwtm",3732601315,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3732601317,59,"1, 44, 5, 6, 13, 4, 27, 11, 9, 22, 7, 3, 8, 15, 17, 20, 21, 23, 25, 26, 31, 37",3732601319,130,8,3732601323,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451059091,1,34,16,0,0,59t7flioj4w4mpwnrwbm0m8ck,1,0,0,2022-08-26T17:17:59.047Z,2022-08-26T18:00:29Z,3732617809,59,"1, 2, 5, 6, 3, 24, 11, 18, 9, 8, 10, 16, 4, 7, 14, 19, 21, 23, 25, 27, 36",3732617807,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3732617805,30,"8jml2tgzk1am30cy4gkgx0wd1, bdb33nwcpd2jufn9ggtl7gvzd, 1falkoydwxoiazskcoalwll62, 89plvrt8pzppcclh4axvii0ru, d5g7rl9a83vu3cyyzvu5yveqy, 4mhahoh3a6rir882ug9hdb5nu, ekur9x1kzp8wq0lwfwev0b0bu, 3xza88l7s8dlki9kleqwz2puy, 2an4s7uuqa9a6sl7vutznc7o5, 4j9ug0ng9dhx6xwhdwx6fafx0, 6nd0ifv6ljza9nauxcpejqzft, 5gunbyh0bjzutryox97ihxot1, 4bkb8qjb5n33wxfopju8r1mtx, 6djx23ctpkopwbtavfr8ov8id, 41es2x265ddlzqjqa6wb9vey2, emaf4mjxn2255qlcn1pcxn36x, 4shkxwb3ujuajna3gdg34cxjp, 9urh0cy0a8ni61fuxmiqosnis, 7oo6h3pq8wv5rgp1dkaolrhg4, f48jetdaq8dttcdo11mugaxnt, 8gkh6rsfo2tsrsiirv05bm1yi",3732617813,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3732617817,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3732617811,130,8,3732709875,197,10654,3732617815,194,89plvrt8pzppcclh4axvii0ru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451079431,2,32,1,0,0,59t7flioj4w4mpwnrwbm0m8ck,1,0,0,2022-08-26T18:03:56.815Z,2022-08-26T18:03:57Z,3732724633,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451079419,2,32,1,0,0,7rmv5ns2rj7bn4otpkur0mx0x,1,0,0,2022-08-26T18:03:56.815Z,2022-08-26T18:03:56Z,3732724573,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451079479,3,1,1,0,0,7rmv5ns2rj7bn4otpkur0mx0x,1,49.8,50.1,2022-08-26T18:03:56.915Z,2022-08-26T18:04:00Z,3732724885,56,Back,3732724887,140,35.7,3732724889,141,61.7,3732724893,213,2.7,3732724891,212,16.8,3732724895,279,S,,,,,,,281ieftii7id7an6dm505owrt,X. Emmers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451079497,4,1,1,0,3,7rmv5ns2rj7bn4otpkur0mx0x,1,35.7,57.6,2022-08-26T18:04:00.812Z,2022-08-26T18:04:02Z,3732724983,213,4.4,3732724985,1,,3732724979,141,10.9,3732724981,212,33.5,3732724975,56,Back,3732724977,140,25.6,,,,,,,49xsd6e4oyjrhtwsdbdm4rj84,L. Hartjes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451079539,5,1,1,0,5,7rmv5ns2rj7bn4otpkur0mx0x,1,25.6,10.9,2022-08-26T18:04:02.476Z,2022-08-26T18:04:04Z,3732725197,213,1.9,3732725191,140,19.2,3732725195,212,20.1,3732725189,56,Back,3732725193,141,38.8,,,,,,,,,,dsi2wezhn07auutl4wzckh6uh,B. Reith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451079567,6,1,1,0,7,7rmv5ns2rj7bn4otpkur0mx0x,1,19.2,38.8,2022-08-26T18:04:04.348Z,2022-08-26T18:04:06Z,3732725377,213,1.5,3732725369,141,67.9,3732725373,212,19.8,3732725365,140,20.0,3732725361,56,Back,,,,,,,,,,8tepha2kd43sp9jtafxuf209h,G. Joppen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451079607,7,1,1,0,9,7rmv5ns2rj7bn4otpkur0mx0x,1,23.9,75.9,2022-08-26T18:04:06.717Z,2022-08-26T18:04:08Z,3732725567,56,Back,3732725569,140,32.8,3732725573,212,16.9,3732725571,141,96.6,3732725575,213,1.0,,,,,,,,,,8r6dkzf3yjnvlz4go6xct0kid,N. Röseler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451079643,8,1,1,0,12,7rmv5ns2rj7bn4otpkur0mx0x,1,32.8,96.6,2022-08-26T18:04:08.891Z,2022-08-26T18:04:11Z,3732725723,56,Back,3732725731,213,5.6,3732725729,212,21.4,3732725727,141,76.0,3732725725,140,48.2,,,,,,,,,,ma3my4q4wln06xyl1z3v9fmy,T. Douglas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
