id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,assist,qualifier/11/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2503342401,1,34,16,0,0,z9phg19papi9f5fd6qxzr836,1,0,0,2023-02-03T18:08:16.901Z,2023-02-03T19:25:34Z,4009241575,130,8,4009314281,197,1696,4009241571,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4009241577,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4009241573,59,"1, 16, 28, 15, 21, 14, 22, 10, 19, 8, 7, 4, 5, 12, 26, 23, 24, 31",4009241579,194,8zsx2ykxkcusmsvbj8bsjk445,4009241581,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4009241569,30,"7j7stqaomy8pnmzangrsyfahh, 7e78647fbcn7noga5qlz46xux, cjuzhcgsj4mwwr4evn823hivp, ab8p14hbfeph28j3ig36nzob9, 8zsx2ykxkcusmsvbj8bsjk445, 31u2tk3aha04kwphoucf4ze5m, pd5ksvrqxmxsuvfeenz0fqzu, 6gzpefxqcz2v4z95bnecilfpx, 7plnzzirl3q10vucy37p7b6ui, dsgea9ruo8blm2ppu19y1vod0, 7kntrrc80dcadt8umvqf6qfe2, di46dv5smxql2bg7cw4a06wkq, 9pqchkq64o53knk75ruq5g3x1, c3dzl73x1uypbb71x5dwf98iy, 1ufzkfjcl53jun67ctdkxv3tg, dgrs9km0fikc46xchm02hbdka, 2ppvf1ywd1mxum1lgnn2pubdg, 1evsz02au0pu4a1tmzn5s27hm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503344151,1,34,16,0,0,dvmw7d6jb38qvv7e6ziwu0vyr,1,0,0,2023-02-03T18:13:53.236Z,2023-02-03T19:12:06Z,4009250507,30,"3oduk9niyqml47z7wramkxhw5, d4z4gdds9hajylsy2hh5b78q, coxuin3vr6nkynlvcsvzphjl6, bitv8dp51g02iyf6o3elxnoix, eu901b75l2ly5p48jdw6kwmad, 7hsyytjjg6zw5knvav9xybbh1, dej8tywq0npvbm25sfgtqur1m, e0mrzdikm67yw88563zgovb6y, ar47jfq139xyic4pvdhefduga, 6mn57wdtnexqlumwsg8qyil90, b0yxbu9af1b0jc1odpwzvd7je, ak5exy1iztbo0mqloqdwiag6i, 3j368501ogr8mt2jdb7mby8h6, db32f79l8p19q2g45g885t7xm, 2v12tmspdosmwic2h6itfz0x6, 47wgrchutkdy62665jc79dy0a, 1r67co8q0ktlqe5209xm6sxec, byfk0abaxu0ha7w01vpmreb1m, 3v2grfhuisr456ibcvqjfx4yy, 6plxmzzrxmkhogrob8fdeunkl",4009250519,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4009250511,59,"1, 2, 32, 28, 3, 33, 20, 17, 10, 19, 14, 5, 8, 9, 12, 21, 27, 31, 45, 77",4009250515,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4009250513,130,13,4009314293,197,17870,4009250517,194,eu901b75l2ly5p48jdw6kwmad,4009250509,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503357875,2,32,1,0,0,dvmw7d6jb38qvv7e6ziwu0vyr,1,0,0,2023-02-03T19:02:10.824Z,2023-02-03T19:02:10Z,4009319281,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503357879,2,32,1,0,0,z9phg19papi9f5fd6qxzr836,1,0,0,2023-02-03T19:02:10.824Z,2023-02-03T19:02:18Z,4009319291,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503357935,3,1,1,0,0,dvmw7d6jb38qvv7e6ziwu0vyr,1,49.9,49.8,2023-02-03T19:02:10.924Z,2023-02-03T19:02:18Z,4009319613,212,29.3,4009319617,279,S,4009319609,140,22.0,4009319611,141,51.2,4009319615,213,3.1,4009319607,56,Back,,,,,,,ar47jfq139xyic4pvdhefduga,N. Bannis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503357939,4,1,1,0,4,dvmw7d6jb38qvv7e6ziwu0vyr,1,23.8,50.8,2023-02-03T19:02:14.988Z,2023-02-03T19:02:18Z,4009319649,213,1.0,4009319641,56,Back,4009319645,141,64.9,4009319643,140,29.9,4009319647,212,11.5,,,,,,,,,,eu901b75l2ly5p48jdw6kwmad,M. Amevor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503357955,5,1,1,0,7,dvmw7d6jb38qvv7e6ziwu0vyr,1,29.9,64.9,2023-02-03T19:02:18.123Z,2023-02-03T19:02:20Z,4009319749,141,96.5,4009319747,140,42.6,4009319751,212,25.3,4009319745,56,Back,4009319753,213,1.0,,,,,,,,,,e0mrzdikm67yw88563zgovb6y,B. De Keersmaecker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503357983,6,1,1,0,9,dvmw7d6jb38qvv7e6ziwu0vyr,0,42.6,96.5,2023-02-03T19:02:20.619Z,2023-02-03T19:02:22Z,4009319861,213,4.7,4009319855,140,42.4,4009319853,56,Back,4009319857,141,84.8,4009319859,212,8.0,,,,,,,,,,coxuin3vr6nkynlvcsvzphjl6,Rodrigo Rêgo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503357977,3,8,1,0,11,z9phg19papi9f5fd6qxzr836,1,60.1,12.6,2023-02-03T19:02:22.290Z,2023-02-03T19:02:22Z,4009319837,56,Right,,,,,,,,,,,,,,,,,,,,,,dsgea9ruo8blm2ppu19y1vod0,B. Reemst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503358001,7,1,1,0,13,dvmw7d6jb38qvv7e6ziwu0vyr,0,35.4,94.5,2023-02-03T19:02:24.139Z,2023-02-03T19:02:25Z,4009319959,56,Back,4009319967,213,4.9,4009319963,141,58.1,4009319965,212,25.3,4009319961,140,40.4,,,,,,,,,,coxuin3vr6nkynlvcsvzphjl6,Rodrigo Rêgo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
