id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,keyPass,qualifier/8/value,qualifier/9/value,qualifier/10/value,qualifier/13/value,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2495328007,1,34,16,0,0,7rmv5ns2rj7bn4otpkur0mx0x,1,0,0,2023-01-06T18:13:47.034Z,2023-01-06T19:21:49Z,3967186127,197,536,3967129669,59,"21, 44, 5, 10, 13, 4, 14, 6, 9, 8, 7, 1, 3, 11, 15, 17, 20, 23, 25, 26, 29, 31, 36",3967129671,130,2,3967129673,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3967129677,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3967129665,30,"1ljgis575ujto4361ed15w0r9, dsi2wezhn07auutl4wzckh6uh, ma3my4q4wln06xyl1z3v9fmy, 7to5mb4x91kjhbd9tb0nqz74l, 8r6dkzf3yjnvlz4go6xct0kid, 8tepha2kd43sp9jtafxuf209h, 7797kpi7lkhc9dasfxuv9h7f9, 49xsd6e4oyjrhtwsdbdm4rj84, c9shc6t28oroqthopifjvg9ux, 4qj88r9cjfbu05ly92vfhpi39, bzsoq42nf6sgdh9oe64n7rnfu, cul6phe87idi5dn1hsfywxhwp, 7f7zwd6c14rr59u9al3naenkl, btm3mtkmwofz1dgcdsew1kmp5, 3apsq2r6q8lzdat7sy5h6tmqy, 49vbyk5qvhihphrqfnmmz8woa, c9pmoa9m23jh5emy6w4olm3xm, 1s50ua48peo4wd0o7unmps06h, 2yivr64anye4c0p62m16l78yc, 3epda2hg43s8uxvf9xno74d4a, bgzkdepav40x6focwuaf9qxre, 2ngb4008t58dvor5qnh1nj6ga, 6eccwl9cpgmq7pp6d90lbi6wa",3967129667,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3967129675,194,8r6dkzf3yjnvlz4go6xct0kid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495328039,1,34,16,0,0,bk5ltsueqmeng29eovd8m2tml,1,0,0,2023-01-06T18:13:53.935Z,2023-01-06T18:59:26Z,3967186211,197,1504,3967129879,59,"1, 13, 25, 4, 10, 6, 32, 11, 7, 23, 16, 3, 5, 9, 14, 19, 21, 24, 27, 36, 42, 44",3967137867,194,8cox96ikk1k4c24f0y5ef45x,3967129883,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3967129881,130,10,3967129885,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3967129875,30,"etvamcwttnlg4sfxfulgzm7yt, e42jh6bbwn4aybdnysonrvutx, ewnmiv6ew1d5cnuul715x4dzp, 7isjog4r71ahzypnhq3ki9xp1, 75o7fx1uwk6pavxbnqqx28y51, 8cox96ikk1k4c24f0y5ef45x, 7dw3mexdcnel375y16vfl0g2y, 88csh50wwpanzfdvu7ia3x1ih, bw7s1zgz97p8szhn4shwkx2w9, 47autoxmcbr5z7o6d8998esph, 9najgqcaamqj0qtiicuq9hey, 9hz7j1p4f0d2hxyz2bdkbyk0l, daz1m0r5u8f0085jv25bdnoid, 5i0e7e59vav8ynqzt7qrvitt6, amasl6wz90pv9kkbx3kihj7bp, b9apqidquztaojf6e3my6v7bp, ckx9rplhgmncmcxs0a1z7n6qd, 8dnmp33ergo6zwzb6ubiyvl6, eimwdeabp96ttxf8zywuiu8ve, 39f4hnokkp81ucrkx5bo5sjdg, f4rb3nes422yxsznjzwx0kwlw, 1g092dgjsahqacxxzf5f20wh6",3967129877,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495339475,2,32,1,0,0,bk5ltsueqmeng29eovd8m2tml,1,0,0,2023-01-06T19:03:27.758Z,2023-01-06T19:03:30Z,3967192357,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495339473,3,32,1,0,0,7rmv5ns2rj7bn4otpkur0mx0x,1,0,0,2023-01-06T19:03:27.758Z,2023-01-06T19:03:27Z,3967192355,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495339497,4,1,1,0,0,7rmv5ns2rj7bn4otpkur0mx0x,1,50.1,50,2023-01-06T19:03:27.858Z,2023-01-06T19:03:30Z,3967192449,56,Back,3967192459,279,S,3967192453,141,64.0,3967192451,140,35.6,3967192455,212,18.0,3967192457,213,2.6,,,,,,,c9shc6t28oroqthopifjvg9ux,D. Vente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495339507,5,1,1,0,2,7rmv5ns2rj7bn4otpkur0mx0x,1,34.6,65.4,2023-01-06T19:03:30.524Z,2023-01-06T19:03:32Z,3967192487,213,5.2,3967192479,56,Back,3967192485,212,6.5,3967192481,140,37.4,3967192483,141,56.9,,,,,,,,,,8tepha2kd43sp9jtafxuf209h,G. Joppen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495339521,6,1,1,0,4,7rmv5ns2rj7bn4otpkur0mx0x,0,37.4,56.9,2023-01-06T19:03:32.147Z,2023-01-06T19:03:33Z,3967192565,212,35.7,3967192551,155,,3967192567,213,0.0,3967192555,56,Center,3967192557,140,71.4,3967192561,141,58.1,3967192569,1,,,,,49xsd6e4oyjrhtwsdbdm4rj84,L. Hartjes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495339541,3,1,1,0,5,bk5ltsueqmeng29eovd8m2tml,1,22.3,40.1,2023-01-06T19:03:33.157Z,2023-01-06T19:03:35Z,3967192663,140,32.6,3967192661,56,Back,3967192659,3,,3967192665,141,38.3,3967192669,213,6.2,3967192667,212,10.9,,,,,,,8cox96ikk1k4c24f0y5ef45x,W. Dammers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495339545,4,49,1,0,7,bk5ltsueqmeng29eovd8m2tml,1,32.6,38.3,2023-01-06T19:03:35.028Z,2023-01-06T19:03:35Z,,,,,,,,,,,,,,,,,,,,,,,,,7dw3mexdcnel375y16vfl0g2y,J. Bosch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495339571,5,1,1,0,7,bk5ltsueqmeng29eovd8m2tml,1,32.6,38.3,2023-01-06T19:03:35.148Z,2023-01-06T19:03:37Z,3967192829,56,Back,3967192847,141,47.3,3967192863,213,1.8,3967192855,212,6.2,3967192839,140,31.5,,,,,,,,,,7dw3mexdcnel375y16vfl0g2y,J. Bosch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
