id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value
2500988589,1,34,16,0,0,eh54mfvjtrttgsg1wbjnvxcqz,1,0,0,2023-01-27T18:26:27.845Z,2023-01-27T18:59:01Z,3996924213,130,8,3996924215,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3996924219,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3996980103,197,13167,3996924209,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",3996924207,30,"4jvk1ex8dsjj498vqzqhfmqxh, 36d4zodjdvtc8w1q4p940cx2i, 7wa5hbk41axn5lybd2b7v2978, 46wxtiry28k7j3y6gacgf7x4a, abgkpku77iidahswqpvce5gtm, 1u3rxxgh3ohv46tvrl86migkq, 74x54r0698ug6gzk9jwd86pxx, 4lf5375rzyy400rabvwgbcbmx, 7afaygi7b8fmxr885zaezaay1, 8mq0q8ebkt20p1pm35z3qma22, b9l12zfckbywukn3ll0vok6lm, a2ws6j60xd12ng844vlhgq2cq, 5362zl678ibx1md2kk6t4r47o, 97i465n07uip7fnpw82v554b8, balcshp8sostjtslygqqixu5l, 8zj8e6ovo1bt0d67klra3yh3o, a8nrm0flhc6mak2kvjksdlzx0, 8g5ms6uacdkgfcbxt4crlr4ve, 4q0movp031jgig1b49uyvd5w4",3996924217,194,4jvk1ex8dsjj498vqzqhfmqxh,3996924211,59,"1, 18, 2, 8, 15, 23, 11, 22, 10, 7, 17, 4, 9, 19, 21, 24, 31, 42, 40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500988917,1,34,16,0,0,bqm1bnp1bh2apyudlz1o1whr3,1,0,0,2023-01-27T18:28:12.524Z,2023-02-06T16:45:20Z,3996926395,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3996926393,194,7d9x6ojih9obktxl3fnrjskk4,3996926387,59,"12, 6, 21, 11, 2, 4, 7, 8, 10, 16, 14, 23, 1, 5, 9, 15, 17, 22, 24, 28, 30, 31, 32",3996926391,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3996926389,130,8,3996980439,197,8970,3996926383,30,"rgspixypiwxuenf1yaukrrop, 3y42dpjrp17dr2gzktbrmudbd, eke044f5xni8gdztggk6x4a1h, 6clycir6laxvycsr4yjh9iwa1, axbyqn4r430cilb6lbnzpbuvo, 7d9x6ojih9obktxl3fnrjskk4, 2kdavfzjymb8uhgjj3c97e2uh, epkss1rj7z6duqd3axbcm8l0q, 2072f0p9ful9u577gdvo89yw9, 2gwigr63tgo2jw460msz2qgwk, avv12sgcucblnbfb790xovf8, 54bf7p613bf3n0gefid4tt0r8, eog43l8hrs7pbza9bmwu0p2sq, gmu8p51rp6bjzs0bss5jupzo, 3usiruyhxf6p9lkiz5qeytze2, er8v2eo4vlak5ftjetqhinfv8, e4k6t8tld877pq2s0e1vo5p4a, 1dljhkcvmodqq9u1w8iv145m2, 1b409f4dv852le376vbcjdmhg, 966zp0zv6513cnn3q2t6xvtyi, 50ecz4x9j0zfudh34l7f2ecr8, 88m6s6m8ep0p3fropim4ttcoa, bk7742h8fac9g6e6wh7nnugkq",3996926385,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501000389,2,32,1,0,0,eh54mfvjtrttgsg1wbjnvxcqz,1,0,0,2023-01-27T19:01:04.857Z,2023-01-27T19:01:05Z,3996983435,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501000397,2,32,1,0,0,bqm1bnp1bh2apyudlz1o1whr3,1,0,0,2023-01-27T19:01:04.857Z,2023-01-27T19:01:07Z,3996983453,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501000411,3,1,1,0,0,eh54mfvjtrttgsg1wbjnvxcqz,1,50,50,2023-01-27T19:01:04.957Z,2023-01-27T19:01:07Z,3996983517,213,3.4,3996983515,212,21.2,3996983513,141,40.6,3996983509,56,Back,3996983519,279,S,3996983511,140,30.7,,,,,,,8mq0q8ebkt20p1pm35z3qma22,A. Ahannach,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501000423,4,1,1,0,1,eh54mfvjtrttgsg1wbjnvxcqz,1,30.7,40.6,2023-01-27T19:01:06.699Z,2023-01-27T19:01:10Z,3996983561,141,62.4,3996983559,140,20.8,3996983563,212,18.1,3996983565,213,2.2,3996983557,56,Back,,,,,,,,,,abgkpku77iidahswqpvce5gtm,T. van Grunsven,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501000447,5,1,1,0,5,eh54mfvjtrttgsg1wbjnvxcqz,0,20.8,62.4,2023-01-27T19:01:09.884Z,2023-01-27T19:01:12Z,3996983685,1,,3996983683,213,0.2,3996983681,212,47.2,3996983677,140,65.2,3996983675,56,Center,3996983673,155,,3996983679,141,72.8,,,,1u3rxxgh3ohv46tvrl86migkq,I. Bowat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501000477,3,1,1,0,8,bqm1bnp1bh2apyudlz1o1whr3,1,31.5,26.8,2023-01-27T19:01:13.655Z,2023-01-27T19:01:15Z,3996983763,56,Back,3996983765,140,45.8,3996983769,212,15.6,3996983771,213,0.3,3996983767,141,33.0,3996983761,3,,,,,,,,3y42dpjrp17dr2gzktbrmudbd,C. Essers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501000491,4,1,1,0,10,bqm1bnp1bh2apyudlz1o1whr3,0,40.9,36.6,2023-01-27T19:01:15.494Z,2023-01-27T19:01:17Z,3996983795,3,,3996983799,140,61.5,3996983801,141,21.2,3996983797,56,Center,3996983805,213,5.8,3996983803,212,24.0,,,,,,,epkss1rj7z6duqd3axbcm8l0q,N. Souren,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501000519,6,1,1,0,11,eh54mfvjtrttgsg1wbjnvxcqz,0,44.2,74.1,2023-01-27T19:01:16.702Z,2023-01-27T19:01:19Z,3996983937,141,96.0,3996983941,213,0.8,3996983939,212,21.0,3996983933,56,Left,3996983935,140,58.3,3996983931,3,,,,,,,,1u3rxxgh3ohv46tvrl86migkq,I. Bowat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
