id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,assist,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2536643927,1,34,16,0,0,b94pf87be9ojdgnrs5mst80un,1,0,0,2023-04-21T17:05:22.070Z,2023-04-21T18:05:12Z,4206289407,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4206289411,130,2,4206289405,30,"2psxvq4l1g9fzgt00cfks96fp, 2pzdedlktluxyj6sq2cd19e51, 5517jd2zp30rsts1hwz6p71uc, 9s22h996z2zpktwsx96cnz40k, 94h1esmbnvlcvdeq9ohs11boq, zihddqvp0sjni8stcio8bgmh, 63ox7kqo9rl36cvk4joqh9soa, 11ngumxajbizagbzpm5kompxx, 8im7pgnph2au11blma5pewe09, 45rrtsz9hmxxqasj8jgi3g0oa, 42lgdybjew0zrd18mmwwcpbhm, 3hax3hy9n2wyp1ovvhd6zdk6i, cyquj9h6hjwbyp0b68b149qfo, 2gfp8pe55n7oa0mcu5ygi54a, 6qjbfua7nynaxrs5t8tygedp1, ewcd2lz99d7klo9sh24zt8nl6, 98wf7lrkbzi5f1l26hyxbph7u, 3mcj3wypzq3lno1ehc0vif1sl, 4ks7mvr9terrodhjx8pg9qtt6, 9rzd3uofuq9ck2n5ihs576z56, 1xblfsj8ec5jp17vnhibrk2jt",4206289413,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4206289415,194,2psxvq4l1g9fzgt00cfks96fp,4206418475,197,2844,4206289409,59,"1, 2, 17, 27, 28, 3, 25, 29, 9, 19, 10, 5, 6, 7, 11, 14, 15, 18, 21, 23, 33",4206289417,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536645545,1,34,16,0,0,dac758ef858jbq7pcb3gfwite,1,0,0,2023-04-21T17:09:14.670Z,2023-04-21T18:00:11Z,4206297841,30,"dmsmbn9a1qucwf100o3v77nbp, 4dk7h575fifmw2lhslevhmhux, e8si4ph9te020gpicg3k2k3u2, f2snk84xy67ergwrwoblgt2ad, akfbttkeqfd8pzhe93ra674kp, ip62fljz9ng6sil4krcq8dm1, sbxnlkg50itbqkpuh8wnwk45, arrbpgnwbguhyumc8c1u4jsut, azt0ll196snbxy38eqw7mtln9, bzf3k4wvqvx1tl1mx960wjv85, 6p6sdikmka45csxfw0i0q0l3p, afdwdm1rkz1ir3c0tukfh3jhm, 8loz5cz4zynb8plfusi3ewd79, bmbzc4jvazdiuddsbnceyauei, armxucjqaulvwfxyufovg3je1, 5r73kuy4vdv1epvmzrhb6nskq, 1jeb7li66vn913oub7t7l7x79, 1rm3t48auz1wqya7tanmjyjje, we5jzu2ad4z3wxaerwe6sdex, awokzor2tv5ro47ea34at1gx5, 80dk8iv6p0202z10qcqy8bfca, e5c8wtame01unosnz4zchwljo, 49zitlyt01houmqy6hk04x36y",4206418441,197,486,4206297845,59,"1, 5, 12, 17, 4, 21, 15, 18, 33, 10, 29, 6, 7, 8, 19, 22, 23, 24, 26, 28, 32, 34, 39",4206297843,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4206297849,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4206297847,130,4,4206297853,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4206297851,194,ip62fljz9ng6sil4krcq8dm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536669129,2,32,1,0,0,dac758ef858jbq7pcb3gfwite,1,0,0,2023-04-21T18:02:22.544Z,2023-04-21T18:02:22Z,4206425769,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536669133,2,32,1,0,0,b94pf87be9ojdgnrs5mst80un,1,0,0,2023-04-21T18:02:22.544Z,2023-04-21T18:02:25Z,4206425779,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536669183,3,1,1,0,0,dac758ef858jbq7pcb3gfwite,1,50,50,2023-04-21T18:02:22.644Z,2023-04-21T18:02:26Z,4206426047,212,27.2,4206426051,279,S,4206426041,56,Back,4206426045,141,61.5,4206426049,213,2.8,4206426043,140,25.2,,,,,,,bzf3k4wvqvx1tl1mx960wjv85,A. Ouahim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536669217,4,1,1,0,4,dac758ef858jbq7pcb3gfwite,1,24.6,61.5,2023-04-21T18:02:26.658Z,2023-04-21T18:02:29Z,4206426239,141,62.0,4206426229,56,Back,4206426241,212,13.9,4206426235,140,37.8,4206426243,213,0.0,,,,,,,,,,ip62fljz9ng6sil4krcq8dm1,J. Hoogma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536669231,5,1,1,0,6,dac758ef858jbq7pcb3gfwite,1,36.8,60.6,2023-04-21T18:02:28.883Z,2023-04-21T18:02:30Z,4206426317,141,60.3,4206426311,56,Back,4206426321,212,11.8,4206426313,140,25.6,4206426323,213,3.2,,,,,,,,,,arrbpgnwbguhyumc8c1u4jsut,M. Vejinović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536669253,6,1,1,0,7,dac758ef858jbq7pcb3gfwite,1,25.6,60.3,2023-04-21T18:02:30.499Z,2023-04-21T18:02:32Z,4206426463,213,5.0,4206426455,140,32.5,4206426451,56,Back,4206426461,212,22.2,4206426459,141,29.4,,,,,,,,,,ip62fljz9ng6sil4krcq8dm1,J. Hoogma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536669299,7,1,1,0,9,dac758ef858jbq7pcb3gfwite,1,32.5,29.4,2023-04-21T18:02:32.083Z,2023-04-21T18:02:36Z,4206426677,56,Back,4206426685,213,2.8,4206426679,140,9.3,4206426683,212,26.1,4206426681,141,43.1,,,,,,,,,,akfbttkeqfd8pzhe93ra674kp,S. Sonnenberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536669353,8,1,1,0,13,dac758ef858jbq7pcb3gfwite,1,10.1,47.6,2023-04-21T18:02:36.019Z,2023-04-21T18:02:40Z,4206426943,140,23.1,4206426937,56,Back,4206426951,212,25.5,4206426947,141,15.9,4206426953,213,5.3,,,,,,,,,,dmsmbn9a1qucwf100o3v77nbp,M. Brouwer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
