id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,assist
2448062473,1,34,16,0,0,7rmv5ns2rj7bn4otpkur0mx0x,1,0,0,2022-08-19T17:08:32.152Z,2022-08-19T18:05:35Z,3716754255,59,"1, 44, 5, 6, 4, 13, 27, 11, 9, 22, 7, 21, 3, 8, 15, 20, 23, 25, 26, 31, 37",3716754261,194,8r6dkzf3yjnvlz4go6xct0kid,3716754251,30,"cul6phe87idi5dn1hsfywxhwp, dsi2wezhn07auutl4wzckh6uh, ma3my4q4wln06xyl1z3v9fmy, 49xsd6e4oyjrhtwsdbdm4rj84, 8tepha2kd43sp9jtafxuf209h, 8r6dkzf3yjnvlz4go6xct0kid, 2wuprdfbbn9mo0paqr5tm7bop, btm3mtkmwofz1dgcdsew1kmp5, c9shc6t28oroqthopifjvg9ux, 281ieftii7id7an6dm505owrt, bzsoq42nf6sgdh9oe64n7rnfu, 1ljgis575ujto4361ed15w0r9, 7f7zwd6c14rr59u9al3naenkl, 4qj88r9cjfbu05ly92vfhpi39, 3apsq2r6q8lzdat7sy5h6tmqy, c9pmoa9m23jh5emy6w4olm3xm, 1s50ua48peo4wd0o7unmps06h, 2yivr64anye4c0p62m16l78yc, 3epda2hg43s8uxvf9xno74d4a, 2ngb4008t58dvor5qnh1nj6ga, 42qmjog7864ektqoizjkbdwtm",3716867145,197,536,3716754263,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3716754259,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3716754253,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3716754257,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448063591,1,34,16,0,0,eh54mfvjtrttgsg1wbjnvxcqz,1,0,0,2022-08-19T17:11:26.899Z,2022-08-23T14:24:09Z,3716759665,130,8,3716759661,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3716759667,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3716846277,194,4jvk1ex8dsjj498vqzqhfmqxh,3716759669,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3716759663,59,"1, 18, 5, 8, 3, 4, 11, 7, 10, 20, 23, 2, 6, 14, 15, 19, 21, 24, 28, 31",3716846279,197,2850,3716759659,30,"4jvk1ex8dsjj498vqzqhfmqxh, 36d4zodjdvtc8w1q4p940cx2i, a83amzm380uy1fi3zuyqu82j9, 46wxtiry28k7j3y6gacgf7x4a, a5j0tndc5032lgmuv1vqd2cix, a2ws6j60xd12ng844vlhgq2cq, 74x54r0698ug6gzk9jwd86pxx, 8mq0q8ebkt20p1pm35z3qma22, 7afaygi7b8fmxr885zaezaay1, aynwkpiteltfei3x5txm84opg, 4jx9sjbj9s8q2qeknsqhyozqh, 7wa5hbk41axn5lybd2b7v2978, alzxtazwzkp6cy4igin4ht2vp, 7eq1j570gbj6tzw9d1btzwnis, abgkpku77iidahswqpvce5gtm, 97i465n07uip7fnpw82v554b8, balcshp8sostjtslygqqixu5l, 8zj8e6ovo1bt0d67klra3yh3o, bbhhmcny4xidhz7i8gr74v0us, a8nrm0flhc6mak2kvjksdlzx0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448081637,2,32,1,0,0,7rmv5ns2rj7bn4otpkur0mx0x,1,0,0,2022-08-19T18:02:36.928Z,2022-08-19T18:02:39Z,3716854181,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448081603,2,32,1,0,0,eh54mfvjtrttgsg1wbjnvxcqz,1,0,0,2022-08-19T18:02:36.928Z,2022-08-19T18:02:37Z,3716854019,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448081665,3,1,1,0,0,eh54mfvjtrttgsg1wbjnvxcqz,1,50.3,50.1,2022-08-19T18:02:37.028Z,2022-08-19T18:02:41Z,3716854275,212,23.9,3716854271,140,27.8,3716854279,279,S,3716854273,141,55.8,3716854269,56,Back,3716854277,213,3.0,,,,,,,aynwkpiteltfei3x5txm84opg,R. Leijten,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448081705,4,1,1,0,4,eh54mfvjtrttgsg1wbjnvxcqz,0,28.1,57,2022-08-19T18:02:40.958Z,2022-08-19T18:02:44Z,3716854541,212,47.6,3716854527,155,,3716854545,213,0.4,3716854537,141,85.0,3716854529,56,Left,3716854533,140,69.7,3716854549,1,,,,,a2ws6j60xd12ng844vlhgq2cq,D. Ryan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448081723,3,1,1,0,6,7rmv5ns2rj7bn4otpkur0mx0x,1,24.8,22,2022-08-19T18:02:43.234Z,2022-08-19T18:02:45Z,3716854615,213,5.9,3716854609,140,37.9,3716854611,141,14.2,3716854605,3,,3716854613,212,14.7,3716854607,56,Back,,,,,,,dsi2wezhn07auutl4wzckh6uh,B. Reith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448081735,4,49,1,0,8,7rmv5ns2rj7bn4otpkur0mx0x,1,37.9,14.2,2022-08-19T18:02:45.250Z,2022-08-19T18:02:45Z,,,,,,,,,,,,,,,,,,,,,,,,,2wuprdfbbn9mo0paqr5tm7bop,M. Mallahi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448081767,5,45,1,0,10,eh54mfvjtrttgsg1wbjnvxcqz,0,56.4,88,2022-08-19T18:02:47.155Z,2022-08-19T18:02:53Z,3716855349,233,5,3716854811,56,Left,3716854815,285,,,,,,,,,,,,,,,,,46wxtiry28k7j3y6gacgf7x4a,S. van der Heijden,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448081835,5,3,1,0,10,7rmv5ns2rj7bn4otpkur0mx0x,1,43.6,12,2022-08-19T18:02:47.155Z,2022-08-19T18:02:52Z,3716855173,286,,3716855171,56,Back,3716855331,233,5,,,,,,,,,,,,,,,,2wuprdfbbn9mo0paqr5tm7bop,M. Mallahi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
