id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,assist
2519867751,1,34,16,0,0,dvmw7d6jb38qvv7e6ziwu0vyr,1,0,0,2023-03-13T18:25:47.680Z,2023-03-13T19:23:07Z,4096464531,130,12,4096464535,194,eu901b75l2ly5p48jdw6kwmad,4096464527,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4096464537,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4096464533,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4096464525,30,"3oduk9niyqml47z7wramkxhw5, 97p6b1r72br3soq4k7fpjnrl6, bnkzwpd607re6s01oa77wcodm, 7hsyytjjg6zw5knvav9xybbh1, eu901b75l2ly5p48jdw6kwmad, 1r67co8q0ktlqe5209xm6sxec, e0mrzdikm67yw88563zgovb6y, dej8tywq0npvbm25sfgtqur1m, c3j7ddqg0yzporam6gieibgiy, 5f8ajd8cgyvmmdzr0lzi1gtii, 3j368501ogr8mt2jdb7mby8h6, d4z4gdds9hajylsy2hh5b78q, ak5exy1iztbo0mqloqdwiag6i, ar47jfq139xyic4pvdhefduga, csqt518tes7ct8ht2yryes9g5, 2v12tmspdosmwic2h6itfz0x6, b0yxbu9af1b0jc1odpwzvd7je, bitv8dp51g02iyf6o3elxnoix, 8afjc5w0g2wk4hebm0lrcncb8, coxuin3vr6nkynlvcsvzphjl6, 3v2grfhuisr456ibcvqjfx4yy, 6plxmzzrxmkhogrob8fdeunkl",4096464529,59,"1, 99, 7, 33, 3, 27, 17, 20, 25, 22, 8, 2, 5, 10, 11, 12, 14, 28, 30, 32, 45, 77",4096553537,197,2671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519869257,1,34,16,0,0,e8hiwrw6ocxm5iht6sp7jiv19,1,0,0,2023-03-13T18:30:32.265Z,2023-03-13T19:16:00Z,4096473245,59,"39, 45, 4, 17, 5, 2, 7, 6, 9, 35, 11, 10, 14, 15, 22, 23, 24, 28, 34",4096473241,30,"a8fr8gzw2n7gyl4kb58xjtknp, 1hpmrfb0mbmevf9edj0o0bv56, 8z4wdv767cv7ddqgrkz5txsrt, b4a2wu8fdbrh5sirpv34hoewa, b1zeqxuwoyzx1eukf18ptdgq, 5dxleurgfe6483pe7qvyc00es, 4nz928h6p0nl8p161dxg55pn8, 9knokmhy9zckjq0gv7txx9zsa, b1yxo0olp9c2ufh1l1qxsef9x, eybrr6zz7x6d1ftc7u4vphn85, 5l4fkm9a0pvfi9qiy6gipf71m, bdpso3uk915bg1tr1d7s0p7je, 7a1f6wedz8jtcvn58d5pomm8k, dbku5mn74cqjzu7o91vzrlbtg, 79pqhm8r572k3lqz38kfl4x9m, axhjtqfa2xxud2tdle8zfxrkl, dineetneurorxpx1yv0v8tega, 17oeipaq6y7pvs42fpx9oy9uy, 9l5hp0tmizix8z6h5b5vqvhm1",4096473249,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4096473253,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4096552833,197,451,4096473247,130,8,4096473243,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",4096473251,194,8z4wdv767cv7ddqgrkz5txsrt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519884525,2,32,1,0,0,e8hiwrw6ocxm5iht6sp7jiv19,1,0,0,2023-03-13T19:16:36.128Z,2023-03-13T19:16:37Z,4096557907,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519884519,3,32,1,0,0,dvmw7d6jb38qvv7e6ziwu0vyr,1,0,0,2023-03-13T19:16:36.128Z,2023-03-13T19:16:36Z,4096557871,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519884529,4,1,1,0,0,dvmw7d6jb38qvv7e6ziwu0vyr,1,49.8,50.1,2023-03-13T19:16:36.228Z,2023-03-13T21:40:01Z,4096557923,56,Back,4096557935,213,3.7,4096557931,141,48.2,4096557929,140,47.9,4096557937,279,S,4096557933,212,2.4,,,,,,,c3j7ddqg0yzporam6gieibgiy,C. Brym,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519884543,5,1,1,0,1,dvmw7d6jb38qvv7e6ziwu0vyr,1,47.9,48.2,2023-03-13T19:16:37.723Z,2023-03-13T19:16:39Z,4096558015,212,16.2,4096558017,213,2.7,4096558013,141,57.6,4096558011,140,33.7,4096558009,56,Back,,,,,,,,,,5f8ajd8cgyvmmdzr0lzi1gtii,E. Rottier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519884553,6,1,1,0,3,dvmw7d6jb38qvv7e6ziwu0vyr,1,33.7,58.2,2023-03-13T19:16:39.548Z,2023-03-13T19:16:42Z,4096558071,213,2.2,4096558063,56,Back,4096558067,141,80.3,4096558069,212,18.4,4096558065,140,23.6,,,,,,,,,,3j368501ogr8mt2jdb7mby8h6,S. van Doorm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519884579,7,1,1,0,6,dvmw7d6jb38qvv7e6ziwu0vyr,1,23.9,77.8,2023-03-13T19:16:42.172Z,2023-03-13T19:16:46Z,4096558217,141,54.3,4096558213,56,Back,4096558215,140,22.4,4096558221,213,4.6,4096558219,212,16.1,,,,,,,,,,7hsyytjjg6zw5knvav9xybbh1,C. Seedorf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519884603,8,1,1,0,10,dvmw7d6jb38qvv7e6ziwu0vyr,1,25.3,45.8,2023-03-13T19:16:46.602Z,2023-03-13T19:16:49Z,4096558335,141,15.2,4096558333,140,25.9,4096558337,212,20.8,4096558331,56,Back,4096558339,213,4.7,,,,,,,,,,eu901b75l2ly5p48jdw6kwmad,M. Amevor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519884615,9,1,1,0,13,dvmw7d6jb38qvv7e6ziwu0vyr,0,26,13.5,2023-03-13T19:16:49.692Z,2023-03-13T19:16:50Z,4096558403,212,7.9,4096558401,141,14.6,4096558397,56,Back,4096558399,140,33.5,4096558405,213,0.1,,,,,,,,,,1r67co8q0ktlqe5209xm6sxec,D. Dorenbosch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
