id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/9/value,qualifier/14/value,qualifier/15/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/13/value
2519865425,1,34,16,0,0,ch82doz9w9t1sw9ae3a4ffh0j,1,0,0,2023-03-13T18:19:08.013Z,2023-03-13T19:01:18Z,4096451427,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4096451425,130,8,4096451419,30,"deb7ysp5fwiouttlarstuxgyc, 81lcssd0e5g5rerdpyjlrkkyc, ealh7n21gctxxw5ol3l3yxzze, 5q6qsh7qw0f9y754i3ylqfl04, 2tu58roj0u0vpaqcaz266a415, 1kuswan9lk455u02x1ff389re, 5nhideyjwp2347ryi1n9wfq50, 1s6yn52hlqtmmz4lerscf457u, d7ml58kwwpetvnw46qja9ru5m, c3akpx5mnexpkslo0sqqezsru, 2n5747kdxok0ifg5o37336plg, enyk37znns1ie2djrh4y3uck4, d2jjigs2ovi8jbogk8klnoqac, ah3d8xugrx3pqaqxcmg06iyok, a6vduk9b8pcf250he49x1vitw, ed5sclhs7op7a2mdvetub4dwq, et56bifus2obkmtcwzhqpzxn8, 4lsj3yc6adimhltkab6tzfj84, dodkgckgbecal0vivr1jf0hzo, btrg844mxkl6kbn89s7aecj8q, 5i68y1yix8jho6hhje8drhic4",4096451423,59,"1, 2, 5, 6, 3, 14, 11, 8, 10, 7, 9, 17, 31, 23, 21, 22, 16, 19, 20, 18, 15",4096517967,197,2842,4096451431,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4096451429,194,1kuswan9lk455u02x1ff389re,4096451421,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519866501,1,34,16,0,0,2xlnfgrl6r18ftv38unwp7h4s,1,0,0,2023-03-13T18:22:06.048Z,2023-03-13T19:15:07Z,4096457403,130,7,4096457411,194,cla6c6izphee9prb80c15baei,4096457407,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4096457399,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4096457415,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4096457401,59,"1, 2, 5, 6, 3, 4, 7, 8, 9, 10, 11, 21, 15, 18, 22, 23, 16, 14, 17, 20, 19, 25",4096457397,30,"1otm71j1169bt3ivgo2vlj2tw, d9ewnngnsfc0s4hcs282hayhg, 8mkrj5bnkyhx8kutc4656cy96, cla6c6izphee9prb80c15baei, e1islmeew98wa2ge0dicloay2, 7b0vbfxlv3uiozb19fcj2vsyy, 3bepi58wwope38a478y7jwlxw, 9vf02r3geinhsy732oxyrcacq, 7uwe0kxpzg271d8ocms7l2kno, d785q9rpqlyuyswv8f9fx4cno, 1jr23fmrmezgiaq7k63pro07o, pxaq5i4ce7ccg0x04msi0b8, 9yvaqepplk8s4cjqjbtyb24gk, wlltloe6hbe8hin3hix0366s, 47yvsnwrehtn4mwsjcqk4ewyy, vrkanoideipif70wo4adb5lg, 4u12cln8rmtkwlu5q36ypjl2i, cbai2262b47qtezzmkt5ctslw, 8tukt8jsmzkblxxs5w85x4dii, cvbasfoccmz0tijnkxyf57n8q, 8npu0cbqjrhwv5km1w29kh016, clf1gaibzuksl1a4acfu7y0ic",4096554447,197,18631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519877857,2,32,1,0,0,2xlnfgrl6r18ftv38unwp7h4s,1,0,0,2023-03-13T19:00:48.087Z,2023-03-13T19:00:48Z,4096521801,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519877859,2,32,1,0,0,ch82doz9w9t1sw9ae3a4ffh0j,1,0,0,2023-03-13T19:00:48.087Z,2023-03-13T19:00:51Z,4096521805,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519877869,3,1,1,0,0,ch82doz9w9t1sw9ae3a4ffh0j,1,49.6,51.5,2023-03-13T19:00:48.187Z,2023-03-13T19:51:54Z,4096521859,140,39.5,4096521867,279,S,4096521865,213,3.2,4096521857,56,Back,4096521863,212,10.6,4096521861,141,50.9,,,,,,,d7ml58kwwpetvnw46qja9ru5m,A. Descotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519877887,4,1,1,0,2,ch82doz9w9t1sw9ae3a4ffh0j,1,31.1,52.4,2023-03-13T19:00:50.957Z,2023-03-13T19:00:55Z,4096521969,213,4.5,4096521961,56,Back,4096521967,212,29.2,4096521965,141,10.7,4096521963,140,24.3,,,,,,,,,,1s6yn52hlqtmmz4lerscf457u,R. Shein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519877917,5,1,1,0,6,ch82doz9w9t1sw9ae3a4ffh0j,1,24.4,10.9,2023-03-13T19:00:54.701Z,2023-03-13T19:00:59Z,4096522091,140,33.9,4096522093,141,5.3,4096522089,56,Back,4096522095,212,10.7,4096522097,213,5.9,,,,,,,,,,81lcssd0e5g5rerdpyjlrkkyc,A. Boumenjal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519877927,6,1,1,0,10,ch82doz9w9t1sw9ae3a4ffh0j,0,32.8,17,2023-03-13T19:00:58.973Z,2023-03-13T19:01:00Z,4096522121,141,19.8,4096522117,56,Back,4096522123,212,1.9,4096522125,213,1.6,4096522119,140,32.7,,,,,,,,,,5nhideyjwp2347ryi1n9wfq50,D. Sanches Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519877931,3,61,1,0,12,2xlnfgrl6r18ftv38unwp7h4s,1,72.2,80.5,2023-03-13T19:01:00.282Z,2023-03-13T19:01:00Z,4096522131,56,Left,,,,,,,,,,,,,,,,,,,,,,d785q9rpqlyuyswv8f9fx4cno,M. Nassoh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519877949,4,49,1,0,14,2xlnfgrl6r18ftv38unwp7h4s,1,65.3,64.5,2023-03-13T19:01:02.892Z,2023-03-13T19:01:03Z,,,,,,,,,,,,,,,,,,,,,,,,,7uwe0kxpzg271d8ocms7l2kno,J. van Duiven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
