id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,assist,qualifier/15/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2454473217,1,34,16,0,0,cv5ftekuejf0ryxvd5h2my47r,1,0,0,2022-09-02T17:07:58.267Z,2022-09-02T18:00:08Z,3750845461,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3750970937,197,917,3750845463,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3750845459,130,4,3750845453,30,"dhb6r3msmmayy7v0b1gb40445, 3p95pudljhqzrnegmko7z56uh, 5pg02unrm16jaa8vt5ego9z6y, aasoq3euk6e6zqhh08n0wocet, b3gyml6d5i3lqxsnh072nhuqd, 7i9hjqjogg1iowfo4fu5zpcyd, qgusrrldd48qxku8yna03ap5, a69sa0h7lgpmlav961cpejbe2, alimpjocr7xtxu21sumg3b2l1, d6rg9ntx9qa2eh8yiflbke1ux, 3jyb1qtjsf7li8zunui2qpq3u, 1du03mqsc0o6i4e64n7pzr6ui, 8qc6u3zsblb62it6519a4b6cp, 40l3vtezw1ofwk2occi4z5w45, zhnev5uetomme6rpisaa7wiy, e74wy7br5zhkds5s73ip0tg4, 72d57i3mfqxtbsmm196kdv0fd, 5et3jsqqhg08ykfqgdniq8fhm, a750kxhudgz2pgboao4iw2mfo, 8z868vetpqyeatv2rtfwpsbje, dzet4aycjrqmpv1lzp9ekqzje",3750846369,194,alimpjocr7xtxu21sumg3b2l1,3750845457,59,"38, 13, 5, 16, 4, 2, 8, 23, 9, 10, 11, 1, 6, 7, 12, 14, 17, 19, 20, 29, 30",3750845455,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454479453,1,34,16,0,0,ch82doz9w9t1sw9ae3a4ffh0j,1,0,0,2022-09-02T17:18:00.828Z,2022-09-02T18:14:16Z,3750878029,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3750878039,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3750970245,197,2842,3750878035,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3750878033,130,13,3750878027,30,"c1krps0yssh477m8umrruiqjt, cvobl9pqqtj7hrgtu28grvdre, ealh7n21gctxxw5ol3l3yxzze, 1kuswan9lk455u02x1ff389re, c6i4usq34m3389rtbqptahrai, 84isfq4ix06ebaf7a7jcvd9wq, df5rxx2r305pdtf28967fuxyi, ed5sclhs7op7a2mdvetub4dwq, dodkgckgbecal0vivr1jf0hzo, 5nhideyjwp2347ryi1n9wfq50, c3akpx5mnexpkslo0sqqezsru, 8r3k1iuul274c0ha0vy90jys, 2n5747kdxok0ifg5o37336plg, enyk37znns1ie2djrh4y3uck4, c2d9oidweb7cj1g39jwuugro4, deb7ysp5fwiouttlarstuxgyc, asvxbmdd5j5tlz2fo1jpcrrx0, 4lsj3yc6adimhltkab6tzfj84, 5q6qsh7qw0f9y754i3ylqfl04, et56bifus2obkmtcwzhqpzxn8",3750878037,194,ed5sclhs7op7a2mdvetub4dwq,3750878031,59,"1, 2, 11, 5, 14, 3, 8, 6, 9, 7, 10, 21, 20, 17, 23, 16, 15, 19, 18, 31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454498401,2,32,1,0,0,cv5ftekuejf0ryxvd5h2my47r,1,0,0,2022-09-02T18:02:52.273Z,2022-09-02T18:02:54Z,3750978997,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454498385,2,32,1,0,0,ch82doz9w9t1sw9ae3a4ffh0j,1,0,0,2022-09-02T18:02:52.273Z,2022-09-02T18:02:52Z,3750978949,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454498441,3,1,1,0,0,ch82doz9w9t1sw9ae3a4ffh0j,1,50,50,2022-09-02T18:02:52.373Z,2022-09-02T18:02:55Z,3750979189,213,3.1,3750979185,141,52.5,3750979181,56,Back,3750979187,212,21.7,3750979183,140,29.4,3750979191,279,S,,,,,,,dodkgckgbecal0vivr1jf0hzo,M. Rijks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454498503,4,1,1,0,3,ch82doz9w9t1sw9ae3a4ffh0j,1,28.1,49.7,2022-09-02T18:02:55.847Z,2022-09-02T18:03:00Z,3750979479,212,50.3,3750979481,213,5.8,3750979483,1,,3750979475,140,71.1,3750979477,141,17.0,3750979471,155,,3750979473,56,Right,,,,c6i4usq34m3389rtbqptahrai,R. Meissen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454498513,5,44,1,0,7,ch82doz9w9t1sw9ae3a4ffh0j,1,64.1,22.4,2022-09-02T18:02:59.312Z,2022-09-02T18:03:01Z,3750979519,286,,3750979551,233,3,3750979517,56,Center,,,,,,,,,,,,,,,,5nhideyjwp2347ryi1n9wfq50,D. Sanches Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454498487,3,44,1,0,7,cv5ftekuejf0ryxvd5h2my47r,0,35.9,77.6,2022-09-02T18:02:59.313Z,2022-09-02T18:03:01Z,3750979557,233,5,3750979385,285,,3750979379,56,Back,,,,,,,,,,,,,,,,7i9hjqjogg1iowfo4fu5zpcyd,B. Koglin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454498519,6,1,1,0,7,ch82doz9w9t1sw9ae3a4ffh0j,0,71.1,17,2022-09-02T18:03:00.046Z,2022-09-02T18:59:53Z,3750979569,140,79.4,3750979575,213,6.2,3750979565,168,,3750979571,141,16.5,3750979567,56,Right,3750979563,3,,3750979573,212,8.7,,,,5nhideyjwp2347ryi1n9wfq50,D. Sanches Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454498523,4,49,1,0,9,cv5ftekuejf0ryxvd5h2my47r,1,25.4,82.1,2022-09-02T18:03:02.072Z,2022-09-02T18:03:02Z,,,,,,,,,,,,,,,,,,,,,,,,,5pg02unrm16jaa8vt5ego9z6y,S. Janssen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
