id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/11/value,qualifier/13/value,qualifier/9/value,qualifier/16/value,assist,qualifier/18/id,qualifier/18/qualifierId
2503343439,1,34,16,0,0,2xlnfgrl6r18ftv38unwp7h4s,1,0,0,2023-02-03T18:11:45.467Z,2023-02-03T19:07:25Z,4009247065,30,"1otm71j1169bt3ivgo2vlj2tw, d9ewnngnsfc0s4hcs282hayhg, 7b0vbfxlv3uiozb19fcj2vsyy, cla6c6izphee9prb80c15baei, e1islmeew98wa2ge0dicloay2, 2x0hbry9gpcq5cbujdee5u904, 8tukt8jsmzkblxxs5w85x4dii, d785q9rpqlyuyswv8f9fx4cno, 7uwe0kxpzg271d8ocms7l2kno, eukc9fng5jfasmr9i814nq8t0, 1jr23fmrmezgiaq7k63pro07o, pxaq5i4ce7ccg0x04msi0b8, 9yvaqepplk8s4cjqjbtyb24gk, wlltloe6hbe8hin3hix0366s, vrkanoideipif70wo4adb5lg, 4u12cln8rmtkwlu5q36ypjl2i, 8mkrj5bnkyhx8kutc4656cy96, 8npu0cbqjrhwv5km1w29kh016, 3bepi58wwope38a478y7jwlxw",4009247073,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4009247069,59,"1, 2, 5, 6, 3, 4, 7, 10, 9, 8, 11, 21, 15, 14, 23, 16, 18, 20, 19",4009247067,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",4009247071,130,8,4009247077,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4009312893,197,2830,4009247075,194,cla6c6izphee9prb80c15baei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503344879,1,34,16,0,0,1fttb31hnskynpku8qd09yhm8,1,0,0,2023-02-03T18:16:01.381Z,2023-02-03T19:31:28Z,4009254159,30,"6q72mpmc478hlf4f7ths9ez56, dolfy51fw3jycb0cfhoecbo16, 124bbojic7k5medlvgvxmcm39, a49001euf7xwpx5wodembjbo5, 9o41me3111mj3zl4lxqqhvod0, 9jofs3271wn4cwlkj9hfay7vu, 14csdlb8p0tnj6zqrs148ct1w, dmtsvsqvdoqqtmrset0uz0and, bs14utcyx2am6s46cuv52nf56, ebnm8xj9pggemio5qay9pcc0l, d1dq7upxtawnps3wljz6wf9jo, c46xp363o8m76eswzfmlsel4a, ccmmsnrfn58gwi1petlp08f3e, bdtti3sckhcppilsisgu7well, 48sqqhgtmfmpqb3602iirspd6, 673zq55hik8gvoj5ednuemg2x, 4lnhhxtl72v8wlss3xgrrbr2t, 9vu68zcajmrqmkkchmpdrebu2, 4qcx1ql4jxov8vncghnqud5d6, 88e3xx835uqx9x850y6u0dbai, 5b7rnpnnllz8qdc6fx2c5mzje, a59aos4xq3vklv2joqa09axre, evz953s9rvki1w9c3hsljss7p",4009254171,194,a49001euf7xwpx5wodembjbo5,4009254169,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4009254163,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4009312723,197,16350,4009254167,130,23,4009254165,59,"1, 20, 23, 18, 38, 22, 39, 14, 9, 7, 28, 5, 10, 11, 17, 21, 25, 26, 34, 35, 36, 46, 40",4009254173,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503357827,2,32,1,0,0,1fttb31hnskynpku8qd09yhm8,1,0,0,2023-02-03T19:02:02.605Z,2023-02-03T19:02:06Z,4009319013,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503357785,2,32,1,0,0,2xlnfgrl6r18ftv38unwp7h4s,1,0,0,2023-02-03T19:02:02.605Z,2023-02-03T19:02:02Z,4009318827,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503357833,3,1,1,0,0,2xlnfgrl6r18ftv38unwp7h4s,1,50.1,50.1,2023-02-03T19:02:02.705Z,2023-02-03T19:02:18Z,4009319043,212,24.8,4009319039,140,26.9,4009319041,141,56.7,4009319047,279,S,4009319037,56,Back,4009319045,213,3.0,,,,,,,8tukt8jsmzkblxxs5w85x4dii,D. Sealy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503357881,4,1,1,0,4,2xlnfgrl6r18ftv38unwp7h4s,0,29.1,53,2023-02-03T19:02:06.650Z,2023-02-03T19:02:12Z,4009319407,1,,4009319383,212,60.0,4009319359,140,74.1,4009319345,56,Right,4009319295,157,,4009319395,213,5.6,4009319373,141,0.0,,,,2x0hbry9gpcq5cbujdee5u904,E. van de Blaak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503357949,3,5,1,0,9,1fttb31hnskynpku8qd09yhm8,1,25.2,101.2,2023-02-03T19:02:11.959Z,2023-02-03T21:05:08Z,4009319707,56,Back,4009319731,233,5,4009319709,347,,,,,,,,,,,,,,,,,124bbojic7k5medlvgvxmcm39,Manel Royo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503357901,5,5,1,0,9,2xlnfgrl6r18ftv38unwp7h4s,0,74.8,-1.2,2023-02-03T19:02:11.959Z,2023-02-03T19:02:20Z,4009319437,347,,4009319775,233,3,4009319433,56,Right,,,,,,,,,,,,,,,,2x0hbry9gpcq5cbujdee5u904,E. van de Blaak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503357997,4,1,1,0,17,1fttb31hnskynpku8qd09yhm8,1,25.6,100,2023-02-03T19:02:20.114Z,2023-02-03T19:02:24Z,4009319933,140,44.3,4009319939,213,5.4,4009319931,56,Back,4009319941,1,,4009319929,107,,4009319935,141,64.9,4009319937,212,31.6,,,,124bbojic7k5medlvgvxmcm39,Manel Royo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503358015,5,1,1,0,21,1fttb31hnskynpku8qd09yhm8,1,44.3,64.9,2023-02-03T19:02:24.275Z,2023-02-03T19:51:01Z,4009320025,141,40.6,4009320029,213,5.2,4009320027,212,18.9,4009320021,56,Center,4009320023,140,53.1,,,,,,,,,,ebnm8xj9pggemio5qay9pcc0l,A. Limbombe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503358053,6,1,1,0,23,1fttb31hnskynpku8qd09yhm8,1,53.1,40.6,2023-02-03T19:02:26.131Z,2023-02-03T19:51:14Z,4009320201,140,54.0,4009320207,213,4.8,4009320205,212,21.4,4009320199,56,Right,4009320203,141,9.1,,,,,,,,,,14csdlb8p0tnj6zqrs148ct1w,J. Ritmeester van de Kamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503358073,7,1,1,0,27,1fttb31hnskynpku8qd09yhm8,1,54.5,7,2023-02-03T19:02:29.946Z,2023-02-03T19:02:33Z,4009320321,56,Right,4009320323,140,71.0,4009320325,141,5.3,4009320329,213,6.2,4009320327,212,17.4,,,,,,,,,,dolfy51fw3jycb0cfhoecbo16,H. Akujobi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503358095,8,1,1,0,30,1fttb31hnskynpku8qd09yhm8,1,71,5.3,2023-02-03T19:02:33.099Z,2023-02-03T19:51:13Z,4009320461,140,44.9,4009320463,141,18.6,4009320465,212,28.9,4009320459,56,Back,4009320467,213,2.8,,,,,,,,,,14csdlb8p0tnj6zqrs148ct1w,J. Ritmeester van de Kamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503358115,9,1,1,0,33,1fttb31hnskynpku8qd09yhm8,1,42.1,27.7,2023-02-03T19:02:35.915Z,2023-02-03T19:02:38Z,4009320559,140,42.0,4009320557,56,Back,4009320565,213,1.6,4009320563,212,26.9,4009320561,141,67.3,,,,,,,,,,9o41me3111mj3zl4lxqqhvod0,J. Pinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503358131,10,1,1,0,36,1fttb31hnskynpku8qd09yhm8,1,41.8,66.9,2023-02-03T19:02:38.659Z,2023-02-03T19:02:41Z,4009320695,213,4.5,4009320693,212,24.9,4009320689,140,37.6,4009320687,56,Back,4009320691,141,30.9,,,,,,,,,,9jofs3271wn4cwlkj9hfay7vu,T. Barbet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503358157,11,1,1,0,39,1fttb31hnskynpku8qd09yhm8,1,38.8,30.7,2023-02-03T19:02:41.619Z,2023-02-03T19:02:43Z,4009320811,141,32.4,4009320809,140,46.4,4009320815,213,0.1,4009320813,212,8.1,4009320807,56,Back,,,,,,,,,,9o41me3111mj3zl4lxqqhvod0,J. Pinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
