id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/10/value,qualifier/15/id,qualifier/15/qualifierId,assist,qualifier/13/value,qualifier/15/value
2495328435,1,34,16,0,0,zjawy6qdzk3y69v5pa3zl2cb,1,0,0,2023-01-06T18:15:03.303Z,2023-01-06T19:12:23Z,3967187329,197,9130,3967131921,59,"1, 25, 27, 4, 5, 3, 21, 24, 10, 9, 6, 12, 7, 8, 11, 14, 18, 20, 23, 28, 29, 50",3967131913,30,"8l31bne12p5cp51o46h92zjrp, ajt9gf8zqsc3m6z4kof5m99ii, da3d2iu2j4yb7q1ag063mu44q, 1qqqigufis9zdf4mdqt6mgfl5, 46oot98163lb6atyes4j0mup5, 476jyuzjm08o0d5g3t4nh1cyd, m10ml783dkbr4i0fpb06cm3t, 5wg2ysvwk3q67osv2nnbav4yx, 2pva2d9if0phol0efqnur68a2, c78t1bgro2lh7gvw8rwi6p239, 61wt62anweh75oguqg0vbozu2, dltjumosk5kv9xw8yju2e1hqs, 4j7mtyvi7jg9e4ontiyt9vwbu, 9tmi00hx820vuwghg30jhzidx, 5t2yht2zjn4g7otqpaer3ia22, e7vke1zwf6w6xvxtsi2b8f9m2, 9jx0oun9o3zqncgu9axt2qxka, 53c63f5ekinmj6bquc3rbsbxm, dh8jo5uq1oq0qv7gpu5rrbwx6, 9fb368ot1vtjx63e4l4y0ss9g, adp5a6klr2nygqjmdd1ekc8kq, 3h8gqv4l0lrls9day28t1sw0k",3967131917,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3967131929,194,c78t1bgro2lh7gvw8rwi6p239,3967131931,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3967131927,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3967131925,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495328471,1,34,16,0,0,dnzj0iv5qtaemm9kthh9pos8q,1,0,0,2023-01-06T18:15:13.453Z,2023-01-06T19:18:57Z,3967132041,194,dh3ksith5iat573zuhdhv91w5,3967132043,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3967132033,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3967132031,30,"alzgg0nxnnex3nkzr6lgmt1ey, dcdvet7azx1a59xm2ke7qi2cq, 4zow18ykkg1gvw40r7jsrzkl, 8uw9w30592omb8acpnssgdlh, 7cetznpb0tnu6kdz7bvm8gyxh, 1jn9jog8ou8uxnmypneksizxm, bquqyyfz4lj0xrerbhbtj1jze, dh3ksith5iat573zuhdhv91w5, 1mroid71v9bwpx0iaospei9gq, 5chl0qcvbbkd0yeogurw1fz6x, au91rqig6uyyi1zdmlxydk38q, cexuwvet4xiruf1jitkjjp7qi, 5c5quyl7qxptstbge87w2eqqx, 4z8o35izc3gx6i2bt4mcs1fjd, 5ffbqf6o50173uqvaefnce4gk, fjistzkvlbsa2v7xsnu0uy95, 9tj2yr6ep9hsignf7cjn7wnl6, b950jt347chmq9whlkgl6fxpm",3967132035,59,"1, 2, 12, 19, 15, 4, 18, 8, 28, 23, 6, 3, 9, 16, 21, 22, 30, 39",3967132037,130,4,3967132039,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3967248769,197,2848,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495339271,2,32,1,0,0,dnzj0iv5qtaemm9kthh9pos8q,1,0,0,2023-01-06T19:02:59.065Z,2023-01-06T19:03:00Z,3967191221,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495339261,2,32,1,0,0,zjawy6qdzk3y69v5pa3zl2cb,1,0,0,2023-01-06T19:02:59.065Z,2023-01-06T19:02:59Z,3967191193,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495339279,3,1,1,0,0,zjawy6qdzk3y69v5pa3zl2cb,1,49.9,50.1,2023-01-06T19:02:59.165Z,2023-01-06T19:03:01Z,3967191273,279,S,3967191265,140,37.1,3967191267,141,41.9,3967191271,213,3.5,3967191263,56,Back,3967191269,212,14.6,,,,,,,c78t1bgro2lh7gvw8rwi6p239,G. Plet,,,,,,,,,,,,,,,,,,,,,,,,,,
2495339315,4,1,1,0,2,zjawy6qdzk3y69v5pa3zl2cb,1,37.1,41.9,2023-01-06T19:03:01.638Z,2023-01-06T19:56:19Z,3967191465,141,73.1,3967191467,212,22.3,3967191469,213,1.9,3967191463,140,30.5,3967191461,56,Back,,,,,,,,,,m10ml783dkbr4i0fpb06cm3t,A. Najah,,,,,,,,,,,,,,,,,,,,,,,,,,
2495339339,5,1,1,0,6,zjawy6qdzk3y69v5pa3zl2cb,1,30.5,73.1,2023-01-06T19:03:06.057Z,2023-01-06T19:56:25Z,3967191607,213,3.7,3967191599,56,Back,3967191605,212,7.2,3967191601,140,24.8,3967191603,141,67.1,,,,,,,,,,5wg2ysvwk3q67osv2nnbav4yx,T. Oude Kotte,,,,,,,,,,,,,,,,,,,,,,,,,,
2495339353,6,1,1,0,8,zjawy6qdzk3y69v5pa3zl2cb,1,24.8,67.1,2023-01-06T19:03:07.537Z,2023-01-06T20:58:28Z,3967191659,141,75.3,3967191663,213,0.3,3967191655,56,Back,3967191661,212,18.5,3967191657,140,41.6,,,,,,,,,,46oot98163lb6atyes4j0mup5,D. Blackson,,,,,,,,,,,,,,,,,,,,,,,,,,
2495339369,7,1,1,0,10,zjawy6qdzk3y69v5pa3zl2cb,1,39.8,73.7,2023-01-06T19:03:09.726Z,2023-01-06T19:56:39Z,3967191737,212,21.1,3967191735,141,95.4,3967191733,140,54.1,3967191739,213,0.8,3967191731,56,Left,,,,,,,,,,5wg2ysvwk3q67osv2nnbav4yx,T. Oude Kotte,,,,,,,,,,,,,,,,,,,,,,,,,,
2495339375,8,1,1,0,12,zjawy6qdzk3y69v5pa3zl2cb,0,54.1,95.4,2023-01-06T19:03:12.027Z,2023-01-06T19:03:13Z,3967191763,56,Left,3967191775,212,5.4,3967191779,213,5.6,3967191771,141,90.6,3967191767,140,58.2,,,,,,,,,,da3d2iu2j4yb7q1ag063mu44q,J. Mulder,,,,,,,,,,,,,,,,,,,,,,,,,,
