id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,keyPass,qualifier/11/value,qualifier/12/value,qualifier/13/value,qualifier/9/value,qualifier/16/value
2443862227,1,34,16,0,0,6lzy9iiqoysvtdsgx719fng9n,1,0,0,2022-08-08T17:18:53.145Z,2022-08-08T18:06:33Z,3694378915,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3694378909,130,8,3694378903,30,"ed0pwegj0n6iwb6oa52obcsgk, 1x6fhuy49w4rpnyavwotbf504, 47l204bkq2qqjhtazusr0019m, b8ixf31bdyfqqcwoy4ulai73e, 3z9bdfblis9tl3e1uo7e72h62, 4gso82x236c4xe0eovfr50sfd, 2x44f29a52v8kpkkjsuiiywdm, 2zkaf848fjcdhuii8783pkm7e, 80i3boeh7f1ghu4ka7r66izje, 9nix5y8xcj34ps62r34udtqwa, alfx6xxo38q6hmydbcr0rw67e, 6m0pdqqontm1tfxayxku0kv3e, dlgqk5qe96gaxeq8vu4dozyms, 31v89l4k38v1wpisz7xhkq38, f593mnttzie8gicqlig2zvzvu, 5hkkwzs8wgjj94vfe922nvthw, 7d8a2cp7xza48arxctlpqrvh0, a7vlgirln231n3dqjhb72o0es, 9pox9siobczxr9fv3fvvx3h1w, baghnvel8qsn5k9s79jiyldnu, 68hoounwudpjrr2wmovkyvswk",3694431893,197,2828,3694378911,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3694378907,59,"1, 2, 5, 8, 3, 4, 7, 6, 9, 10, 11, 18, 19, 22, 21, 16, 17, 15, 23, 20, 12",3694378913,194,b8ixf31bdyfqqcwoy4ulai73e,3694378905,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443863077,1,34,16,0,0,zjawy6qdzk3y69v5pa3zl2cb,1,0,0,2022-08-08T17:22:27.571Z,2022-08-08T18:15:21Z,3694447113,197,16428,3694383901,59,"1, 16, 27, 24, 6, 3, 17, 12, 9, 21, 8, 7, 2, 5, 11, 14, 18, 20, 23, 28, 29",3694383897,30,"8l31bne12p5cp51o46h92zjrp, 88vryegnhss2q5xz8aoj2phey, da3d2iu2j4yb7q1ag063mu44q, 5wg2ysvwk3q67osv2nnbav4yx, 61wt62anweh75oguqg0vbozu2, 476jyuzjm08o0d5g3t4nh1cyd, blu3rrhzier5ivp5p9u78448a, a49duk4f5m5zmyvwht0ikal05, c78t1bgro2lh7gvw8rwi6p239, m10ml783dkbr4i0fpb06cm3t, 9tmi00hx820vuwghg30jhzidx, 4j7mtyvi7jg9e4ontiyt9vwbu, ag4gnhbvomc0q9ohvkyroftas, 46oot98163lb6atyes4j0mup5, 5t2yht2zjn4g7otqpaer3ia22, e7vke1zwf6w6xvxtsi2b8f9m2, 9jx0oun9o3zqncgu9axt2qxka, 53c63f5ekinmj6bquc3rbsbxm, dh8jo5uq1oq0qv7gpu5rrbwx6, 9fb368ot1vtjx63e4l4y0ss9g, adp5a6klr2nygqjmdd1ekc8kq",3694383899,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3694383903,130,11,3694383909,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3694383905,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3694383907,194,c78t1bgro2lh7gvw8rwi6p239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443871925,2,32,1,0,0,6lzy9iiqoysvtdsgx719fng9n,1,0,0,2022-08-08T18:02:07.679Z,2022-08-08T18:02:07Z,3694434205,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443871927,2,32,1,0,0,zjawy6qdzk3y69v5pa3zl2cb,1,0,0,2022-08-08T18:02:07.679Z,2022-08-08T18:02:11Z,3694434217,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443871935,3,1,1,0,0,6lzy9iiqoysvtdsgx719fng9n,1,49.8,50,2022-08-08T18:02:07.779Z,2022-08-08T18:02:12Z,3694434261,279,S,3694434251,56,Back,3694434259,213,2.9,3694434253,140,35.0,3694434255,141,55.5,3694434257,212,16.0,,,,,,,80i3boeh7f1ghu4ka7r66izje,C. Rasmussen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443871937,4,1,1,0,3,6lzy9iiqoysvtdsgx719fng9n,1,35.4,62.7,2022-08-08T18:02:10.982Z,2022-08-08T18:02:24Z,3694434269,140,28.7,3694434271,141,88.4,3694434273,212,18.8,3694434267,56,Back,3694434275,213,2.0,,,,,,,,,,b8ixf31bdyfqqcwoy4ulai73e,K. Fitz-Jim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443871945,5,1,1,0,4,6lzy9iiqoysvtdsgx719fng9n,1,28.7,88.4,2022-08-08T18:02:12.341Z,2022-08-08T18:02:16Z,3694434319,56,Back,3694434321,140,22.6,3694434325,212,11.3,3694434327,213,4.1,3694434323,141,74.7,,,,,,,,,,47l204bkq2qqjhtazusr0019m,Y. Baas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443871955,6,1,1,0,8,6lzy9iiqoysvtdsgx719fng9n,0,27.5,79.3,2022-08-08T18:02:16.245Z,2022-08-08T20:10:00Z,3694434345,141,78.4,3694434353,1,,3694434347,212,33.9,3694434341,56,Center,3694434349,213,6.3,3694434343,140,59.8,,,,,,,4gso82x236c4xe0eovfr50sfd,K. Pierie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443871965,3,1,1,0,8,zjawy6qdzk3y69v5pa3zl2cb,0,44.3,27,2022-08-08T18:02:16.637Z,2022-08-08T18:21:44Z,3694434401,140,54.2,3694434399,56,Right,3694434405,212,21.8,3694434407,213,5.2,3694434397,157,,3694434403,141,0.0,3694434409,1,,,,,61wt62anweh75oguqg0vbozu2,A. Bensabouh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443871967,4,5,1,0,10,zjawy6qdzk3y69v5pa3zl2cb,1,56.1,-1.1,2022-08-08T18:02:18.187Z,2022-08-08T18:02:45Z,3694434411,56,Right,3694434505,233,7,3694434413,347,,,,,,,,,,,,,,,,,5wg2ysvwk3q67osv2nnbav4yx,T. Oude Kotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443871975,7,5,1,0,10,6lzy9iiqoysvtdsgx719fng9n,0,43.9,101.1,2022-08-08T18:02:18.187Z,2022-08-08T19:59:53Z,3694434465,56,Back,3694434497,233,4,3694434467,347,,,,,,,,,,,,,,,,,4gso82x236c4xe0eovfr50sfd,K. Pierie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443872017,5,1,1,0,25,zjawy6qdzk3y69v5pa3zl2cb,1,54.2,0,2022-08-08T18:02:32.964Z,2022-08-08T18:31:58Z,3694434769,213,2.7,3694434763,140,30.5,3694434929,107,,3694434765,141,17.5,3694434767,212,27.9,3694434761,56,Back,3694434931,1,,,,,88vryegnhss2q5xz8aoj2phey,J. Kruiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443872033,6,1,1,0,27,zjawy6qdzk3y69v5pa3zl2cb,1,29.5,18.6,2022-08-08T18:02:35.267Z,2022-08-08T18:22:07Z,3694434867,141,49.3,3694434865,140,27.8,3694434869,212,21.0,3694434863,56,Back,3694434871,213,1.7,,,,,,,,,,476jyuzjm08o0d5g3t4nh1cyd,M. Apau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443872053,7,1,1,0,32,zjawy6qdzk3y69v5pa3zl2cb,1,27.1,50.9,2022-08-08T18:02:39.699Z,2022-08-08T18:22:12Z,3694435029,213,3.1,3694435023,140,9.5,3694435027,212,18.5,3694435025,141,51.9,3694435021,56,Back,,,,,,,,,,5wg2ysvwk3q67osv2nnbav4yx,T. Oude Kotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443872079,8,1,1,0,40,zjawy6qdzk3y69v5pa3zl2cb,0,13.1,51.9,2022-08-08T18:02:47.763Z,2022-08-08T18:02:53Z,3694435157,213,6.0,3694435155,212,62.5,3694435149,56,Center,3694435159,1,,3694435153,141,27.5,3694435147,155,,3694435151,140,70.5,,,,8l31bne12p5cp51o46h92zjrp,R. Koeman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
