id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/8/value,keyPass,qualifier/9/value,qualifier/12/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/15/value,qualifier/16/value,qualifier/13/value,assist
2476935735,1,34,16,0,0,2xlnfgrl6r18ftv38unwp7h4s,1,0,0,2022-10-24T17:35:20.845Z,2022-10-24T18:08:35Z,3870204615,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3870204617,59,"1, 2, 5, 6, 3, 4, 8, 10, 9, 7, 11, 19, 14, 25, 21, 20, 15, 23, 17, 18, 24, 22, 16",3870204613,30,"4u12cln8rmtkwlu5q36ypjl2i, 2x0hbry9gpcq5cbujdee5u904, cm78w42nflwgvshpnok680mlm, cla6c6izphee9prb80c15baei, e1islmeew98wa2ge0dicloay2, 4iurx3g3hajlatv5gcxsqwm7e, 5yt3hbvzpaqv8lrjgt4ahb78q, d785q9rpqlyuyswv8f9fx4cno, 8npu0cbqjrhwv5km1w29kh016, bx6j2y1hnu63lawn3rdoep1m2, 6nwn2522yescgrx57wkcxjhwq, 2x8ywg6gxd17rqfo5a3iharfu, 7b0vbfxlv3uiozb19fcj2vsyy, 7uwe0kxpzg271d8ocms7l2kno, ix6hcbfujuw3mgefzpsnp2zu, 8mkrj5bnkyhx8kutc4656cy96, a7eyujeyux7nj68ifa7nnndas, amz65a6dp1pwwql1dkonktfys, 8tukt8jsmzkblxxs5w85x4dii, cvbasfoccmz0tijnkxyf57n8q, 3bepi58wwope38a478y7jwlxw, d9ewnngnsfc0s4hcs282hayhg, eola3wwbcxl6yeigrj16a3otm",3870204623,194,4iurx3g3hajlatv5gcxsqwm7e,3870204625,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3870204619,130,4,3870204621,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3870251311,197,2830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476937373,1,34,16,0,0,b94pf87be9ojdgnrs5mst80un,1,0,0,2022-10-24T17:38:36.332Z,2022-10-24T18:09:06Z,3870213523,59,"1, 2, 17, 29, 3, 27, 6, 22, 8, 9, 33, 18, 5, 7, 14, 15, 20, 21, 23, 28, 30",3870213527,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3870213531,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3870213519,30,"2psxvq4l1g9fzgt00cfks96fp, 2pzdedlktluxyj6sq2cd19e51, 5517jd2zp30rsts1hwz6p71uc, 11ngumxajbizagbzpm5kompxx, zihddqvp0sjni8stcio8bgmh, eaaxvzqox27ea3u2j9d6gcd90, cyquj9h6hjwbyp0b68b149qfo, egmubn4rsudpbk05qfv2qlvit, 48wvdjjo0z1j2bac42n9t5jv9, 8im7pgnph2au11blma5pewe09, 1xblfsj8ec5jp17vnhibrk2jt, 3mcj3wypzq3lno1ehc0vif1sl, 3hax3hy9n2wyp1ovvhd6zdk6i, 2gfp8pe55n7oa0mcu5ygi54a, ewcd2lz99d7klo9sh24zt8nl6, 98wf7lrkbzi5f1l26hyxbph7u, 8hjakiipmhtwr07v6h0d414gl, 4ks7mvr9terrodhjx8pg9qtt6, 9rzd3uofuq9ck2n5ihs576z56, 74c5xmju2kvausnr3h9kjijh0, 1icurh5jrnw1e6jdgqxjnhdnu",3870251413,197,17171,3870213529,194,2psxvq4l1g9fzgt00cfks96fp,3870213525,130,4,3870213521,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476943833,2,32,1,0,0,b94pf87be9ojdgnrs5mst80un,1,0,0,2022-10-24T18:01:37.654Z,2022-10-24T18:01:40Z,3870252793,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476943841,2,32,1,0,0,2xlnfgrl6r18ftv38unwp7h4s,1,0,0,2022-10-24T18:01:37.654Z,2022-10-24T18:01:43Z,3870252823,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476943855,3,1,1,0,0,b94pf87be9ojdgnrs5mst80un,1,50,50,2022-10-24T18:01:37.754Z,2022-10-24T18:48:54Z,3870252909,140,30.8,3870252911,141,58.7,3870252907,56,Back,3870252915,213,2.9,3870252917,279,S,3870252913,212,21.0,,,,,,,8im7pgnph2au11blma5pewe09,M. Kaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476943857,4,1,1,0,4,b94pf87be9ojdgnrs5mst80un,0,32.4,57.9,2022-10-24T18:01:42.252Z,2022-10-24T18:48:55Z,3870252929,141,36.1,3870252935,1,,3870252933,213,5.9,3870252923,155,,3870252931,212,42.8,3870252927,140,70.6,3870252925,56,Center,,,,eaaxvzqox27ea3u2j9d6gcd90,D. Dassy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476943861,3,1,1,0,5,2xlnfgrl6r18ftv38unwp7h4s,0,27,69.9,2022-10-24T18:01:43.030Z,2022-10-24T18:01:44Z,3870252945,141,54.3,3870252943,140,42.9,3870252947,212,19.8,3870252939,3,,3870252941,56,Back,3870252949,213,5.7,,,,,,,4iurx3g3hajlatv5gcxsqwm7e,D. Vos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476943877,5,1,1,0,8,b94pf87be9ojdgnrs5mst80un,1,55.5,51.6,2022-10-24T18:01:46.204Z,2022-10-24T18:49:05Z,3870253039,212,8.7,3870253041,213,4.5,3870253033,56,Center,3870253037,141,39.2,3870253031,3,,3870253035,140,53.6,,,,,,,11ngumxajbizagbzpm5kompxx,M. Chacón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476943881,6,44,1,0,10,b94pf87be9ojdgnrs5mst80un,1,52.2,36.9,2022-10-24T18:01:47.858Z,2022-10-24T18:49:07Z,3870253047,286,,3870253045,56,Center,3870253061,233,4,,,,,,,,,,,,,,,,zihddqvp0sjni8stcio8bgmh,F. Van Den Eynden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476943873,4,44,1,0,10,2xlnfgrl6r18ftv38unwp7h4s,0,47.8,63.1,2022-10-24T18:01:47.859Z,2022-10-24T18:01:49Z,3870253017,285,,3870253069,233,6,3870253015,56,Back,,,,,,,,,,,,,,,,6nwn2522yescgrx57wkcxjhwq,Sávio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
