id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist
2478288589,1,34,16,0,0,dnzj0iv5qtaemm9kthh9pos8q,1,0,0,2022-10-28T17:10:19.100Z,2022-10-28T17:59:39Z,3877372909,130,11,3877372903,30,"alzgg0nxnnex3nkzr6lgmt1ey, 5e9ek4qs1dnp69oojzpvrltrd, 4zow18ykkg1gvw40r7jsrzkl, dh3ksith5iat573zuhdhv91w5, 1jn9jog8ou8uxnmypneksizxm, 7cetznpb0tnu6kdz7bvm8gyxh, ebj7cl31vlr8nrltm42ydrdka, bquqyyfz4lj0xrerbhbtj1jze, 6dpxvfpnaua6y4gevop02qc8a, dhxpfe8e618lavr0915m9y2ju, b61yiz3lait78xmlbyzr2vd62, cexuwvet4xiruf1jitkjjp7qi, au91rqig6uyyi1zdmlxydk38q, 5c5quyl7qxptstbge87w2eqqx, 4z8o35izc3gx6i2bt4mcs1fjd, 49xt4lsf38z9yjlg32652zg4q, 8uw9w30592omb8acpnssgdlh, fjistzkvlbsa2v7xsnu0uy95, 5chl0qcvbbkd0yeogurw1fz6x, 1mroid71v9bwpx0iaospei9gq, 9tj2yr6ep9hsignf7cjn7wnl6, b950jt347chmq9whlkgl6fxpm, dcdvet7azx1a59xm2ke7qi2cq",3877372911,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3877372915,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3877372905,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3877473131,197,16934,3877372913,194,dh3ksith5iat573zuhdhv91w5,3877372907,59,"1, 13, 12, 8, 4, 15, 31, 18, 7, 20, 11, 3, 6, 9, 16, 17, 19, 22, 23, 28, 30, 39, 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478290851,1,34,16,0,0,xcevba75jfkrg4s6tl89zl3y,1,0,0,2022-10-28T17:15:03.966Z,2022-10-28T17:59:13Z,3877384465,59,"1, 27, 28, 23, 22, 20, 14, 21, 9, 10, 33, 3, 4, 5, 6, 7, 12, 16, 17, 18, 24, 32, 35",3877384467,130,8,3877384471,194,440ry78r7c0ntspgph192c0r9,3877384461,30,"cf70r39m2wgbijtw0co5t6yfp, 8eribncmewk65x40tn7pvqymt, 3yq9brnhlfinrzrfbzcv99nmd, 7b4jmfu1ejoeci2zmvwuejnys, abgzge9xy445z8rdwa2mcapqt, 969cpy2geokwer9gjapk7zj3e, 5curv1gquatwkxsin86fghvkk, 1n0syrrxf9x7neh3tn19sc89h, 11sxalz1nikiipmp7bxvz33rp, 440ry78r7c0ntspgph192c0r9, ds0hd4ezvb5rw6l95rhbxtq1g, 92mkw4rtoho0gkf3wr19c9iad, 62ft9dfhds3wn0dv650d4gkph, 78t5clx87mnpzn7c5ynoa37x1, 7flz5rsy2e31gbd8udiqg14gl, 3y7w3ngh3kby9mehxe5q7glpl, 7pk87s9s8if4p6iiu5we0j1g4, 1chxk7d4i11x2f16igblexgyc, 3h7rkufywz6c2aye1l5b0ihp0, 96j7klvrblmkwsprx0wk81b10, cglskkkycbja9rjybhui9hdrd, g16sstb2lz1ru2hsba2ml6ju, cipmd3k2nfv0ddic0l8go14gl",3877384463,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3877384469,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3877472719,197,2124,3877384473,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478308921,2,32,1,0,0,dnzj0iv5qtaemm9kthh9pos8q,1,0,0,2022-10-28T18:01:55.056Z,2022-10-28T18:01:55Z,3877476909,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478308925,2,32,1,0,0,xcevba75jfkrg4s6tl89zl3y,1,0,0,2022-10-28T18:01:55.056Z,2022-10-28T18:01:57Z,3877476917,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478308957,3,1,1,0,0,dnzj0iv5qtaemm9kthh9pos8q,1,49.8,51.3,2022-10-28T18:01:55.156Z,2022-10-28T18:01:58Z,3877477057,141,34.5,3877477063,279,S,3877477055,140,27.6,3877477061,213,3.6,3877477053,56,Back,3877477059,212,26.0,,,,,,,6dpxvfpnaua6y4gevop02qc8a,J. Margaritha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478308993,4,1,1,0,3,dnzj0iv5qtaemm9kthh9pos8q,1,27.6,34.5,2022-10-28T18:01:58.525Z,2022-10-28T18:02:02Z,3877477263,141,92.4,3877477269,1,,3877477257,157,,3877477265,212,53.8,3877477259,56,Left,3877477267,213,0.8,3877477261,140,62.5,,,,7cetznpb0tnu6kdz7bvm8gyxh,L. Piqué,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478309001,5,1,1,0,6,dnzj0iv5qtaemm9kthh9pos8q,1,61.8,95.1,2022-10-28T18:02:01.917Z,2022-10-28T18:02:03Z,3877477293,141,80.0,3877477295,212,15.4,3877477289,56,Left,3877477297,213,5.6,3877477291,140,72.7,,,,,,,,,,4zow18ykkg1gvw40r7jsrzkl,D. van der Sluys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478309029,6,1,1,0,7,dnzj0iv5qtaemm9kthh9pos8q,1,72.7,80,2022-10-28T18:02:02.909Z,2022-10-28T18:02:04Z,3877477405,212,13.4,3877477401,140,63.7,3877477407,213,2.4,3877477403,141,93.9,3877477399,56,Left,,,,,,,,,,b61yiz3lait78xmlbyzr2vd62,T. Lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478309035,7,1,1,0,9,dnzj0iv5qtaemm9kthh9pos8q,0,63.2,96.5,2022-10-28T18:02:04.653Z,2022-10-28T18:02:06Z,3877477437,140,68.8,3877477441,212,5.9,3877477505,233,3,3877477435,56,Left,3877477443,213,0.0,3877477439,141,96.5,3877477509,286,,3877477503,236,,4zow18ykkg1gvw40r7jsrzkl,D. van der Sluys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478309043,3,74,1,0,9,xcevba75jfkrg4s6tl89zl3y,1,34,4.4,2022-10-28T18:02:04.654Z,2022-10-28T18:24:53Z,3877477475,56,Back,3877477535,233,7,3877477477,285,,,,,,,,,,,,,,,,,8eribncmewk65x40tn7pvqymt,R. Schouten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
