id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/8/value,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/15/value,assist,qualifier/14/value
2471645661,1,34,16,0,0,bqm1bnp1bh2apyudlz1o1whr3,1,0,0,2022-10-14T17:27:06.433Z,2022-10-14T18:00:25Z,3842248947,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3842248951,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3842248941,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3842248943,59,"12, 32, 21, 16, 2, 4, 8, 31, 10, 7, 9, 1, 3, 5, 15, 17, 22, 23, 24, 28",3842248939,30,"rgspixypiwxuenf1yaukrrop, bk7742h8fac9g6e6wh7nnugkq, eke044f5xni8gdztggk6x4a1h, 2gwigr63tgo2jw460msz2qgwk, axbyqn4r430cilb6lbnzpbuvo, 7d9x6ojih9obktxl3fnrjskk4, epkss1rj7z6duqd3axbcm8l0q, 88m6s6m8ep0p3fropim4ttcoa, 2072f0p9ful9u577gdvo89yw9, 2kdavfzjymb8uhgjj3c97e2uh, 3usiruyhxf6p9lkiz5qeytze2, d2cynimupgko6ekp78iv3kxlg, 90rgtmdx8g43vz2pvp0hxotwq, gmu8p51rp6bjzs0bss5jupzo, er8v2eo4vlak5ftjetqhinfv8, e4k6t8tld877pq2s0e1vo5p4a, 1dljhkcvmodqq9u1w8iv145m2, 54bf7p613bf3n0gefid4tt0r8, 1b409f4dv852le376vbcjdmhg, 966zp0zv6513cnn3q2t6xvtyi",3842248945,130,4,3842248949,194,7d9x6ojih9obktxl3fnrjskk4,3842318425,197,4032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471646137,1,34,16,0,0,2xlnfgrl6r18ftv38unwp7h4s,1,0,0,2022-10-14T17:28:52.591Z,2022-10-14T18:00:03Z,3842251763,59,"1, 2, 5, 10, 3, 4, 6, 8, 9, 7, 11, 22, 14, 18, 15, 23, 17, 19, 20, 21, 16",3842251765,130,4,3842251771,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3842251769,194,4iurx3g3hajlatv5gcxsqwm7e,3842251767,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3842317795,197,7233,3842251759,30,"4u12cln8rmtkwlu5q36ypjl2i, d9ewnngnsfc0s4hcs282hayhg, cm78w42nflwgvshpnok680mlm, d785q9rpqlyuyswv8f9fx4cno, e1islmeew98wa2ge0dicloay2, 4iurx3g3hajlatv5gcxsqwm7e, cla6c6izphee9prb80c15baei, cvbasfoccmz0tijnkxyf57n8q, 7uwe0kxpzg271d8ocms7l2kno, 6nwn2522yescgrx57wkcxjhwq, ix6hcbfujuw3mgefzpsnp2zu, 2x0hbry9gpcq5cbujdee5u904, 7b0vbfxlv3uiozb19fcj2vsyy, 8mkrj5bnkyhx8kutc4656cy96, a7eyujeyux7nj68ifa7nnndas, amz65a6dp1pwwql1dkonktfys, 8tukt8jsmzkblxxs5w85x4dii, 3bepi58wwope38a478y7jwlxw, 8npu0cbqjrhwv5km1w29kh016, 1jr23fmrmezgiaq7k63pro07o, eola3wwbcxl6yeigrj16a3otm",3842251761,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471659467,2,32,1,0,0,2xlnfgrl6r18ftv38unwp7h4s,1,0,0,2022-10-14T18:03:18.564Z,2022-10-14T18:03:21Z,3842326207,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471659461,2,32,1,0,0,bqm1bnp1bh2apyudlz1o1whr3,1,0,0,2022-10-14T18:03:18.564Z,2022-10-14T18:03:18Z,3842326197,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471659499,3,1,1,0,0,bqm1bnp1bh2apyudlz1o1whr3,1,49.8,49.9,2022-10-14T18:03:18.664Z,2022-10-14T18:03:21Z,3842326391,56,Back,3842326401,279,S,3842326397,212,19.6,3842326399,213,2.6,3842326395,141,64.0,3842326393,140,33.5,,,,,,,3usiruyhxf6p9lkiz5qeytze2,M. Remans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471659533,4,1,1,0,3,bqm1bnp1bh2apyudlz1o1whr3,1,32.9,62.7,2022-10-14T18:03:21.602Z,2022-10-14T18:03:25Z,3842326569,140,67.9,3842326571,141,6.1,3842326575,213,5.5,3842326565,155,,3842326577,1,,3842326573,212,53.2,3842326567,56,Right,,,,7d9x6ojih9obktxl3fnrjskk4,M. Waem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471659547,5,43,1,0,6,bqm1bnp1bh2apyudlz1o1whr3,1,0,0,2022-10-14T18:03:25.200Z,2022-10-14T18:03:47Z,3842326645,3,0,3842326655,213,2.5,3842326653,212,16.5,3842326647,56,Right,3842326649,140,55.4,3842326651,141,20.7,3842328065,144,1,,,,2kdavfzjymb8uhgjj3c97e2uh,S. Blummel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471659557,6,43,1,0,7,bqm1bnp1bh2apyudlz1o1whr3,1,0,0,2022-10-14T18:03:26.537Z,2022-10-14T18:03:46Z,3842326697,56,Right,3842326701,141,11.1,3842326703,212,13.7,3842327897,144,1,3842326699,140,66.8,3842326705,213,5.8,3842326695,3,0,,,,epkss1rj7z6duqd3axbcm8l0q,N. Souren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471659635,7,4,1,0,10,bqm1bnp1bh2apyudlz1o1whr3,1,66.5,4.6,2022-10-14T18:03:28.997Z,2022-10-14T18:03:33Z,3842327137,152,,3842327141,286,,3842327163,233,3,3842327133,13,,3842327135,56,Right,3842327139,265,,,,,,,,2kdavfzjymb8uhgjj3c97e2uh,S. Blummel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471659613,3,4,1,0,10,2xlnfgrl6r18ftv38unwp7h4s,0,33.5,95.4,2022-10-14T18:03:28.998Z,2022-10-14T18:03:33Z,3842327023,152,,3842327027,285,,3842327183,233,7,3842327025,265,,3842327019,13,,3842327021,56,Back,,,,,,,cm78w42nflwgvshpnok680mlm,F. Oppegård,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
