id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/14/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value
2519862851,1,34,16,0,0,1fttb31hnskynpku8qd09yhm8,1,0,0,2023-03-13T18:11:44.064Z,2023-03-13T18:58:50Z,4096518787,197,16350,4096437429,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4096437427,194,6ylzm57bvpufg3cenadtv7qhh,4096437421,59,"1, 20, 23, 14, 4, 22, 18, 28, 10, 39, 7, 27, 3, 5, 9, 11, 17, 21, 25, 26, 36, 46, 40",4096437419,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4096437417,30,"6q72mpmc478hlf4f7ths9ez56, dolfy51fw3jycb0cfhoecbo16, 124bbojic7k5medlvgvxmcm39, dmtsvsqvdoqqtmrset0uz0and, 6ylzm57bvpufg3cenadtv7qhh, 9jofs3271wn4cwlkj9hfay7vu, a49001euf7xwpx5wodembjbo5, d1dq7upxtawnps3wljz6wf9jo, ccmmsnrfn58gwi1petlp08f3e, 14csdlb8p0tnj6zqrs148ct1w, ebnm8xj9pggemio5qay9pcc0l, 2ylw573o2rkvuczi9nm5t7hed, cx3fqj7odbuc6i0kppcie4jmy, c46xp363o8m76eswzfmlsel4a, bs14utcyx2am6s46cuv52nf56, bdtti3sckhcppilsisgu7well, 48sqqhgtmfmpqb3602iirspd6, 673zq55hik8gvoj5ednuemg2x, 4lnhhxtl72v8wlss3xgrrbr2t, 9vu68zcajmrqmkkchmpdrebu2, 5b7rnpnnllz8qdc6fx2c5mzje, a59aos4xq3vklv2joqa09axre, evz953s9rvki1w9c3hsljss7p",4096437425,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4096437423,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519864261,1,34,16,0,0,cv5ftekuejf0ryxvd5h2my47r,1,0,0,2023-03-13T18:15:25.132Z,2023-03-13T18:59:01Z,4096445087,59,"1, 18, 5, 8, 4, 2, 13, 16, 9, 27, 10, 3, 6, 7, 12, 14, 19, 21, 23, 29, 30, 34, 38",4096519023,197,17087,4096445091,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4096445089,130,4,4096445085,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4096445083,30,"1du03mqsc0o6i4e64n7pzr6ui, 30uqa3kfm23ickjssfhmwgdm1, 5pg02unrm16jaa8vt5ego9z6y, qgusrrldd48qxku8yna03ap5, b3gyml6d5i3lqxsnh072nhuqd, 7i9hjqjogg1iowfo4fu5zpcyd, 3p95pudljhqzrnegmko7z56uh, aasoq3euk6e6zqhh08n0wocet, alimpjocr7xtxu21sumg3b2l1, 8j8encc4aqkh07ydce6hiaokp, d6rg9ntx9qa2eh8yiflbke1ux, 3khifxt41tsdr25ea7w5n1mcq, 8qc6u3zsblb62it6519a4b6cp, 40l3vtezw1ofwk2occi4z5w45, zhnev5uetomme6rpisaa7wiy, e74wy7br5zhkds5s73ip0tg4, 5et3jsqqhg08ykfqgdniq8fhm, 4o1150mpv9nz55cwj9b0vblk9, a69sa0h7lgpmlav961cpejbe2, 8z868vetpqyeatv2rtfwpsbje, dzet4aycjrqmpv1lzp9ekqzje, a3pwwwba6td400zwqjpbf6pnu, dhb6r3msmmayy7v0b1gb40445",4096445093,194,alimpjocr7xtxu21sumg3b2l1,4096445095,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519877929,2,32,1,0,0,1fttb31hnskynpku8qd09yhm8,1,0,0,2023-03-13T19:00:59.468Z,2023-03-13T19:01:02Z,4096522127,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519877923,2,32,1,0,0,cv5ftekuejf0ryxvd5h2my47r,1,0,0,2023-03-13T19:00:59.468Z,2023-03-13T19:00:59Z,4096522109,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519877939,3,1,1,0,0,1fttb31hnskynpku8qd09yhm8,1,50.3,49.7,2023-03-13T19:00:59.568Z,2023-03-13T20:57:50Z,4096522181,213,3.1,4096522177,141,49.9,4096522179,212,13.4,4096522173,56,Back,4096522183,279,S,4096522175,140,37.5,,,,,,,ccmmsnrfn58gwi1petlp08f3e,L. Duijvestijn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519877953,4,1,1,0,3,1fttb31hnskynpku8qd09yhm8,1,27.3,41.9,2023-03-13T19:01:02.524Z,2023-03-13T19:01:04Z,4096522233,140,26.2,4096522235,141,60.2,4096522231,56,Back,4096522237,212,12.5,4096522239,213,1.7,,,,,,,,,,6ylzm57bvpufg3cenadtv7qhh,D. van Bruggen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519877961,5,1,1,0,4,1fttb31hnskynpku8qd09yhm8,1,26.2,60.2,2023-03-13T19:01:04.284Z,2023-03-13T19:01:07Z,4096522297,213,0.1,4096522289,56,Back,4096522291,140,35.1,4096522295,212,9.4,4096522293,141,61.5,,,,,,,,,,9jofs3271wn4cwlkj9hfay7vu,T. Barbet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519877981,6,1,1,0,7,1fttb31hnskynpku8qd09yhm8,1,35.1,61.5,2023-03-13T19:01:07.164Z,2023-03-13T19:01:10Z,4096522385,140,21.6,4096522383,56,Back,4096522391,213,2.2,4096522389,212,22.7,4096522387,141,87.5,,,,,,,,,,d1dq7upxtawnps3wljz6wf9jo,S. Resink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519877983,7,1,1,0,10,1fttb31hnskynpku8qd09yhm8,0,21.6,87.5,2023-03-13T19:01:09.900Z,2023-03-13T19:01:10Z,4096522409,141,85.7,4096522411,212,50.7,4096522407,140,69.9,4096522415,1,,4096522413,213,6.3,4096522403,157,,4096522405,56,Left,,,,124bbojic7k5medlvgvxmcm39,Manel Royo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519877993,3,1,1,0,12,cv5ftekuejf0ryxvd5h2my47r,1,28.1,17,2023-03-13T19:01:11.585Z,2023-03-13T19:01:12Z,4096522469,1,,4096522457,157,,4096522459,56,Back,4096522461,140,37.3,4096522467,213,5.8,4096522465,212,10.8,4096522463,141,9.8,,,,b3gyml6d5i3lqxsnh072nhuqd,R. Ketting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
