id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/9/value,keyPass,qualifier/11/value,qualifier/13/value,assist
2496922759,1,34,16,0,0,7rmv5ns2rj7bn4otpkur0mx0x,1,0,0,2023-01-13T18:20:50.087Z,2023-01-13T19:09:24Z,3975563127,197,536,3975517633,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3975517631,30,"1ljgis575ujto4361ed15w0r9, dsi2wezhn07auutl4wzckh6uh, c9pmoa9m23jh5emy6w4olm3xm, 49xsd6e4oyjrhtwsdbdm4rj84, 8r6dkzf3yjnvlz4go6xct0kid, 7f7zwd6c14rr59u9al3naenkl, 7797kpi7lkhc9dasfxuv9h7f9, 7to5mb4x91kjhbd9tb0nqz74l, btm3mtkmwofz1dgcdsew1kmp5, c9shc6t28oroqthopifjvg9ux, bzsoq42nf6sgdh9oe64n7rnfu, cul6phe87idi5dn1hsfywxhwp, 4qj88r9cjfbu05ly92vfhpi39, 3apsq2r6q8lzdat7sy5h6tmqy, 49vbyk5qvhihphrqfnmmz8woa, 1s50ua48peo4wd0o7unmps06h, 2yivr64anye4c0p62m16l78yc, 3epda2hg43s8uxvf9xno74d4a, bgzkdepav40x6focwuaf9qxre, 2ngb4008t58dvor5qnh1nj6ga, 6eccwl9cpgmq7pp6d90lbi6wa, 3of6006vsu0udxkyhw65ga0pg",3975517635,59,"21, 44, 20, 6, 13, 3, 14, 10, 11, 9, 7, 1, 8, 15, 17, 23, 25, 26, 29, 31, 36, 18",3975517641,194,8r6dkzf3yjnvlz4go6xct0kid,3975517639,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3975517637,130,2,3975517643,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496923885,1,34,16,0,0,dnzj0iv5qtaemm9kthh9pos8q,1,0,0,2023-01-13T18:28:40.176Z,2023-01-13T19:03:30Z,3975524411,59,"1, 2, 12, 8, 15, 4, 6, 18, 28, 19, 17, 3, 11, 13, 14, 16, 20, 22, 23, 30, 39",3975524413,130,8,3975524419,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3975524417,194,dh3ksith5iat573zuhdhv91w5,3975524407,30,"alzgg0nxnnex3nkzr6lgmt1ey, dcdvet7azx1a59xm2ke7qi2cq, 4zow18ykkg1gvw40r7jsrzkl, dh3ksith5iat573zuhdhv91w5, 7cetznpb0tnu6kdz7bvm8gyxh, 1jn9jog8ou8uxnmypneksizxm, au91rqig6uyyi1zdmlxydk38q, bquqyyfz4lj0xrerbhbtj1jze, 1mroid71v9bwpx0iaospei9gq, 8uw9w30592omb8acpnssgdlh, f1as17wqpj44gihtvw936lofd, cexuwvet4xiruf1jitkjjp7qi, b61yiz3lait78xmlbyzr2vd62, e3zr4wfalu47lvzrhpgjnb2tw, ejj9an3jqm0fpcbo5esfkljis, 4z8o35izc3gx6i2bt4mcs1fjd, 5dppoogob8jwl8n3884uqm4iy, fjistzkvlbsa2v7xsnu0uy95, 5chl0qcvbbkd0yeogurw1fz6x, 9tj2yr6ep9hsignf7cjn7wnl6, b950jt347chmq9whlkgl6fxpm",3975524409,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3975524415,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3975567015,197,2848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496932103,2,32,1,0,0,dnzj0iv5qtaemm9kthh9pos8q,1,0,0,2023-01-13T19:04:10.895Z,2023-01-13T19:04:13Z,3975568003,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496932099,2,32,1,0,0,7rmv5ns2rj7bn4otpkur0mx0x,1,0,0,2023-01-13T19:04:10.895Z,2023-01-13T19:04:11Z,3975567997,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496932155,3,1,1,0,1,7rmv5ns2rj7bn4otpkur0mx0x,1,49.7,49.9,2023-01-13T19:04:11.995Z,2023-01-13T20:12:13Z,3975568303,141,65.7,3975568301,140,26.4,3975568307,213,2.7,3975568309,279,S,3975568305,212,26.7,3975568299,56,Back,,,,,,,c9shc6t28oroqthopifjvg9ux,D. Vente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496932161,4,1,1,0,2,7rmv5ns2rj7bn4otpkur0mx0x,1,29.5,63.1,2023-01-13T19:04:13.623Z,2023-01-13T19:04:19Z,3975568341,140,32.2,3975568343,141,55.1,3975568339,56,Back,3975568345,212,6.1,3975568347,213,5.2,,,,,,,,,,7f7zwd6c14rr59u9al3naenkl,T. van de Pavert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496932167,5,1,1,0,4,7rmv5ns2rj7bn4otpkur0mx0x,0,32.2,55.1,2023-01-13T19:04:15.739Z,2023-01-13T19:07:46Z,3975568375,213,0.2,3975568367,56,Center,3975568369,140,73.1,3975568377,1,,3975568371,141,69.7,3975568373,212,44.1,3975568365,157,,,,,7to5mb4x91kjhbd9tb0nqz74l,T. Bijleveld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496932403,10,44,1,0,5,dnzj0iv5qtaemm9kthh9pos8q,1,28.6,34,2023-01-13T19:04:16.132Z,2023-01-13T19:05:08Z,3975569531,285,,3975569609,233,13,3975569529,56,Back,,,,,,,,,,,,,,,,dcdvet7azx1a59xm2ke7qi2cq,I. Pata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496932389,13,44,1,0,5,7rmv5ns2rj7bn4otpkur0mx0x,0,71.4,66,2023-01-13T19:04:16.133Z,2023-01-13T19:56:36Z,3975569423,56,Center,3975569621,233,10,3975569425,286,,,,,,,,,,,,,,,,,c9shc6t28oroqthopifjvg9ux,D. Vente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496932169,6,43,1,0,7,7rmv5ns2rj7bn4otpkur0mx0x,1,0,0,2023-01-13T19:04:18.027Z,2023-01-13T19:04:37Z,3975568895,144,1,3975568385,56,Center,3975568387,140,72.8,3975568389,141,57.9,3975568393,213,4.7,3975568391,212,8.0,3975568383,3,0,,,,c9shc6t28oroqthopifjvg9ux,D. Vente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
