id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/8/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,assist,qualifier/16/value,qualifier/17/value
2519866535,1,34,16,0,0,1wyg1tunyt7go9tnjea1hjqxb,1,0,0,2023-03-13T18:22:15.287Z,2023-03-13T19:15:15Z,4096457621,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4096457613,59,"1, 2, 5, 8, 3, 4, 7, 6, 9, 10, 11, 21, 15, 16, 18, 20, 17, 12, 19, 14",4096457609,30,"7ug3a0z74dj7qlq4jbtn1kutw, b8k8uynw043b6q9xm0lfzszmy, 2wgv0uye88734itwltg3oajo4, 19wuvqpmewphgvsfzi4yjl756, b1h2eiqxic31ioxbs1zjd709g, odp8a70vcgs0bn2ue7jpme50, 8i6cjao5lwxzaomilei61kbxm, cwu5itv65s8p6zsalk3np4ic, 4oyjji4wqmuu3uia6htj0q1hw, 8o2iv0qhfft5pgzm75ckuo0es, wuh8s4gfo9ro3nel3rormg44, 842wr3ptcycwsg44mgt0zp7o4, 35zljca9f38wwue7geei62xw4, ah0m8krxjvx80c3txwjrzvaj8, a4oxzr5v7ddsaetubhea9c1zo, 2c7ke3iytz2r0szpw8xpa0kk4, d88acv182zde37ck1nxggrllg, cuhp8zc6tvw9ymsq80zdzwnis, xhol73bfn09d75fq5dsrqec4, 7v9j3jx7cojn29o4f3c75ym8k",4096523227,197,8653,4096457619,194,19wuvqpmewphgvsfzi4yjl756,4096457615,130,8,4096457611,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4096457617,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519867049,1,34,16,0,0,7rmv5ns2rj7bn4otpkur0mx0x,1,0,0,2023-03-13T18:23:43.597Z,2023-03-13T19:01:26Z,4096460497,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4096460491,130,12,4096460495,194,8r6dkzf3yjnvlz4go6xct0kid,4096460489,59,"21, 17, 5, 20, 13, 4, 8, 25, 9, 29, 16, 31, 1, 6, 7, 10, 11, 14, 15, 23, 27, 26, 36",4096460485,30,"1ljgis575ujto4361ed15w0r9, 49vbyk5qvhihphrqfnmmz8woa, ma3my4q4wln06xyl1z3v9fmy, c9pmoa9m23jh5emy6w4olm3xm, 8r6dkzf3yjnvlz4go6xct0kid, 8tepha2kd43sp9jtafxuf209h, 4qj88r9cjfbu05ly92vfhpi39, 2yivr64anye4c0p62m16l78yc, c9shc6t28oroqthopifjvg9ux, bgzkdepav40x6focwuaf9qxre, 85rm5s7x9di62hw3l31y5w8o9, mto9ddtw4mcafhrv080ljh4a, cul6phe87idi5dn1hsfywxhwp, 49xsd6e4oyjrhtwsdbdm4rj84, bzsoq42nf6sgdh9oe64n7rnfu, 7to5mb4x91kjhbd9tb0nqz74l, btm3mtkmwofz1dgcdsew1kmp5, 7797kpi7lkhc9dasfxuv9h7f9, 3apsq2r6q8lzdat7sy5h6tmqy, 1s50ua48peo4wd0o7unmps06h, 2wuprdfbbn9mo0paqr5tm7bop, 3epda2hg43s8uxvf9xno74d4a, 6eccwl9cpgmq7pp6d90lbi6wa",4096522913,197,536,4096460487,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4096460493,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519879123,2,32,1,0,0,7rmv5ns2rj7bn4otpkur0mx0x,1,0,0,2023-03-13T19:04:02.039Z,2023-03-13T19:04:02Z,4096528479,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519879129,2,32,1,0,0,1wyg1tunyt7go9tnjea1hjqxb,1,0,0,2023-03-13T19:04:02.039Z,2023-03-13T19:04:04Z,4096528491,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519879157,3,1,1,0,0,1wyg1tunyt7go9tnjea1hjqxb,1,50.2,50.4,2023-03-13T19:04:02.139Z,2023-03-13T19:04:06Z,4096528637,213,3.6,4096528631,140,30.0,4096528629,56,Back,4096528639,279,S,4096528635,212,23.2,4096528633,141,36.5,,,,,,,19wuvqpmewphgvsfzi4yjl756,I. Griffith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519879175,4,1,1,0,4,1wyg1tunyt7go9tnjea1hjqxb,0,29.9,34.3,2023-03-13T19:04:06.453Z,2023-03-13T19:04:10Z,4096528701,141,23.0,4096528707,1,,4096528705,213,6.1,4096528699,140,68.1,4096528695,155,,4096528697,56,Center,4096528703,212,40.8,,,,b1h2eiqxic31ioxbs1zjd709g,L. Postma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519879193,3,44,1,0,7,7rmv5ns2rj7bn4otpkur0mx0x,1,34.2,75.3,2023-03-13T19:04:09.139Z,2023-03-13T19:04:11Z,4096528809,233,5,4096528789,56,Back,4096528791,285,,,,,,,,,,,,,,,,,c9pmoa9m23jh5emy6w4olm3xm,X. Lambrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519879177,5,44,1,0,7,1wyg1tunyt7go9tnjea1hjqxb,0,65.8,24.7,2023-03-13T19:04:09.140Z,2023-03-13T19:04:11Z,4096528713,286,,4096528825,233,3,4096528711,56,Center,,,,,,,,,,,,,,,,8o2iv0qhfft5pgzm75ckuo0es,D. Reverson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519879221,4,1,1,0,8,7rmv5ns2rj7bn4otpkur0mx0x,1,36.4,73.6,2023-03-13T19:04:10.908Z,2023-03-13T19:04:14Z,4096528989,213,5.8,4096528985,141,69.0,4096528981,56,Back,4096528987,212,7.2,4096528983,140,42.6,4096528975,3,,,,,,,,c9pmoa9m23jh5emy6w4olm3xm,X. Lambrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519879235,5,1,1,0,9,7rmv5ns2rj7bn4otpkur0mx0x,0,42.6,69,2023-03-13T19:04:11.044Z,2023-03-13T19:22:00Z,4096529045,168,,4096529055,213,0.4,4096529049,140,58.6,4096529051,141,78.4,4096529047,56,Center,4096529043,3,,4096529053,212,18.0,,,,bgzkdepav40x6focwuaf9qxre,R. Postema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
