id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,qualifier/12/value,qualifier/13/value,qualifier/14/value,assist
2495326931,1,34,16,0,0,cv5ftekuejf0ryxvd5h2my47r,1,0,0,2023-01-06T18:10:21.682Z,2023-01-06T18:59:04Z,3967123717,30,"1du03mqsc0o6i4e64n7pzr6ui, 72d57i3mfqxtbsmm196kdv0fd, 5pg02unrm16jaa8vt5ego9z6y, aasoq3euk6e6zqhh08n0wocet, b3gyml6d5i3lqxsnh072nhuqd, 7i9hjqjogg1iowfo4fu5zpcyd, qgusrrldd48qxku8yna03ap5, 3p95pudljhqzrnegmko7z56uh, d6rg9ntx9qa2eh8yiflbke1ux, a69sa0h7lgpmlav961cpejbe2, 40l3vtezw1ofwk2occi4z5w45, 3khifxt41tsdr25ea7w5n1mcq, 8qc6u3zsblb62it6519a4b6cp, zhnev5uetomme6rpisaa7wiy, e74wy7br5zhkds5s73ip0tg4, 5et3jsqqhg08ykfqgdniq8fhm, a750kxhudgz2pgboao4iw2mfo, 4o1150mpv9nz55cwj9b0vblk9, 6xxqoump892rybgmvw743p4ic, 8z868vetpqyeatv2rtfwpsbje, dzet4aycjrqmpv1lzp9ekqzje, dhb6r3msmmayy7v0b1gb40445",3967123719,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3967123721,59,"1, 17, 5, 16, 4, 2, 8, 13, 10, 23, 7, 3, 6, 12, 14, 19, 20, 21, 24, 29, 30, 38",3967185749,197,917,3967123729,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3967123723,130,8,3967123725,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3967123727,194,b3gyml6d5i3lqxsnh072nhuqd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495329247,1,34,16,0,0,b94pf87be9ojdgnrs5mst80un,1,0,0,2023-01-06T18:18:20.809Z,2023-01-06T21:38:46Z,3967135789,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3967185683,197,2844,3967135783,130,8,3967135787,194,2psxvq4l1g9fzgt00cfks96fp,3967135785,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3967135777,30,"2psxvq4l1g9fzgt00cfks96fp, 2pzdedlktluxyj6sq2cd19e51, 5517jd2zp30rsts1hwz6p71uc, 3hax3hy9n2wyp1ovvhd6zdk6i, zihddqvp0sjni8stcio8bgmh, 2rlckdzkm4d6dsqwutkvhm95h, 2gfp8pe55n7oa0mcu5ygi54a, cyquj9h6hjwbyp0b68b149qfo, 3mcj3wypzq3lno1ehc0vif1sl, 42lgdybjew0zrd18mmwwcpbhm, 8im7pgnph2au11blma5pewe09, 48wvdjjo0z1j2bac42n9t5jv9, ewcd2lz99d7klo9sh24zt8nl6, 98wf7lrkbzi5f1l26hyxbph7u, 8hjakiipmhtwr07v6h0d414gl, 4ks7mvr9terrodhjx8pg9qtt6, 9rzd3uofuq9ck2n5ihs576z56, eeqfmegqle5fnzo42wkiq0wes, 63ox7kqo9rl36cvk4joqh9soa, 1icurh5jrnw1e6jdgqxjnhdnu",3967135779,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3967135781,59,"1, 2, 17, 5, 3, 4, 7, 6, 18, 10, 9, 8, 14, 15, 20, 21, 23, 24, 25, 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495339083,2,32,1,0,0,cv5ftekuejf0ryxvd5h2my47r,1,0,0,2023-01-06T19:02:27.270Z,2023-01-06T19:02:27Z,3967190169,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495339087,2,32,1,0,0,b94pf87be9ojdgnrs5mst80un,1,0,0,2023-01-06T19:02:27.270Z,2023-01-06T19:02:29Z,3967190187,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495339095,3,1,1,0,0,b94pf87be9ojdgnrs5mst80un,1,50.4,49.3,2023-01-06T19:02:27.400Z,2023-01-06T19:56:18Z,3967190243,213,3.4,3967190245,279,S,3967190241,212,17.5,3967190239,141,41.7,3967190235,56,Back,3967190237,140,34.5,,,,,,,42lgdybjew0zrd18mmwwcpbhm,A. Van Keilegom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495339113,4,1,1,0,4,b94pf87be9ojdgnrs5mst80un,0,28.1,36.9,2023-01-06T19:02:31.393Z,2023-01-06T19:02:34Z,3967190357,141,74.5,3967190351,155,,3967190355,140,71.5,3967190353,56,Center,3967190359,212,52.3,3967190363,1,,3967190361,213,0.5,,,,zihddqvp0sjni8stcio8bgmh,F. Van Den Eynden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495339123,3,1,1,0,7,cv5ftekuejf0ryxvd5h2my47r,0,26.7,24,2023-01-06T19:02:35.109Z,2023-01-06T19:02:38Z,3967190449,141,13.2,3967190443,3,,3967190445,56,Back,3967190447,140,41.2,3967190451,212,16.9,3967190453,213,5.8,,,,,,,b3gyml6d5i3lqxsnh072nhuqd,R. Ketting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495339133,5,1,1,0,10,b94pf87be9ojdgnrs5mst80un,1,56,97.9,2023-01-06T19:02:37.808Z,2023-01-06T19:02:39Z,3967190489,56,Left,3967190491,140,63.2,3967190487,3,,3967190495,212,14.0,3967190497,213,5.3,3967190493,141,80.6,,,,,,,5517jd2zp30rsts1hwz6p71uc,B. Van Hove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495339161,6,1,1,0,11,b94pf87be9ojdgnrs5mst80un,1,63.2,80.8,2023-01-06T19:02:39.008Z,2023-01-06T19:02:42Z,3967190653,141,86.9,3967190657,213,0.8,3967190655,212,5.8,3967190647,3,,3967190649,56,Left,3967190651,140,67.0,,,,,,,3hax3hy9n2wyp1ovvhd6zdk6i,D. Mistrafović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495339177,7,1,1,0,14,b94pf87be9ojdgnrs5mst80un,0,69.4,87.7,2023-01-06T19:02:42.016Z,2023-01-06T19:02:57Z,3967191117,156,,3967190707,141,92.3,3967190705,140,70.3,3967190709,212,3.3,3967190703,56,Left,3967190711,213,1.3,,,,,,,3mcj3wypzq3lno1ehc0vif1sl,J. Arias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495339169,4,49,1,0,15,cv5ftekuejf0ryxvd5h2my47r,1,24.3,11.6,2023-01-06T19:02:42.355Z,2023-01-06T19:02:42Z,,,,,,,,,,,,,,,,,,,,,,,,,72d57i3mfqxtbsmm196kdv0fd,T. Dekker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495339197,5,4,1,0,16,cv5ftekuejf0ryxvd5h2my47r,1,30.2,9.4,2023-01-06T19:02:43.635Z,2023-01-06T19:02:45Z,3967190865,233,8,3967190855,285,,3967190853,265,,3967190849,56,Back,3967190847,13,,3967190851,152,,,,,,,,72d57i3mfqxtbsmm196kdv0fd,T. Dekker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495339193,8,4,1,0,16,b94pf87be9ojdgnrs5mst80un,0,69.8,90.6,2023-01-06T19:02:43.636Z,2023-01-06T19:02:45Z,3967190819,152,,3967190821,265,,3967190815,13,,3967190823,286,,3967190817,56,Left,3967190885,233,5,,,,,,,5517jd2zp30rsts1hwz6p71uc,B. Van Hove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
