id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,keyPass,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,assist
2500076957,1,34,16,0,0,b94pf87be9ojdgnrs5mst80un,1,0,0,2023-01-23T18:08:34.506Z,2023-01-23T18:58:37Z,3992164799,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3992164789,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3992164793,130,7,3992164791,59,"1, 2, 17, 6, 3, 4, 25, 5, 9, 11, 7, 14, 15, 18, 19, 20, 21, 22, 23, 24, 30",3992164787,30,"2psxvq4l1g9fzgt00cfks96fp, 2pzdedlktluxyj6sq2cd19e51, 5517jd2zp30rsts1hwz6p71uc, cyquj9h6hjwbyp0b68b149qfo, zihddqvp0sjni8stcio8bgmh, 2rlckdzkm4d6dsqwutkvhm95h, 63ox7kqo9rl36cvk4joqh9soa, 3hax3hy9n2wyp1ovvhd6zdk6i, 8im7pgnph2au11blma5pewe09, 6qjbfua7nynaxrs5t8tygedp1, 2gfp8pe55n7oa0mcu5ygi54a, ewcd2lz99d7klo9sh24zt8nl6, 98wf7lrkbzi5f1l26hyxbph7u, 3mcj3wypzq3lno1ehc0vif1sl, 45rrtsz9hmxxqasj8jgi3g0oa, 8hjakiipmhtwr07v6h0d414gl, 4ks7mvr9terrodhjx8pg9qtt6, egmubn4rsudpbk05qfv2qlvit, 9rzd3uofuq9ck2n5ihs576z56, eeqfmegqle5fnzo42wkiq0wes, 1icurh5jrnw1e6jdgqxjnhdnu",3992164797,194,2psxvq4l1g9fzgt00cfks96fp,3992240509,197,17171,3992164795,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500081799,1,34,16,0,0,1wyg1tunyt7go9tnjea1hjqxb,1,0,0,2023-01-23T18:26:47.761Z,2023-01-23T18:59:00Z,3992192299,59,"1, 2, 5, 8, 3, 4, 7, 6, 9, 10, 11, 19, 17, 20, 14, 16, 21, 15, 18, 12",3992241013,197,8653,3992192297,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3992192305,194,9v7zwguzazofzafwg3qevdo4q,3992192303,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3992192307,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3992192295,30,"7wrulbqqdeecd5vegsbb1905w, b8k8uynw043b6q9xm0lfzszmy, 4nchc9z4464uhu3vveo0p73f8, cs49ec8y6cubrlo5nmu3j3jtg, b1h2eiqxic31ioxbs1zjd709g, b4vrfh7z9qt9e5gdpkajrqolw, 685wka5xc8na423mirotcu238, cwu5itv65s8p6zsalk3np4ic, ab17bik4y8ilv3ahe50a81ixg, 9v7zwguzazofzafwg3qevdo4q, a3pwwwba6td400zwqjpbf6pnu, cdlnfuy9piyga0wud4nrucvtg, 8i6cjao5lwxzaomilei61kbxm, 8o2iv0qhfft5pgzm75ckuo0es, 7s2zxbtepa7dgr8yl0s48afpw, 7ug3a0z74dj7qlq4jbtn1kutw, wuh8s4gfo9ro3nel3rormg44, 8u19xeh9ugvh8f1mh7jnbbhuc, 9bgq1tfyfzc3wg9pfr8q510k4, a33sy9bstlsfq023oiym5qk9g",3992192301,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500089863,2,32,1,0,0,b94pf87be9ojdgnrs5mst80un,1,0,0,2023-01-23T19:00:25.307Z,2023-01-23T19:00:25Z,3992242901,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500089873,2,32,1,0,0,1wyg1tunyt7go9tnjea1hjqxb,1,0,0,2023-01-23T19:00:25.307Z,2023-01-23T19:00:26Z,3992242945,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500089883,3,1,1,0,1,b94pf87be9ojdgnrs5mst80un,1,50.2,50.1,2023-01-23T19:00:26.407Z,2023-01-23T19:01:48Z,3992242985,140,36.7,3992242983,56,Back,3992242993,279,S,3992242989,212,15.0,3992242987,141,57.5,3992242991,213,2.8,,,,,,,8im7pgnph2au11blma5pewe09,M. Kaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500089889,4,1,1,0,2,b94pf87be9ojdgnrs5mst80un,1,38.9,55.5,2023-01-23T19:00:28.176Z,2023-01-23T19:00:30Z,3992243043,212,7.7,3992243037,56,Back,3992243045,213,2.0,3992243041,141,65.8,3992243039,140,35.8,,,,,,,,,,cyquj9h6hjwbyp0b68b149qfo,J. Lion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500089897,5,1,1,0,5,b94pf87be9ojdgnrs5mst80un,1,35.8,65.8,2023-01-23T19:00:30.384Z,2023-01-23T19:00:34Z,3992243105,213,4.0,3992243099,140,14.4,3992243097,56,Back,3992243101,141,30.3,3992243107,1,,3992243103,212,33.0,,,,,,,2rlckdzkm4d6dsqwutkvhm95h,R. van der Meer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500089917,6,1,1,0,8,b94pf87be9ojdgnrs5mst80un,1,17.9,25.9,2023-01-23T19:00:33.969Z,2023-01-23T19:00:37Z,3992243235,140,50.3,3992243237,141,12.8,3992243243,1,,3992243231,155,,3992243233,56,Right,3992243241,213,6.0,3992243239,212,35.2,,,,zihddqvp0sjni8stcio8bgmh,F. Van Den Eynden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500089923,7,1,1,0,11,b94pf87be9ojdgnrs5mst80un,0,50.3,12.8,2023-01-23T19:00:37.009Z,2023-01-23T19:00:39Z,3992243271,212,5.0,3992243265,56,Right,3992243267,140,54.4,3992243269,141,16.5,3992243263,168,,3992243273,213,0.5,,,,,,,63ox7kqo9rl36cvk4joqh9soa,E. Maddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500089919,3,49,1,0,12,1wyg1tunyt7go9tnjea1hjqxb,1,55.7,83.6,2023-01-23T19:00:37.421Z,2023-01-23T19:00:37Z,,,,,,,,,,,,,,,,,,,,,,,,,cwu5itv65s8p6zsalk3np4ic,N. Twisk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
