id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/8/value,qualifier/9/value,assist,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2475716069,1,34,16,0,0,bqm1bnp1bh2apyudlz1o1whr3,1,0,0,2022-10-22T17:27:14.958Z,2022-10-22T18:02:03Z,3863724323,59,"12, 32, 5, 16, 2, 4, 8, 31, 10, 7, 9, 1, 3, 14, 17, 21, 22, 23, 24, 30",3863724327,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3863724331,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3863724329,194,7d9x6ojih9obktxl3fnrjskk4,3863885899,197,4032,3863724319,30,"rgspixypiwxuenf1yaukrrop, bk7742h8fac9g6e6wh7nnugkq, gmu8p51rp6bjzs0bss5jupzo, 2gwigr63tgo2jw460msz2qgwk, axbyqn4r430cilb6lbnzpbuvo, 7d9x6ojih9obktxl3fnrjskk4, epkss1rj7z6duqd3axbcm8l0q, 88m6s6m8ep0p3fropim4ttcoa, 2072f0p9ful9u577gdvo89yw9, 2kdavfzjymb8uhgjj3c97e2uh, 3usiruyhxf6p9lkiz5qeytze2, eog43l8hrs7pbza9bmwu0p2sq, 90rgtmdx8g43vz2pvp0hxotwq, avv12sgcucblnbfb790xovf8, e4k6t8tld877pq2s0e1vo5p4a, eke044f5xni8gdztggk6x4a1h, 1dljhkcvmodqq9u1w8iv145m2, 54bf7p613bf3n0gefid4tt0r8, 1b409f4dv852le376vbcjdmhg, 50ecz4x9j0zfudh34l7f2ecr8",3863724321,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3863724325,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475716597,1,34,16,0,0,eh54mfvjtrttgsg1wbjnvxcqz,1,0,0,2022-10-22T17:27:48.039Z,2022-10-22T18:00:47Z,3863727089,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3863727099,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3863727093,130,8,3863727097,194,4jvk1ex8dsjj498vqzqhfmqxh,3863727091,59,"1, 18, 24, 8, 3, 4, 11, 7, 10, 22, 42, 2, 6, 9, 15, 19, 20, 21, 28, 31",3863881517,197,16838,3863727095,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3863727085,30,"4jvk1ex8dsjj498vqzqhfmqxh, 36d4zodjdvtc8w1q4p940cx2i, 8zj8e6ovo1bt0d67klra3yh3o, 46wxtiry28k7j3y6gacgf7x4a, a5j0tndc5032lgmuv1vqd2cix, a2ws6j60xd12ng844vlhgq2cq, 74x54r0698ug6gzk9jwd86pxx, 8mq0q8ebkt20p1pm35z3qma22, 7afaygi7b8fmxr885zaezaay1, 4lf5375rzyy400rabvwgbcbmx, 8g5ms6uacdkgfcbxt4crlr4ve, 7wa5hbk41axn5lybd2b7v2978, alzxtazwzkp6cy4igin4ht2vp, 5362zl678ibx1md2kk6t4r47o, abgkpku77iidahswqpvce5gtm, 97i465n07uip7fnpw82v554b8, aynwkpiteltfei3x5txm84opg, balcshp8sostjtslygqqixu5l, bbhhmcny4xidhz7i8gr74v0us, a8nrm0flhc6mak2kvjksdlzx0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475746597,2,32,1,0,0,bqm1bnp1bh2apyudlz1o1whr3,1,0,0,2022-10-22T18:02:27.514Z,2022-10-22T18:02:30Z,3863887485,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475746591,2,32,1,0,0,eh54mfvjtrttgsg1wbjnvxcqz,1,0,0,2022-10-22T18:02:27.514Z,2022-10-22T18:02:27Z,3863887475,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475746655,3,1,1,0,0,eh54mfvjtrttgsg1wbjnvxcqz,1,50,50,2022-10-22T18:02:27.614Z,2022-10-22T18:02:31Z,3863887753,212,24.3,3863887747,56,Back,3863887757,279,S,3863887751,141,38.9,3863887755,213,3.5,3863887749,140,28.0,,,,,,,4lf5375rzyy400rabvwgbcbmx,F. Hammouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475746759,4,1,1,0,4,eh54mfvjtrttgsg1wbjnvxcqz,0,28.7,38,2022-10-22T18:02:31.864Z,2022-10-22T18:02:37Z,3863888243,213,0.3,3863888235,56,Center,3863888239,141,71.4,3863888245,1,,3863888241,212,73.4,3863888233,155,,3863888237,140,95.2,,,,a5j0tndc5032lgmuv1vqd2cix,V. van den Bogert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475746761,3,52,1,0,10,bqm1bnp1bh2apyudlz1o1whr3,1,7.8,30.4,2022-10-22T18:02:37.801Z,2022-10-22T18:02:37Z,,,,,,,,,,,,,,,,,,,,,,,,,rgspixypiwxuenf1yaukrrop,R. Matthys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475746869,4,1,1,0,12,bqm1bnp1bh2apyudlz1o1whr3,1,8.3,36.7,2022-10-22T18:02:40.151Z,2022-10-22T18:02:45Z,3863888797,141,68.7,3863888793,56,Back,3863888799,212,21.8,3863888801,213,1.5,3863888791,123,,3863888795,140,9.4,,,,,,,rgspixypiwxuenf1yaukrrop,R. Matthys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475746901,5,1,1,0,17,bqm1bnp1bh2apyudlz1o1whr3,1,10.3,76.1,2022-10-22T18:02:44.904Z,2022-10-22T18:02:47Z,3863888957,56,Back,3863888963,212,9.5,3863888959,140,11.0,3863888961,141,90.1,3863888965,213,1.5,,,,,,,,,,7d9x6ojih9obktxl3fnrjskk4,M. Waem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475746971,6,1,1,0,19,bqm1bnp1bh2apyudlz1o1whr3,0,13.6,93.5,2022-10-22T18:02:46.984Z,2022-10-22T18:02:50Z,3863889287,212,45.4,3863889279,155,,3863889283,140,56.3,3863889289,213,6.1,3863889291,1,,3863889285,141,82.7,3863889281,56,Left,,,,gmu8p51rp6bjzs0bss5jupzo,L. Schenk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
