id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,assist,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/14/value
2531088787,1,34,16,0,0,d0zdg647gvgc95xdtk1vpbkys,1,0,0,2023-04-09T13:41:12.556Z,2023-04-09T14:50:11Z,4176695627,194,6m2pk6odyb3atayt6u8cifahh,4176695617,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4176695623,130,4,4176695625,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4176695619,59,"12, 19, 25, 21, 2, 4, 6, 8, 10, 23, 7, 1, 3, 5, 9, 18, 22, 26, 28, 35, 39, 41, 57",4176695631,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4176695615,30,"1lgrnaje6y7un5dzzll84p91, 29m8py8czo6w0zf2arwolirjd, 47l204bkq2qqjhtazusr0019m, 1ekkj2b713kjnugsk4dz50q1h, aqlakf0mo95rlktf6xdbaegh5, bp3apdb2ahzacq45k4mzj5jhl, baakmd4ndnulbl9npvmq90mvp, 35qg0rrwtl00pycx468s62m3u, 6m2pk6odyb3atayt6u8cifahh, 7joybllup4h9oe6zfhcepjy6t, 6hrp4zuxh40i3tccmk5s0j5xx, a91pmdnyzx1i7vx3l19hj4jx1, 4jqgl7x5ewke1u0sy2cbkqfhl, dafbvyorudvujxw7zswicykmh, 9c2i7ddl2uh7kuhwq62klkyui, 6w6ewzxircqxk6dsrs1rvc8ru, 7w5ivtmbqzi4hfte330r1a505, 2zkaf848fjcdhuii8783pkm7e, b8ixf31bdyfqqcwoy4ulai73e, 2x44f29a52v8kpkkjsuiiywdm, cx6fxszjvjam6zb3c3p0dd1jo, 9pox9siobczxr9fv3fvvx3h1w, bgydmtsi0ngn9k56apo29v0no",4176947985,197,457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531091861,1,34,16,0,0,3ebril33e08ddzob4bhq8awsr,1,0,0,2023-04-09T13:44:24.636Z,2023-04-09T14:48:03Z,4176711773,59,"31, 12, 61, 8, 14, 33, 21, 15, 17, 77, 7, 1, 2, 4, 6, 11, 18, 19, 22, 29, 34, 55, 85",4176711775,130,4,4176711771,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4176964231,197,18487,4176711779,194,8rqula41yqtbwycgemsw9ixud,4176711777,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4176711769,30,"5gnywqecwvt5yxied85hu4x2i, dp0q4f4gbj2buhcu1lb5dzxed, 6o2tffdjtdueojbhahe3w66i2, cnexf6pdh1piheuuqzrbb1t61, 9fpb7g8ij9dqtuqhnimy5fap5, 7t19aebk75lrt41hmclk18mhh, cozhhgt0jbcuu4wdxf1pwjkyd, bznrsqachpfr9l2wnfjy8samt, 8rqula41yqtbwycgemsw9ixud, 71gwdg60saiwwwnnv6is52may, 4tc5741xue1eigwcu4t7qtuc5, 67v3pc4c8yomh3hg3w0257oid, 51b7kbz09togoaueykwbm385, 1kbmdrn8cmlf591w70v9bpo0l, 5fnmjp63t7m9fg3y2fcw6z015, 3jkzywsfc2vjq3h1kqdhhl2hh, 3momlsgsh0o7u40ydp2f2ocbu, 9trasqdd75zjxz4kzplb64xjp, 3fzqjtehxr65c2xfyytws30q2, hjb0mn4fgmfiimwn5odvl8fd, emrt1s5yfgtex867u98gbt0fe, bp2ellllifbtxgf0p8qlbm1nt, 8qqyo9093i0wtapxq219wjzzd",4176711781,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531138195,2,32,1,0,0,3ebril33e08ddzob4bhq8awsr,1,0,0,2023-04-09T14:46:42.726Z,2023-04-09T14:46:42Z,4176958737,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531138205,2,32,1,0,0,d0zdg647gvgc95xdtk1vpbkys,1,0,0,2023-04-09T14:46:42.726Z,2023-04-09T14:46:45Z,4176958819,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531138271,3,1,1,0,0,d0zdg647gvgc95xdtk1vpbkys,1,50.2,50.1,2023-04-09T14:46:42.826Z,2023-04-09T14:48:05Z,4176959187,140,42.6,4176959195,279,S,4176959193,213,3.2,4176959189,141,49.4,4176959191,212,8.0,4176959185,56,Back,,,,,,,6m2pk6odyb3atayt6u8cifahh,D. Tadić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531138299,4,1,1,0,6,d0zdg647gvgc95xdtk1vpbkys,1,51.4,51.9,2023-04-09T14:46:49.635Z,2023-04-09T14:53:23Z,4176959327,140,43.2,4176959331,212,27.2,4176959325,56,Back,4176959333,213,4.4,4176959329,141,13.9,,,,,,,,,,1ekkj2b713kjnugsk4dz50q1h,F. Grillitsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531138327,5,1,1,0,9,d0zdg647gvgc95xdtk1vpbkys,1,45.1,11.6,2023-04-09T14:46:52.114Z,2023-04-09T14:46:54Z,4176959507,141,5.2,4176959505,140,59.8,4176959503,56,Right,4176959509,212,16.0,4176959511,213,6.0,,,,,,,,,,29m8py8czo6w0zf2arwolirjd,J. Sánchez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531138329,6,50,1,0,11,d0zdg647gvgc95xdtk1vpbkys,1,58.6,5.9,2023-04-09T14:46:54.322Z,2023-04-09T14:46:56Z,4176959515,56,Right,4176959659,233,3,4176959517,286,,,,,,,,,,,,,,,,,7joybllup4h9oe6zfhcepjy6t,S. Berghuis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531138351,3,7,1,0,11,3ebril33e08ddzob4bhq8awsr,0,41.4,94.1,2023-04-09T14:46:54.323Z,2023-04-09T14:46:56Z,4176959625,56,Back,4176959627,285,,4176959649,233,6,,,,,,,,,,,,,,,,6o2tffdjtdueojbhahe3w66i2,R. Vita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531138367,4,45,1,0,12,3ebril33e08ddzob4bhq8awsr,0,52.2,92,2023-04-09T14:46:55.564Z,2023-04-09T14:46:58Z,4176959797,233,7,4176959717,285,,4176959713,56,Left,,,,,,,,,,,,,,,,71gwdg60saiwwwnnv6is52may,T. Noslin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
