id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/15/value,qualifier/18/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2495660067,1,34,16,0,0,3kfktv64h7kg7zryax1wktr5r,1,0,0,2023-01-07T16:53:40.042Z,2023-01-07T19:06:07Z,3968895119,130,8,3968895123,194,7jgtmmk4b2bgn0syidj6ve7kl,3968895109,30,"2p6h6ivyzp1fzsayw7r2xn2dx, ad2qplv0aa66l11ipq6yh0hd5, 3uq3lrjyj4mnvq6162b0jyhnt, 2w7xspkzg7b9ghl20me202ove, ayqy2vql1oumokqly9ahfrnx1, 42cg746sa90jla5x4islj9pwq, 1t7nph4960rjzu7rgi47sf8ix, 7jgtmmk4b2bgn0syidj6ve7kl, 7sd87ylfbtgwgpb70hf68cel1, b8vbhw29ucubzzmgv0nge1omh, 33yauarx84sam5u05vgyqxfxl, 51f3vubki4or5vaft5tromn3e, b2ibeioms7t9vb3au7tpqys4p, 1hmy5uxiyr8g915tngl9l8twq, 6zzcoo9k4ebqtlux49rbb5fro, 4cegvsj3s6t0o1l5xap6jypuy, 74c15mfi1h4zrry5fo2q94ul1, 86vxgtv8m65pypbngqan36y21, d29ahwtvs7ls75wdtkf7xr8tm, 9v7zwguzazofzafwg3qevdo4q, 7wrulbqqdeecd5vegsbb1905w, 7ug3a0z74dj7qlq4jbtn1kutw",3968895117,59,"12, 2, 34, 6, 3, 31, 7, 8, 9, 30, 11, 17, 18, 19, 22, 23, 25, 27, 28, 32, 45, 54",3968895113,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3969062231,197,460,3968895125,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3968895121,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495661803,1,34,16,0,0,6hsriqr3ybvyg94w2k19oal50,1,0,0,2023-01-07T16:56:11.814Z,2023-01-07T18:03:33Z,3968904403,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3968904413,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3969054855,197,16860,3968904411,194,4idru0svqcqjpi03b4jhqyd3p,3968904409,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3968904407,130,8,3968904401,30,"84yhv0iilunn0vllz1r5fe7l5, d3qx3gwypipcl2azrj9ing9ud, cynuwabb849am6ml1b70yr55h, 4ecptuxoyx485mmhrubuscgyd, cgsmk5437f466uoqvol7devze, d8cxurdt9g5gezqlfwae7ooru, czh4r9efdbw4fvdux0enl127e, dvof4p3jx1gi6i9uelbmudl62, 9bzwr8qhl6547tjrsjsity4x6, 4idru0svqcqjpi03b4jhqyd3p, 4212luiyivgvje1vm1ojieicq, 2ez3q7gik3lm5kp1cunfol52h, e65zqndnze1xzef4qlkhd1v4l, b2uznyb9b8fxsy57450mbmwru, cty7nsrs5yn785m330c2gbwq2, eqjelc731e1xrp95bpysx0pka, 7xtesbxl6ioj70wymszqsag9h, 4snaidw6iaeo0k20gjfm35nft, e84kqxlu2bzgcpu0x0cj3z8id, dotvgi9g50m2axfw4isamd1ck, 1txv3b9y7h3du9d5bbblg0vai, 3hhca66jtxt3c1iw10nfmhtnu, 45vh3c99keqayr9hj0r6x0ei2",3968904405,59,"16, 2, 35, 8, 3, 20, 42, 17, 14, 21, 10, 6, 5, 9, 11, 13, 18, 22, 24, 26, 27, 33, 53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495693675,2,32,1,0,0,6hsriqr3ybvyg94w2k19oal50,1,0,0,2023-01-07T17:47:15.547Z,2023-01-07T17:47:16Z,3969072737,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495693667,2,32,1,0,0,3kfktv64h7kg7zryax1wktr5r,1,0,0,2023-01-07T17:47:15.547Z,2023-01-09T04:42:43Z,3969072693,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495693711,3,1,1,0,0,3kfktv64h7kg7zryax1wktr5r,1,49.9,50.6,2023-01-07T17:47:15.647Z,2023-01-09T08:00:20Z,3969072945,279,S,3969072941,212,22.6,3969072937,140,29.8,3969072943,213,2.8,3971514959,178,,3969072935,56,Back,3969072939,141,62.6,,,,7sd87ylfbtgwgpb70hf68cel1,V. Pavlidis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495693755,4,1,1,0,3,3kfktv64h7kg7zryax1wktr5r,1,31.7,61.2,2023-01-07T17:47:19.163Z,2023-01-09T08:33:06Z,3971521499,178,,3969073083,212,51.0,3969073085,213,5.6,3969073077,56,Right,3969073075,155,,3969073087,1,,3969073081,141,14.9,3969073079,140,69.9,42cg746sa90jla5x4islj9pwq,S. Beukema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495693767,5,44,1,0,6,3kfktv64h7kg7zryax1wktr5r,1,68.5,19.3,2023-01-07T17:47:22.526Z,2023-01-09T11:51:18Z,3969073165,233,3,3969073123,56,Right,3969073125,286,,,,,,,,,,,,,,,,,1t7nph4960rjzu7rgi47sf8ix,J. Odgaard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495693769,3,44,1,0,6,6hsriqr3ybvyg94w2k19oal50,0,31.5,80.7,2023-01-07T17:47:22.527Z,2023-01-09T08:33:25Z,3969073175,233,5,3969073129,56,Back,3969073131,285,,,,,,,,,,,,,,,,,cynuwabb849am6ml1b70yr55h,M. Dijks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495693801,6,1,1,0,7,3kfktv64h7kg7zryax1wktr5r,1,69.9,15,2023-01-07T17:47:22.578Z,2023-01-09T11:51:18Z,3969073305,141,15.2,3969073301,56,Right,3969073299,168,,3971521615,388,,3969073307,212,16.7,3969073309,213,0.0,3969073295,3,,3969073303,140,85.8,1t7nph4960rjzu7rgi47sf8ix,J. Odgaard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495693833,7,44,1,0,9,3kfktv64h7kg7zryax1wktr5r,1,87,14.2,2023-01-07T17:47:25.120Z,2023-01-09T11:51:19Z,3969073483,286,,3969073481,56,Right,3969073495,233,4,,,,,,,,,,,,,,,,7sd87ylfbtgwgpb70hf68cel1,V. Pavlidis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
