id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/10/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/14/value,qualifier/16/value,assist
2497360771,1,34,16,0,0,6g9qrm72224jrk6tkxxxi8a9n,1,0,0,2023-01-14T16:36:27.560Z,2023-01-14T17:45:16Z,3977835407,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3977835401,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3978129539,197,2840,3977835409,194,a21sngx9u0boxf3n6u5qbkdlh,3977835411,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3977835399,30,"7dg8woqlx67ch0ji3ujhgb52i, 8822s8ns7oyvjqade4oaxzg0l, a02jtmvlc1tlstvt96pa1hisq, e3akocgpppdty3ayxty1gf6xh, dbkr1w2xlwnyssid1tv0jlujt, c9epkro6fot3km9zak1kswfhm, f15kg1dhysflr9u8igyvhxkdm, a21sngx9u0boxf3n6u5qbkdlh, 6jqn5grsuhuo5at81pzahr6xh, 3dc82sro077by40u3qdmhw0r9, 3kbhgmnf6bhfgut0jxf4m2sfe, 8ozlo6qrdavr86guhclwvh84q, 1sb4655mgzrdohlltyk9fqlzp, c5jk0pvcvqddy0xiqv6qkesph, bn8dwm2y9a8i9a10rba3dmm3u, 5shfqpd5fj05qrp1jlzd08ftg, 7qzban9gm72aznhn11qyxwtg4, 792zq4joba1qgt0lusvrjantg, ca8qw8jztjxwxuc2foa6dfckq, 8oetnmi8kejwwy37rhlelw2ne, drbhndjayqwxzri7gfbd4zt3o, a5rk4aefn3gzqwspp4tpqq49g",3977835405,130,17,3977835403,59,"1, 2, 5, 4, 6, 31, 12, 8, 21, 11, 10, 3, 7, 9, 15, 17, 20, 25, 28, 33, 36, 37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497369957,1,34,16,0,0,ed5nwjz5za3oyi20nxzgqivmx,1,0,0,2023-01-14T16:41:29.753Z,2023-01-14T17:52:53Z,3978126753,197,535,3977885607,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3977885601,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3977885609,194,8przxwwothu3crflys7ahl4dm,3977885611,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3977885603,59,"1, 2, 5, 24, 4, 23, 33, 6, 14, 20, 9, 10, 12, 13, 15, 17, 19, 21, 22, 26, 29, 34, 35",3977885605,130,18,3977885599,30,"7wo4627xo1mx5k0vpwhe8hqll, 7a3ik1dbxkirdt58gwvvtyw9, 181us5vol7crxrmejhkqau3t, arahlffwma11d06oqmglwjemt, 8przxwwothu3crflys7ahl4dm, 9787nemt11c372uird332d13p, b23be312oxcbusvpjnnriukq2, evexihkozqignope6k57tjgt1, dbg4ducw8j747foxiexle1iad, atbvv2os8m7nfs0p128w5a6l1, btfanvej91yogqzfml4vmsmei, b1o6ctqy1mhjg4iiec8aedat, cibkxflm2k8if2jg9m5lpxkut, f1u6wna62ri171clx0pig6dbd, efcq9u93u06hx6578ua3buswl, abnezz7yico2636ucafabz4t0, csov8ibh2n0q2w8j72pft9t5h, 8n2xfmdnievwdeg60kobkoyj9, 9lctm8txbd4n87mk61lwa0rf9, w32h1te98uqq53j053qm3pm2, e8wfxueczkhrj92rytelw5vx1, ddldrej9an43ky123hqwp22ju, 5cvstzkb7l1zxapx0dt4zjkoa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497417327,2,32,1,0,0,ed5nwjz5za3oyi20nxzgqivmx,1,0,0,2023-01-14T17:48:13.391Z,2023-01-14T17:48:13Z,3978136255,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497417333,2,32,1,0,0,6g9qrm72224jrk6tkxxxi8a9n,1,0,0,2023-01-14T17:48:13.391Z,2023-01-16T10:00:44Z,3978136273,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497417339,3,1,1,0,0,6g9qrm72224jrk6tkxxxi8a9n,1,50,50,2023-01-14T17:48:13.452Z,2023-01-16T11:18:24Z,3978136295,141,37.6,3981203707,178,,3978136287,56,Back,3978136299,212,21.4,3978136301,213,3.5,3978136291,140,31.3,3978136303,279,S,,,,a21sngx9u0boxf3n6u5qbkdlh,C. Eiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497417369,4,1,1,0,3,6g9qrm72224jrk6tkxxxi8a9n,0,31.1,38.6,2023-01-14T17:48:16.970Z,2023-01-16T11:18:28Z,3978136495,141,100.0,3978136487,155,,3978136493,140,82.8,3978136499,213,0.7,3981203775,178,,3978136489,196,,3978136501,1,,3978136491,56,Left,dbkr1w2xlwnyssid1tv0jlujt,B. Benamar,3978136497,212,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497417429,3,5,1,0,7,ed5nwjz5za3oyi20nxzgqivmx,1,18.8,-1.5,2023-01-14T17:48:21.201Z,2023-01-16T11:18:32Z,3978136819,233,5,3978136803,56,Back,3978136807,347,,,,,,,,,,,,,,,,,7a3ik1dbxkirdt58gwvvtyw9,J. Lelieveld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497417373,5,5,1,0,7,6g9qrm72224jrk6tkxxxi8a9n,0,81.2,101.5,2023-01-14T17:48:21.201Z,2023-01-16T11:18:33Z,3978136515,56,Left,3978136835,233,3,3978136517,347,,,,,,,,,,,,,,,,,dbkr1w2xlwnyssid1tv0jlujt,B. Benamar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497417435,4,1,1,0,18,ed5nwjz5za3oyi20nxzgqivmx,0,26.9,0,2023-01-14T17:48:31.739Z,2023-01-16T11:18:35Z,3978136853,141,9.4,3978136847,56,Back,3978136859,213,0.4,3978136845,107,,3978136849,140,45.1,3978136857,212,20.4,,,,,,,7a3ik1dbxkirdt58gwvvtyw9,J. Lelieveld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497417455,6,1,1,0,19,6g9qrm72224jrk6tkxxxi8a9n,1,60.1,84.8,2023-01-14T17:48:33.169Z,2023-01-16T11:19:07Z,3978136943,141,91.4,3981204357,178,,3978136937,3,,3978136945,212,15.6,3978136941,140,45.9,3978136939,56,Back,3978136947,213,2.8,,,,e3akocgpppdty3ayxty1gf6xh,D. Mirani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
