id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/10/value,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,qualifier/22/id,qualifier/22/qualifierId,qualifier/22/value,qualifier/23/id,qualifier/23/qualifierId,qualifier/23/value,qualifier/14/value,qualifier/18/value
2495894907,1,34,16,0,0,ears40cp6opsgvhsy0dgyszpd,1,0,0,2023-01-08T12:45:42.626Z,2023-01-08T13:29:16Z,3970117993,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3970117991,194,3u2783a9ukglf8yg3dere8wve,3970117989,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3970117981,30,"7rvlba00jv66w7wtdmk178a95, ca5n8516u8m6c41u61bbjjbop, 3u2783a9ukglf8yg3dere8wve, 8o13oyr0lqkr5sw7j9ekdan6x, 8ylvnl689iweg2r9d0ioj771m, 7r2ifipuieqiar5n00o2j5uj9, 9wgpudcet9m8doz9ezbjxzkrt, 7pz3qz589b7v3pkb9h0hv73l5, cgsirikez39wlx8lhu1uo00yd, 4utb2o5c0e57kf0iwdavpzg15, ae7ij4u0xy9iru6qvdw2i9fu2, 4736oz9r0evpmkd3qumivl239, tv8e6nxc7jl8wbzf6ojd6dw5, 426st78oi43eortpbfkuxw72t, dzs8vty5afl2y7ddjh3ausclx, dz5odw2c0d2hyx60oxorrf9hx, eyx1wga1fue6lb5a0ak5f32i2, e1wk520xrgbtriixo4kj3pnje, 4j7f43re79hlmomwga3isqbu2, blzp9qbpturqntnisbkg0ddlg, bw10e3zz1g0e4gomq2saqcb9w, c6ufljjgl050g9xn7e9ma7hg4, 6bw8i1pyy1esfqlbjno2wbehg",3970117983,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3970117985,59,"1, 24, 16, 6, 15, 4, 8, 21, 9, 11, 14, 3, 5, 10, 18, 20, 27, 30, 31, 33, 38, 39, 52",3970117987,130,4,3970198305,197,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495896321,1,34,16,0,0,6g9qrm72224jrk6tkxxxi8a9n,1,0,0,2023-01-08T12:50:27.253Z,2023-01-08T13:33:28Z,3970125613,130,17,3970125611,59,"1, 2, 5, 4, 6, 31, 12, 8, 21, 11, 10, 3, 9, 15, 20, 22, 24, 25, 28, 33, 36, 37",3970197987,197,16727,3970125619,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3970125609,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3970125607,30,"7dg8woqlx67ch0ji3ujhgb52i, 8822s8ns7oyvjqade4oaxzg0l, a02jtmvlc1tlstvt96pa1hisq, e3akocgpppdty3ayxty1gf6xh, dbkr1w2xlwnyssid1tv0jlujt, c9epkro6fot3km9zak1kswfhm, f15kg1dhysflr9u8igyvhxkdm, a21sngx9u0boxf3n6u5qbkdlh, 6jqn5grsuhuo5at81pzahr6xh, 3dc82sro077by40u3qdmhw0r9, 3kbhgmnf6bhfgut0jxf4m2sfe, 8ozlo6qrdavr86guhclwvh84q, c5jk0pvcvqddy0xiqv6qkesph, bn8dwm2y9a8i9a10rba3dmm3u, 7qzban9gm72aznhn11qyxwtg4, bdurpi6c2ipwtcuyndq0e6ve2, eayvrkzzkk0xu4c5rrxgzlroq, 792zq4joba1qgt0lusvrjantg, ca8qw8jztjxwxuc2foa6dfckq, 8oetnmi8kejwwy37rhlelw2ne, drbhndjayqwxzri7gfbd4zt3o, a5rk4aefn3gzqwspp4tpqq49g",3970125615,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3970125617,194,a21sngx9u0boxf3n6u5qbkdlh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495911163,2,32,1,0,0,6g9qrm72224jrk6tkxxxi8a9n,1,0,0,2023-01-08T13:33:00.574Z,2023-01-08T13:33:00Z,3970205903,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495911179,2,32,1,0,0,ears40cp6opsgvhsy0dgyszpd,1,0,0,2023-01-08T13:33:00.574Z,2023-01-10T02:05:09Z,3970205977,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495911185,3,1,1,0,0,6g9qrm72224jrk6tkxxxi8a9n,1,50,50,2023-01-08T13:33:00.714Z,2023-01-10T10:37:33Z,3970206005,279,S,3970205997,140,31.3,3970205995,56,Back,3970205999,141,40.4,3972410341,178,,3970206003,213,3.5,3970206001,212,20.7,,,,6jqn5grsuhuo5at81pzahr6xh,R. Mühren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495911195,4,1,1,0,2,6g9qrm72224jrk6tkxxxi8a9n,0,37.7,41.9,2023-01-08T13:33:03.089Z,2023-01-10T10:37:37Z,3970206043,155,,3970206049,141,82.9,3972410393,178,,3970206055,1,,3970206053,213,0.7,3970206051,212,46.0,3970206047,140,72.5,3970206045,56,Left,c9epkro6fot3km9zak1kswfhm,X. Mbuyamba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495911199,3,49,1,0,6,ears40cp6opsgvhsy0dgyszpd,1,25.7,10.6,2023-01-08T13:33:06.588Z,2023-01-10T10:37:44Z,,,,,,,,,,,,,,,,,,,,,,,,,ca5n8516u8m6c41u61bbjjbop,S. van Wermeskerken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495911215,4,1,1,0,6,ears40cp6opsgvhsy0dgyszpd,0,24.7,13.2,2023-01-08T13:33:07.363Z,2023-01-10T10:38:05Z,3970206153,212,34.5,3970206151,141,15.8,3970206145,157,,3970206147,56,Right,3972410633,178,,3970206149,140,57.5,3970206155,213,0.1,3970206157,1,,ca5n8516u8m6c41u61bbjjbop,S. van Wermeskerken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495911223,5,44,1,0,8,6g9qrm72224jrk6tkxxxi8a9n,1,44.8,75.4,2023-01-08T13:33:09.332Z,2023-01-10T13:53:04Z,3970206195,56,Back,3970206197,285,,3970206199,233,5,,,,,,,,,,,,,,,,dbkr1w2xlwnyssid1tv0jlujt,B. Benamar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495911217,5,44,1,0,8,ears40cp6opsgvhsy0dgyszpd,0,55.2,24.6,2023-01-08T13:33:09.333Z,2023-01-10T10:39:27Z,3970206163,286,,3970206161,56,Center,3970206239,233,5,,,,,,,,,,,,,,,,cgsirikez39wlx8lhu1uo00yd,T. Boere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
