id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,keyPass,qualifier/11/value,qualifier/9/value,qualifier/17/value,qualifier/12/value,qualifier/15/value
2522453615,1,34,16,0,0,6hsriqr3ybvyg94w2k19oal50,1,0,0,2023-03-19T14:44:34.637Z,2023-03-19T16:11:45Z,4110103611,59,"16, 3, 13, 8, 6, 29, 20, 15, 17, 42, 21, 2, 9, 10, 14, 18, 22, 24, 26, 33, 35, 53",4110419659,197,542,4110103617,194,4idru0svqcqjpi03b4jhqyd3p,4110103619,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4110103607,30,"84yhv0iilunn0vllz1r5fe7l5, cgsmk5437f466uoqvol7devze, eqjelc731e1xrp95bpysx0pka, 4ecptuxoyx485mmhrubuscgyd, 2ez3q7gik3lm5kp1cunfol52h, cb8pu5lenbczaooavhaxnzp3p, d8cxurdt9g5gezqlfwae7ooru, 98fjpfhrww2qdifsi8viybaol, dvof4p3jx1gi6i9uelbmudl62, czh4r9efdbw4fvdux0enl127e, 4idru0svqcqjpi03b4jhqyd3p, d3qx3gwypipcl2azrj9ing9ud, b2uznyb9b8fxsy57450mbmwru, 4212luiyivgvje1vm1ojieicq, 9bzwr8qhl6547tjrsjsity4x6, 7xtesbxl6ioj70wymszqsag9h, 4snaidw6iaeo0k20gjfm35nft, e84kqxlu2bzgcpu0x0cj3z8id, dotvgi9g50m2axfw4isamd1ck, 3hhca66jtxt3c1iw10nfmhtnu, cynuwabb849am6ml1b70yr55h, 45vh3c99keqayr9hj0r6x0ei2",4110103609,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4110103613,130,4,4110103615,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522453689,1,34,16,0,0,24fvcruwqrqvqa3aonf8c3zuy,1,0,0,2023-03-19T14:44:38.572Z,2023-03-19T15:57:21Z,4110103989,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4110103987,130,4,4110103981,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4110103993,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4110103991,194,4drquvq035kmr2smvzph82bx1,4110103983,59,"16, 29, 30, 7, 5, 22, 6, 23, 9, 21, 10, 3, 4, 11, 15, 18, 20, 24, 27, 28, 41",4110103979,30,"d5v47kueisvcjjz4f69m83sut, 7c8ms7bw3fva4xeubax4ep8et, 6yush35gfp1sgyyzicye73rp, exhxdmdq49xj4dnguq03qnlgq, 62n3xzxpwe2j317q24rh5wjpx, 1ph4g125dfsijfjzjpcvpcmlm, 1abb1gcw7arw1nkbuxnccjca1, d4j19ipiaeuetyij08fofgs15, 4drquvq035kmr2smvzph82bx1, c8j50o9oqu2okdpjsr3nvnhsl, 7snt4uu7f2d0g7utjm2xfis8a, 2e0o5pwinz3zhg9pqg5vej9ih, 3ojwbw6v83g9b0u2wssnkzzzd, 3y9nm18as1wxhizq3fyazb2t, 9uuk73i8obc7ji0dnan352nkl, d92v6n4pf20eepvli92lqau39, 21k54i5a6d9bi4f6gplgzxiw9, d9wjrxhmo0dlczkg0fpnf3e1h, bx6j2y1hnu63lawn3rdoep1m2, 9vf02r3geinhsy732oxyrcacq, 1otm71j1169bt3ivgo2vlj2tw",4110411085,197,16040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522515521,2,32,1,0,0,6hsriqr3ybvyg94w2k19oal50,1,0,0,2023-03-19T15:45:31.885Z,2023-03-21T17:28:00Z,4110439149,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522515487,2,32,1,0,0,24fvcruwqrqvqa3aonf8c3zuy,1,0,0,2023-03-19T15:45:31.885Z,2023-03-19T15:45:32Z,4110438981,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522515587,3,1,1,0,0,24fvcruwqrqvqa3aonf8c3zuy,1,49.9,49.9,2023-03-19T15:45:31.953Z,2023-03-21T21:59:32Z,4110439481,279,S,4110439475,213,3.1,4110439465,140,29.4,4110439461,56,Back,4110439471,212,21.6,4114951281,178,,4110439469,141,52.5,,,,exhxdmdq49xj4dnguq03qnlgq,X. Simons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522515695,4,1,1,0,3,24fvcruwqrqvqa3aonf8c3zuy,0,29.1,52.8,2023-03-19T15:45:35.476Z,2023-03-21T21:59:36Z,4110440097,1,,4110440091,141,76.8,4110440085,155,,4110440093,212,43.7,4110440095,213,0.4,4114951307,178,,4110440089,140,67.7,4110440087,56,Center,62n3xzxpwe2j317q24rh5wjpx,André Ramalho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522515701,3,44,1,0,6,6hsriqr3ybvyg94w2k19oal50,1,31.2,23,2023-03-19T15:45:38.445Z,2023-03-22T00:33:09Z,4110440233,233,5,4110440139,56,Back,4110440141,285,,,,,,,,,,,,,,,,,d8cxurdt9g5gezqlfwae7ooru,M. Meulensteen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522515703,5,44,1,0,6,24fvcruwqrqvqa3aonf8c3zuy,0,68.8,77,2023-03-19T15:45:38.446Z,2023-03-21T21:59:40Z,4110440557,233,3,4110440143,56,Center,4110440145,286,,,,,,,,,,,,,,,,,4drquvq035kmr2smvzph82bx1,L. de Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522515725,4,1,1,0,6,6hsriqr3ybvyg94w2k19oal50,1,27.6,22.1,2023-03-19T15:45:38.524Z,2023-03-22T00:33:10Z,4110440275,140,32.2,4110440271,3,,4114951331,388,,4110440277,141,30.1,4110440281,213,0.8,4110440273,56,Back,4110440279,212,7.3,,,,d8cxurdt9g5gezqlfwae7ooru,M. Meulensteen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522515797,5,1,1,0,9,6hsriqr3ybvyg94w2k19oal50,1,35,32.2,2023-03-19T15:45:40.932Z,2023-03-21T21:59:49Z,4110440659,213,6.1,4110440657,212,7.4,4110440651,56,Back,4110440653,140,42.0,4110440655,141,30.6,4114951341,388,,,,,,,,4ecptuxoyx485mmhrubuscgyd,S. Tronstad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
