id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/9/value,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2530430631,1,34,16,0,0,24fvcruwqrqvqa3aonf8c3zuy,1,0,0,2023-04-08T17:18:26.162Z,2023-04-08T18:05:35Z,4173233541,194,4drquvq035kmr2smvzph82bx1,4173233529,30,"a56woizbe4g6jpl3fg4tlgno5, 2e0o5pwinz3zhg9pqg5vej9ih, 6yush35gfp1sgyyzicye73rp, d4j19ipiaeuetyij08fofgs15, 62n3xzxpwe2j317q24rh5wjpx, d92v6n4pf20eepvli92lqau39, bx6j2y1hnu63lawn3rdoep1m2, 9uuk73i8obc7ji0dnan352nkl, 4drquvq035kmr2smvzph82bx1, exhxdmdq49xj4dnguq03qnlgq, 7snt4uu7f2d0g7utjm2xfis8a, 1abb1gcw7arw1nkbuxnccjca1, 3y9nm18as1wxhizq3fyazb2t, d5v47kueisvcjjz4f69m83sut, 21k54i5a6d9bi4f6gplgzxiw9, c8j50o9oqu2okdpjsr3nvnhsl, 1ph4g125dfsijfjzjpcvpcmlm, d9wjrxhmo0dlczkg0fpnf3e1h, 9vf02r3geinhsy732oxyrcacq",4173233537,130,8,4173404689,197,500,4173233533,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",4173233539,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4173233543,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4173233535,59,"1, 3, 30, 23, 5, 18, 27, 15, 9, 7, 10, 6, 11, 16, 20, 21, 22, 24, 28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530431403,1,34,16,0,0,dqk062lu0vm8epvytbm6r4mmf,1,0,0,2023-04-08T17:19:19.247Z,2023-04-08T17:57:44Z,4173237443,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4173237449,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4173404789,197,1517,4173237445,59,"1, 2, 12, 3, 4, 16, 8, 23, 22, 33, 14, 6, 7, 9, 15, 18, 21, 28, 29, 34, 38",4173237447,130,11,4173237453,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4173237451,194,am19rcub89k9bleldiqps7845,4173237441,30,"am19rcub89k9bleldiqps7845, 3r6elcuru7no13hrfczmwbmy1, 5wwqe546ohp130rvi8x8pt0tm, 4gso82x236c4xe0eovfr50sfd, 934ldgpefo90za10cq49k0o6i, 3ox3ey99addc8m1ee8qrzuuhh, a46irqckxabod18j2c0qfixre, 3dx91sb6ktg8z1xmoti25kru, 51tih9z7sxlb4vj3j7tm1ewgl, f07qmqesi1rpw7eapoz9rb0gk, 6jhavdnaitqn6ydme8a526aui, 9aj2e1c30c8i3h6iff0k4dmac, bhkrpr3gxc5xx0b0dinla5muh, 5zwa237gtyf2mlrmo7tlkqnoq, 6coor7jll29drx4kgvyt499wq, 89dofd1p8ftdgy1u8jlyi58lx, 11iegkg0xuow3r11hx5t1o1xx, 6db1q8hud1d8u2q3lxzfixzze, 7y0acvcg9km8dz51t5ndy23md, 8znaym62oghri26gdn8o6fz84, 3fvaph4p7n0i1nwhhtlpayzh0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530462351,2,32,1,0,0,24fvcruwqrqvqa3aonf8c3zuy,1,0,0,2023-04-08T18:00:13.052Z,2023-04-09T03:47:08Z,4173412331,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530462359,2,32,1,0,0,dqk062lu0vm8epvytbm6r4mmf,1,0,0,2023-04-08T18:00:13.052Z,2023-04-08T18:00:16Z,4173412351,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530462435,3,1,1,0,1,24fvcruwqrqvqa3aonf8c3zuy,1,49.9,50.3,2023-04-08T18:00:14.155Z,2023-04-08T18:00:21Z,4173412735,56,Back,4173412743,213,3.7,4173412745,279,S,4173412739,141,34.7,4173412737,140,34.7,4173412741,212,19.2,,,,,,,exhxdmdq49xj4dnguq03qnlgq,X. Simons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530462439,4,1,1,0,3,24fvcruwqrqvqa3aonf8c3zuy,0,33.5,33.1,2023-04-08T18:00:17.025Z,2023-04-08T18:00:23Z,4173412783,1,,4173412779,212,40.2,4173412773,56,Center,4173412775,140,69.6,4173412777,141,52.8,4173412771,155,,4173412781,213,0.3,,,,62n3xzxpwe2j317q24rh5wjpx,André Ramalho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530462455,3,1,1,0,8,dqk062lu0vm8epvytbm6r4mmf,0,26.1,41.3,2023-04-08T18:00:21.131Z,2023-04-08T18:00:22Z,4173412855,213,0.2,4173412849,140,33.8,4173412853,212,8.3,4173412845,3,,4173412847,56,Back,4173412851,141,44.2,,,,,,,3dx91sb6ktg8z1xmoti25kru,P. Koopmeiners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530462481,5,50,1,0,9,24fvcruwqrqvqa3aonf8c3zuy,1,67.6,52,2023-04-08T18:00:22.889Z,2023-04-09T05:10:47Z,4175247039,233,4,4173412959,286,,4173412957,56,Center,,,,,,,,,,,,,,,,9uuk73i8obc7ji0dnan352nkl,É. Gutiérrez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530462471,4,7,1,0,9,dqk062lu0vm8epvytbm6r4mmf,0,32.4,48,2023-04-08T18:00:22.890Z,2023-04-09T03:48:01Z,4173413005,233,5,4173412937,285,,4173412935,56,Back,4175142985,385,,,,,,,,,,,,,,f07qmqesi1rpw7eapoz9rb0gk,J. Baas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530516049,561,61,1,0,10,24fvcruwqrqvqa3aonf8c3zuy,1,68.7,56.1,2023-04-08T18:00:23.052Z,2023-04-08T18:52:43Z,4173699893,56,Center,,,,,,,,,,,,,,,,,,,,,,9uuk73i8obc7ji0dnan352nkl,É. Gutiérrez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
