id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,assist,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,keyPass,qualifier/15/value,qualifier/13/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/16/value
2472794191,1,34,16,0,0,24fvcruwqrqvqa3aonf8c3zuy,1,0,0,2022-10-16T11:20:14.800Z,2022-10-16T12:29:30Z,3848358285,30,"a56woizbe4g6jpl3fg4tlgno5, 7c8ms7bw3fva4xeubax4ep8et, 5mbkc1nqmirbtfml9aklqr5xx, 9uuk73i8obc7ji0dnan352nkl, 62n3xzxpwe2j317q24rh5wjpx, 3ojwbw6v83g9b0u2wssnkzzzd, exhxdmdq49xj4dnguq03qnlgq, 1abb1gcw7arw1nkbuxnccjca1, 21k54i5a6d9bi4f6gplgzxiw9, d4j19ipiaeuetyij08fofgs15, 9psfk94nduz6icnuwty5v9all, 6w1s9fojh50ecti3rz8jv6jca, 2e0o5pwinz3zhg9pqg5vej9ih, d5v47kueisvcjjz4f69m83sut, c8j50o9oqu2okdpjsr3nvnhsl, 1ph4g125dfsijfjzjpcvpcmlm, d9wjrxhmo0dlczkg0fpnf3e1h, bx6j2y1hnu63lawn3rdoep1m2, 6nwn2522yescgrx57wkcxjhwq, cm78w42nflwgvshpnok680mlm, 5yt3hbvzpaqv8lrjgt4ahb78q",3848358291,130,8,3848358287,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3848358293,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3848358295,194,9psfk94nduz6icnuwty5v9all,3848663653,197,500,3848358297,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3848358289,59,"1, 29, 31, 15, 5, 4, 7, 6, 20, 23, 11, 2, 3, 16, 21, 22, 24, 27, 33, 35, 37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472797583,1,34,16,0,0,ccpscwdcm65czscrun048ecn5,1,0,0,2022-10-16T11:24:42.265Z,2022-10-16T12:27:16Z,3848665403,197,16382,3848375245,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3848375243,30,"9q90ls3k1i2739wd6a20fku6t, 6anvl82jyio52wo87cbxdp4np, 6lyedmu2vuf7jig3jmhz9b4ve, b33sm106xc7g3h4bcqtawja7e, 1s7vp9ovsa1jo7tu7nisykn9x, 8p47d0e54hgl7d86vur1m5nmx, 4octqavtgpv5u1rnpss898nah, ely6vpyueden4b6ozfmspwgk5, 395y7yj6o1xwr6uaxs4sjnjdh, 4rp5snknt88bf4lws5t0o9gph, 28o7vv0jud22hmg4h649yozqh, 6gabdz53gxhyp8dv6x5the4t1, 6mjm5cwe46jhi3wwpf1icf65l, eu6pfkiah7otafyryg6ll7y09, 1p0xp2onnys7jlru55vfgf1pm, 9uf4fsff2lpic3u0l7zpuqsid, c1krps0yssh477m8umrruiqjt, 9wo8twcbs1jnqzdy0c6y8adey, 3mp92d5s002hi523kl4zmgrft, 4ooliltsht8mvelpds3v4bpat, 790v7fu7f2s40e160mlrb6dt6, aafz6q5ggn9e6m5hprc71lgph, 1s6yn52hlqtmmz4lerscf457u",3848375247,59,"1, 17, 15, 6, 2, 27, 29, 18, 28, 22, 10, 5, 7, 8, 9, 14, 16, 25, 26, 30, 32, 33, 38",3848375251,130,8,3848375261,194,1s7vp9ovsa1jo7tu7nisykn9x,3848375257,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3848375263,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472861409,2,32,1,0,0,24fvcruwqrqvqa3aonf8c3zuy,1,0,0,2022-10-16T12:32:17.368Z,2022-10-18T06:43:39Z,3848689743,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472861405,2,32,1,0,0,ccpscwdcm65czscrun048ecn5,1,0,0,2022-10-16T12:32:17.368Z,2022-10-16T12:32:17Z,3848689711,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472861497,3,1,1,0,0,24fvcruwqrqvqa3aonf8c3zuy,1,49.9,50.2,2022-10-16T12:32:17.480Z,2022-10-18T07:08:27Z,3848690257,212,20.4,3848690255,141,39.9,3848690253,140,31.7,3853280639,178,,3848690259,213,3.5,3848690261,279,S,3848690251,56,Back,,,,exhxdmdq49xj4dnguq03qnlgq,X. Simons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472861531,4,1,1,0,5,24fvcruwqrqvqa3aonf8c3zuy,0,31.1,38.3,2022-10-16T12:32:23.096Z,2022-10-18T07:08:30Z,3853280711,178,,3848690409,1,,3848690399,56,Center,3848690401,140,59.3,3848690407,213,0.7,3848690405,212,37.9,3848690397,155,,3848690403,141,73.0,62n3xzxpwe2j317q24rh5wjpx,André Ramalho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472861585,3,1,1,0,7,ccpscwdcm65czscrun048ecn5,0,40.7,27.7,2022-10-16T12:32:24.987Z,2022-10-18T07:08:37Z,3848690671,212,20.4,3848690669,141,5.1,3848690673,213,5.4,3848690667,140,53.5,3853280823,388,,3848690663,3,,3848690665,56,Right,,,,4octqavtgpv5u1rnpss898nah,M. Sylla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472861637,5,1,1,0,11,24fvcruwqrqvqa3aonf8c3zuy,1,42.8,92.3,2022-10-16T12:32:28.951Z,2022-10-18T07:08:41Z,3848690889,212,8.8,3853280881,178,,3848690887,141,79.7,3848690885,140,44.6,3848690891,213,4.9,3848690879,56,Back,,,,,,,5mbkc1nqmirbtfml9aklqr5xx,P. Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472861655,6,1,1,0,12,24fvcruwqrqvqa3aonf8c3zuy,1,44.5,78.7,2022-10-16T12:32:30.008Z,2022-10-18T07:08:44Z,3848691005,141,93.0,3848691003,140,43.2,3848691007,212,9.8,3848691001,56,Back,3853280965,178,,3848691009,213,1.7,,,,,,,9uuk73i8obc7ji0dnan352nkl,É. Gutiérrez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472861703,7,1,1,0,14,24fvcruwqrqvqa3aonf8c3zuy,1,43.1,92.3,2022-10-16T12:32:31.904Z,2022-10-18T07:08:47Z,3853281049,178,,3848691261,56,Back,3848691269,141,81.2,3848691271,212,7.8,3848691265,140,45.1,3848691273,213,5.0,,,,,,,5mbkc1nqmirbtfml9aklqr5xx,P. Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
