id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/11/value,qualifier/16/value,qualifier/17/value,assist,qualifier/19/id,qualifier/19/qualifierId
2521776025,1,34,16,0,0,89w5c6pw7vn0dxypi61tt0g4k,1,0,0,2023-03-18T16:52:28.956Z,2023-03-18T17:42:12Z,4106525909,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4106725809,197,16685,4106525905,59,"1, 2, 5, 8, 3, 4, 7, 6, 9, 10, 11, 30, 15, 14, 20, 18, 13, 17, 19, 16, 12",4106525911,194,5gs7jd1eigk4jisxbr9a1yvp,4106525903,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4106525907,130,8,4106525913,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4106525901,30,"eamuyjut271ytghb2q4ljqbpx, f57vs3qmmob743hdk2dxf56cq, 5el82g04yvl9ai8ws8pxbvaad, 8n9t52eeli3s39r8ujjhjt7je, 5gs7jd1eigk4jisxbr9a1yvp, ubuh5wgnl0o5bn3wirdmectm, 2nwthqvbk70e2qo35dgp35979, 6ovzd9akutufagsd8kmxmsei2, 6q77vt9bp8dsq48pa97mfzsa1, 723av2redj2ej6livx0g81wwl, tgu7kztdu9azmvirwu8rrip6, 2i8yhe6uqy0jqixkd6ir727dh, aklhi0hr28nidjlkw1sokp785, 4cbhx91p3l265b2cejzd07gbu, 49pcpdulrofklvwsde6ohkkq, 673xny9ozqe978emdytscm5pm, c6i4usq34m3389rtbqptahrai, dficbkp6sp4kw7xihaxneozpx, 7io59zk29vhvyueadmkotzeqy, 2dh7daj5fs09snik6jrcyz7fu, cixzy9hl7ks4maugc5zc9ievp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521779943,1,34,16,0,0,3t0vjqtxc8wpjzv82i3oi2ova,1,0,0,2023-03-18T16:54:47.439Z,2023-03-18T18:01:02Z,4106546267,30,"627nw9ji9qfss33q8ce8042c5, 2gonj4ylypwritcayysoqj3hm, eytcfp4cu6qkar65kf0p5rm96, 6ciggfx8p0zkak8qxe1p7yzth, 9fkdgor4mv7f8eqz65ugnnydx, ait187bpr8we72jvfxxt6ttjp, 55e0z1vhb48go6y2io7h80aqy, 49x98sk3wf7sjshrlou5vnvje, 1i3tivo0q0tbzui8egvdlhg45, cqrk42u0s5w8yuq6mnckug02y, ix6hcbfujuw3mgefzpsnp2zu, 3kt58x082lj8650en2mt60xqt, e605oixdrqumxkqm0y1bijbvt, 4l8n194otkmyc3op4u111l5n9, 4iurx3g3hajlatv5gcxsqwm7e, ekltvbrx114dg6b2wj3lpwy96, 57wfg8j12hfw3aisrnwtpgmvp, 7gdaohy19ev2f04kviok7t1p1, 7myeigeuggkj5ymjw6znedkut, 6rxmwjizhefv4gntkhtpxtasp",4106726475,197,2846,4106546269,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4106546271,59,"32, 34, 24, 2, 5, 17, 77, 8, 10, 20, 57, 1, 11, 13, 14, 16, 18, 21, 23, 27",4106546275,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4106546279,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4106546277,194,9fkdgor4mv7f8eqz65ugnnydx,4106546273,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521817467,2,32,1,0,0,89w5c6pw7vn0dxypi61tt0g4k,1,0,0,2023-03-18T17:45:53.978Z,2023-03-18T17:45:55Z,4106742065,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521817445,2,32,1,0,0,3t0vjqtxc8wpjzv82i3oi2ova,1,0,0,2023-03-18T17:45:53.978Z,2023-03-20T04:20:25Z,4106741963,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521817521,3,1,1,0,0,3t0vjqtxc8wpjzv82i3oi2ova,1,50,50,2023-03-18T17:45:54.095Z,2023-03-20T05:46:45Z,4106742331,212,26.2,4106742329,141,60.8,4106742335,279,S,4106742325,56,Back,4112288829,178,,4106742333,213,2.9,4106742327,140,26.0,,,,1i3tivo0q0tbzui8egvdlhg45,M. Diemers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521817577,4,1,1,0,3,3t0vjqtxc8wpjzv82i3oi2ova,0,28.3,58.4,2023-03-18T17:45:57.242Z,2023-03-20T05:46:55Z,4106742623,155,,4106742627,140,77.8,4106742633,213,5.9,4106742625,56,Center,4112288935,178,,4106742635,1,,4106742629,141,26.7,4106742631,212,56.3,ait187bpr8we72jvfxxt6ttjp,M. te Wierik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521817569,3,44,1,0,6,89w5c6pw7vn0dxypi61tt0g4k,1,25.5,73.6,2023-03-18T17:46:00.192Z,2023-03-21T11:21:53Z,4106742603,285,,4106742601,56,Back,4106742731,233,5,,,,,,,,,,,,,,,,ubuh5wgnl0o5bn3wirdmectm,M. Eerdhuijzen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521817589,5,44,1,0,6,3t0vjqtxc8wpjzv82i3oi2ova,0,74.5,26.4,2023-03-18T17:46:00.193Z,2023-03-20T05:47:10Z,4106742675,286,,4106742751,233,3,4106742673,56,Center,,,,,,,,,,,,,,,,55e0z1vhb48go6y2io7h80aqy,O. Romeny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521817607,4,1,1,0,6,89w5c6pw7vn0dxypi61tt0g4k,1,28.8,73.8,2023-03-18T17:46:00.249Z,2023-03-21T11:21:53Z,4112289237,388,,4106742783,212,12.7,4106742785,213,1.1,4106742781,141,90.3,4106742779,140,34.5,4106742775,3,,4106742777,56,Back,,,,ubuh5wgnl0o5bn3wirdmectm,M. Eerdhuijzen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521817611,5,49,1,0,8,89w5c6pw7vn0dxypi61tt0g4k,1,34.5,91.5,2023-03-18T17:46:02.224Z,2023-03-20T05:47:52Z,,,,,,,,,,,,,,,,,,,,,,,,,tgu7kztdu9azmvirwu8rrip6,K. Saito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
