id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/9/value,qualifier/13/value,qualifier/11/value,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2484920405,1,34,16,0,0,24fvcruwqrqvqa3aonf8c3zuy,1,0,0,2022-11-12T19:04:06.962Z,2022-11-12T19:59:12Z,3912387733,197,500,3912155185,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3912155195,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3912155189,130,8,3912155193,194,4drquvq035kmr2smvzph82bx1,3912155183,30,"a56woizbe4g6jpl3fg4tlgno5, 7c8ms7bw3fva4xeubax4ep8et, 5mbkc1nqmirbtfml9aklqr5xx, 9uuk73i8obc7ji0dnan352nkl, 62n3xzxpwe2j317q24rh5wjpx, 3ojwbw6v83g9b0u2wssnkzzzd, exhxdmdq49xj4dnguq03qnlgq, 1abb1gcw7arw1nkbuxnccjca1, 4drquvq035kmr2smvzph82bx1, d4j19ipiaeuetyij08fofgs15, 9psfk94nduz6icnuwty5v9all, 6w1s9fojh50ecti3rz8jv6jca, 2e0o5pwinz3zhg9pqg5vej9ih, e3il1t1s5lrn4g8t85fcm40oa, d5v47kueisvcjjz4f69m83sut, c6ip6gwp8yvchd1n3dv42go9, 21k54i5a6d9bi4f6gplgzxiw9, c8j50o9oqu2okdpjsr3nvnhsl, 1ph4g125dfsijfjzjpcvpcmlm, d9wjrxhmo0dlczkg0fpnf3e1h, 81sfrpdzz1nymxg1b5noo67ai, 5yt3hbvzpaqv8lrjgt4ahb78q",3912155191,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3912155187,59,"1, 29, 31, 15, 5, 4, 7, 6, 9, 23, 11, 2, 3, 10, 16, 17, 20, 21, 22, 24, 32, 37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484921557,1,34,16,0,0,3kfktv64h7kg7zryax1wktr5r,1,0,0,2022-11-12T19:05:16.284Z,2022-11-12T20:04:37Z,3912161165,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3912161171,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3912388427,197,17703,3912161173,194,7jgtmmk4b2bgn0syidj6ve7kl,3912161167,59,"12, 2, 5, 10, 3, 31, 6, 8, 9, 7, 11, 1, 13, 14, 18, 22, 23, 25, 28, 32, 34",3912161175,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3912161163,30,"2p6h6ivyzp1fzsayw7r2xn2dx, ad2qplv0aa66l11ipq6yh0hd5, a2zavv31d2aadyddk0kjttdgq, 8ymqihdfqc7esda7y407lebx1, ayqy2vql1oumokqly9ahfrnx1, 42cg746sa90jla5x4islj9pwq, 2w7xspkzg7b9ghl20me202ove, 7jgtmmk4b2bgn0syidj6ve7kl, 7sd87ylfbtgwgpb70hf68cel1, 1t7nph4960rjzu7rgi47sf8ix, 33yauarx84sam5u05vgyqxfxl, f3h1bxnw3fq8m10ck132bic4p, b7owk879trwk2tu8ud574xq3u, 3dx91sb6ktg8z1xmoti25kru, b2ibeioms7t9vb3au7tpqys4p, 6zzcoo9k4ebqtlux49rbb5fro, 4cegvsj3s6t0o1l5xap6jypuy, 74c15mfi1h4zrry5fo2q94ul1, d29ahwtvs7ls75wdtkf7xr8tm, 9v7zwguzazofzafwg3qevdo4q, 3uq3lrjyj4mnvq6162b0jyhnt",3912161169,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484963993,2,32,1,0,0,3kfktv64h7kg7zryax1wktr5r,1,0,0,2022-11-12T20:01:39.737Z,2022-11-12T20:01:42Z,3912392755,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484963991,2,32,1,0,0,24fvcruwqrqvqa3aonf8c3zuy,1,0,0,2022-11-12T20:01:39.737Z,2022-11-14T06:55:24Z,3912392753,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484964023,3,1,1,0,0,24fvcruwqrqvqa3aonf8c3zuy,1,50,50,2022-11-12T20:01:39.787Z,2022-11-15T01:10:09Z,3912392921,212,15.5,3917237731,178,,3912392915,56,Back,3912392923,213,2.7,3912392925,279,S,3912392919,141,59.4,3912392917,140,36.6,,,,exhxdmdq49xj4dnguq03qnlgq,X. Simons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484964029,4,1,1,0,1,24fvcruwqrqvqa3aonf8c3zuy,1,36.6,59.4,2022-11-12T20:01:40.853Z,2022-11-15T01:10:15Z,3912392937,56,Back,3912392943,212,3.7,3912392941,141,55.7,3912392939,140,34.0,3912392945,213,3.9,3917237745,178,,,,,,,,1abb1gcw7arw1nkbuxnccjca1,I. Sangaré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484964051,5,1,1,0,2,24fvcruwqrqvqa3aonf8c3zuy,0,34.1,55.7,2022-11-12T20:01:42.258Z,2022-11-15T01:10:17Z,3912393081,155,,3912393091,213,5.9,3912393087,141,27.8,3912393089,212,49.0,3912393083,56,Center,3912393093,1,,3912393085,140,77.1,3917237755,178,,3ojwbw6v83g9b0u2wssnkzzzd,A. Obispo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484964073,3,1,1,0,5,3kfktv64h7kg7zryax1wktr5r,1,27.6,67.5,2022-11-12T20:01:45.195Z,2022-11-15T01:10:22Z,3912393273,140,34.9,3912393279,213,1.0,3912393277,212,13.2,3912393271,56,Back,3917237769,388,,3912393269,3,,3912393275,141,83.3,,,,42cg746sa90jla5x4islj9pwq,S. Beukema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484964077,4,49,1,0,8,3kfktv64h7kg7zryax1wktr5r,1,34.9,83.3,2022-11-12T20:01:48.309Z,2022-11-15T01:10:43Z,,,,,,,,,,,,,,,,,,,,,,,,,7sd87ylfbtgwgpb70hf68cel1,V. Pavlidis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484964089,5,1,1,0,9,3kfktv64h7kg7zryax1wktr5r,1,34.9,83.3,2022-11-12T20:01:48.783Z,2022-11-15T01:10:47Z,3912393363,212,5.3,3912393355,56,Back,3912393361,141,75.5,3917237835,178,,3912393357,140,35.0,3912393365,213,4.7,,,,,,,7sd87ylfbtgwgpb70hf68cel1,V. Pavlidis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484964107,6,1,1,0,10,3kfktv64h7kg7zryax1wktr5r,1,35.2,77.4,2022-11-12T20:01:50.170Z,2022-11-15T01:10:51Z,3912393485,141,93.3,3912393487,212,11.3,3917237851,178,,3912393479,56,Back,3912393489,213,1.9,3912393483,140,32.2,,,,,,,7jgtmmk4b2bgn0syidj6ve7kl,J. Clasie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
