id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2536667745,7,5,1,0,8,6g9qrm72224jrk6tkxxxi8a9n,0,100.4,1.6,2023-04-21T18:00:16.842Z,2023-04-24T14:09:49Z,4206418847,56,Right,4206524891,233,4,4206524655,346,,,,,,,,,,,,,,,,,8ozlo6qrdavr86guhclwvh84q,B. Plat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536667959,5,1,1,0,28,ears40cp6opsgvhsy0dgyszpd,1,4.1,45.1,2023-04-21T18:00:36.987Z,2023-04-24T14:09:52Z,4206420053,155,,4206420051,124,,4206420055,56,Right,4206420069,74,,4206420065,1,,4206420057,140,54.3,4206420059,141,8.4,4206420061,212,58.3,ail0unvzd0b9ur7j0l8hk0y51,R. Ruiter,4206420063,213,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536667975,6,1,1,0,32,ears40cp6opsgvhsy0dgyszpd,1,54.4,8.2,2023-04-21T18:00:40.085Z,2023-04-24T14:10:00Z,4206420125,168,,4206420123,3,,4217595465,388,,4206420133,212,8.6,4206420131,141,16.1,4206420135,213,0.7,4206420129,140,60.8,4206420127,56,Right,4qyx713hq3c6d5lwdfp98jd1x,N. Foor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536667987,7,1,1,0,34,ears40cp6opsgvhsy0dgyszpd,0,60.9,16.2,2023-04-21T18:00:42.263Z,2023-04-24T14:10:04Z,4206420169,3,,4206420175,141,28.2,4206420171,56,Center,4206420173,140,59.0,4217595665,388,,4206420179,213,1.8,4206420177,212,8.4,,,,lfp411vh3vtjbvd6xra4jpp1,B. Johnsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536667983,8,49,1,0,35,6g9qrm72224jrk6tkxxxi8a9n,1,40.2,70.2,2023-04-21T18:00:43.082Z,2023-04-24T14:10:09Z,,,,,,,,,,,,,,,,,,,,,,,,,a21sngx9u0boxf3n6u5qbkdlh,C. Eiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536668025,9,1,1,0,35,6g9qrm72224jrk6tkxxxi8a9n,1,40.2,70.2,2023-04-21T18:00:43.150Z,2023-04-24T14:10:12Z,4206420349,56,Back,4206420357,213,1.2,4206420355,212,15.8,4206420351,140,45.5,4217595905,178,,4206420353,141,92.0,,,,,,,a21sngx9u0boxf3n6u5qbkdlh,C. Eiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536668081,10,1,1,0,38,6g9qrm72224jrk6tkxxxi8a9n,1,41,95.7,2023-04-21T18:00:46.111Z,2023-04-24T14:10:22Z,4206420653,213,0.0,4206420645,56,Left,4206420651,212,14.8,4217596253,178,,4206420647,140,55.1,4206420649,141,96.0,,,,,,,3kbhgmnf6bhfgut0jxf4m2sfe,G. Oristanio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536668083,11,3,1,0,39,6g9qrm72224jrk6tkxxxi8a9n,0,54.7,95,2023-04-21T18:00:47.847Z,2023-04-24T14:10:30Z,4206420679,233,8,4206420659,56,Left,4209259839,465,,4206420661,286,,4217596627,178,,,,,,,,,,,a02jtmvlc1tlstvt96pa1hisq,D. Murkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536668079,8,7,1,0,39,ears40cp6opsgvhsy0dgyszpd,0,45.3,5,2023-04-21T18:00:47.905Z,2023-04-24T14:10:40Z,4217597011,178,,4206420731,233,11,4206420641,56,Back,4206420643,285,,4209261841,385,,,,,,,,,,,8o13oyr0lqkr5sw7j9ekdan6x,M. Hoedemakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536668095,12,1,1,0,41,6g9qrm72224jrk6tkxxxi8a9n,1,53.5,93.9,2023-04-21T18:00:49.119Z,2023-04-24T14:10:49Z,4206420735,56,Left,4217597373,178,,4206420743,213,6.3,4206420741,212,11.7,4206420737,140,64.6,4206420739,141,93.8,,,,,,,5shfqpd5fj05qrp1jlzd08ftg,C. Twigt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536668123,13,1,1,0,43,6g9qrm72224jrk6tkxxxi8a9n,1,63.4,93.5,2023-04-21T18:00:51.517Z,2023-04-24T14:10:56Z,4206420873,212,21.8,4206420867,56,Left,4206420869,140,84.0,4206420875,213,6.1,4206420871,141,89.0,4217597719,178,,,,,,,,a02jtmvlc1tlstvt96pa1hisq,D. Murkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
