id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,keyPass,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/15/value,qualifier/16/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/18/value,qualifier/19/value
2446059953,1,34,16,0,0,4tic29sox7m39fy1ztgv0jsiq,1,0,0,2022-08-14T11:38:21.189Z,2022-08-14T12:27:00Z,3706119895,194,lduqoe45t2fnbn9s9rbvlnf9,3706119885,30,"bzanwdo4ihqd6d7vr06bd3845, 6p4fs5rivwt0e45twlsf6ajth, dtcvzfse83ztj96kiizwp6jqi, 9qoc020keotb4s72a09zm5pzp, lduqoe45t2fnbn9s9rbvlnf9, dc2wi76ipwc5qbq4eggqd1hp1, 5m8pflpgynidzk7d9507oujje, dc119ejc7lls2rd3ywigl2smi, 36veg0wk1z3om89daf0clbl5h, ad9kukqx4xulbvelacgwgqvah, 3c4l2e3gzgpqrc2ygkbmp0jpx, 69cvlhfo7ulmz4o5ztlj1wlm2, c1yctqdku2vzho2azsgcy5dcl, ahwtdhrerarmljk9bh0tcpk6i, e33libhll66jj5ksl319uh17u, dxmulnxbs11kpi1goq5hl9cve, acffs01m2p3b4uemzjrp51d9m, c7n2b2gq381k0o0jizqueii5m, 5g0q7azk54eryl8vcgyb2oj4l, dzehnxim5noolef8c7j4d8a5m, 3940jh5ermawu3vbzbei6546i, 8fuul8znu2hzdqkxsotqt6u0a, bner5siqnwn1fqusfrgujt0fe",3706119889,59,"1, 20, 5, 23, 3, 4, 11, 8, 9, 18, 10, 2, 7, 14, 16, 17, 19, 21, 22, 24, 26, 27, 38",3706270477,197,538,3706119897,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3706119893,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3706119887,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3706119891,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446061929,1,34,16,0,0,3ebril33e08ddzob4bhq8awsr,1,0,0,2022-08-14T11:40:44.954Z,2022-08-14T12:30:12Z,3706277333,197,4030,3706128867,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3706128871,194,atbvv2os8m7nfs0p128w5a6l1,3706128859,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3706128875,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3706128863,130,8,3706128861,59,"1, 25, 5, 6, 14, 33, 77, 21, 11, 19, 10, 4, 7, 12, 17, 18, 22, 31, 61, 90",3706128857,30,"67v3pc4c8yomh3hg3w0257oid, 4e6yz7j1xjd7b6oyv078q8edx, b2h6iojtnu8rzb81vw4rbfrop, 5fnmjp63t7m9fg3y2fcw6z015, 9fpb7g8ij9dqtuqhnimy5fap5, 7t19aebk75lrt41hmclk18mhh, 71gwdg60saiwwwnnv6is52may, cozhhgt0jbcuu4wdxf1pwjkyd, 3jkzywsfc2vjq3h1kqdhhl2hh, 9trasqdd75zjxz4kzplb64xjp, atbvv2os8m7nfs0p128w5a6l1, 1kbmdrn8cmlf591w70v9bpo0l, 4tc5741xue1eigwcu4t7qtuc5, dp0q4f4gbj2buhcu1lb5dzxed, 8rqula41yqtbwycgemsw9ixud, 3momlsgsh0o7u40ydp2f2ocbu, 3fzqjtehxr65c2xfyytws30q2, 5gnywqecwvt5yxied85hu4x2i, 6o2tffdjtdueojbhahe3w66i2, a3hraho1lbnm3ga3ffkahlqi2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446093949,2,32,1,0,0,3ebril33e08ddzob4bhq8awsr,1,0,0,2022-08-14T12:31:36.851Z,2022-08-14T12:31:37Z,3706279969,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446093953,2,32,1,0,0,4tic29sox7m39fy1ztgv0jsiq,1,0,0,2022-08-14T12:31:36.851Z,2022-08-16T23:13:53Z,3706279983,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446093997,3,1,1,0,1,3ebril33e08ddzob4bhq8awsr,1,49.9,49.9,2022-08-14T12:31:38.102Z,2022-08-17T04:25:29Z,3706280155,140,33.1,3706280163,279,S,3706280161,213,3.3,3706280159,212,18.0,3706460183,189,,3712361023,178,,3706280157,141,44.9,3706280153,56,Back,3jkzywsfc2vjq3h1kqdhhl2hh,P. Gladon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446094021,4,1,1,0,2,3ebril33e08ddzob4bhq8awsr,0,33.3,41.9,2022-08-14T12:31:39.771Z,2022-08-17T04:25:36Z,3706280277,56,Right,3706280287,1,,3706280283,212,47.3,3706280281,141,14.6,3706280275,155,,3706280285,213,5.9,3706280279,140,74.7,3712361093,178,,cozhhgt0jbcuu4wdxf1pwjkyd,D. Erdoğan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446094049,3,1,1,0,5,4tic29sox7m39fy1ztgv0jsiq,1,26,82.1,2022-08-14T12:31:42.469Z,2022-08-17T04:25:45Z,3706280411,212,11.5,3706280407,140,36.2,3706280413,213,0.4,3706280403,3,,3712361211,178,,3706280409,141,88.3,3706280405,56,Back,,,,dtcvzfse83ztj96kiizwp6jqi,G. Smal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446094057,4,1,1,0,7,4tic29sox7m39fy1ztgv0jsiq,0,36.2,88.3,2022-08-14T12:31:44.253Z,2022-08-17T04:25:50Z,3706280447,212,16.5,3706280441,56,Back,3706280451,1,,3706280443,140,45.9,3706280445,141,69.3,3706280449,213,5.4,3712361305,178,,3706280439,157,,3c4l2e3gzgpqrc2ygkbmp0jpx,V. Misidjan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446094097,5,1,1,0,8,3ebril33e08ddzob4bhq8awsr,1,62.3,25.6,2022-08-14T12:31:45.432Z,2022-08-17T04:26:09Z,3706280625,213,2.5,3706280619,140,45.8,3706280615,157,,3706280627,1,,3706280621,141,42.8,3706280623,212,20.9,3706280617,56,Back,3712361487,178,,5fnmjp63t7m9fg3y2fcw6z015,Deroy Duarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446094107,6,1,1,0,11,3ebril33e08ddzob4bhq8awsr,0,45.8,42.8,2022-08-14T12:31:48.426Z,2022-08-17T04:26:18Z,3706280671,141,27.7,3706280669,140,64.1,3706280673,212,21.8,3706280665,3,,3712361587,178,,3706280667,56,Center,3706280675,213,5.8,,,,7t19aebk75lrt41hmclk18mhh,D. Siovas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446094111,5,1,1,0,13,4tic29sox7m39fy1ztgv0jsiq,0,37.4,70.2,2022-08-14T12:31:50.653Z,2022-08-17T04:26:31Z,3706280693,212,10.1,3706280687,56,Back,3706280691,141,62.7,3706280695,213,5.8,3712361765,388,,3706280685,3,,3706280689,140,45.7,,,,9qoc020keotb4s72a09zm5pzp,M. Sadílek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446094147,7,1,1,0,15,3ebril33e08ddzob4bhq8awsr,1,53.4,41.8,2022-08-14T12:31:52.453Z,2022-08-17T04:26:38Z,3706280839,3,,3706280849,213,0.9,3706280845,141,58.7,3706280843,140,62.9,3706280841,56,Center,3712361861,178,,3706280847,212,15.2,,,,cozhhgt0jbcuu4wdxf1pwjkyd,D. Erdoğan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446094169,8,1,1,0,16,3ebril33e08ddzob4bhq8awsr,0,62.9,58.7,2022-08-14T12:31:53.230Z,2022-08-17T04:26:42Z,3706280929,56,Center,3706280939,1,,3706280935,212,36.0,3712361925,178,,3706280937,213,5.7,3706280927,155,,3706280931,140,91.4,3706280933,141,29.2,atbvv2os8m7nfs0p128w5a6l1,M. Seuntjens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
