id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/14/value,qualifier/17/value,qualifier/18/value
2502860399,2,34,16,0,0,ed5nwjz5za3oyi20nxzgqivmx,1,0,0,2023-02-01T18:02:37.163Z,2023-02-01T18:57:07Z,4006850363,197,534,4006700415,30,"7wo4627xo1mx5k0vpwhe8hqll, 7a3ik1dbxkirdt58gwvvtyw9, 181us5vol7crxrmejhkqau3t, efcq9u93u06hx6578ua3buswl, 8przxwwothu3crflys7ahl4dm, 9787nemt11c372uird332d13p, b23be312oxcbusvpjnnriukq2, evexihkozqignope6k57tjgt1, atbvv2os8m7nfs0p128w5a6l1, e8wfxueczkhrj92rytelw5vx1, dbg4ducw8j747foxiexle1iad, a0i7hc92p5ijqi4jqw8krh8x6, b1o6ctqy1mhjg4iiec8aedat, cibkxflm2k8if2jg9m5lpxkut, f1u6wna62ri171clx0pig6dbd, abnezz7yico2636ucafabz4t0, 8n2xfmdnievwdeg60kobkoyj9, 9lctm8txbd4n87mk61lwa0rf9, w32h1te98uqq53j053qm3pm2, ddldrej9an43ky123hqwp22ju, 5cvstzkb7l1zxapx0dt4zjkoa, 5auzs4fw49qr80b89baetcwt0",4006700419,59,"1, 2, 5, 15, 4, 23, 33, 6, 20, 29, 14, 7, 10, 12, 13, 17, 21, 22, 26, 34, 35, 37",4006700425,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4006700423,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4006700417,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4006708949,194,e8wfxueczkhrj92rytelw5vx1,4006700421,130,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502861189,1,34,16,0,0,b79uipsy57y1jqpy07h4i5ovk,1,0,0,2023-02-01T18:04:11.375Z,2023-02-01T19:01:54Z,4006704435,30,"4odeml6s5vm38m9u7tnh6n8id, ciguyr553yqapqfudim9af46h, 32pfghvfogjnpbgsj5mk2jhpm, 7nfr8xuo637qma7ovxx4r9fmy, 2ekx0fvuf0dsat062oj430d05, 90vny1388bdhx8103lp9njac4, 7lpwkpwfw656re3pymntslv55, 9d4lofwg9ooaoldw2vpt4h36y, hxqybxg5578sgx0gx5qb834l, 5dbx86ca2t7dae8b3t69atii1, 7dkhv2l8y6jq20l1dc2ye17je, cm78w42nflwgvshpnok680mlm, 7sa0cx70w7dc0ahu5sm0ziz11, 4cyftx5l62gw3ijl29y7t51pl, 4qoddvxuknli8073d54hii2cq, 5n65xhwbd6dm3uynl4h7k920a, 5geiqjzesu0y6bu8hyff4y6dx, bx2xcfe18epftsy5lrdf1fevo, 94b7i139jyk6hs6ioqlztg1jp, 7uiun3ak4fveljpb3lsdypxx, 2f5hdor2uv8hfxnieyvivsesp",4006704447,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4006704441,130,8,4006704439,59,"1, 2, 4, 6, 3, 25, 11, 8, 9, 18, 23, 26, 7, 19, 20, 21, 22, 24, 27, 33, 40",4006704437,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4006854323,197,17639,4006704445,194,ciguyr553yqapqfudim9af46h,4006704443,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502889757,2,32,1,0,0,b79uipsy57y1jqpy07h4i5ovk,1,0,0,2023-02-01T19:00:37.815Z,2023-02-01T19:00:38Z,4006854409,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502889765,3,32,1,0,0,ed5nwjz5za3oyi20nxzgqivmx,1,0,0,2023-02-01T19:00:37.815Z,2023-02-03T07:16:15Z,4006854447,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502889789,3,1,1,0,0,b79uipsy57y1jqpy07h4i5ovk,1,50.5,51,2023-02-01T19:00:37.825Z,2023-02-04T04:57:40Z,4006854557,141,53.1,4006854559,212,16.3,4010243161,178,,4006854561,213,3.1,4006854553,56,Back,4006854555,140,35.0,4006854563,279,S,,,,7dkhv2l8y6jq20l1dc2ye17je,O. Edvardsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502889815,4,1,1,0,3,b79uipsy57y1jqpy07h4i5ovk,0,35.1,53.3,2023-02-01T19:00:40.874Z,2023-02-04T04:57:55Z,4010243395,178,,4006854675,140,83.9,4006854673,56,Right,4006854671,155,,4006854679,212,59.3,4006854681,213,5.8,4006854677,141,9.4,4006854683,1,,90vny1388bdhx8103lp9njac4,J. Amofa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502889819,4,49,1,0,7,ed5nwjz5za3oyi20nxzgqivmx,1,15.2,90.6,2023-02-01T19:00:45.186Z,2023-02-04T04:58:03Z,,,,,,,,,,,,,,,,,,,,,,,,,181us5vol7crxrmejhkqau3t,T. Lutonda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502889851,5,1,1,0,8,ed5nwjz5za3oyi20nxzgqivmx,0,20.5,90.9,2023-02-01T19:00:46.094Z,2023-02-04T04:58:11Z,4010243627,178,,4006854893,1,,4006854885,140,71.8,4006854883,56,Center,4006854891,213,5.7,4006854881,155,,4006854889,212,63.5,4006854887,141,41.5,181us5vol7crxrmejhkqau3t,T. Lutonda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502889857,5,49,1,0,13,b79uipsy57y1jqpy07h4i5ovk,1,26.2,60.1,2023-02-01T19:00:51.605Z,2023-02-04T04:58:23Z,,,,,,,,,,,,,,,,,,,,,,,,,32pfghvfogjnpbgsj5mk2jhpm,José Fontán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502889869,6,1,1,0,14,b79uipsy57y1jqpy07h4i5ovk,1,26.2,60.1,2023-02-01T19:00:52.564Z,2023-02-04T04:58:29Z,4006854977,141,35.8,4006854981,213,4.6,4006854979,212,16.6,4006854975,140,24.9,4006854973,56,Back,4010243861,178,,,,,,,,32pfghvfogjnpbgsj5mk2jhpm,José Fontán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
