id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/10/value,qualifier/11/value,qualifier/13/value,qualifier/12/value,qualifier/15/value,qualifier/16/value,assist
2479526501,1,34,16,0,0,3kfktv64h7kg7zryax1wktr5r,1,0,0,2022-10-30T14:52:12.243Z,2022-10-30T16:10:19Z,3883945981,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3883945983,59,"12, 3, 5, 10, 31, 22, 8, 6, 7, 2, 11, 1, 9, 13, 14, 17, 19, 23, 25, 28, 34",3883945987,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3883945991,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3884292659,197,460,3883945985,130,4,3883945989,194,7jgtmmk4b2bgn0syidj6ve7kl,3883945979,30,"2p6h6ivyzp1fzsayw7r2xn2dx, ayqy2vql1oumokqly9ahfrnx1, a2zavv31d2aadyddk0kjttdgq, 8ymqihdfqc7esda7y407lebx1, 42cg746sa90jla5x4islj9pwq, 6zzcoo9k4ebqtlux49rbb5fro, 7jgtmmk4b2bgn0syidj6ve7kl, 2w7xspkzg7b9ghl20me202ove, 1t7nph4960rjzu7rgi47sf8ix, ad2qplv0aa66l11ipq6yh0hd5, 33yauarx84sam5u05vgyqxfxl, f3h1bxnw3fq8m10ck132bic4p, 7sd87ylfbtgwgpb70hf68cel1, b7owk879trwk2tu8ud574xq3u, 3dx91sb6ktg8z1xmoti25kru, 51f3vubki4or5vaft5tromn3e, 1hmy5uxiyr8g915tngl9l8twq, 4cegvsj3s6t0o1l5xap6jypuy, 74c15mfi1h4zrry5fo2q94ul1, d29ahwtvs7ls75wdtkf7xr8tm, 3uq3lrjyj4mnvq6162b0jyhnt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479528541,1,34,16,0,0,6g9qrm72224jrk6tkxxxi8a9n,1,0,0,2022-10-30T14:55:19.007Z,2022-10-30T16:03:53Z,3883956855,59,"1, 3, 5, 10, 31, 4, 33, 8, 21, 7, 34, 6, 9, 15, 16, 22, 25, 28",3883956863,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3883956861,194,e3akocgpppdty3ayxty1gf6xh,3883956859,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3884394615,197,17524,3883956851,30,"7dg8woqlx67ch0ji3ujhgb52i, 8ozlo6qrdavr86guhclwvh84q, a02jtmvlc1tlstvt96pa1hisq, 3kbhgmnf6bhfgut0jxf4m2sfe, c9epkro6fot3km9zak1kswfhm, e3akocgpppdty3ayxty1gf6xh, 8oetnmi8kejwwy37rhlelw2ne, a21sngx9u0boxf3n6u5qbkdlh, 6jqn5grsuhuo5at81pzahr6xh, 1sb4655mgzrdohlltyk9fqlzp, 10ijtddqmzbhx3qtlhbyn4rca, dbkr1w2xlwnyssid1tv0jlujt, c5jk0pvcvqddy0xiqv6qkesph, bn8dwm2y9a8i9a10rba3dmm3u, awkcni8hs06o4bfpopikjvspg, bdurpi6c2ipwtcuyndq0e6ve2, 792zq4joba1qgt0lusvrjantg, ca8qw8jztjxwxuc2foa6dfckq",3883956853,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3883956857,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479594957,2,32,1,0,0,3kfktv64h7kg7zryax1wktr5r,1,0,0,2022-10-30T15:45:51.161Z,2022-11-01T07:45:22Z,3884317033,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479595173,2,32,1,0,0,6g9qrm72224jrk6tkxxxi8a9n,1,0,0,2022-10-30T15:45:51.161Z,2022-10-30T15:45:59Z,3884318205,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479595135,3,1,1,0,0,3kfktv64h7kg7zryax1wktr5r,1,49.8,50,2022-10-30T15:45:51.233Z,2022-11-01T08:27:42Z,3884318025,213,3.0,3884318017,140,33.4,3884318013,56,Back,3887607861,178,,3884318023,212,17.4,3884318027,279,S,3884318021,141,53.7,,,,1t7nph4960rjzu7rgi47sf8ix,J. Odgaard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479595193,4,1,1,0,4,3kfktv64h7kg7zryax1wktr5r,1,31.7,54.5,2022-10-30T15:45:55.722Z,2022-11-01T08:27:43Z,3884318287,141,33.6,3884318283,140,32.3,3884318295,213,4.8,3887607869,178,,3884318279,56,Back,3884318291,212,14.2,,,,,,,6zzcoo9k4ebqtlux49rbb5fro,M. Dekker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479595265,5,1,1,0,8,3kfktv64h7kg7zryax1wktr5r,1,36.2,29.1,2022-10-30T15:45:59.273Z,2022-11-01T08:27:43Z,3887607873,178,,3884318663,56,Back,3884318667,141,7.0,3884318671,213,4.7,3884318669,212,15.0,3884318665,140,36.1,,,,,,,42cg746sa90jla5x4islj9pwq,S. Beukema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479595371,6,1,1,0,9,3kfktv64h7kg7zryax1wktr5r,1,32,15.3,2022-10-30T15:46:00.738Z,2022-11-01T08:27:43Z,3884319295,212,27.9,3884319289,56,Back,3884319291,140,14.9,3887607877,178,,3884319297,213,2.3,3884319293,141,46.7,,,,,,,ayqy2vql1oumokqly9ahfrnx1,P. Hatzidiakos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479595503,7,1,1,0,15,3kfktv64h7kg7zryax1wktr5r,1,15.5,50,2022-10-30T15:46:06.378Z,2022-11-01T08:27:43Z,3887607895,178,,3884320049,140,27.5,3884320047,56,Back,3884320055,213,1.0,3884320051,141,77.3,3884320053,212,22.4,,,,,,,2p6h6ivyzp1fzsayw7r2xn2dx,H. Verhulst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479595557,8,1,1,0,19,3kfktv64h7kg7zryax1wktr5r,1,28.7,74.2,2022-10-30T15:46:10.974Z,2022-11-01T08:27:44Z,3884320373,140,29.9,3884320377,212,9.1,3884320371,56,Back,3884320379,213,4.9,3884320375,141,60.9,3887607905,178,,,,,,,,6zzcoo9k4ebqtlux49rbb5fro,M. Dekker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
