id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/8/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/11/value,keyPass,qualifier/9/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId
2497668357,1,34,16,0,0,b79uipsy57y1jqpy07h4i5ovk,1,0,0,2023-01-15T12:46:05.963Z,2023-01-15T14:00:15Z,3979471641,194,ciguyr553yqapqfudim9af46h,3979471633,59,"1, 25, 2, 15, 3, 6, 18, 21, 9, 11, 23, 4, 7, 8, 17, 19, 20, 22, 24, 26, 27, 33, 40",3979471629,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3979471637,130,15,3979471627,30,"4odeml6s5vm38m9u7tnh6n8id, 90vny1388bdhx8103lp9njac4, ciguyr553yqapqfudim9af46h, 4mroygq2ruxkml5c5j4awwted, 2ekx0fvuf0dsat062oj430d05, 7nfr8xuo637qma7ovxx4r9fmy, 5dbx86ca2t7dae8b3t69atii1, 5n65xhwbd6dm3uynl4h7k920a, hxqybxg5578sgx0gx5qb834l, 7lpwkpwfw656re3pymntslv55, 7dkhv2l8y6jq20l1dc2ye17je, 32pfghvfogjnpbgsj5mk2jhpm, 7sa0cx70w7dc0ahu5sm0ziz11, 9d4lofwg9ooaoldw2vpt4h36y, 8j8encc4aqkh07ydce6hiaokp, 4cyftx5l62gw3ijl29y7t51pl, 4qoddvxuknli8073d54hii2cq, 5geiqjzesu0y6bu8hyff4y6dx, bx2xcfe18epftsy5lrdf1fevo, aq8emkcjejbav0fys17iqv2ll, 94b7i139jyk6hs6ioqlztg1jp, 7uiun3ak4fveljpb3lsdypxx, 2f5hdor2uv8hfxnieyvivsesp",3979471639,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979576333,197,472,3979471643,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497669247,1,34,16,0,0,ccpscwdcm65czscrun048ecn5,1,0,0,2023-01-15T12:48:08.825Z,2023-01-15T13:32:32Z,3979476603,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3979476613,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979476607,130,4,3979476611,194,1s7vp9ovsa1jo7tu7nisykn9x,3979574933,197,16382,3979476601,30,"9q90ls3k1i2739wd6a20fku6t, 6anvl82jyio52wo87cbxdp4np, 1s7vp9ovsa1jo7tu7nisykn9x, ely6vpyueden4b6ozfmspwgk5, aafz6q5ggn9e6m5hprc71lgph, 8p47d0e54hgl7d86vur1m5nmx, b33sm106xc7g3h4bcqtawja7e, 4rp5snknt88bf4lws5t0o9gph, 395y7yj6o1xwr6uaxs4sjnjdh, 28o7vv0jud22hmg4h649yozqh, 9uf4fsff2lpic3u0l7zpuqsid, 6gabdz53gxhyp8dv6x5the4t1, 6mjm5cwe46jhi3wwpf1icf65l, eu6pfkiah7otafyryg6ll7y09, 1p0xp2onnys7jlru55vfgf1pm, 6lyedmu2vuf7jig3jmhz9b4ve, c2an5ksdu6jbap3x3jp3z9c5x, 9wo8twcbs1jnqzdy0c6y8adey, 3mp92d5s002hi523kl4zmgrft, 4ooliltsht8mvelpds3v4bpat, ebqj8v33xv3otev2pycc6xomh, 790v7fu7f2s40e160mlrb6dt6, 5nhideyjwp2347ryi1n9wfq50",3979476605,59,"1, 17, 2, 18, 33, 27, 6, 22, 28, 10, 14, 5, 7, 8, 9, 15, 24, 25, 26, 30, 31, 32, 37",3979476609,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497688587,2,32,1,0,0,b79uipsy57y1jqpy07h4i5ovk,1,0,0,2023-01-15T13:32:05.165Z,2023-01-17T17:52:25Z,3979579891,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497688595,2,32,1,0,0,ccpscwdcm65czscrun048ecn5,1,0,0,2023-01-15T13:32:05.165Z,2023-01-15T13:32:08Z,3979579913,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497688637,3,1,1,0,0,b79uipsy57y1jqpy07h4i5ovk,1,50,50,2023-01-15T13:32:05.197Z,2023-01-17T21:38:02Z,3982525987,178,,3979580083,213,2.9,3979580079,141,57.3,3979580075,56,Back,3979580085,279,S,3979580081,212,21.8,3979580077,140,29.8,,,,7dkhv2l8y6jq20l1dc2ye17je,O. Edvardsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497688605,3,43,1,0,0,ccpscwdcm65czscrun048ecn5,1,0,0,2023-01-15T13:32:05.915Z,2023-01-15T13:32:09Z,3979580043,144,49,,,,,,,,,,,,,,,,,,,,,,395y7yj6o1xwr6uaxs4sjnjdh,B. Dost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497688671,4,1,1,0,3,b79uipsy57y1jqpy07h4i5ovk,0,30.8,44,2023-01-15T13:32:08.217Z,2023-01-17T21:38:07Z,3979580227,212,55.0,3982526061,178,,3979580231,1,,3979580223,140,74.4,3979580229,213,5.7,3979580219,155,,3979580221,56,Right,3979580225,141,0.0,7nfr8xuo637qma7ovxx4r9fmy,J. Idzes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497688731,4,5,1,0,7,ccpscwdcm65czscrun048ecn5,1,23.7,101,2023-01-15T13:32:12.866Z,2023-01-17T21:38:13Z,3979580597,233,5,3979580583,347,,3979580581,56,Back,,,,,,,,,,,,,,,,395y7yj6o1xwr6uaxs4sjnjdh,B. Dost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497688673,5,5,1,0,7,b79uipsy57y1jqpy07h4i5ovk,0,76.3,-1,2023-01-15T13:32:12.866Z,2023-01-17T21:38:14Z,3979580233,56,Right,3979580615,233,4,3979580235,347,,,,,,,,,,,,,,,,,7nfr8xuo637qma7ovxx4r9fmy,J. Idzes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497688759,5,1,1,0,16,ccpscwdcm65czscrun048ecn5,1,23.9,100,2023-01-15T13:32:21.922Z,2023-01-17T21:38:20Z,3979580741,140,39.1,3979580745,212,16.7,3979580737,107,,3979580747,213,6.0,3979580739,56,Back,3979580743,141,94.5,,,,,,,1s7vp9ovsa1jo7tu7nisykn9x,M. van der Maarel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
