id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,keyPass,assist,qualifier/9/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/12/value,qualifier/15/value,qualifier/11/value,qualifier/18/value,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2509968625,9,1,1,0,13,d0zdg647gvgc95xdtk1vpbkys,1,13.6,33,2023-02-19T15:46:16.773Z,2023-02-21T13:36:29Z,4044069637,56,Back,4044069643,212,13.2,4044069639,140,8.1,4047595161,178,,4044069641,141,50.4,4044069645,213,2.0,,,,,,,aqlakf0mo95rlktf6xdbaegh5,J. Timber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509968705,10,1,1,0,16,d0zdg647gvgc95xdtk1vpbkys,1,11.8,53.3,2023-02-19T15:46:19.621Z,2023-02-21T13:36:32Z,4044070073,56,Back,4044070079,212,27.2,4044070075,140,25.5,4044070083,213,1.0,4047595237,178,,4044070077,141,87.2,,,,,,,1lgrnaje6y7un5dzzll84p91,G. Rulli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509968743,11,1,1,0,19,d0zdg647gvgc95xdtk1vpbkys,1,25.6,87.2,2023-02-19T15:46:22.580Z,2023-02-21T13:36:38Z,4044070309,212,11.6,4044070313,213,4.6,4044070299,56,Back,4047595419,178,,4044070301,140,23.9,4044070305,141,70.3,,,,,,,dafbvyorudvujxw7zswicykmh,O. Wijndal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509968777,12,1,1,0,21,d0zdg647gvgc95xdtk1vpbkys,1,23.9,70.1,2023-02-19T15:46:24.620Z,2023-02-21T13:36:42Z,4044070485,212,18.4,4044070481,140,23.2,4044070483,141,43.0,4047595611,178,,4044070487,213,4.7,4044070479,56,Back,,,,,,,baakmd4ndnulbl9npvmq90mvp,D. Klaassen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510641839,1068,67,1,0,22,d0zdg647gvgc95xdtk1vpbkys,1,23.4,40.2,2023-02-19T15:46:26.552Z,2023-02-21T14:40:34Z,4047663335,233,581,,,,,,,,,,,,,,,,,,,,,,6sg2ot7z9kfyrlgjkmpqvejqi,D. Rensch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510641835,581,67,1,0,22,89w5c6pw7vn0dxypi61tt0g4k,0,76.6,59.8,2023-02-19T15:46:26.553Z,2023-02-21T14:13:38Z,4047663355,233,1068,,,,,,,,,,,,,,,,,,,,,,tgu7kztdu9azmvirwu8rrip6,K. Saito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509968781,13,1,1,0,23,d0zdg647gvgc95xdtk1vpbkys,0,23.2,43,2023-02-19T15:46:26.586Z,2023-02-21T14:40:34Z,4044070503,141,46.9,4047596021,178,,4044070499,56,Back,4044070505,212,6.8,4044070501,140,29.2,4044070507,213,0.4,,,,,,,6sg2ot7z9kfyrlgjkmpqvejqi,D. Rensch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510642047,582,67,1,0,24,89w5c6pw7vn0dxypi61tt0g4k,1,70.9,55.8,2023-02-19T15:46:27.837Z,2023-02-21T14:40:35Z,4047664423,233,1069,,,,,,,,,,,,,,,,,,,,,,8n9t52eeli3s39r8ujjhjt7je,J. Kitolano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510642043,1069,67,1,0,24,d0zdg647gvgc95xdtk1vpbkys,0,29.1,44.2,2023-02-19T15:46:27.838Z,2023-02-21T14:14:08Z,4047664455,233,582,,,,,,,,,,,,,,,,,,,,,,7joybllup4h9oe6zfhcepjy6t,S. Berghuis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509968791,3,8,1,0,24,89w5c6pw7vn0dxypi61tt0g4k,1,71.6,55.4,2023-02-19T15:46:27.862Z,2023-02-21T14:40:35Z,4046218685,384,,4047596475,178,,4044070551,56,Center,,,,,,,,,,,,,,,,8n9t52eeli3s39r8ujjhjt7je,J. Kitolano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509968813,4,49,1,0,26,89w5c6pw7vn0dxypi61tt0g4k,1,68.2,37.7,2023-02-19T15:46:29.947Z,2023-02-21T13:37:32Z,,,,,,,,,,,,,,,,,,,,,,,,,6w59kdfilru1152bjutstu2fp,J. de Guzmán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509968935,5,1,1,0,28,89w5c6pw7vn0dxypi61tt0g4k,0,76.7,30.2,2023-02-19T15:46:31.739Z,2023-02-21T13:37:36Z,4044071277,141,24.2,4044071275,140,92.3,4044071279,212,16.9,4044071273,56,Center,4044071281,213,6.0,4047597433,178,,,,,,,,6w59kdfilru1152bjutstu2fp,J. de Guzmán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509968945,14,49,1,0,30,d0zdg647gvgc95xdtk1vpbkys,1,6.4,76,2023-02-19T15:46:33.952Z,2023-02-21T13:37:41Z,,,,,,,,,,,,,,,,,,,,,,,,,6hrp4zuxh40i3tccmk5s0j5xx,S. Bergwijn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509968977,15,50,1,0,31,d0zdg647gvgc95xdtk1vpbkys,1,5.6,75,2023-02-19T15:46:35.437Z,2023-02-21T13:37:58Z,4044071693,233,6,4044071515,285,,4044071513,56,Back,,,,,,,,,,,,,,,,6hrp4zuxh40i3tccmk5s0j5xx,S. Bergwijn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510007199,536,43,1,0,32,d0zdg647gvgc95xdtk1vpbkys,1,0,0,2023-02-19T15:46:35.560Z,2023-02-20T13:32:35Z,4046219293,144,8,4044272325,56,Back,4046219029,383,0,,,,,,,,,,,,,,,,6hrp4zuxh40i3tccmk5s0j5xx,S. Bergwijn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509968995,6,7,1,0,32,89w5c6pw7vn0dxypi61tt0g4k,1,94.4,25,2023-02-19T15:46:35.836Z,2023-02-21T13:38:07Z,4044071571,56,Center,4047598409,178,,4046219059,385,,4044071573,286,,4044071569,167,,4044071667,233,15,,,,,,,f57vs3qmmob743hdk2dxf56cq,S. Sambo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509968999,7,5,1,0,32,89w5c6pw7vn0dxypi61tt0g4k,0,100.7,26.2,2023-02-19T15:46:36.468Z,2023-02-21T13:38:16Z,4044071741,233,16,4044071589,346,,4044071587,56,Center,,,,,,,,,,,,,,,,f57vs3qmmob743hdk2dxf56cq,S. Sambo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509968989,16,5,1,0,32,d0zdg647gvgc95xdtk1vpbkys,1,-0.7,73.8,2023-02-19T15:46:36.468Z,2023-02-21T13:38:17Z,4044071735,233,7,4044071537,56,Back,4044071539,346,,,,,,,,,,,,,,,,,p7vw4thx5wzo49h6hfabcq5m,M. Kudus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509969393,17,1,1,0,53,d0zdg647gvgc95xdtk1vpbkys,1,4.5,49.5,2023-02-19T15:46:56.572Z,2023-02-21T13:38:19Z,4044073847,140,5.9,4044073839,124,,4044073853,213,1.4,4044073857,237,,4044073849,141,65.6,4044073843,56,Back,4044073851,212,11.0,,,,1lgrnaje6y7un5dzzll84p91,G. Rulli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509969433,18,1,1,0,58,d0zdg647gvgc95xdtk1vpbkys,1,12.3,43.2,2023-02-19T15:47:01.847Z,2023-02-21T13:38:22Z,4044074037,213,5.7,4047598731,178,,4044074031,140,28.2,4044074035,212,19.7,4044074029,56,Back,4044074033,141,27.8,,,,,,,bp3apdb2ahzacq45k4mzj5jhl,E. Álvarez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509969463,19,1,1,0,59,d0zdg647gvgc95xdtk1vpbkys,1,29.4,26.6,2023-02-19T15:47:03.380Z,2023-02-21T13:38:25Z,4044074271,140,40.8,4044074275,212,17.8,4044074267,56,Back,4047598781,178,,4044074265,168,,4044074277,213,5.5,4044074273,141,7.3,,,,7joybllup4h9oe6zfhcepjy6t,S. Berghuis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509969491,20,1,1,1,2,d0zdg647gvgc95xdtk1vpbkys,1,40.8,7.5,2023-02-19T15:47:05.804Z,2023-02-21T13:38:29Z,4044074419,213,2.9,4047598923,178,,4044074413,140,33.3,4046219665,156,,4044074417,212,8.1,4044074411,56,Back,4044074415,141,10.3,,,,p7vw4thx5wzo49h6hfabcq5m,M. Kudus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509969507,21,1,1,1,3,d0zdg647gvgc95xdtk1vpbkys,0,33.3,10.3,2023-02-19T15:47:06.928Z,2023-02-21T13:38:33Z,4044074509,212,30.9,4044074497,155,,4044074503,140,62.3,4044074507,141,17.6,4044074511,213,0.2,4047599047,178,,4044074499,56,Right,,,,6sg2ot7z9kfyrlgjkmpqvejqi,D. Rensch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509969513,8,49,1,1,6,89w5c6pw7vn0dxypi61tt0g4k,1,28.6,85.8,2023-02-19T15:47:09.886Z,2023-02-21T14:41:24Z,,,,,,,,,,,,,,,,,,,,,,,,,e8zpc22dwlmgkkwoqpgwxsn2t,A. Auassar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509969589,9,1,1,1,6,89w5c6pw7vn0dxypi61tt0g4k,1,31.7,85.4,2023-02-19T15:47:09.966Z,2023-02-21T13:38:50Z,4044074961,212,45.6,4044074965,1,,4044074957,140,75.1,4047599473,178,,4044074955,56,Left,4044074959,141,84.0,4044074963,213,6.3,4044074953,157,,e8zpc22dwlmgkkwoqpgwxsn2t,A. Auassar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509969593,10,44,1,1,8,89w5c6pw7vn0dxypi61tt0g4k,1,72.4,84,2023-02-19T15:47:12.317Z,2023-02-21T14:40:35Z,4044074985,56,Left,4044074987,286,,4044075025,233,22,,,,,,,,,,,,,,,,6q77vt9bp8dsq48pa97mfzsa1,T. Lauritsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509969583,22,44,1,1,8,d0zdg647gvgc95xdtk1vpbkys,0,27.6,16,2023-02-19T15:47:12.318Z,2023-02-21T13:38:56Z,4044075165,233,10,4044074931,285,,4044074929,56,Back,,,,,,,,,,,,,,,,aqlakf0mo95rlktf6xdbaegh5,J. Timber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509969839,11,1,1,1,8,89w5c6pw7vn0dxypi61tt0g4k,1,75.1,84,2023-02-19T15:47:12.422Z,2023-02-21T14:40:36Z,4044076343,141,98.3,4044076337,3,,4044076341,140,86.1,4044076345,212,15.1,4044076339,56,Left,4047599747,388,,4044076347,213,0.7,,,,6q77vt9bp8dsq48pa97mfzsa1,T. Lauritsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509969937,12,1,1,1,23,89w5c6pw7vn0dxypi61tt0g4k,1,81.4,94.1,2023-02-19T15:47:26.879Z,2023-02-21T13:39:03Z,4044076913,212,43.3,4047599825,178,,4044076909,140,56.1,4044076911,141,43.9,4044076915,213,4.1,4044076917,1,,4044076907,56,Center,,,,tgu7kztdu9azmvirwu8rrip6,K. Saito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509969959,13,1,1,1,28,89w5c6pw7vn0dxypi61tt0g4k,1,55,32.8,2023-02-19T15:47:31.888Z,2023-02-21T13:39:06Z,4044077043,213,4.5,4044077031,56,Center,4044077035,141,21.2,4044077039,212,8.0,4044077033,140,53.6,4047599943,178,,,,,,,,cixzy9hl7ks4maugc5zc9ievp,D. Abels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509970017,14,1,1,1,29,89w5c6pw7vn0dxypi61tt0g4k,1,53.5,21.2,2023-02-19T15:47:33.184Z,2023-02-21T13:39:09Z,4044077373,213,2.5,4044077369,141,47.0,4044077367,140,28.7,4047600033,178,,4044077371,212,31.4,4044077365,56,Back,,,,,,,f57vs3qmmob743hdk2dxf56cq,S. Sambo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509970029,15,1,1,1,34,89w5c6pw7vn0dxypi61tt0g4k,0,28.9,46.9,2023-02-19T15:47:37.666Z,2023-02-21T13:39:11Z,4044077455,213,0.1,4044077451,141,54.6,4044077665,1,,4047600125,178,,4044077449,140,75.5,4044077445,155,,4044077453,212,49.2,4044077447,56,Center,eamuyjut271ytghb2q4ljqbpx,N. Olij,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509970119,16,4,1,1,37,89w5c6pw7vn0dxypi61tt0g4k,1,74.4,58,2023-02-19T15:47:40.614Z,2023-02-21T13:39:15Z,4044077903,56,Center,4044077899,13,,4044077901,294,,4044077905,152,,4044077907,286,,4044078007,233,23,,,,,,,6q77vt9bp8dsq48pa97mfzsa1,T. Lauritsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509970127,23,4,1,1,37,d0zdg647gvgc95xdtk1vpbkys,0,25.6,42,2023-02-19T15:47:40.615Z,2023-02-21T13:39:15Z,4044077959,56,Back,4044077963,285,,4044077953,294,,4044077949,13,,4044077961,152,,4047600253,178,,4044078055,233,16,,,,aqlakf0mo95rlktf6xdbaegh5,J. Timber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509970889,17,15,1,2,26,89w5c6pw7vn0dxypi61tt0g4k,1,73.8,61.8,2023-02-19T15:48:29.770Z,2023-02-21T13:39:22Z,4044082431,458,,4044082435,147,51.1,4044082061,18,,4044082065,56,Center,4047600513,178,,4044082427,102,47.9,4044082433,146,98.4,4044082479,233,25,2nwthqvbk70e2qo35dgp35979,V. van Crooij,4044082429,103,20.3,4044082057,26,4044082139,20,4044146499,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
