id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/9/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,assist
2514612319,1,34,16,0,0,ccpscwdcm65czscrun048ecn5,1,0,0,2023-03-03T17:55:37.331Z,2023-03-03T19:04:12Z,4068636913,30,"9q90ls3k1i2739wd6a20fku6t, 6anvl82jyio52wo87cbxdp4np, 1s7vp9ovsa1jo7tu7nisykn9x, ely6vpyueden4b6ozfmspwgk5, aafz6q5ggn9e6m5hprc71lgph, 8p47d0e54hgl7d86vur1m5nmx, 4rp5snknt88bf4lws5t0o9gph, 3mp92d5s002hi523kl4zmgrft, 1p0xp2onnys7jlru55vfgf1pm, 4ooliltsht8mvelpds3v4bpat, bymhffiw7brsfpjzsfqq7bvth, 2tu58roj0u0vpaqcaz266a415, 6gabdz53gxhyp8dv6x5the4t1, egcs7b6ixb62ep08t7jznf9ih, 9uf4fsff2lpic3u0l7zpuqsid, c3mpk7pjhma4lwkjl8v5mhox6, c1krps0yssh477m8umrruiqjt, d7ml58kwwpetvnw46qja9ru5m, b427p4czppyjddx3xuuvc2okp, 9wo8twcbs1jnqzdy0c6y8adey, ebqj8v33xv3otev2pycc6xomh, 5nhideyjwp2347ryi1n9wfq50, 1s6yn52hlqtmmz4lerscf457u",4068636919,130,4,4068636923,194,1s7vp9ovsa1jo7tu7nisykn9x,4068636921,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4068821653,197,540,4068636925,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4068636917,59,"1, 17, 2, 18, 33, 27, 22, 26, 9, 30, 20, 3, 5, 7, 11, 14, 16, 19, 23, 25, 31, 37, 38",4068636915,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514614051,1,34,16,0,0,3ebril33e08ddzob4bhq8awsr,1,0,0,2023-03-03T17:59:00.932Z,2023-03-03T19:05:45Z,4068646587,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4068646585,30,"5gnywqecwvt5yxied85hu4x2i, dp0q4f4gbj2buhcu1lb5dzxed, b2h6iojtnu8rzb81vw4rbfrop, 5fnmjp63t7m9fg3y2fcw6z015, 9fpb7g8ij9dqtuqhnimy5fap5, 7t19aebk75lrt41hmclk18mhh, 4tc5741xue1eigwcu4t7qtuc5, cnexf6pdh1piheuuqzrbb1t61, 8rqula41yqtbwycgemsw9ixud, bznrsqachpfr9l2wnfjy8samt, hjb0mn4fgmfiimwn5odvl8fd, 67v3pc4c8yomh3hg3w0257oid, 1kbmdrn8cmlf591w70v9bpo0l, 3jkzywsfc2vjq3h1kqdhhl2hh, 3momlsgsh0o7u40ydp2f2ocbu, 9trasqdd75zjxz4kzplb64xjp, 3fzqjtehxr65c2xfyytws30q2, emrt1s5yfgtex867u98gbt0fe, bp2ellllifbtxgf0p8qlbm1nt, 6o2tffdjtdueojbhahe3w66i2, 51x91drkirjxaclsm8iv6nm96, 71gwdg60saiwwwnnv6is52may, 8qqyo9093i0wtapxq219wjzzd",4068646593,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4068862097,197,17197,4068646595,194,8rqula41yqtbwycgemsw9ixud,4068646591,130,8,4068646597,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4068646589,59,"31, 12, 5, 6, 14, 33, 7, 8, 17, 15, 29, 1, 4, 11, 18, 19, 22, 34, 55, 61, 74, 77, 85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651757,2,32,1,0,0,3ebril33e08ddzob4bhq8awsr,1,0,0,2023-03-03T19:02:30.021Z,2023-03-03T19:02:30Z,4068846083,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651769,2,32,1,0,0,ccpscwdcm65czscrun048ecn5,1,0,0,2023-03-03T19:02:30.021Z,2023-03-06T05:14:44Z,4068846145,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651791,3,1,1,0,0,3ebril33e08ddzob4bhq8awsr,1,49.8,50.1,2023-03-03T19:02:30.022Z,2023-03-06T09:56:53Z,4068846275,213,3.5,4068846269,140,37.5,4068846271,141,42.8,4078071757,178,,4068846277,279,S,4068846273,212,13.8,4068846267,56,Back,,,,8rqula41yqtbwycgemsw9ixud,B. Yılmaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651847,4,1,1,0,2,3ebril33e08ddzob4bhq8awsr,1,36.3,37.9,2023-03-03T19:02:32.187Z,2023-03-06T09:56:56Z,4068846579,56,Back,4068846583,141,12.6,4068846581,140,35.7,4068846585,212,17.2,4078071875,178,,4068846587,213,4.7,,,,,,,5fnmjp63t7m9fg3y2fcw6z015,Deroy Duarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651883,5,1,1,0,5,3ebril33e08ddzob4bhq8awsr,1,35.9,12,2023-03-03T19:02:35.592Z,2023-03-06T09:56:59Z,4068846767,140,52.6,4068846773,213,0.1,4078071987,178,,4068846765,56,Right,4068846769,141,13.8,4068846771,212,17.6,,,,,,,dp0q4f4gbj2buhcu1lb5dzxed,Ivo Pinto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651899,6,1,1,0,6,3ebril33e08ddzob4bhq8awsr,1,48.8,16.7,2023-03-03T19:02:36.795Z,2023-03-06T09:57:02Z,4078072051,178,,4068846853,141,29.1,4068846891,156,,4068846855,212,22.8,4068846849,56,Back,4068846851,140,28.6,4068846857,213,2.8,,,,4tc5741xue1eigwcu4t7qtuc5,Iñigo Córdoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514652059,7,1,1,0,14,3ebril33e08ddzob4bhq8awsr,1,33,27.3,2023-03-03T19:02:44.552Z,2023-03-06T09:57:06Z,4068847685,212,11.5,4068847677,56,Back,4068847681,141,10.4,4068847689,213,4.7,4078072125,178,,4068847679,140,33.0,,,,,,,9fpb7g8ij9dqtuqhnimy5fap5,Rodrigo Guth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514652169,8,1,1,0,18,3ebril33e08ddzob4bhq8awsr,1,32.2,16.2,2023-03-03T19:02:48.024Z,2023-03-06T09:57:08Z,4068848259,212,29.8,4078072151,178,,4068848261,213,2.4,4068848251,56,Back,4068848255,140,11.6,4068848257,141,46.3,,,,,,,dp0q4f4gbj2buhcu1lb5dzxed,Ivo Pinto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
