id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/13/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/10/value,qualifier/14/value,qualifier/15/value,qualifier/16/value,qualifier/17/value
2476135881,1,34,16,0,0,4tic29sox7m39fy1ztgv0jsiq,1,0,0,2022-10-23T11:35:23.783Z,2022-10-23T12:35:40Z,3866206143,197,538,3865951415,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3865951413,30,"bzanwdo4ihqd6d7vr06bd3845, 6p4fs5rivwt0e45twlsf6ajth, dtcvzfse83ztj96kiizwp6jqi, c7n2b2gq381k0o0jizqueii5m, 69cvlhfo7ulmz4o5ztlj1wlm2, lduqoe45t2fnbn9s9rbvlnf9, 5m8pflpgynidzk7d9507oujje, dc119ejc7lls2rd3ywigl2smi, 36veg0wk1z3om89daf0clbl5h, ad9kukqx4xulbvelacgwgqvah, 3c4l2e3gzgpqrc2ygkbmp0jpx, dc2wi76ipwc5qbq4eggqd1hp1, ahwtdhrerarmljk9bh0tcpk6i, e33libhll66jj5ksl319uh17u, dxmulnxbs11kpi1goq5hl9cve, 5g0q7azk54eryl8vcgyb2oj4l, dzehnxim5noolef8c7j4d8a5m, 3940jh5ermawu3vbzbei6546i, 8fuul8znu2hzdqkxsotqt6u0a, 4nkd85hpwiiqtieuslhcrc2ga, 1g9raiu2poutpdgjq7dmk4oru, bner5siqnwn1fqusfrgujt0fe",3865951417,59,"1, 20, 5, 21, 2, 3, 11, 8, 9, 18, 10, 4, 14, 16, 17, 22, 24, 26, 27, 32, 37, 38",3865951419,130,8,3865951423,194,lduqoe45t2fnbn9s9rbvlnf9,3865951421,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3865951425,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476139779,1,34,16,0,0,ears40cp6opsgvhsy0dgyszpd,1,0,0,2022-10-23T11:39:20.763Z,2022-10-23T12:29:14Z,3865970427,130,4,3865970429,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3866207245,197,12539,3865970431,194,afsin57n25r53ifmqyfmbzqol,3865970433,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3865970423,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3865970421,30,"7rvlba00jv66w7wtdmk178a95, tv8e6nxc7jl8wbzf6ojd6dw5, 3u2783a9ukglf8yg3dere8wve, 8o13oyr0lqkr5sw7j9ekdan6x, 8ylvnl689iweg2r9d0ioj771m, 7r2ifipuieqiar5n00o2j5uj9, 426st78oi43eortpbfkuxw72t, 7pz3qz589b7v3pkb9h0hv73l5, afsin57n25r53ifmqyfmbzqol, 4utb2o5c0e57kf0iwdavpzg15, 8jbjkt4wc1dmqaoxn76mct84q, 4736oz9r0evpmkd3qumivl239, 9wgpudcet9m8doz9ezbjxzkrt, cgsirikez39wlx8lhu1uo00yd, ail0unvzd0b9ur7j0l8hk0y51, ae7ij4u0xy9iru6qvdw2i9fu2, dzs8vty5afl2y7ddjh3ausclx, 5yi3d29esiydx9zsuhap1wnx0, ca5n8516u8m6c41u61bbjjbop, e1wk520xrgbtriixo4kj3pnje, 4j7f43re79hlmomwga3isqbu2, blzp9qbpturqntnisbkg0ddlg, c6ufljjgl050g9xn7e9ma7hg4",3865970425,59,"1, 5, 16, 6, 15, 4, 10, 21, 28, 11, 7, 3, 8, 9, 12, 14, 18, 22, 24, 30, 31, 33, 39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476189453,2,32,1,0,0,4tic29sox7m39fy1ztgv0jsiq,1,0,0,2022-10-23T12:31:12.615Z,2022-10-23T12:31:12Z,3866216071,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476189477,2,32,1,0,0,ears40cp6opsgvhsy0dgyszpd,1,0,0,2022-10-23T12:31:12.615Z,2022-10-25T21:55:16Z,3866216177,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476189517,3,1,1,0,0,4tic29sox7m39fy1ztgv0jsiq,1,49.9,50,2022-10-23T12:31:12.697Z,2022-10-25T22:37:55Z,3872690451,178,,3866216373,212,16.3,3866216375,213,3.2,3866216371,141,48.7,3866216369,140,34.4,3866216367,56,Back,3866216377,279,S,,,,5m8pflpgynidzk7d9507oujje,D. Rots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476189567,4,1,1,0,2,4tic29sox7m39fy1ztgv0jsiq,0,34.4,48.7,2022-10-23T12:31:15.194Z,2022-10-25T22:37:58Z,3866216671,213,0.6,3872690493,178,,3866216673,1,,3866216661,155,,3866216665,140,82.8,3866216663,56,Left,3866216667,141,100.0,3866216669,212,62.2,69cvlhfo7ulmz4o5ztlj1wlm2,M. Hilgers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476189627,3,5,1,0,7,ears40cp6opsgvhsy0dgyszpd,1,15.4,-1.1,2022-10-23T12:31:20.080Z,2022-10-25T22:38:02Z,3866216993,56,Back,3866216995,347,,3866217063,233,5,,,,,,,,,,,,,,,,4utb2o5c0e57kf0iwdavpzg15,S. van der Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476189575,5,5,1,0,7,4tic29sox7m39fy1ztgv0jsiq,0,84.6,101.1,2022-10-23T12:31:20.080Z,2022-10-25T22:38:02Z,3866216703,56,Left,3866216705,347,,3866217069,233,3,,,,,,,,,,,,,,,,69cvlhfo7ulmz4o5ztlj1wlm2,M. Hilgers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476189781,4,1,1,0,19,ears40cp6opsgvhsy0dgyszpd,1,21.8,0,2022-10-23T12:31:31.735Z,2022-10-25T22:38:05Z,3866217729,140,24.8,3866217727,56,Back,3866217735,213,1.3,3866217731,141,12.8,3866217733,212,10.2,3866217725,107,,,,,,,,tv8e6nxc7jl8wbzf6ojd6dw5,D. Schmidt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476189807,5,1,1,0,19,ears40cp6opsgvhsy0dgyszpd,1,25.3,12.6,2022-10-23T12:31:32.395Z,2022-10-25T22:38:09Z,3872690745,388,,3866217863,212,5.0,3866217861,141,6.2,3866217859,140,23.0,3866217857,56,Back,3866217865,213,4.2,,,,,,,7r2ifipuieqiar5n00o2j5uj9,L. Bergsma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
