id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/13/value,assist,qualifier/14/value,qualifier/16/value,qualifier/18/value,qualifier/17/value
2514613147,1,34,16,0,0,6hsriqr3ybvyg94w2k19oal50,1,0,0,2023-03-03T17:57:16.085Z,2023-03-03T19:03:45Z,4068641713,130,8,4068833561,197,15620,4068641725,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4068641709,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4068641707,30,"84yhv0iilunn0vllz1r5fe7l5, d3qx3gwypipcl2azrj9ing9ud, 5gyjq8tsjxk396qt4hqlwn3dh, 4ecptuxoyx485mmhrubuscgyd, 2ez3q7gik3lm5kp1cunfol52h, cb8pu5lenbczaooavhaxnzp3p, dvof4p3jx1gi6i9uelbmudl62, d8cxurdt9g5gezqlfwae7ooru, czh4r9efdbw4fvdux0enl127e, 98fjpfhrww2qdifsi8viybaol, 4idru0svqcqjpi03b4jhqyd3p, cgsmk5437f466uoqvol7devze, b2uznyb9b8fxsy57450mbmwru, 4212luiyivgvje1vm1ojieicq, eqjelc731e1xrp95bpysx0pka, 9bzwr8qhl6547tjrsjsity4x6, 7xtesbxl6ioj70wymszqsag9h, 4snaidw6iaeo0k20gjfm35nft, e84kqxlu2bzgcpu0x0cj3z8id, 1txv3b9y7h3du9d5bbblg0vai, 3hhca66jtxt3c1iw10nfmhtnu, cynuwabb849am6ml1b70yr55h, 45vh3c99keqayr9hj0r6x0ei2",4068641721,194,4idru0svqcqjpi03b4jhqyd3p,4068641717,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4068641711,59,"16, 2, 32, 8, 6, 29, 17, 20, 42, 15, 21, 3, 9, 10, 13, 14, 18, 22, 24, 27, 33, 35, 53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514616753,1,34,16,0,0,3kfktv64h7kg7zryax1wktr5r,1,0,0,2023-03-03T18:04:06.224Z,2023-03-03T19:02:38Z,4068661493,194,ayqy2vql1oumokqly9ahfrnx1,4068661489,130,4,4068661487,59,"1, 2, 5, 14, 46, 3, 6, 16, 9, 7, 11, 12, 17, 19, 23, 28, 32, 34, 35, 43, 54",4068661495,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4068833745,197,460,4068661485,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4068661483,30,"7udphhcokm6vralyz5gkovxsl, ad2qplv0aa66l11ipq6yh0hd5, a2zavv31d2aadyddk0kjttdgq, b8vbhw29ucubzzmgv0nge1omh, 9lixevzo8exxiia17altfw8ic, ayqy2vql1oumokqly9ahfrnx1, 2w7xspkzg7b9ghl20me202ove, 7jpreaads35pnnfqbn7hmrmy, 7sd87ylfbtgwgpb70hf68cel1, 1t7nph4960rjzu7rgi47sf8ix, 33yauarx84sam5u05vgyqxfxl, 2p6h6ivyzp1fzsayw7r2xn2dx, 51f3vubki4or5vaft5tromn3e, 1hmy5uxiyr8g915tngl9l8twq, 4cegvsj3s6t0o1l5xap6jypuy, d29ahwtvs7ls75wdtkf7xr8tm, 9v7zwguzazofzafwg3qevdo4q, 3uq3lrjyj4mnvq6162b0jyhnt, ab17bik4y8ilv3ahe50a81ixg, cs49ec8y6cubrlo5nmu3j3jtg, 7ug3a0z74dj7qlq4jbtn1kutw",4068661491,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651119,2,32,1,0,0,6hsriqr3ybvyg94w2k19oal50,1,0,0,2023-03-03T19:01:43.060Z,2023-03-04T11:28:34Z,4068842763,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651137,2,32,1,0,0,3kfktv64h7kg7zryax1wktr5r,1,0,0,2023-03-03T19:01:43.060Z,2023-03-03T19:01:44Z,4068842867,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651159,3,1,1,0,0,6hsriqr3ybvyg94w2k19oal50,1,50,50,2023-03-03T19:01:43.080Z,2023-03-05T20:17:48Z,4068842961,140,26.2,4068842967,213,3.3,4068842969,279,S,4068842959,56,Back,4068842963,141,45.4,4077117535,178,,4068842965,212,25.2,,,,czh4r9efdbw4fvdux0enl127e,M. Manhoef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651205,4,1,1,0,2,6hsriqr3ybvyg94w2k19oal50,0,27.3,45.2,2023-03-03T19:01:46.036Z,2023-03-05T20:18:02Z,4068843193,56,Center,4068843203,1,,4068843199,212,54.8,4068843191,155,,4068843197,141,70.9,4068843195,140,76.8,4077118533,178,,4068843201,213,0.3,2ez3q7gik3lm5kp1cunfol52h,D. Oroz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651213,3,1,1,0,6,3kfktv64h7kg7zryax1wktr5r,0,23.2,28.2,2023-03-03T19:01:49.408Z,2023-03-05T20:18:10Z,4068843245,3,,4077118895,178,,4068843255,212,19.8,4068843253,141,27.0,4068843247,56,Back,4068843257,213,6.2,4068843251,140,42.0,,,,9lixevzo8exxiia17altfw8ic,W. Goes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651251,5,1,1,0,7,6hsriqr3ybvyg94w2k19oal50,1,64.6,75.4,2023-03-03T19:01:50.865Z,2023-03-05T20:18:14Z,4077119207,388,,4068843491,56,Left,4068843505,212,11.6,4068843489,3,,4068843495,140,60.9,4068843509,213,1.9,4068843501,141,91.5,,,,4ecptuxoyx485mmhrubuscgyd,S. Tronstad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651277,6,1,1,0,10,6hsriqr3ybvyg94w2k19oal50,1,60.8,91.5,2023-03-03T19:01:53.417Z,2023-03-05T20:18:18Z,4068843609,140,70.1,4068843607,56,Left,4068843611,141,94.2,4068843613,212,9.9,4077119495,178,,4068843615,213,0.2,,,,,,,5gyjq8tsjxk396qt4hqlwn3dh,M. Wittek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514651311,7,1,1,0,13,6hsriqr3ybvyg94w2k19oal50,1,61.5,95.1,2023-03-03T19:01:56.208Z,2023-03-05T20:18:25Z,4068843853,213,3.3,4077119911,178,,4068843845,56,Back,4068843851,212,21.6,4068843847,140,41.2,4068843849,141,90.2,,,,,,,4idru0svqcqjpi03b4jhqyd3p,M. Bero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
