id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/8/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,assist
2527384285,1,34,16,0,0,89w5c6pw7vn0dxypi61tt0g4k,1,0,0,2023-04-02T11:44:36.321Z,2023-04-02T12:26:02Z,4157088645,59,"1, 2, 5, 8, 3, 4, 7, 6, 9, 10, 11, 20, 15, 14, 30, 13, 17, 18, 16, 12",4157088641,30,"eamuyjut271ytghb2q4ljqbpx, f57vs3qmmob743hdk2dxf56cq, 5el82g04yvl9ai8ws8pxbvaad, 8n9t52eeli3s39r8ujjhjt7je, 5gs7jd1eigk4jisxbr9a1yvp, ubuh5wgnl0o5bn3wirdmectm, 2nwthqvbk70e2qo35dgp35979, 6ovzd9akutufagsd8kmxmsei2, 6q77vt9bp8dsq48pa97mfzsa1, 723av2redj2ej6livx0g81wwl, tgu7kztdu9azmvirwu8rrip6, 2i8yhe6uqy0jqixkd6ir727dh, aklhi0hr28nidjlkw1sokp785, e8zpc22dwlmgkkwoqpgwxsn2t, 6vqc5d718gbqobb9o3a40jlqt, c6i4usq34m3389rtbqptahrai, dficbkp6sp4kw7xihaxneozpx, 7io59zk29vhvyueadmkotzeqy, 2dh7daj5fs09snik6jrcyz7fu, cixzy9hl7ks4maugc5zc9ievp",4157088643,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4157088649,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4157088647,130,8,4157361621,197,2359,4157088651,194,5gs7jd1eigk4jisxbr9a1yvp,4157088653,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527390711,1,34,16,0,0,20vymiy7bo8wkyxai3ew494fz,1,0,0,2023-04-02T11:49:06.545Z,2023-04-02T12:26:50Z,4157120685,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4157120683,194,djbw3afgcgkbq22soig0xsjfu,4157120681,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4157366625,197,17162,4157120677,59,"22, 2, 5, 17, 18, 33, 20, 10, 29, 7, 14, 6, 9, 11, 15, 21, 25, 28, 30, 48, 49",4157120679,130,4,4157120673,30,"11ceernyer8po8soj8dmygatx, e6xexn53yyoxmdt5naduyx8bu, 4fcjml5xkrwp4jykruzrzub1m, 504o2odlvra056ouwcgreopgp, 5bjdj7hrhuxjbsa8wc1kw42c5, 1vyh50nfaq2kq5pmivpkc1psl, 672cwl9zj2d6lce6jda350vvu, djbw3afgcgkbq22soig0xsjfu, aboxil79ulfa73pckzsdnwp62, a8cgbwioykhqztfjgztfn7dud, e0cy0gwf04lohf0xjef0af8fe, bnar4f48vnx4oaz2lzch48es5, 4j5hfebi948ggjwexpndrub1m, dy8wa8cciiae72q2ynm80rlcl, dux0skggr99ydjz3kn58p3wmh, 909y6bbt3ht52rsu560ua5gid, 1qjf9el1a3ct17cb9epxz8xgq, 2fbolmn7pyvn5oto4zoeqguwa, 5vsr5aylntbln91iqj7vh5duy, cec6shf8ln2n1dibq00ez84yc, 961rxtkdbimo36qyjsjuwmj56",4157120675,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527443137,2,32,1,0,0,89w5c6pw7vn0dxypi61tt0g4k,1,0,0,2023-04-02T12:30:25.419Z,2023-04-02T12:30:28Z,4157386483,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527443129,2,32,1,0,0,20vymiy7bo8wkyxai3ew494fz,1,0,0,2023-04-02T12:30:25.419Z,2023-04-02T12:30:25Z,4157386439,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527443153,3,1,1,0,0,89w5c6pw7vn0dxypi61tt0g4k,1,49.9,50.1,2023-04-02T12:30:25.519Z,2023-04-02T12:33:16Z,4157386609,213,3.6,4157386607,212,12.8,4157386605,141,42.1,4157386611,279,S,4157386603,140,38.9,4157386601,56,Back,,,,,,,723av2redj2ej6livx0g81wwl,A. Verschueren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527443249,4,1,1,0,3,89w5c6pw7vn0dxypi61tt0g4k,1,36,39.5,2023-04-02T12:30:29.191Z,2023-04-02T12:30:31Z,4157387147,56,Back,4157387149,140,42.1,4157387151,141,13.7,4157387153,212,18.7,4157387155,213,5.1,,,,,,,,,,6ovzd9akutufagsd8kmxmsei2,J. van Mullem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527443317,5,1,1,0,6,89w5c6pw7vn0dxypi61tt0g4k,1,42.1,13.7,2023-04-02T12:30:31.671Z,2023-04-02T12:30:35Z,4157387523,213,0.6,4157387521,212,66.0,4157387525,1,,4157387515,56,Center,4157387511,155,,4157387519,141,68.7,4157387517,140,93.9,,,,f57vs3qmmob743hdk2dxf56cq,S. Sambo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527443345,6,1,1,0,9,89w5c6pw7vn0dxypi61tt0g4k,0,94.6,70.3,2023-04-02T12:30:35.351Z,2023-04-02T13:24:56Z,4157387687,212,13.6,4157387675,155,,4157387689,213,4.8,4157387679,56,Center,4157387683,140,95.3,4157387685,141,50.3,,,,,,,tgu7kztdu9azmvirwu8rrip6,K. Saito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527443353,3,52,1,0,11,20vymiy7bo8wkyxai3ew494fz,1,7.7,50.4,2023-04-02T12:30:36.679Z,2023-04-02T12:30:36Z,,,,,,,,,,,,,,,,,,,,,,,,,11ceernyer8po8soj8dmygatx,T. Wellenreuther,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527443655,4,1,1,0,26,20vymiy7bo8wkyxai3ew494fz,1,10.3,50.4,2023-04-02T12:30:51.957Z,2023-04-02T12:30:53Z,4157389465,123,,4157389473,212,16.1,4157389471,141,74.1,4157389475,213,1.6,4157389469,140,10.2,4157389467,56,Back,,,,,,,11ceernyer8po8soj8dmygatx,T. Wellenreuther,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
