id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/11/value,qualifier/17/value,qualifier/14/value,assist,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/18/value
2521517965,1,34,16,0,0,ccpscwdcm65czscrun048ecn5,1,0,0,2023-03-18T14:26:03.256Z,2023-03-18T15:41:12Z,4105172227,59,"1, 17, 24, 18, 25, 14, 20, 22, 19, 9, 26, 3, 5, 7, 8, 10, 11, 16, 23, 27, 30, 31",4105172229,130,3,4105714775,197,540,4105172235,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4105172225,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4105172233,194,c2an5ksdu6jbap3x3jp3z9c5x,4105172223,30,"9q90ls3k1i2739wd6a20fku6t, 6anvl82jyio52wo87cbxdp4np, c2an5ksdu6jbap3x3jp3z9c5x, ely6vpyueden4b6ozfmspwgk5, 9wo8twcbs1jnqzdy0c6y8adey, c3mpk7pjhma4lwkjl8v5mhox6, bymhffiw7brsfpjzsfqq7bvth, 4rp5snknt88bf4lws5t0o9gph, d7ml58kwwpetvnw46qja9ru5m, 1p0xp2onnys7jlru55vfgf1pm, 3mp92d5s002hi523kl4zmgrft, 2tu58roj0u0vpaqcaz266a415, 6gabdz53gxhyp8dv6x5the4t1, egcs7b6ixb62ep08t7jznf9ih, eu6pfkiah7otafyryg6ll7y09, 28o7vv0jud22hmg4h649yozqh, 9uf4fsff2lpic3u0l7zpuqsid, c1krps0yssh477m8umrruiqjt, b427p4czppyjddx3xuuvc2okp, 8p47d0e54hgl7d86vur1m5nmx, 4ooliltsht8mvelpds3v4bpat, ebqj8v33xv3otev2pycc6xomh",4105172231,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521524893,1,34,16,0,0,b79uipsy57y1jqpy07h4i5ovk,1,0,0,2023-03-18T14:32:06.425Z,2023-03-18T15:37:19Z,4105209333,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4105209337,130,2,4105209339,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4105209335,59,"1, 2, 26, 6, 25, 3, 11, 10, 9, 27, 23, 4, 7, 17, 18, 19, 20, 21, 22, 24, 33, 40",4105209341,194,ciguyr553yqapqfudim9af46h,4105209343,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4105687249,197,18063,4105209331,30,"4odeml6s5vm38m9u7tnh6n8id, ciguyr553yqapqfudim9af46h, cm78w42nflwgvshpnok680mlm, 7nfr8xuo637qma7ovxx4r9fmy, 90vny1388bdhx8103lp9njac4, 2ekx0fvuf0dsat062oj430d05, 7lpwkpwfw656re3pymntslv55, dtglxu78mwbkvog0jnusmdc5x, hxqybxg5578sgx0gx5qb834l, 94b7i139jyk6hs6ioqlztg1jp, 7dkhv2l8y6jq20l1dc2ye17je, 32pfghvfogjnpbgsj5mk2jhpm, 7sa0cx70w7dc0ahu5sm0ziz11, 40nypdfe5lbtqi0y1t3rmfqj8, 5dbx86ca2t7dae8b3t69atii1, 4cyftx5l62gw3ijl29y7t51pl, 4qoddvxuknli8073d54hii2cq, 5n65xhwbd6dm3uynl4h7k920a, 5geiqjzesu0y6bu8hyff4y6dx, bx2xcfe18epftsy5lrdf1fevo, 7uiun3ak4fveljpb3lsdypxx, 2f5hdor2uv8hfxnieyvivsesp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521631353,2,32,1,0,0,b79uipsy57y1jqpy07h4i5ovk,1,0,0,2023-03-18T15:33:22.512Z,2023-03-18T15:33:22Z,4105760011,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521631373,2,32,1,0,0,ccpscwdcm65czscrun048ecn5,1,0,0,2023-03-18T15:33:22.512Z,2023-03-19T12:28:20Z,4105760169,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521631517,3,1,1,0,0,b79uipsy57y1jqpy07h4i5ovk,1,49.8,50,2023-03-18T15:33:22.551Z,2023-03-19T12:56:11Z,4109551323,178,,4105760883,140,29.0,4105760885,141,61.4,4105760887,212,23.2,4105760889,213,2.8,4105760891,279,S,4105760881,56,Back,,,,dtglxu78mwbkvog0jnusmdc5x,P. Rommens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521631579,4,1,1,0,3,b79uipsy57y1jqpy07h4i5ovk,0,28.8,60.2,2023-03-18T15:33:26.128Z,2023-03-19T12:56:17Z,4109551653,178,,4105761217,1,,4105761195,155,,4105761201,56,Center,4105761213,213,6.2,4105761211,212,46.5,4105761207,141,52.4,4105761205,140,72.8,2ekx0fvuf0dsat062oj430d05,G. Nauber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521631635,3,49,1,0,5,ccpscwdcm65czscrun048ecn5,1,24.7,46.4,2023-03-18T15:33:28.399Z,2023-03-19T12:56:23Z,,,,,,,,,,,,,,,,,,,,,,,,,6anvl82jyio52wo87cbxdp4np,S. Klaiber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521631779,4,1,1,0,7,ccpscwdcm65czscrun048ecn5,0,24.7,46.3,2023-03-18T15:33:29.519Z,2023-03-19T12:56:32Z,4105762349,213,0.1,4105762347,212,19.7,4105762345,141,49.7,4105762343,140,43.3,4109552311,178,,4105762341,56,Back,4105762351,1,,4105762339,157,,6anvl82jyio52wo87cbxdp4np,S. Klaiber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521631953,5,4,1,0,10,b79uipsy57y1jqpy07h4i5ovk,1,53.8,45.4,2023-03-18T15:33:32.632Z,2023-03-19T12:56:46Z,4105764473,233,5,4105763345,56,Center,4105763351,286,,4105763337,13,,4105763349,152,,4105763341,294,,,,,,,,7nfr8xuo637qma7ovxx4r9fmy,J. Idzes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521632137,5,4,1,0,10,ccpscwdcm65czscrun048ecn5,0,46.2,54.6,2023-03-18T15:33:32.633Z,2023-03-19T12:56:46Z,4105764277,13,,4105764279,294,,4105764625,233,5,4105764287,152,,4105764289,285,,4109552907,388,,4105764283,56,Back,,,,d7ml58kwwpetvnw46qja9ru5m,A. Descotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
