id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/11/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/14/value,assist,qualifier/18/value
2501335303,1,34,16,0,0,b79uipsy57y1jqpy07h4i5ovk,1,0,0,2023-01-28T14:43:47.917Z,2023-01-28T15:33:48Z,3998679711,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3998679713,59,"1, 2, 4, 21, 3, 6, 23, 15, 27, 18, 7, 8, 9, 11, 17, 19, 20, 22, 24, 25, 33, 40",3998679709,30,"4odeml6s5vm38m9u7tnh6n8id, ciguyr553yqapqfudim9af46h, 32pfghvfogjnpbgsj5mk2jhpm, 5n65xhwbd6dm3uynl4h7k920a, 2ekx0fvuf0dsat062oj430d05, 7nfr8xuo637qma7ovxx4r9fmy, 7dkhv2l8y6jq20l1dc2ye17je, 4mroygq2ruxkml5c5j4awwted, 94b7i139jyk6hs6ioqlztg1jp, 5dbx86ca2t7dae8b3t69atii1, 7sa0cx70w7dc0ahu5sm0ziz11, 9d4lofwg9ooaoldw2vpt4h36y, hxqybxg5578sgx0gx5qb834l, 7lpwkpwfw656re3pymntslv55, 8j8encc4aqkh07ydce6hiaokp, 4cyftx5l62gw3ijl29y7t51pl, 4qoddvxuknli8073d54hii2cq, 5geiqjzesu0y6bu8hyff4y6dx, bx2xcfe18epftsy5lrdf1fevo, 90vny1388bdhx8103lp9njac4, 7uiun3ak4fveljpb3lsdypxx, 2f5hdor2uv8hfxnieyvivsesp",3998679717,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3998679721,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3999040553,197,11977,3998679715,130,8,3998679719,194,ciguyr553yqapqfudim9af46h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501342237,1,34,16,0,0,24fvcruwqrqvqa3aonf8c3zuy,1,0,0,2023-01-28T14:51:04.060Z,2023-01-28T15:33:00Z,3998714941,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3998714947,130,8,3998714951,194,4drquvq035kmr2smvzph82bx1,3999014635,197,500,3998714953,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3998714945,59,"1, 3, 29, 23, 22, 4, 21, 6, 9, 20, 7, 42, 5, 8, 10, 15, 16, 24, 27, 28, 31, 37",3998714949,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3998714937,30,"a56woizbe4g6jpl3fg4tlgno5, 2e0o5pwinz3zhg9pqg5vej9ih, 7c8ms7bw3fva4xeubax4ep8et, d4j19ipiaeuetyij08fofgs15, 1ph4g125dfsijfjzjpcvpcmlm, 3ojwbw6v83g9b0u2wssnkzzzd, c8j50o9oqu2okdpjsr3nvnhsl, 1abb1gcw7arw1nkbuxnccjca1, 4drquvq035kmr2smvzph82bx1, 21k54i5a6d9bi4f6gplgzxiw9, exhxdmdq49xj4dnguq03qnlgq, 2x8ywg6gxd17rqfo5a3iharfu, 62n3xzxpwe2j317q24rh5wjpx, 98fjpfhrww2qdifsi8viybaol, 7snt4uu7f2d0g7utjm2xfis8a, 9uuk73i8obc7ji0dnan352nkl, d5v47kueisvcjjz4f69m83sut, d9wjrxhmo0dlczkg0fpnf3e1h, bx6j2y1hnu63lawn3rdoep1m2, 9vf02r3geinhsy732oxyrcacq, 5mbkc1nqmirbtfml9aklqr5xx, 5yt3hbvzpaqv8lrjgt4ahb78q",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501406615,2,32,1,0,0,b79uipsy57y1jqpy07h4i5ovk,1,0,0,2023-01-28T15:31:02.241Z,2023-01-28T15:31:04Z,3999049131,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501406599,2,32,1,0,0,24fvcruwqrqvqa3aonf8c3zuy,1,0,0,2023-01-28T15:31:02.241Z,2023-01-30T04:57:58Z,3999049063,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501406707,3,1,1,0,0,24fvcruwqrqvqa3aonf8c3zuy,1,50.4,49.4,2023-01-28T15:31:02.262Z,2023-01-30T05:15:58Z,3999049631,212,30.2,4004050427,178,,3999049627,141,70.7,3999049623,56,Back,3999049635,213,2.6,3999049625,140,25.2,3999049639,279,S,,,,exhxdmdq49xj4dnguq03qnlgq,X. Simons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501406759,4,1,1,0,2,24fvcruwqrqvqa3aonf8c3zuy,0,26.5,65.9,2023-01-28T15:31:05.141Z,2023-01-30T05:16:12Z,3999049893,141,39.2,3999049897,213,5.8,3999049891,140,60.8,3999049889,56,Center,4004050537,178,,3999049899,1,,3999049895,212,40.3,3999049887,155,,3ojwbw6v83g9b0u2wssnkzzzd,A. Obispo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501406893,3,1,1,0,5,b79uipsy57y1jqpy07h4i5ovk,1,30.1,70.5,2023-01-28T15:31:07.284Z,2023-01-30T05:16:34Z,3999050669,141,85.3,3999050665,56,Back,4004050707,388,,3999050667,140,40.5,3999050673,213,0.7,3999050663,3,,3999050671,212,14.9,,,,5n65xhwbd6dm3uynl4h7k920a,E. Llansana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501406929,4,1,1,0,7,b79uipsy57y1jqpy07h4i5ovk,0,40,89.7,2023-01-28T15:31:09.443Z,2023-01-30T05:16:45Z,3999050899,141,89.1,3999050905,213,6.2,3999050895,56,Back,4004051009,388,,3999050897,140,49.1,3999050893,3,,3999050901,212,9.6,,,,7sa0cx70w7dc0ahu5sm0ziz11,R. Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501406951,5,1,1,0,8,24fvcruwqrqvqa3aonf8c3zuy,1,56.3,29.6,2023-01-28T15:31:11.133Z,2023-01-30T05:16:53Z,4004051133,178,,3999050995,212,10.3,3999050999,213,4.4,3999050991,141,15.1,3999050989,140,53.5,3999050985,56,Right,,,,,,,1abb1gcw7arw1nkbuxnccjca1,I. Sangaré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501407031,6,1,1,0,10,24fvcruwqrqvqa3aonf8c3zuy,1,53.5,15.1,2023-01-28T15:31:12.511Z,2023-01-30T05:17:13Z,4004051361,178,,3999051421,140,34.7,3999051427,213,2.9,3999051423,141,23.3,3999051419,56,Back,3999051425,212,20.5,,,,,,,2e0o5pwinz3zhg9pqg5vej9ih,J. Teze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
