id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/13/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,qualifier/15/value,qualifier/17/value
2504324123,5,8,1,0,10,d0zdg647gvgc95xdtk1vpbkys,1,60.7,7.7,2023-02-05T11:16:25.304Z,2023-02-07T08:09:34Z,4018423653,178,,4014378685,56,Right,4014887031,383,,,,,,,,,,,,,,,,,p7vw4thx5wzo49h6hfabcq5m,M. Kudus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504337763,389,50,1,0,11,d0zdg647gvgc95xdtk1vpbkys,1,62.3,17.8,2023-02-05T11:16:26.916Z,2023-02-07T08:09:55Z,4014453327,233,168,4014453117,56,Right,4014453119,286,,,,,,,,,,,,,,,,,7joybllup4h9oe6zfhcepjy6t,S. Berghuis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504337419,168,7,1,0,11,ears40cp6opsgvhsy0dgyszpd,0,37.7,82.2,2023-02-05T11:16:26.964Z,2023-02-07T08:10:07Z,4014894903,385,,4014453301,233,389,4018423793,178,,4014451341,56,Back,4014451343,285,,,,,,,,,,,8o13oyr0lqkr5sw7j9ekdan6x,M. Hoedemakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504324141,7,43,1,0,13,ears40cp6opsgvhsy0dgyszpd,1,0,0,2023-02-05T11:16:28.371Z,2023-02-05T11:45:42Z,4014378773,56,Back,4014450449,144,61,,,,,,,,,,,,,,,,,,,3u2783a9ukglf8yg3dere8wve,A. Bangura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504324147,6,1,1,0,13,d0zdg647gvgc95xdtk1vpbkys,0,67.3,23,2023-02-05T11:16:28.473Z,2023-02-07T08:10:21Z,4014378819,212,8.2,4014378813,56,Center,4018423841,178,,4014378815,140,73.2,4014378823,213,0.7,4014378817,141,31.0,,,,,,,7joybllup4h9oe6zfhcepjy6t,S. Berghuis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504324173,8,1,1,0,14,ears40cp6opsgvhsy0dgyszpd,0,24.2,68.5,2023-02-05T11:16:29.485Z,2023-02-07T08:10:27Z,4014378901,213,0.8,4014378903,1,,4018423863,178,,4014378899,212,23.2,4014378897,141,92.9,4014378895,140,39.7,4014378893,56,Back,4014378891,157,,8ylvnl689iweg2r9d0ioj771m,M. Tol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504324183,7,1,1,0,16,d0zdg647gvgc95xdtk1vpbkys,0,55.4,4,2023-02-05T11:16:32.053Z,2023-02-07T08:10:34Z,4014378963,56,Right,4014378965,140,64.4,4018423891,388,,4014378967,141,10.0,4014378969,212,10.3,4014378971,213,0.4,4014378959,3,,,,,6sg2ot7z9kfyrlgjkmpqvejqi,D. Rensch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504324203,8,45,1,0,19,d0zdg647gvgc95xdtk1vpbkys,0,62.2,15.2,2023-02-05T11:16:34.594Z,2023-02-07T08:11:19Z,4014379077,56,Right,4014379137,233,9,4014379079,285,,,,,,,,,,,,,,,,,35qg0rrwtl00pycx468s62m3u,K. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504324211,9,3,1,0,19,ears40cp6opsgvhsy0dgyszpd,1,37.8,84.8,2023-02-05T11:16:34.594Z,2023-02-07T08:11:18Z,4018424097,178,,4014379121,286,,4014379123,233,8,4014899349,465,,4014379119,56,Back,,,,,,,,,,8o13oyr0lqkr5sw7j9ekdan6x,M. Hoedemakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504324247,10,1,1,0,21,ears40cp6opsgvhsy0dgyszpd,0,40.4,87.1,2023-02-05T11:16:36.595Z,2023-02-07T08:11:25Z,4014379265,140,73.7,4014379263,56,Left,4014379261,155,,4014379267,141,91.2,4014379269,212,35.1,4014379273,1,,4014379271,213,0.1,4018424143,178,,8o13oyr0lqkr5sw7j9ekdan6x,M. Hoedemakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505156673,1360,67,1,0,24,d0zdg647gvgc95xdtk1vpbkys,1,24.6,7.9,2023-02-05T11:16:39.378Z,2023-02-07T11:57:39Z,4018734059,233,709,,,,,,,,,,,,,,,,,,,,,,aqlakf0mo95rlktf6xdbaegh5,J. Timber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505156667,709,67,1,0,24,ears40cp6opsgvhsy0dgyszpd,0,75.4,92.1,2023-02-05T11:16:39.379Z,2023-02-07T11:42:00Z,4018734073,233,1360,,,,,,,,,,,,,,,,,,,,,,4utb2o5c0e57kf0iwdavpzg15,S. van der Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504324243,9,8,1,0,24,d0zdg647gvgc95xdtk1vpbkys,1,26.6,8.2,2023-02-05T11:16:39.403Z,2023-02-07T11:57:40Z,4014379253,56,Back,4014899947,385,,4018424205,178,,,,,,,,,,,,,,,,,aqlakf0mo95rlktf6xdbaegh5,J. Timber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504324257,10,5,1,0,25,d0zdg647gvgc95xdtk1vpbkys,0,25.6,-1.5,2023-02-05T11:16:40.346Z,2023-02-07T08:11:51Z,4014379325,56,Back,4014379431,233,11,4014379327,347,,,,,,,,,,,,,,,,,aqlakf0mo95rlktf6xdbaegh5,J. Timber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504324277,11,5,1,0,25,ears40cp6opsgvhsy0dgyszpd,1,74.4,101.5,2023-02-05T11:16:40.346Z,2023-02-07T08:11:51Z,4014379415,233,10,4014379391,347,,4014379389,56,Left,,,,,,,,,,,,,,,,8o13oyr0lqkr5sw7j9ekdan6x,M. Hoedemakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504324489,12,1,1,1,4,ears40cp6opsgvhsy0dgyszpd,0,66.5,100,2023-02-05T11:17:20.006Z,2023-02-07T08:12:09Z,4014380623,141,91.1,4014380619,140,70.7,4014380627,212,8.3,4014380631,213,5.3,4014456685,189,,4014380609,107,,4014380615,56,Left,,,,3u2783a9ukglf8yg3dere8wve,A. Bangura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504324493,11,49,1,1,5,d0zdg647gvgc95xdtk1vpbkys,1,28.1,13.7,2023-02-05T11:17:20.277Z,2023-02-07T08:14:31Z,4014496049,189,,,,,,,,,,,,,,,,,,,,,,,p7vw4thx5wzo49h6hfabcq5m,M. Kudus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504345657,566,1,1,1,6,d0zdg647gvgc95xdtk1vpbkys,1,28.9,13.5,2023-02-05T11:17:21.645Z,2023-02-07T08:14:20Z,4014495505,141,26.4,4014495501,140,24.0,4014495497,56,Back,4018425011,178,,4014495509,212,10.2,4014495513,213,2.1,,,,,,,p7vw4thx5wzo49h6hfabcq5m,M. Kudus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504324495,13,43,1,1,7,ears40cp6opsgvhsy0dgyszpd,1,0,0,2023-02-05T11:17:22.738Z,2023-02-05T12:09:53Z,4014380651,140,81.2,4014380653,141,71.2,4014511809,144,1,4014380655,212,10.2,4014456821,189,0,4014380649,56,Center,4014380657,213,5.8,,,,4qyx713hq3c6d5lwdfp98jd1x,N. Foor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504324521,12,4,1,1,8,d0zdg647gvgc95xdtk1vpbkys,1,17.3,29.4,2023-02-05T11:17:24.085Z,2023-02-07T08:14:49Z,4014380775,13,,4014380777,56,Back,4014380783,285,,4014380781,265,,4014380779,152,,4014380811,233,14,,,,,,,35qg0rrwtl00pycx468s62m3u,K. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504324517,14,4,1,1,8,ears40cp6opsgvhsy0dgyszpd,0,82.7,70.6,2023-02-05T11:17:24.086Z,2023-02-07T08:14:48Z,4014380755,56,Center,4014380753,13,,4014380757,152,,4014380761,286,,4014380759,265,,4018425403,178,,4014383053,233,12,,,,ae7ij4u0xy9iru6qvdw2i9fu2,M. Breij,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504324595,13,1,1,1,17,d0zdg647gvgc95xdtk1vpbkys,1,10.4,41.5,2023-02-05T11:17:32.586Z,2023-02-07T08:15:00Z,4018425481,178,,4014381239,141,52.8,4014381243,213,0.4,4014381241,212,19.2,4014497785,189,,4014381235,56,Back,4014381233,152,,4014381231,5,,1lgrnaje6y7un5dzzll84p91,G. Rulli,4014381237,140,27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504324605,14,1,1,1,19,d0zdg647gvgc95xdtk1vpbkys,1,29.5,54.9,2023-02-05T11:17:35.026Z,2023-02-07T08:15:09Z,4014381303,212,20.5,4014381301,141,24.9,4014381299,140,31.7,4014381307,213,4.8,4018425505,178,,4014381297,56,Back,,,,,,,aqlakf0mo95rlktf6xdbaegh5,J. Timber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504324629,15,1,1,1,26,d0zdg647gvgc95xdtk1vpbkys,1,39.5,18.5,2023-02-05T11:17:41.425Z,2023-02-07T08:15:19Z,4014381417,213,5.7,4018425567,178,,4014381415,212,14.9,4014381411,140,51.3,4014381413,141,6.2,4014381407,56,Right,,,,,,,bp3apdb2ahzacq45k4mzj5jhl,E. Álvarez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504324655,16,1,1,1,28,d0zdg647gvgc95xdtk1vpbkys,1,51.4,7.6,2023-02-05T11:17:43.592Z,2023-02-07T08:15:51Z,4014381535,213,2.3,4014381531,141,28.5,4014381533,212,18.5,4014381527,56,Back,4018425793,178,,4014381529,140,40.1,,,,,,,6sg2ot7z9kfyrlgjkmpqvejqi,D. Rensch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
