id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/12/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/15/value,qualifier/14/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/16/value,qualifier/19/value,assist
2452439619,1,34,16,0,0,ears40cp6opsgvhsy0dgyszpd,1,0,0,2022-08-28T13:53:52.909Z,2022-08-28T14:48:07Z,3739969809,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3739969799,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3739969817,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3739969805,130,4,3739969801,59,"1, 24, 16, 6, 15, 33, 8, 10, 28, 18, 30, 2, 3, 5, 9, 11, 12, 14, 22, 27, 31, 39",3739969813,194,afsin57n25r53ifmqyfmbzqol,3739969797,30,"7rvlba00jv66w7wtdmk178a95, ca5n8516u8m6c41u61bbjjbop, 3u2783a9ukglf8yg3dere8wve, 8o13oyr0lqkr5sw7j9ekdan6x, 8ylvnl689iweg2r9d0ioj771m, blzp9qbpturqntnisbkg0ddlg, 9wgpudcet9m8doz9ezbjxzkrt, 426st78oi43eortpbfkuxw72t, afsin57n25r53ifmqyfmbzqol, dzs8vty5afl2y7ddjh3ausclx, e1wk520xrgbtriixo4kj3pnje, efwbv81uca8myl7gusdb2q38p, 4736oz9r0evpmkd3qumivl239, tv8e6nxc7jl8wbzf6ojd6dw5, cgsirikez39wlx8lhu1uo00yd, 4utb2o5c0e57kf0iwdavpzg15, ail0unvzd0b9ur7j0l8hk0y51, ae7ij4u0xy9iru6qvdw2i9fu2, 5yi3d29esiydx9zsuhap1wnx0, eyx1wga1fue6lb5a0ak5f32i2, 4j7f43re79hlmomwga3isqbu2, c6ufljjgl050g9xn7e9ma7hg4",3740151337,197,12539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452441449,1,34,16,0,0,3kfktv64h7kg7zryax1wktr5r,1,0,0,2022-08-28T13:58:18.009Z,2022-08-28T14:48:09Z,3739978267,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3739978273,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3739978265,30,"2p6h6ivyzp1fzsayw7r2xn2dx, ayqy2vql1oumokqly9ahfrnx1, a2zavv31d2aadyddk0kjttdgq, 7jgtmmk4b2bgn0syidj6ve7kl, 42cg746sa90jla5x4islj9pwq, byirjks50zw1eefkcy8p4hd5h, b2ibeioms7t9vb3au7tpqys4p, 2w7xspkzg7b9ghl20me202ove, 7sd87ylfbtgwgpb70hf68cel1, 8ymqihdfqc7esda7y407lebx1, 1hmy5uxiyr8g915tngl9l8twq, f3h1bxnw3fq8m10ck132bic4p, ad2qplv0aa66l11ipq6yh0hd5, 1t7nph4960rjzu7rgi47sf8ix, b7owk879trwk2tu8ud574xq3u, 3dx91sb6ktg8z1xmoti25kru, 51f3vubki4or5vaft5tromn3e, 6zzcoo9k4ebqtlux49rbb5fro, 4cegvsj3s6t0o1l5xap6jypuy, 3uq3lrjyj4mnvq6162b0jyhnt",3739978277,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3740151385,197,13609,3739978275,194,byirjks50zw1eefkcy8p4hd5h,3739978269,59,"12, 3, 5, 8, 31, 4, 18, 6, 9, 10, 33, 1, 2, 7, 13, 14, 17, 22, 23, 34",3739978271,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452476461,2,32,1,0,0,3kfktv64h7kg7zryax1wktr5r,1,0,0,2022-08-28T14:46:40.602Z,2022-08-28T14:46:43Z,3740165635,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452476455,2,32,1,0,0,ears40cp6opsgvhsy0dgyszpd,1,0,0,2022-08-28T14:46:40.602Z,2022-08-30T19:32:06Z,3740165601,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452476489,3,1,1,0,0,ears40cp6opsgvhsy0dgyszpd,1,50.5,49.9,2022-08-28T14:46:40.638Z,2022-08-31T02:53:52Z,3740165807,213,2.8,3740165801,140,38.5,3740165805,212,13.5,3746432155,178,,3740165799,56,Back,3740165803,141,57.0,3740165809,279,S,,,,afsin57n25r53ifmqyfmbzqol,R. Uldriķis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452476531,4,1,1,0,1,ears40cp6opsgvhsy0dgyszpd,1,37.5,57.9,2022-08-28T14:46:42.341Z,2022-08-31T02:53:56Z,3740166033,141,87.4,3746432181,178,,3740166029,56,Back,3740166037,213,1.8,3740166035,212,20.5,3740166031,140,33.7,,,,,,,8o13oyr0lqkr5sw7j9ekdan6x,M. Hoedemakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452476595,5,1,1,0,4,ears40cp6opsgvhsy0dgyszpd,1,33.7,86.8,2022-08-28T14:46:44.938Z,2022-08-31T02:54:00Z,3740166405,212,17.7,3740166401,140,21.4,3740166407,213,3.9,3740166399,56,Back,3740166403,141,69.1,3746432209,178,,,,,,,,3u2783a9ukglf8yg3dere8wve,A. Bangura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452476613,6,1,1,0,6,ears40cp6opsgvhsy0dgyszpd,1,14.8,66,2022-08-28T14:46:47.538Z,2022-08-31T02:54:10Z,3740166549,213,4.7,3740166543,140,15.5,3740166545,141,29.7,3740166541,56,Back,3740166547,212,24.7,3746432297,178,,,,,,,,blzp9qbpturqntnisbkg0ddlg,F. Smand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452476619,7,1,1,0,9,ears40cp6opsgvhsy0dgyszpd,1,15.4,29.7,2022-08-28T14:46:50.026Z,2022-08-31T02:54:22Z,3740166587,56,Back,3746432369,178,,3740166599,213,2.3,3740166589,140,5.3,3740166595,212,15.8,3740166591,141,47.0,,,,,,,8ylvnl689iweg2r9d0ioj771m,M. Tol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452476647,8,1,1,0,11,ears40cp6opsgvhsy0dgyszpd,1,5.6,46.9,2022-08-28T14:46:52.127Z,2022-08-31T02:54:25Z,3740166741,56,Back,3740166751,212,20.3,3740166745,140,12.9,3740166755,213,5.1,3746432393,178,,3740166749,141,19.2,,,,,,,7rvlba00jv66w7wtdmk178a95,João Virgínia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
