id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/13/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,keyPass,qualifier/9/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/22/id,qualifier/22/qualifierId,qualifier/22/value,qualifier/23/id,qualifier/23/qualifierId,qualifier/24/id,qualifier/24/qualifierId,qualifier/18/value,assist,qualifier/19/value
2475744129,1,34,16,0,0,6hsriqr3ybvyg94w2k19oal50,1,0,0,2022-10-22T17:58:09.321Z,2022-10-22T19:02:03Z,3863874699,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3863874697,130,8,3864139845,197,15620,3863874691,30,"3hhca66jtxt3c1iw10nfmhtnu, d3qx3gwypipcl2azrj9ing9ud, 5gyjq8tsjxk396qt4hqlwn3dh, 4ecptuxoyx485mmhrubuscgyd, d8cxurdt9g5gezqlfwae7ooru, eqjelc731e1xrp95bpysx0pka, dvof4p3jx1gi6i9uelbmudl62, cgsmk5437f466uoqvol7devze, 9bzwr8qhl6547tjrsjsity4x6, 4idru0svqcqjpi03b4jhqyd3p, 4212luiyivgvje1vm1ojieicq, 3fuuh40aui30noi2kjf0blh3p, b2uznyb9b8fxsy57450mbmwru, cty7nsrs5yn785m330c2gbwq2, 7xtesbxl6ioj70wymszqsag9h, 4snaidw6iaeo0k20gjfm35nft, e84kqxlu2bzgcpu0x0cj3z8id, 30t0ph1icrggc0x62om801ses, dotvgi9g50m2axfw4isamd1ck, 1txv3b9y7h3du9d5bbblg0vai, hjb0mn4fgmfiimwn5odvl8fd, czh4r9efdbw4fvdux0enl127e, 45vh3c99keqayr9hj0r6x0ei2",3863874695,59,"33, 2, 32, 8, 20, 13, 17, 3, 14, 21, 10, 1, 9, 11, 18, 22, 24, 25, 26, 27, 29, 42, 53",3863874701,194,4idru0svqcqjpi03b4jhqyd3p,3863874693,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3863874703,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475746365,1,34,16,0,0,3t0vjqtxc8wpjzv82i3oi2ova,1,0,0,2022-10-22T18:02:08.327Z,2022-10-22T19:06:52Z,3863886315,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3863886317,59,"32, 34, 24, 2, 5, 4, 23, 20, 77, 7, 10, 1, 9, 11, 12, 13, 16, 17, 19, 27, 29",3863886313,30,"627nw9ji9qfss33q8ce8042c5, 2gonj4ylypwritcayysoqj3hm, eytcfp4cu6qkar65kf0p5rm96, 6ciggfx8p0zkak8qxe1p7yzth, 9fkdgor4mv7f8eqz65ugnnydx, ew4kbwq27lxqocg0920amphw5, 7myeigeuggkj5ymjw6znedkut, cqrk42u0s5w8yuq6mnckug02y, 55e0z1vhb48go6y2io7h80aqy, ewbakrn2dqmy062scjnz0pecp, 1i3tivo0q0tbzui8egvdlhg45, 3kt58x082lj8650en2mt60xqt, 7wphtxp293kv4o3x1b6zusrmd, e605oixdrqumxkqm0y1bijbvt, crpn5oc0jw2cms9jv9c2e7zmc, 4l8n194otkmyc3op4u111l5n9, ekltvbrx114dg6b2wj3lpwy96, 5q2z4aezq94ob9qp37i302ns9, 2pjxqgyqgvalmyu8cnu5fst90, 6rxmwjizhefv4gntkhtpxtasp, 50g2q36tyn8y5ws17filqpasp",3864140309,197,2846,3863886323,194,ew4kbwq27lxqocg0920amphw5,3863886319,130,8,3863886325,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3863886321,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475792537,2,32,1,0,0,6hsriqr3ybvyg94w2k19oal50,1,0,0,2022-10-22T19:01:30.704Z,2022-10-24T06:31:01Z,3864148433,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475792545,2,32,1,0,0,3t0vjqtxc8wpjzv82i3oi2ova,1,0,0,2022-10-22T19:01:30.704Z,2022-10-22T19:01:31Z,3864148465,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475792575,3,1,1,0,0,6hsriqr3ybvyg94w2k19oal50,1,50.1,50.1,2022-10-22T19:01:30.802Z,2022-10-24T06:38:58Z,3869337353,178,,3864148623,279,S,3864148619,212,21.5,3864148621,213,3.2,3864148617,141,49.1,3864148615,140,29.6,3864148613,56,Back,,,,4idru0svqcqjpi03b4jhqyd3p,M. Bero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475792601,4,1,1,0,3,6hsriqr3ybvyg94w2k19oal50,0,29.6,49.1,2022-10-22T19:01:33.954Z,2022-10-24T06:39:01Z,3864148751,56,Center,3864148755,141,78.5,3864148749,155,,3864148757,212,42.6,3869337417,178,,3864148753,140,65.4,3864148761,1,,3864148759,213,0.5,d8cxurdt9g5gezqlfwae7ooru,M. Meulensteen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475792641,3,1,1,0,5,3t0vjqtxc8wpjzv82i3oi2ova,0,33,28.6,2022-10-22T19:01:36.428Z,2022-10-24T06:39:06Z,3869337465,388,,3864148989,56,Back,3864148999,213,5.3,3864148991,140,46.3,3864148987,3,,3864148995,212,24.7,3864148993,141,0.0,,,,6ciggfx8p0zkak8qxe1p7yzth,K. Veendorp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475792645,4,5,1,0,10,3t0vjqtxc8wpjzv82i3oi2ova,0,46.4,-1.4,2022-10-22T19:01:41.467Z,2022-10-24T06:39:31Z,3864149067,233,5,3864149019,347,,3864149017,56,Back,,,,,,,,,,,,,,,,cqrk42u0s5w8yuq6mnckug02y,J. Vlak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475792649,5,5,1,0,10,6hsriqr3ybvyg94w2k19oal50,1,53.6,101.4,2022-10-22T19:01:41.467Z,2022-10-24T06:39:31Z,3864149051,233,4,3864149043,347,,3864149041,56,Left,,,,,,,,,,,,,,,,eqjelc731e1xrp95bpysx0pka,E. Cornelisse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475792683,6,1,1,0,11,6hsriqr3ybvyg94w2k19oal50,1,52.9,100,2022-10-22T19:01:42.511Z,2022-10-24T06:39:35Z,3864149223,107,,3864149227,140,38.6,3864149225,56,Back,3864149231,212,16.7,3864149229,141,91.0,3864149233,213,3.6,,,,,,,5gyjq8tsjxk396qt4hqlwn3dh,M. Wittek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
