id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/14/value,qualifier/17/value
2452266199,1,34,16,0,0,ccpscwdcm65czscrun048ecn5,1,0,0,2022-08-28T09:10:56.556Z,2022-08-28T10:13:41Z,3739079153,30,"9q90ls3k1i2739wd6a20fku6t, 6gabdz53gxhyp8dv6x5the4t1, 6lyedmu2vuf7jig3jmhz9b4ve, eu6pfkiah7otafyryg6ll7y09, 1s7vp9ovsa1jo7tu7nisykn9x, c2an5ksdu6jbap3x3jp3z9c5x, ely6vpyueden4b6ozfmspwgk5, 3mp92d5s002hi523kl4zmgrft, 395y7yj6o1xwr6uaxs4sjnjdh, 4octqavtgpv5u1rnpss898nah, 6mjm5cwe46jhi3wwpf1icf65l, 1p0xp2onnys7jlru55vfgf1pm, 28o7vv0jud22hmg4h649yozqh, 8p47d0e54hgl7d86vur1m5nmx, df5rxx2r305pdtf28967fuxyi, 6my743on19jmzmlq0crx3mq51, 9wo8twcbs1jnqzdy0c6y8adey, ebqj8v33xv3otev2pycc6xomh, 790v7fu7f2s40e160mlrb6dt6, 5nhideyjwp2347ryi1n9wfq50, 1s6yn52hlqtmmz4lerscf457u",3739079157,59,"1, 5, 15, 8, 2, 24, 18, 26, 28, 29, 7, 9, 10, 17, 19, 21, 25, 31, 32, 37, 38",3739079165,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3739079161,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3739180185,197,540,3739079159,130,4,3739079155,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3739079163,194,c2an5ksdu6jbap3x3jp3z9c5x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452266941,1,34,16,0,0,d0zdg647gvgc95xdtk1vpbkys,1,0,0,2022-08-28T09:16:05.217Z,2022-08-28T12:06:16Z,3739085375,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3739085383,194,6m2pk6odyb3atayt6u8cifahh,3739085379,130,4,3739085385,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3739181003,197,16373,3739085373,30,"7w5ivtmbqzi4hfte330r1a505, 6sg2ot7z9kfyrlgjkmpqvejqi, 3kx4mltrob4yta5g6kr2u8ic5, bp3apdb2ahzacq45k4mzj5jhl, aqlakf0mo95rlktf6xdbaegh5, 4jqgl7x5ewke1u0sy2cbkqfhl, 6m2pk6odyb3atayt6u8cifahh, 35qg0rrwtl00pycx468s62m3u, 9c2i7ddl2uh7kuhwq62klkyui, 7joybllup4h9oe6zfhcepjy6t, 6hrp4zuxh40i3tccmk5s0j5xx, a91pmdnyzx1i7vx3l19hj4jx1, baakmd4ndnulbl9npvmq90mvp, ddfwtazsntda1pah2l454py3t, 6w6ewzxircqxk6dsrs1rvc8ru, 29m8py8czo6w0zf2arwolirjd, p7vw4thx5wzo49h6hfabcq5m, 47l204bkq2qqjhtazusr0019m, eo74fl3ctgkwbpsa099rkv6xh, 2x44f29a52v8kpkkjsuiiywdm",3739085377,59,"22, 15, 17, 4, 2, 3, 10, 8, 9, 23, 7, 1, 6, 16, 18, 19, 20, 25, 29, 35",3739085381,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452285657,2,32,1,0,0,ccpscwdcm65czscrun048ecn5,1,0,0,2022-08-28T10:19:33.521Z,2022-08-30T17:50:32Z,3739195977,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452285661,2,32,1,0,0,d0zdg647gvgc95xdtk1vpbkys,1,0,0,2022-08-28T10:19:33.521Z,2022-08-28T10:19:35Z,3739195989,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452285677,3,1,1,0,0,ccpscwdcm65czscrun048ecn5,1,49.9,50.1,2022-08-28T10:19:33.538Z,2022-08-30T18:52:52Z,3739196067,141,36.4,3739196071,213,3.6,3745221617,178,,3739196061,56,Back,3739196073,279,S,3739196063,140,29.8,3739196069,212,23.1,,,,ely6vpyueden4b6ozfmspwgk5,J. Toornstra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452285735,4,1,1,0,2,ccpscwdcm65czscrun048ecn5,1,29.8,36.4,2022-08-28T10:19:36.283Z,2022-08-30T18:52:56Z,3739196327,56,Center,3739196335,213,0.6,3739196325,155,,3739196331,141,75.5,3745222189,178,,3739196333,212,45.6,3739196329,140,65.1,3739196339,1,,1s7vp9ovsa1jo7tu7nisykn9x,M. van der Maarel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452285739,5,44,1,0,5,ccpscwdcm65czscrun048ecn5,1,71,76.5,2022-08-28T10:19:39.084Z,2022-08-30T21:13:57Z,3739196369,286,,3739196367,56,Center,3739196385,233,3,,,,,,,,,,,,,,,,395y7yj6o1xwr6uaxs4sjnjdh,B. Dost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452285717,3,44,1,0,5,d0zdg647gvgc95xdtk1vpbkys,0,29,23.5,2022-08-28T10:19:39.085Z,2022-08-30T18:53:01Z,3739196255,285,,3739196413,233,5,3739196253,56,Back,,,,,,,,,,,,,,,,bp3apdb2ahzacq45k4mzj5jhl,E. Álvarez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452285765,6,1,1,0,5,ccpscwdcm65czscrun048ecn5,1,65.1,75.5,2022-08-28T10:19:39.128Z,2022-08-30T21:13:57Z,3739196531,3,,3739196543,213,0.5,3739196533,168,,3739196541,212,29.3,3739196537,140,90.0,3745223037,388,,3739196535,56,Left,3739196539,141,94.8,395y7yj6o1xwr6uaxs4sjnjdh,B. Dost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453659857,1374,67,1,0,8,ccpscwdcm65czscrun048ecn5,1,89.7,96.3,2022-08-28T10:19:42.323Z,2022-08-31T06:16:01Z,3746520523,233,1810,,,,,,,,,,,,,,,,,,,,,,6mjm5cwe46jhi3wwpf1icf65l,D. Redan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
