id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,assist,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,keyPass,qualifier/10/value,qualifier/14/value,qualifier/18/value,qualifier/15/value
2445468821,1,34,16,0,0,b79uipsy57y1jqpy07h4i5ovk,1,0,0,2022-08-13T15:53:10.730Z,2022-08-13T16:58:42Z,3702930495,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3702930499,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3702930489,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3702930497,194,6ydojoa3581jgszpjqj7i8zpx,3703100665,197,472,3702930493,130,2,3702930487,30,"4odeml6s5vm38m9u7tnh6n8id, ciguyr553yqapqfudim9af46h, 6ydojoa3581jgszpjqj7i8zpx, 5n65xhwbd6dm3uynl4h7k920a, 7nfr8xuo637qma7ovxx4r9fmy, 32pfghvfogjnpbgsj5mk2jhpm, 9d4lofwg9ooaoldw2vpt4h36y, dtglxu78mwbkvog0jnusmdc5x, 94b7i139jyk6hs6ioqlztg1jp, hxqybxg5578sgx0gx5qb834l, 7dkhv2l8y6jq20l1dc2ye17je, 2ekx0fvuf0dsat062oj430d05, 7sa0cx70w7dc0ahu5sm0ziz11, 8jldtmgqls9vc5ks6zxw30iui, 8qrsqp9qqvb0jdynpgsnifai1, 4qoddvxuknli8073d54hii2cq, 5geiqjzesu0y6bu8hyff4y6dx, 90vny1388bdhx8103lp9njac4, aq8emkcjejbav0fys17iqv2ll, a3qbyj57485msu70fggsk4kr8",3702930491,59,"1, 2, 5, 21, 6, 4, 8, 10, 27, 9, 23, 3, 7, 14, 16, 20, 22, 25, 26, 28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445469009,1,34,16,0,0,24fvcruwqrqvqa3aonf8c3zuy,1,0,0,2022-08-13T15:53:20.351Z,2022-08-13T16:49:08Z,3702931575,194,4drquvq035kmr2smvzph82bx1,3702931569,59,"1, 29, 35, 37, 3, 4, 27, 6, 9, 7, 11, 2, 5, 8, 15, 16, 20, 22, 23, 24, 28, 31, 33",3702931565,30,"a56woizbe4g6jpl3fg4tlgno5, 7c8ms7bw3fva4xeubax4ep8et, cm78w42nflwgvshpnok680mlm, 5yt3hbvzpaqv8lrjgt4ahb78q, 2e0o5pwinz3zhg9pqg5vej9ih, 3ojwbw6v83g9b0u2wssnkzzzd, bx6j2y1hnu63lawn3rdoep1m2, 1abb1gcw7arw1nkbuxnccjca1, 4drquvq035kmr2smvzph82bx1, exhxdmdq49xj4dnguq03qnlgq, 9psfk94nduz6icnuwty5v9all, 6w1s9fojh50ecti3rz8jv6jca, 62n3xzxpwe2j317q24rh5wjpx, 98fjpfhrww2qdifsi8viybaol, 9uuk73i8obc7ji0dnan352nkl, d5v47kueisvcjjz4f69m83sut, 21k54i5a6d9bi4f6gplgzxiw9, 1ph4g125dfsijfjzjpcvpcmlm, d4j19ipiaeuetyij08fofgs15, d9wjrxhmo0dlczkg0fpnf3e1h, 9vf02r3geinhsy732oxyrcacq, 5mbkc1nqmirbtfml9aklqr5xx, 6nwn2522yescgrx57wkcxjhwq",3702931577,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3702931571,130,8,3702931573,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3702931567,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3703099899,197,3036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445503039,2,32,1,0,0,24fvcruwqrqvqa3aonf8c3zuy,1,0,0,2022-08-13T16:48:00.839Z,2022-08-13T16:48:01Z,3703104473,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445503049,2,32,1,0,0,b79uipsy57y1jqpy07h4i5ovk,1,0,0,2022-08-13T16:48:00.839Z,2022-08-15T03:12:43Z,3703104523,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445503091,3,1,1,0,0,24fvcruwqrqvqa3aonf8c3zuy,1,50,50,2022-08-13T16:48:00.860Z,2022-08-15T03:45:32Z,3703104727,141,49.1,3703104723,56,Back,3708914255,178,,3703104729,212,12.0,3703104725,140,38.6,3703104731,213,3.2,3703104733,279,S,,,,exhxdmdq49xj4dnguq03qnlgq,X. Simons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445503171,4,1,1,0,1,24fvcruwqrqvqa3aonf8c3zuy,1,39.3,59,2022-08-13T16:48:01.992Z,2022-08-15T03:45:37Z,3703105033,56,Back,3703105037,141,55.7,3703105041,213,3.5,3708914377,178,,3703105039,212,5.7,3703105035,140,34.3,,,,,,,1abb1gcw7arw1nkbuxnccjca1,I. Sangaré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445559255,485,1,1,0,1,24fvcruwqrqvqa3aonf8c3zuy,1,32.7,51.9,2022-08-13T16:48:02.720Z,2022-08-15T03:45:42Z,3708914463,178,,3703406395,140,80.2,3703406399,212,60.0,3703406391,155,,3703406393,56,Right,3703406403,1,,3703406401,213,5.7,3703406397,141,2.9,3ojwbw6v83g9b0u2wssnkzzzd,A. Obispo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445503189,5,1,1,0,4,24fvcruwqrqvqa3aonf8c3zuy,0,80.3,4.1,2022-08-13T16:48:05.366Z,2022-08-15T03:45:47Z,3703105185,213,0.2,3703105177,56,Right,3708914545,388,,3703105175,3,,3703105179,140,99.7,3703105181,141,10.7,3703105183,212,20.9,,,,bx6j2y1hnu63lawn3rdoep1m2,J. Bakayoko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445679069,655,49,1,0,6,b79uipsy57y1jqpy07h4i5ovk,1,8.6,87.6,2022-08-13T16:48:07.301Z,2022-08-15T03:45:53Z,,,,,,,,,,,,,,,,,,,,,,,,,6ydojoa3581jgszpjqj7i8zpx,B. Kuipers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445503159,3,12,1,0,9,b79uipsy57y1jqpy07h4i5ovk,1,5.2,94.2,2022-08-13T16:48:09.854Z,2022-08-15T03:46:00Z,3703104989,213,1.4,3703104985,141,100.0,3703105059,167,,3708914777,178,,3703104987,212,5.4,3703104983,140,6.0,3703104981,56,Back,,,,6ydojoa3581jgszpjqj7i8zpx,B. Kuipers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
