id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/9/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,qualifier/16/value,qualifier/13/value
2455743087,5,1,1,0,11,8iawijq7s9s6d85mjz8wdslki,1,30.2,100,2022-09-04T12:32:55.409Z,2022-09-07T06:29:16Z,3757571199,213,3.5,3757571201,1,,3757571193,140,10.6,3757571191,56,Back,3757571195,141,89.7,3757571197,212,22.0,3757571189,107,,,,,6dd248q0adq6su677bw2kk2c5,C. Verdonk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455743105,6,1,1,0,14,8iawijq7s9s6d85mjz8wdslki,1,10.8,88.4,2022-09-04T12:32:58.264Z,2022-09-07T06:29:27Z,3757571307,213,4.4,3763587187,178,,3757571299,56,Back,3757571301,140,2.9,3757571305,212,25.3,3757571303,141,53.3,,,,,,,61a5bh5xw947nv4mxx62gqaqx,J. Kramer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455743141,7,1,1,0,17,8iawijq7s9s6d85mjz8wdslki,1,2.9,53.3,2022-09-04T12:33:01.665Z,2022-09-07T06:29:32Z,3763587271,178,,3757571519,212,26.1,3757571515,140,3.6,3757571521,213,1.5,3757571513,56,Back,3757571517,141,91.7,,,,,,,alkcbccyfsjddm897cgz7wel1,J. Cillessen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455743189,8,1,1,0,21,8iawijq7s9s6d85mjz8wdslki,1,9.7,93,2022-09-04T12:33:05.121Z,2022-09-07T06:29:48Z,3757571771,141,97.7,3763587641,178,,3757571775,213,0.3,3757571767,56,Back,3757571769,140,18.4,3757571773,212,9.7,,,,,,,61a5bh5xw947nv4mxx62gqaqx,J. Kramer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455743229,9,1,1,0,27,8iawijq7s9s6d85mjz8wdslki,1,28.5,86.6,2022-09-04T12:33:10.858Z,2022-09-07T06:29:53Z,3757571985,212,18.7,3757571981,140,10.9,3757571987,213,3.3,3763587705,178,,3757571979,56,Back,3757571983,141,82.0,,,,,,,6dd248q0adq6su677bw2kk2c5,C. Verdonk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455743241,10,1,1,0,30,8iawijq7s9s6d85mjz8wdslki,0,11.9,86.6,2022-09-04T12:33:14.168Z,2022-09-07T06:30:00Z,3757572045,213,6.2,3757572037,56,Back,3757572041,141,85.4,3757572039,140,33.0,3763587757,178,,3757572043,212,22.2,,,,,,,61a5bh5xw947nv4mxx62gqaqx,J. Kramer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455743257,7,8,1,0,31,4vd2t5schmvvufrfib7f2vjdf,1,70.6,22.1,2022-09-04T12:33:15.150Z,2022-09-07T06:30:10Z,3763587829,178,,3760489941,384,,3757572139,56,Center,,,,,,,,,,,,,,,,etzj9ltadjsvkmahib7hor90q,M. van Ewijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455743269,8,49,1,0,32,4vd2t5schmvvufrfib7f2vjdf,1,62.2,26.5,2022-09-04T12:33:16.495Z,2022-09-07T06:30:19Z,,,,,,,,,,,,,,,,,,,,,,,,,7jtag81mvpom3bfgezx8txbdh,T. Haye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455743289,9,1,1,0,33,4vd2t5schmvvufrfib7f2vjdf,1,62.2,26.5,2022-09-04T12:33:17.098Z,2022-09-07T06:30:26Z,3757572323,141,8.6,3757572319,56,Right,3757572327,213,4.9,3763587985,178,,3757572321,140,64.9,3757572325,212,12.5,,,,,,,7jtag81mvpom3bfgezx8txbdh,T. Haye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456869189,926,43,1,0,34,4vd2t5schmvvufrfib7f2vjdf,1,0,0,2022-09-04T12:33:17.938Z,2022-09-07T07:17:21Z,3763623911,144,82,3763623851,178,0,,,,,,,,,,,,,,,,,,,9hvw1v4douz0kst032a9l853p,S. van Beek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
