id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/10/value,assist,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2442735395,1,34,16,0,0,24fvcruwqrqvqa3aonf8c3zuy,1,0,0,2022-08-06T17:05:28.349Z,2022-08-06T18:04:03Z,3688344697,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3688344691,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3688344701,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3688612429,197,500,3688344689,30,"a56woizbe4g6jpl3fg4tlgno5, 6w1s9fojh50ecti3rz8jv6jca, 5mbkc1nqmirbtfml9aklqr5xx, d4j19ipiaeuetyij08fofgs15, 2e0o5pwinz3zhg9pqg5vej9ih, 3ojwbw6v83g9b0u2wssnkzzzd, bx6j2y1hnu63lawn3rdoep1m2, 9uuk73i8obc7ji0dnan352nkl, 4drquvq035kmr2smvzph82bx1, exhxdmdq49xj4dnguq03qnlgq, 9psfk94nduz6icnuwty5v9all, 62n3xzxpwe2j317q24rh5wjpx, 1abb1gcw7arw1nkbuxnccjca1, 98fjpfhrww2qdifsi8viybaol, d5v47kueisvcjjz4f69m83sut, 21k54i5a6d9bi4f6gplgzxiw9, d9wjrxhmo0dlczkg0fpnf3e1h, 94kzhufmz3ktpn1a9z1y91at, 9vf02r3geinhsy732oxyrcacq, 7c8ms7bw3fva4xeubax4ep8et, 6nwn2522yescgrx57wkcxjhwq, cm78w42nflwgvshpnok680mlm, 5yt3hbvzpaqv8lrjgt4ahb78q",3688344695,130,8,3688344693,59,"1, 2, 31, 23, 3, 4, 27, 15, 9, 7, 11, 5, 6, 8, 16, 20, 24, 26, 28, 29, 33, 35, 37",3688344699,194,4drquvq035kmr2smvzph82bx1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442741773,1,34,16,0,0,3t0vjqtxc8wpjzv82i3oi2ova,1,0,0,2022-08-06T17:10:58.953Z,2022-08-06T19:15:19Z,3688377673,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3688923521,197,16383,3688377665,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3688377669,194,ew4kbwq27lxqocg0920amphw5,3688377657,59,"1, 2, 3, 20, 5, 4, 7, 6, 9, 8, 77, 16, 11, 12, 13, 15, 17, 19, 26, 27, 29, 24, 99",3688377649,30,"3kt58x082lj8650en2mt60xqt, 6ciggfx8p0zkak8qxe1p7yzth, y1ky8sp8scl05mmfr7byy3md, cqrk42u0s5w8yuq6mnckug02y, 9fkdgor4mv7f8eqz65ugnnydx, ew4kbwq27lxqocg0920amphw5, ewbakrn2dqmy062scjnz0pecp, 7ytoj5m2j4u50e7pjhz0lr1ed, 7wphtxp293kv4o3x1b6zusrmd, 49x98sk3wf7sjshrlou5vnvje, 55e0z1vhb48go6y2io7h80aqy, 3sio6834hvapws8lt9ws0sx04, e605oixdrqumxkqm0y1bijbvt, crpn5oc0jw2cms9jv9c2e7zmc, 4l8n194otkmyc3op4u111l5n9, 5qdy8yuwjjc700f9tup2k12w9, 5q2z4aezq94ob9qp37i302ns9, 2pjxqgyqgvalmyu8cnu5fst90, 9i3hqtdo66gzvm4srzwhz8bca, 6rxmwjizhefv4gntkhtpxtasp, 50g2q36tyn8y5ws17filqpasp, eytcfp4cu6qkar65kf0p5rm96, 4j1q9t5qivp1pw0shncu1tzah",3688377653,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3688377661,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442785145,2,32,1,0,0,3t0vjqtxc8wpjzv82i3oi2ova,1,0,0,2022-08-06T18:00:59.828Z,2022-08-06T18:01:00Z,3688614747,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442785155,2,32,1,0,0,24fvcruwqrqvqa3aonf8c3zuy,1,0,0,2022-08-06T18:00:59.828Z,2022-08-08T07:37:58Z,3688614789,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442785203,3,1,1,0,0,3t0vjqtxc8wpjzv82i3oi2ova,1,50,50,2022-08-06T18:00:59.911Z,2022-08-08T12:45:30Z,3688615005,140,26.2,3688615003,56,Back,3688615011,213,3.3,3688615009,212,25.3,3688615013,279,S,3688615007,141,43.9,3694176953,178,,,,,7wphtxp293kv4o3x1b6zusrmd,R. Živković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442785227,4,1,1,0,2,3t0vjqtxc8wpjzv82i3oi2ova,1,26.2,43.9,2022-08-06T18:01:02.716Z,2022-08-08T12:45:35Z,3688615153,213,1.7,3694177043,178,,3688615147,140,23.8,3688615149,141,83.7,3688615151,212,27.2,3688615145,56,Back,,,,,,,9fkdgor4mv7f8eqz65ugnnydx,M. Araujo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442785265,5,1,1,0,6,3t0vjqtxc8wpjzv82i3oi2ova,0,23.8,83.7,2022-08-06T18:01:06.399Z,2022-08-08T12:45:37Z,3694177055,178,,3688615327,212,45.1,3688615321,56,Left,3688615329,213,0.3,3688615323,140,65.3,3688615325,141,100.0,3688615331,1,,3690899633,157,,ew4kbwq27lxqocg0920amphw5,J. Veldmate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442785383,3,5,1,0,10,24fvcruwqrqvqa3aonf8c3zuy,1,32.2,-1.1,2022-08-06T18:01:10.688Z,2022-08-08T12:45:39Z,3688615877,56,Back,3688615879,347,,3688615903,233,6,,,,,,,,,,,,,,,,6w1s9fojh50ecti3rz8jv6jca,K. Hoever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442785269,6,5,1,0,10,3t0vjqtxc8wpjzv82i3oi2ova,0,67.8,101.1,2022-08-06T18:01:10.688Z,2022-08-08T12:45:40Z,3688615911,233,3,3688615347,347,,3688615345,56,Left,,,,,,,,,,,,,,,,ew4kbwq27lxqocg0920amphw5,J. Veldmate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442785413,4,1,1,0,22,24fvcruwqrqvqa3aonf8c3zuy,0,28.1,0,2022-08-06T18:01:22.379Z,2022-08-08T12:45:42Z,3688616043,212,27.2,3688616045,213,0.3,3688616037,56,Right,3688616039,140,53.2,3688616035,107,,3688616041,141,8.9,3688616047,1,,,,,6w1s9fojh50ecti3rz8jv6jca,K. Hoever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
