id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/8/value,qualifier/13/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2537318495,1,34,16,0,0,8iawijq7s9s6d85mjz8wdslki,1,0,0,2023-04-22T16:52:07.975Z,2023-04-22T17:57:46Z,4209829641,194,9p6nlczeycd0ai4dahjxnf8ph,4209829633,59,"22, 28, 16, 71, 4, 3, 7, 20, 19, 6, 11, 31, 1, 2, 5, 8, 9, 21, 34, 77",4209829637,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4209829635,130,8,4209829645,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4209829629,30,"alkcbccyfsjddm897cgz7wel1, qobf1v5kwuz6hj2ooixfw4mi, enimk3ibb10vk3f8vrmmhq7oq, a76yp8gkkg6frtuhh3d6l46i, 570htztcvfsu947xw6fvtzmc5, 913pg8qqcjp99h5fjybbenob9, cudl1cjc8kxshfbhatms7aooa, 9p6nlczeycd0ai4dahjxnf8ph, 76n4eg1xu5qvf9bkwy4p8jsut, brij3tiox17hyfm63ulhg5sr9, 8inyievyp1az6q3dtlkpynf56, uru1h5pzgwy9cvbele1piei, 16mtjri8tz6vmxtxwr34y2tp1, cdhqb1a4h246hu0u13pm0tqay, 61a5bh5xw947nv4mxx62gqaqx, 6lxkawhg9z2jyh7u8d6hp3g15, 55njsqpc4izy2wogf188whtrd, 4fiks6jvfxzbs9k0s050vmfbo, bqqq27wy9bk31ssgapksci4t1, 6oynq4ickyxictf2e0ilemqne",4210174199,197,10306,4209829631,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537320161,1,34,16,0,0,cos9hxi16eitbcbthof7zrm4m,1,0,0,2023-04-22T16:54:47.102Z,2023-04-25T12:17:45Z,4209838951,194,a87w6l9zsbahdi4knm1347zs9,4209838941,30,"7j5xa2ti4qnvoh74h5twyi6s5, 9zcr9l3mfbbstmesdlx298vhm, b2a5syitl1nb5ky04j7pdq09h, alxccjq2y6il5yjw108a0axnt, 8utfqkk9niq1xvdhsw0f4awut, a87w6l9zsbahdi4knm1347zs9, ci5y030e6r9umgyjbupwske7d, 4t85yj2ijymrz5vf457jcihre, 3nto7ft0b2a47lqd7ethkkrxm, emglxnqrlqskt8krglv7sziwa, ar7ybu7dordgt2yfx5inux62, brqptr56zeku3bgqbixje0hxx, e5kpw4k4tyss5ch8ehfi7nk5x, ebrua3sixxfvycsty8z956ga1, 4k9shzwgauyy7w2911uev75yh, 397korofv0jmoxs8aklr5yuzu, dk56pv43y8zo39ft9xtwyapnu, 8zmxsixeoe1gmas31bzss7ljp, 44t0ew97eyl8ww00sgusx00a2, am0ea3bvmnin4gco2ndny2noq, 3aly8eihwfvtwde7dg0k18w7o, 29fr98or3mqippn84z3p9ihhw, 5ph43qsw8g2zbm19a2230zfo4, ei9h1loyggj8fnf1q4jfdm710",4209838945,59,"1, 12, 15, 8, 37, 29, 10, 7, 21, 9, 18, 2, 4, 6, 23, 24, 25, 28, 31, 34, 39, 40, 44, 55",4209838947,130,2,4209838949,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4209838943,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4209838953,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4210175425,197,477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537382663,2,32,1,0,0,8iawijq7s9s6d85mjz8wdslki,1,0,0,2023-04-22T18:00:49.233Z,2023-04-22T18:00:50Z,4210182925,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537382647,2,32,1,0,0,cos9hxi16eitbcbthof7zrm4m,1,0,0,2023-04-22T18:00:49.233Z,2023-04-26T05:02:19Z,4210182835,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537382687,3,1,1,0,0,cos9hxi16eitbcbthof7zrm4m,1,50.2,49.9,2023-04-22T18:00:49.333Z,2023-04-22T18:00:53Z,4210183087,279,S,4210183085,213,3.1,4210183083,212,15.3,4210183079,140,35.6,4210183077,56,Back,4210183081,141,50.3,,,,,,,4t85yj2ijymrz5vf457jcihre,T. Suslov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537382717,4,1,1,0,2,cos9hxi16eitbcbthof7zrm4m,0,35.6,50,2023-04-22T18:00:51.246Z,2023-04-23T14:26:24Z,4210183249,141,0.0,4210183255,1,,4210183243,140,69.0,4210183253,213,5.5,4210183233,155,,4210183251,212,49.6,4210183237,56,Right,,,,a87w6l9zsbahdi4knm1347zs9,M. Sørensen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537382777,3,5,1,0,6,8iawijq7s9s6d85mjz8wdslki,1,30.6,101.6,2023-04-22T18:00:55.651Z,2023-04-22T18:27:04Z,4210183613,347,,4210183643,233,5,4210183611,56,Back,,,,,,,,,,,,,,,,enimk3ibb10vk3f8vrmmhq7oq,S. El Karouani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537382723,5,5,1,0,6,cos9hxi16eitbcbthof7zrm4m,0,69.4,-1.6,2023-04-22T18:00:55.651Z,2023-04-22T18:01:03Z,4210183651,233,3,4210183269,56,Right,4210183271,347,,,,,,,,,,,,,,,,,a87w6l9zsbahdi4knm1347zs9,M. Sørensen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537382815,4,1,1,0,13,8iawijq7s9s6d85mjz8wdslki,0,30.3,100,2023-04-22T18:01:02.469Z,2023-04-22T18:01:05Z,4210183781,141,93.3,4210183785,213,6.1,4210183787,1,,4210183777,56,Left,4210183783,212,28.7,4210183779,140,57.1,4210183775,107,,,,,enimk3ibb10vk3f8vrmmhq7oq,S. El Karouani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537382823,6,8,1,0,16,cos9hxi16eitbcbthof7zrm4m,1,45.3,5.5,2023-04-22T18:01:05.598Z,2023-04-23T14:26:39Z,4210183821,56,Back,4213909471,385,,,,,,,,,,,,,,,,,,,,8utfqkk9niq1xvdhsw0f4awut,M. Chaluš,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
